Year,AFE,AFN,AFW,AFZ,ANZ,ASC,ASE,ASO,BRA,CAN,CHL,CHN,ENE,ENW,EUE,EUM,EUW,IDN,IND,JPN,LAM,MDA,MEA,MEX,NIG,RUS,SKT,USA
2019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023,1.0,1.3487896024952886,3.408154554749256,3.769052104884247,1.3487896024952888,2.6882139616848613,1.2212608507101133,1.0,1.3125593151658688,1.1879191009570065,1.0,1.7758615429653999,1.5162058863445529,0.45792633130588095,1.516205886344553,1.5162058863445527,1.5162058863445529,1.2212608507101135,1.2212608507101133,1.4075144717196175,1.3125593151658685,1.5162058863445527,1.3835473705422294,1.1879191009570065,1.0,1.3487896024952886,1.221260850710113,1.1879191009570065
2025,1.0,1.523184403742933,4.612231832123884,5.15357815732637,1.5231844037429327,3.5323209425272912,1.33189127606517,1.0,1.468838972748803,1.2818786514355096,1.0,2.163792314448099,1.7743088295168294,0.1868894969588215,1.7743088295168294,1.774308829516829,1.7743088295168292,1.33189127606517,1.33189127606517,1.6112717075794263,1.468838972748803,1.7743088295168288,1.575321055813344,1.2818786514355096,1.0,1.5231844037429327,1.33189127606517,1.2818786514355098
2030,1.0,1.8041072116682462,6.159137778560799,6.922343863346441,1.8041072116682455,4.636647417777224,1.877889055234135,1.0,1.7475834866821953,1.3056212813754509,1.0,2.9253904444539796,1.8028812327538422,0.19919636521412268,1.8028812327538424,1.8028812327538417,1.8028812327538422,1.8778890552341347,1.8778890552341347,1.0886998614466217,1.7475834866821947,1.802881232753841,1.9430680321667655,1.3056212813754509,1.0,1.8041072116682457,1.8778890552341345,1.3056212813754509
2035,1.0,1.896195262140186,7.794131786643608,8.827727527027204,1.8961952621401863,5.732251538239973,2.525306965049079,1.0,2.0112830253290985,1.376993829377982,1.0,3.5890384445450554,1.9477208141594808,0.20114557381704945,1.9477208141594808,1.9477208141594802,1.9477208141594804,2.525306965049079,2.5253069650490785,0.8290354324043433,2.011283025329098,1.94772081415948,2.144152174651196,1.3769938293779822,1.0,1.896195262140186,2.525306965049078,1.3769938293779822
2040,1.0,2.051629254738527,9.4698045270317,10.769817562269766,2.0516292547385273,6.876458700132463,3.2115526695605894,1.0,2.2553071362748036,1.4611471624941375,1.0,3.975087323827866,2.0611708305397034,0.20500913326271575,2.0611708305397034,2.061170830539703,2.061170830539703,3.2115526695605894,3.211552669560589,0.7968395854704786,2.2553071362748027,2.0611708305397025,2.550350413152127,1.4611471624941377,1.0,2.0516292547385264,3.2115526695605885,1.4611471624941375
2045,1.0,2.2296642044199655,11.239148641124908,12.818033849221408,2.2296642044199655,8.08949148032562,3.958248966867528,1.0,2.494304672900236,1.5375179111876693,1.0,4.085515227657576,2.095189040969374,0.2050433178629545,2.095189040969374,2.095189040969373,2.0951890409693736,3.958248966867528,3.9582489668675276,0.8809779013287053,2.4943046729002356,2.095189040969373,2.9914691917058334,1.5375179111876693,1.0,2.229664204419965,3.958248966867527,1.5375179111876693
2050,1.0,2.419818025886925,12.990682673344043,14.843195094661283,2.4198180258869253,9.295177146184239,4.737517594828775,1.0,2.727165061054583,1.5928674269326557,1.0,3.9877297304130437,2.0422690115932385,0.20301341987942076,2.042269011593239,2.0422690115932385,2.0422690115932385,4.737517594828775,4.737517594828774,0.8958369987313431,2.727165061054582,2.042269011593238,3.3416253227316606,1.592867426932656,1.0,2.419818025886925,4.737517594828774,1.5928674269326557
2060,1.0,2.419818025886925,12.990682673344043,14.843195094661283,2.4198180258869253,9.295177146184239,4.737517594828775,1.0,2.727165061054583,1.5928674269326557,1.0,3.9877297304130437,2.0422690115932385,0.20301341987942076,2.042269011593239,2.0422690115932385,2.0422690115932385,4.737517594828775,4.737517594828774,0.8958369987313431,2.727165061054582,2.042269011593238,3.3416253227316606,1.592867426932656,1.0,2.419818025886925,4.737517594828774,1.5928674269326557
2070,1.0,2.419818025886925,12.990682673344043,14.843195094661283,2.4198180258869253,9.295177146184239,4.737517594828775,1.0,2.727165061054583,1.5928674269326557,1.0,3.9877297304130437,2.0422690115932385,0.20301341987942076,2.042269011593239,2.0422690115932385,2.0422690115932385,4.737517594828775,4.737517594828774,0.8958369987313431,2.727165061054582,2.042269011593238,3.3416253227316606,1.592867426932656,1.0,2.419818025886925,4.737517594828774,1.5928674269326557
2080,1.0,2.419818025886925,12.990682673344043,14.843195094661283,2.4198180258869253,9.295177146184239,4.737517594828775,1.0,2.727165061054583,1.5928674269326557,1.0,3.9877297304130437,2.0422690115932385,0.20301341987942076,2.042269011593239,2.0422690115932385,2.0422690115932385,4.737517594828775,4.737517594828774,0.8958369987313431,2.727165061054582,2.042269011593238,3.3416253227316606,1.592867426932656,1.0,2.419818025886925,4.737517594828774,1.5928674269326557
