OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,340.0,311.4878960249529,306.97579204990575,310.4636880748587,363.95158409981156,362.43948012476443,352.9312888061562,348.4279185133779,345.20143900866924,341.00756457655416,337.51373802256626,334.734610950744,332.81962237740197,332.0456995313439,332.217519749219,333.2733762227297,335.1368693476712,337.4963908739659,340.10624717499354,343.0320923494097,346.28557321443725,349.85042391262994,353.741415499999,357.6901727694644,361.6715772545697,365.85370829030074,370.2351608010719,374.7722214461319,379.19316761370976,383.3781231097024,387.41593991419575,391.69539339731796
AFW,122.0,115.28638638687315,108.57977277374627,146.4531591606194,144.59554554749255,103.78593193436569,111.30204053996981,116.75323768823151,121.92015344358165,127.07851487018934,132.49340530584783,138.1724610110475,144.1383256839731,150.41373711800313,156.95356761420362,163.6840242864088,170.50452126637384,177.32603800388569,184.0736835921932,190.76135634966457,197.500175112323,204.35897744199605,211.3066255604473,218.3745082189763,225.63908573317954,233.02430936805285,240.41861352444587,247.81425895536313,255.11362023738658,262.2723761795114,269.30414128282825,276.09340492868967
AFZ,1332.0,1370.615151311053,1395.859302622106,1448.0594539331591,1450.0536052442123,1439.0017565552653,1480.9451607493177,1509.6583099641189,1554.9794795190965,1598.877506810932,1646.8285609211903,1698.5808563466421,1754.458272065487,1814.9385902024574,1879.1362983219515,1946.1817155786705,2014.946296587629,2084.1310283944313,2152.7390686713297,2221.1006674268133,2290.3717663000425,2361.2232149102356,2433.352176152267,2506.6684110841034,2581.9362075788317,2658.6414714400257,2735.648412127715,2812.830594640765,2888.837958134487,2963.1040161710716,3035.911925627759,3106.6381224931147
ANZ,2801.0,2875.085712548963,2925.111425097927,2953.536137646891,3076.1248501958544,3129.263562744817,3126.5040439242375,3233.8505876719137,3227.131349162328,3214.1762220800874,3202.19092567919,3193.67952913548,3190.3642486167423,3194.95002895938,3207.30382910436,3227.3341775082567,3254.646492217042,3287.0625092743967,3322.349562350028,3360.238965681214,3400.6299481551987,3443.3971225945797,3488.7115921800496,3535.0785656897974,3582.113569093689,3630.787849670487,3681.1958086006557,3732.97540991562,3784.3429673440214,3834.223524086294,3883.0254128050265,3933.2724891571784
ASC,420.0,394.31253490421216,366.70206980842426,367.3316047126364,382.6381396168486,394.0576745210608,392.67483725080046,390.3863813581034,395.0000363958578,398.86384576446187,403.8325593330924,409.80358364624504,416.8854943651574,425.27575756535373,434.6988810501533,444.98048518663535,455.9053686362336,467.110532747157,478.3294505575209,489.6691001923301,501.315317523672,513.3607436462428,525.7656580568798,538.3608004393084,551.2540848624365,564.4645270308094,577.8171819486124,591.2712348793043,604.4739270046473,617.2827177453723,629.7944016000415,642.1297552860347
ASE,1050.0,1106.0414116764832,1223.0828233529664,1266.1242350294497,1354.1656467059329,1370.207058382416,1449.2500703878286,1539.2280987142462,1626.7938248771436,1716.4455289634711,1807.2508289649734,1899.5849397419977,1992.415483888022,2084.4961686156175,2175.4840513558,2264.816394768368,2351.916444627722,2436.520806021488,2517.8332210324434,2595.866205595727,2670.9590783215226,2742.34776633998,2810.704843722263,2875.4525792290688,2935.5256991916085,2991.5691204954455,3043.4974805572238,3090.2902641521023,3131.0752211411345,3166.7242019873,3198.2059145339545,3225.7288820462145
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,1820.0,1946.5235996860165,2124.547199372033,2263.2707990580498,2557.3943987440666,2734.917998430083,2831.796001020712,2900.9246103273617,2965.968837204965,3026.8943969632987,3085.257493062335,3142.989943249225,3198.7900026076263,3252.7519900072043,3304.30400266603,3354.9780163690834,3402.418354934693,3444.738805154795,3484.3015782543644,3522.535780497276,3558.4142367357667,3592.2377496560157,3623.436265590717,3652.622642664901,3681.331456934764,3708.893281830463,3735.621360457948,3761.0346796811673,3785.5682880737913,3807.098461882316,3824.508280891666,3841.76711428198
CAN,4564.0,4944.82841565912,5028.4328313182405,4977.242246977361,5333.185662636481,5450.189078295602,5639.135070992866,5723.084252727129,5676.820209269655,5653.720152479864,5610.276897842594,5552.452239066071,5504.705798900815,5449.845774368765,5389.681677138233,5334.436753228592,5271.537731707702,5202.50373881075,5144.565289800466,5084.3434107453795,5004.119888911426,4919.501951718825,4846.586453475879,4783.080608187367,4705.664700835845,4614.551420705792,4537.110178090115,4451.437820268876,4373.144029234195,4301.503909799682,4221.589118308959,4157.603249644522
CHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,45654.0,49748.37374271572,53228.545485431445,56928.21822814717,60435.89097086289,64904.86371357861,64984.581767789765,64201.550905735756,63371.24545424679,62433.97585281532,61599.96324100445,60919.59722971136,60361.8239003363,59902.61765124704,59534.96232573551,59256.326727794985,59068.382581637954,58942.73901348525,58874.49651541868,58858.20835816249,58816.11495938637,58708.28126494967,58527.39432069726,58248.91364072337,57885.22030035038,57416.68970090177,56819.440337417,56116.92282672141,55376.70324960935,54601.91701786098,53788.93694821031,52988.39578982579
ENE,165.0,93.66057357930691,198.15614715861383,251.5227207379207,133.18829431722764,129.01986789653455,139.2310255717433,141.23083802698577,143.45758298518052,146.66867416051434,149.8939177896189,153.24129363371085,156.70558004473708,160.34429996636337,164.12974915527383,167.89365569166608,171.55742042429324,175.07126147117393,178.44115926607708,181.60656223510463,184.5815450733643,187.48920534677012,190.34383666958266,193.05877833585677,195.582541098752,198.00992527605013,200.3707552032883,202.68225257306614,204.8837970827702,206.97260125381038,208.76815664958542,210.53633664896003
ENW,3403.0,3053.378556937382,2995.5331138747642,2870.672670812146,2627.133227749528,2412.11478468691,2438.226943373132,2619.3614120154903,2511.029818867569,2519.130651698202,2477.7911782336923,2415.425356476408,2331.252560479161,2238.56958675279,2142.5257976109774,2031.6907682850197,1911.3804406802772,1786.1894384454029,1665.122606238854,1542.6445570597184,1415.6566747535544,1297.524842588313,1191.0225139055453,1079.0754979398691,950.0494481280346,822.1380628763484,702.6380397343081,590.362872996142,477.7781885805974,363.5017984643742,361.5165902419546,359.3954666773978
EUE,800.0,721.7583237489505,772.0436474979008,587.7719712468513,587.6042949958016,610.0156187447521,659.9498088669156,673.7540800212275,662.3860560331656,665.7817641763102,664.5176466667477,661.5299797407513,656.7363865705897,651.5829462610982,646.3669856814059,639.5238018262694,631.3529431487843,622.1641593056336,612.941858959534,602.8517525432281,591.5055627712588,580.5223094755836,570.2533751512688,558.6760371843426,544.3265677481418,529.4770223772931,515.1353060240933,501.2443007652758,487.0156534909823,472.3927713583224,466.86618040645953,461.7657727644006
EUM,4220.0,4610.939459245285,5052.476918490572,5249.748377735857,5649.188836981142,6155.7172962264285,6643.700869183806,6578.239774315459,6581.622068219475,6625.978629418625,6674.201249297626,6728.395210407176,6788.142826670726,6855.013891908649,6927.339596748321,6998.001162615167,7063.63808718411,7121.842061864455,7172.695125315175,7212.967938679062,7240.649976622877,7259.224285036562,7270.199251876257,7269.274836739397,7252.810903149438,7226.460350233778,7194.316590628034,7157.941762694505,7116.912495705852,7072.261734759198,6989.522327887795,6913.1633740983725
EUW,2740.0,2884.4348254453857,3095.4506508907707,3124.5484763361565,3219.586301781542,3487.894127226927,3764.2451997457392,3725.2806158178473,3728.2776987252437,3753.5029215440363,3781.384344505753,3812.8629797028125,3847.705946270179,3886.6835433233823,3928.8074814094207,3970.123526459859,4008.6691732656063,4043.0292105695703,4073.159975578597,4097.279177194635,4114.265085983872,4125.973607909698,4133.240768106303,4133.77754387664,4125.62324342928,4111.822789910515,4094.6399431550617,4074.9793954231936,4052.6701806546434,4028.3122538457183,3981.184449604838,3937.6909081075028
IDN,280.0,262.3126085071011,287.8252170142023,270.4118255213034,263.73243402840455,325.2930425355057,344.7825799008091,365.7803953793547,385.5564938044461,405.755827476048,426.10154862355165,446.69642070592494,467.2569463367187,487.4672976616864,507.27133798071986,526.5432877967925,545.1489957948548,563.0306468077838,579.9689727767275,595.9621183646466,611.0822952448254,625.0919490594922,638.1639167170628,650.1208300540021,660.6747597899894,670.0255024004305,678.1617946545248,684.826967738275,689.8196853098667,693.4174346054183,695.9008907844842,697.333194608015
IND,5030.0,5086.125145621764,5560.397291243529,5720.664436865293,5856.552582487057,5973.4407281088215,6314.872593511761,6708.717123349863,7094.874173269945,7490.4388485779045,7891.5883128192145,8299.898667302936,8711.03665283481,9119.656004909071,9524.151471389467,9922.035717453864,10310.782288000111,10689.222352616,11054.016391929224,11405.240008000017,11744.408836160383,12068.436680300169,12380.198254744893,12677.35020878151,12955.401148077315,13216.959083169924,13461.612635361389,13684.97559279688,13883.220348450777,14059.840424885053,14218.837928840421,14361.062482125104
JPN,1410.893542868064,1454.479775667474,1588.9595513349475,1723.4393270024214,1857.919102669895,1992.3988783373688,2126.8786540048427,1952.826061381564,1798.6909121871345,1662.863203775751,1543.089798253947,1437.0838171095406,1343.663275796113,1262.9895559400516,1194.901817247426,1138.7140873582396,1094.3267707737332,1063.308580135457,1044.69358845063,1037.709304852895,1040.8084040132449,1051.8282528210318,1068.636167825842,1091.2935465223052,1117.1412640286192,1141.649795414469,1162.890829753891,1179.7184465147102,1191.291727296253,1196.068092730615,1192.9682705087612,1182.504838325373
LAM,695.0,600.1203554857814,677.1717109715629,729.3870664573444,790.2654219431258,817.7817774289073,840.3442952229432,856.7402811760946,870.2979971792247,882.8035149288622,894.7342585419276,906.6666476456282,917.8814582069517,928.3564012249242,937.844921412675,947.0356226825858,955.0087749044853,961.1031005695876,966.3759165044021,971.3734018615717,975.5832566374869,979.049702134692,981.438093687395,982.9433991649954,984.1635602027342,984.8131789413192,985.0830064883846,984.8431488056863,984.3590392291017,982.8172027583521,979.8469366740958,977.1428017175851
MDA,710.0,791.2024270992671,871.8048541985341,955.9072812978012,1037.2097083970682,1118.5121354963353,1206.9359129300124,1191.896740592115,1194.3250476307935,1202.5397306735927,1212.238431234548,1223.3809609840557,1235.8977769121313,1249.8741140293448,1264.9350363253413,1279.9202051671366,1294.1209737913268,1307.0147545863392,1318.4651528475554,1327.9650885156736,1335.1785400423726,1340.5409675817282,1344.2951589287486,1345.9072211901164,1344.886671021104,1341.9953557872357,1337.8837241647989,1332.8684644727916,1326.9883240038826,1320.455626424803,1305.0074261986392,1290.7505146276783
MEA,6603.0,6877.906816038712,7279.004632077424,7472.477448116137,7536.528264154848,7678.86008019356,7536.00002239756,7445.060213790584,7393.321817656513,7346.5901067635805,7303.261714791287,7263.108506452096,7251.040822291706,7273.32169253209,7312.200095419392,7374.058995587231,7457.423900321921,7558.560086962518,7673.576985861727,7798.321187495746,7928.753606714483,8064.04361361938,8201.020498496806,8332.852697377724,8459.325918397702,8580.36362148108,8693.103494413559,8798.49174732416,8897.734454307109,8988.686600990644,9067.703160731213,9137.960998396584
MEX,10.0,10.469797752392516,10.939595504785032,11.409393257177548,11.879191009570064,12.34898876196258,12.818786514355097,12.674567828367488,12.746391206464184,12.833477699714424,12.940136786085397,13.056212813754508,13.180043702531638,13.316049115938831,13.460081735361785,13.610923791160682,13.769938293779822,13.933397685783044,14.099691659744527,14.271307107790753,14.444137213259047,14.611471624941377,14.77399443873893,14.934344111978165,15.091631577383174,15.239292752547744,15.375179111876694,15.50480788503988,15.623628639896465,15.734325006920816,15.837195994326104,15.928674269326558
NIG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUS,3957.0,4283.903168199623,4312.806336399246,4417.709504598869,4457.612672798492,4641.515840998115,4491.22347716242,4380.969681533361,4332.04939625275,4269.979271540717,4218.698854411504,4177.540827826125,4148.26362140382,4134.300747913749,4132.592272251183,4142.189270769619,4162.018038511584,4187.903864386282,4216.740366234223,4249.668781963035,4286.910660162977,4328.252283057173,4373.867145642549,4420.0226469726185,4466.457380632361,4515.496402978713,4567.083412151146,4620.653070522909,4672.523400447335,4721.173597782179,4767.870552393022,4817.89250866814
SKT,2000.0,2110.630425355057,2221.260850710113,2331.8912760651697,2442.5217014202262,2553.152126775283,2663.78255213034,2849.8268831475025,3064.2161775009317,3286.134685243374,3516.6531080769714,3755.778110468269,4003.529351546855,4258.59414814666,4519.05438210532,4783.4659680943305,5050.613930098156,5319.768856367416,5590.976804387895,5864.505318980315,6141.408860506226,6423.105339121177,6710.18185565166,7003.59659409894,7303.1370035608925,7607.642303204443,7916.497933735054,8228.53065903077,8541.824770783627,8854.437294565907,9165.60791354513,9475.035189657548
USA,4960.0,5078.428730175904,5141.469460351807,5287.735190527711,5332.246920703615,5464.058650879519,5668.15523289095,5634.627453249272,5650.410592856164,5676.317851802026,5704.938938105731,5733.923183783029,5767.704335022008,5804.310298045241,5842.652851160704,5884.401062369036,5927.4547949402895,5970.813965381245,6017.4472622717285,6065.48474345811,6109.845717931979,6151.371029219771,6193.60419262622,6237.003281596583,6276.470653080202,6309.739954367287,6341.670778481246,6369.710600011454,6395.460871895763,6419.717266408399,6439.521992808705,6458.585780091555
