Year,AFE,AFN,AFW,AFZ,ANZ,ASC,ASE,ASO,BRA,CAN,CHL,CHN,ENE,ENW,EUE,EUM,EUW,IDN,IND,JPN,LAM,MDA,MEA,MEX,NIG,RUS,SKT,USA
2019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023,1.0,1.0704458355876811,1.1852093897335454,1.0886288327659253,1.098223795143111,0.9110431895639253,1.2896815682913647,1.0,1.405161757551685,1.1685332302008065,1.0,1.323780850984862,0.8072017837407736,0.7720050625182274,0.734505368744752,1.3386703405168583,1.1750314970005626,0.9419015501014448,1.164324569082914,1.316838617669989,1.1370725495584544,1.4608587442212229,1.1413794130175448,1.1879191009570065,1.0,1.1265131849377032,1.221260850710113,1.0750497823999223
2025,1.0,1.0380332023710477,0.9123118077046706,1.1118206912532416,1.1162099407084032,0.9349400886923821,1.3802381622741224,1.0,1.5559318686926988,1.2355685957477796,1.0,1.4234148545097858,0.8438243974045048,0.7164933715466154,0.8249372610836445,1.574336698858722,1.3738121166955253,1.231366356788604,1.255441867497368,1.507469266378046,1.20912848233517,1.6999097365211442,1.14129941275141,1.2818786514355096,1.0,1.1350071966546424,1.33189127606517,1.1427732324376916
2030,1.0,0.9845135616198354,1.132561155828258,1.2752108531130948,1.1401926201840342,0.9757228182053453,1.8091285140399977,1.0,1.726917551235838,1.216575863073197,1.0,1.3343758976149158,0.928735112931581,0.7097929346095821,0.8269124746759391,1.5944064479637858,1.3915558320083257,1.5953443596640176,1.6500792579131085,1.018562898932996,1.3045563275476666,1.7230717760338814,1.099970999008344,1.3056212813754509,1.0,1.055734351232278,1.8778890552341345,1.156032899956256
2035,1.0,0.9856966745519742,1.3975780431669986,1.5127224448856074,1.1619587619482479,1.0854889729434134,2.239920423454973,1.0,1.8694606345795017,1.1550257957291197,1.0,1.293827103466026,1.0397419419654135,0.5616751221511247,0.7891911789359805,1.6738478879583198,1.4630179464473017,1.9469606992673387,2.049857313717716,0.7756267482443686,1.37411334518631,1.8227055968891928,1.129399348829611,1.3769938293779822,1.0,1.0518114830709082,2.525306965049078,1.195051369947639
2040,1.0,1.0289718350371468,1.6750735855901315,1.7726901012839607,1.229345634628554,1.2222874848720067,2.6117597774666477,1.0,1.9737570053055031,1.0778926274581124,1.0,1.2859394853671018,1.1362982142228493,0.38128852265304525,0.7256528868444795,1.720195328207716,1.505829783908649,2.2324712466410435,2.399291586540789,0.7455050440466795,1.408704607388046,1.88808586983342,1.2212696673662549,1.4611471624941377,1.0,1.0938216535398466,3.2115526695605885,1.240195772020115
2045,1.0,1.0889269435325644,1.9706443731511958,2.0537900991949813,1.314243416137328,1.3757551951157438,2.8985690291021178,1.0,2.0525392090428287,0.9941082774080008,1.0,1.244566529491764,1.2143682133532625,0.2064760622198966,0.6439191325301167,1.7048143579687283,1.4943941398376137,2.4220064094804457,2.676264937447592,0.8242229441279934,1.4173856208465967,1.8843432734715477,1.316538466517274,1.5375179111876693,1.0,1.1541782694342042,3.958248966867527,1.2785626569518642
2050,1.0,1.152045274697994,2.2630606961368005,2.3323109027726088,1.404238660891531,1.528880369728654,3.0721227448059185,1.0,2.1108610518032855,0.9109560143831118,1.0,1.160651767420725,1.275977797872485,0.10561136252641722,0.5772072159555007,1.638190373009093,1.4371134701122272,2.490475695028625,2.855082004398629,0.8381247786573446,1.4059608657806981,1.817958471306589,1.3839104949866097,1.592867426932656,1.0,1.2175619177832044,4.737517594828774,1.3021342298571683
2060,1.0,1.152045274697994,2.2630606961368005,2.3323109027726088,1.404238660891531,1.528880369728654,3.0721227448059185,1.0,2.1108610518032855,0.9109560143831118,1.0,1.160651767420725,1.275977797872485,0.10561136252641722,0.5772072159555007,1.638190373009093,1.4371134701122272,2.490475695028625,2.855082004398629,0.8381247786573446,1.4059608657806981,1.817958471306589,1.3839104949866097,1.592867426932656,1.0,1.2175619177832044,4.737517594828774,1.3021342298571683
2070,1.0,1.152045274697994,2.2630606961368005,2.3323109027726088,1.404238660891531,1.528880369728654,3.0721227448059185,1.0,2.1108610518032855,0.9109560143831118,1.0,1.160651767420725,1.275977797872485,0.10561136252641722,0.5772072159555007,1.638190373009093,1.4371134701122272,2.490475695028625,2.855082004398629,0.8381247786573446,1.4059608657806981,1.817958471306589,1.3839104949866097,1.592867426932656,1.0,1.2175619177832044,4.737517594828774,1.3021342298571683
2080,1.0,1.152045274697994,2.2630606961368005,2.3323109027726088,1.404238660891531,1.528880369728654,3.0721227448059185,1.0,2.1108610518032855,0.9109560143831118,1.0,1.160651767420725,1.275977797872485,0.10561136252641722,0.5772072159555007,1.638190373009093,1.4371134701122272,2.490475695028625,2.855082004398629,0.8381247786573446,1.4059608657806981,1.817958471306589,1.3839104949866097,1.592867426932656,1.0,1.2175619177832044,4.737517594828774,1.3021342298571683
