OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,57.38908773873708,59.56066566066467,61.732243582592254,63.90382150451984,66.07539942644743,68.24697734837501,70.41855527030262,71.24694154322904,72.05001904295956,72.63128467920305,73.13617912203384,73.60375461424616,74.08319195335808,74.62659412619809,75.23960471918515,75.92013045786936,76.65076152363704,77.39024598074663,78.10413991958303,78.79091427756504,79.45875329076172,80.12314772670943,80.80436086546486,81.49854325435275,82.2118568951734,82.95830908955661,83.73592160866194,84.53716936805546,85.336841183983,86.12014024781737,86.88879979810835,87.66957534477379
AFW,55.86026831081556,87.26018025606673,118.66009220131791,150.0600041465691,181.45991609182028,212.85982803707142,244.25973998232263,273.5729263761326,302.03362703029353,329.8523832776647,357.5103432081665,385.12088714197625,412.5910218420203,439.6238813387523,465.7877625128352,490.6396099632662,513.885289585326,535.561285464571,556.0468501915718,576.0576278876069,596.553253859529,618.4123631292482,642.2054038181446,668.3312566128667,696.9645454603847,727.8711351759264,760.6210350527573,794.8194655683055,829.9807718498266,865.6977537035062,901.6790149929966,937.5300646968274
AFZ,315.6764839845413,499.71404393343687,683.7516038823325,867.7891638312282,1051.826723780124,1235.8642837290195,1419.9018436779152,1591.9715517031793,1759.0373972545349,1922.379616415235,2084.793688402041,2246.9373078903177,2408.2532512763796,2566.9856507291947,2720.596480970921,2866.482702875471,3002.9197290807856,3130.130985247147,3250.35259398005,3367.7901833024107,3488.0810030103717,3616.3847256269523,3756.0489995478206,3909.418584700727,4077.5182626028372,4258.969131452934,4451.24489813755,4652.027393825045,4858.468319060993,5068.178111164965,5279.444078266204,5489.94223736878
ANZ,1262.559930252216,1310.3346445346228,1358.10935881703,1405.884073099437,1453.658787381844,1501.4335016642508,1549.2082159466577,1567.4327139510392,1585.1004189451105,1597.8882629424675,1608.9959406847445,1619.2826015134156,1629.8302229738779,1641.7850707763582,1655.2713038220734,1670.2428700731261,1686.316753520015,1702.585411576426,1718.291078230827,1733.400114106431,1748.092572396758,1762.7092499876076,1777.6959390402271,1792.9679515957605,1808.6608516938152,1825.0827999702456,1842.1902753905629,1859.8177260972202,1877.4105060476263,1894.6430854519826,1911.5535955583837,1928.7306575850234
ASC,41.347594780948526,61.960094116564925,82.57259345218132,103.18509278779771,123.79759212341408,144.41009145903047,165.0225907946469,184.16047749333603,202.74168997670978,220.88599164646035,238.91903562776577,256.91797832082324,274.8266346411402,292.4564747476165,309.5272093638867,325.75048942669434,340.93348661142426,355.09632505250994,368.48266275984776,381.5578256869301,394.9466821677888,409.22205600326834,424.7567413394744,441.80983633344425,460.49545608499113,480.6625417624948,502.0312517196237,524.3441611070818,547.2831934204388,570.5822097881671,594.0518357501579,617.4378301683133
ASE,241.94640425396432,276.5289457277379,311.1114872015115,345.69402867528504,380.2765701490586,414.8591116228322,449.4416530966058,483.2283689994731,518.1600095996338,554.3594731103805,591.7514195691898,630.2273040656338,669.4371513666882,708.9186962395087,748.2887124681716,787.2237021314525,825.5105082039295,863.0916676298987,899.971978240079,936.3023059075186,972.31103382651,1008.1161226754888,1043.9141342549008,1079.7335896674117,1115.4639654683158,1151.0841135008516,1186.481016532051,1221.4152467130668,1255.6301512391924,1289.0411065798492,1321.6216484959405,1353.3061730146703
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,1435.6996923105237,1501.4353956871234,1567.1710990637232,1632.906802440323,1698.6425058169227,1764.3782091935225,1830.1139125701225,1901.6730261992116,1969.592224781077,2034.596285335139,2097.610017006124,2159.25035722992,2219.381449457567,2277.563810316644,2333.0357633214635,2385.200827122995,2433.2743482615,2476.8012455343687,2516.147220082516,2552.0342727171533,2585.2114209416877,2616.599705354511,2646.931510778099,2676.823998956475,2706.737863420825,2736.6860107889256,2766.5588509570694,2796.047735309749,2824.8816202772,2852.554288299,2878.6616626021687,2903.3783576435867
CAN,2108.5916681509148,2118.32635652544,2128.061044899965,2137.79573327449,2147.530421649016,2157.2651100235403,2166.9997983980656,2179.2124855192155,2193.939179644431,2211.831886794232,2231.018896189117,2251.0181285281287,2272.3208459187645,2293.896911646237,2315.1864894414143,2336.078486010056,2355.639798211587,2373.3806266242727,2389.6103688047965,2403.611225402628,2414.31230326172,2421.988334646697,2427.3202753013406,2430.450336601049,2430.6055390976453,2427.808892250462,2423.4146397369923,2417.0510267672016,2409.552787303009,2401.29222027634,2391.907066704889,2382.4502457920903
