OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,40.0,43.48789602495289,46.97579204990577,50.46368807485866,53.95158409981154,57.43948012476443,60.92737614971732,69.41940628775731,70.23603882193444,71.02772168194707,71.60073990432625,72.09847054257584,72.55941173825204,73.03204647643403,73.56773846939284,74.17205122829458,74.84292117956889,75.56318552759892,76.29217764870285,76.99594234816625,77.67297225884484,78.33133549299467,78.98630302402876,79.65785062204894,80.34218345317615,81.04537608830839,81.78123708343058,82.5478162782325,83.33769535957671,84.1260208580715,84.89820591282609,85.65595916995825
AFW,10.0,16.02038638687314,22.04077277374628,28.061159160619418,34.08154554749256,40.101931934365695,46.122318321238836,50.07698229939334,52.86817518835645,55.693726484176715,58.58014080987214,61.544678101155505,64.59192170864385,67.72218271420424,70.9258904823252,74.16917070542783,77.40557642075774,80.60253738997046,83.72626597987757,86.77084551404245,89.78386043495475,92.79585413014972,95.79075521268423,98.80073272042462,101.86923046837535,104.95884086751127,108.02343770918614,111.0661051651205,114.05242654084103,116.96150329701807,119.78963117248591,122.45610418737502
AFZ,50.0,84.61315131105309,119.22630262210618,153.83945393315923,188.45260524421235,223.0657565552654,257.6789078663185,279.05718933147534,295.28000430300995,311.71018279390364,328.54590715905243,345.8571928377521,363.66253932029997,381.9531539741603,400.66154582425537,419.58744274124564,438.45836349852794,457.08667738074115,475.2827486937601,493.0192478390612,510.5761223873896,528.1310850724224,545.5863514063755,563.1265783495893,581.0078832620859,599.0091196701392,616.8562142446222,634.5677175032015,651.9430139060229,668.8647430940415,685.3143333376561,700.8171630353579
ANZ,880.0,956.7337125489635,1033.4674250979272,1110.2011376468906,1186.934850195854,1263.6685627448176,1340.4022752937808,1527.2269383306611,1545.192854082558,1562.6098770028354,1575.2162778951779,1586.1663519366684,1596.3070582415448,1606.7050224815491,1618.4902463266426,1631.7851270224808,1646.5442659505156,1662.390081607176,1678.4279082714631,1693.9107316596578,1708.8053896945867,1723.2893808458828,1737.6986665286329,1752.4727136850768,1767.5280359698754,1782.9982739427846,1799.187215835473,1816.0519581211151,1833.4292979106876,1850.7724588775732,1867.760530082174,1884.431101739082
ASC,10.0,14.220534904212153,18.44106980842431,22.66160471263646,26.88213961684861,31.10267452106076,35.323209425272914,38.637538223941945,40.52432058865295,42.431269323699745,44.35869283545756,46.33034801971651,48.35258059250177,50.429830217544776,52.56036119619504,54.72262770031214,56.88623997025192,59.02851411072622,61.12392022856717,63.165642450131585,65.1844982648696,67.2010584305827,69.2062046709191,71.22260578716258,73.27818625684287,75.34914684837577,77.40669362099001,79.45266209919221,81.46401909254254,83.42499990232288,85.3319203850549,87.13243817940696
ASE,290.0,306.0414116764832,322.08282335296644,338.1242350294496,354.16564670593283,370.2070583824161,386.2484700588993,413.2187127445829,444.282373971925,476.39868420575255,509.6806366258143,544.0589633257706,579.4338676182136,615.4835806722257,651.783093717154,687.9800668162284,723.7770745001745,758.9781392242968,793.5304291922009,827.4383555514058,860.8406250760363,893.9472143201297,926.8665768712908,959.7794325484234,992.7120037838448,1025.562674816679,1058.3120019348137,1090.8560765770296,1122.9747676833467,1154.4321074905356,1185.1502927372983,1215.1049920810956
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,1170.0,1261.4235996860166,1352.8471993720332,1444.2707990580498,1535.6943987440666,1627.1179984300832,1718.5415981160995,1782.1915176371936,1851.8768221657508,1918.0175245372925,1981.3194231435548,2042.6831105661504,2102.70936944358,2161.2659006946187,2217.9247290259827,2271.9441228095766,2322.743219841484,2369.557913182443,2411.9450381455185,2450.260719814973,2485.2080530706567,2517.5164420398,2548.0828094388435,2577.6203622486705,2606.7301015423063,2635.860657373799,2665.024598395056,2694.115204170862,2722.831908195107,2750.9107643015845,2777.85881047516,2803.2825508835062
CAN,1710.0,1790.3354156591204,1870.6708313182403,1951.006246977361,2031.341662636481,2111.6770782956014,2192.0124939547213,2167.3302694161066,2179.544818992043,2194.2737589622293,2212.1691947791733,2231.359130224412,2251.361412479107,2272.667378569032,2294.2467346818617,2315.539559172518,2336.43474180485,2355.999037138526,2373.7425710565985,2389.974788299384,2403.977780050774,2414.680489841764,2422.3576918340977,2427.6904456184234,2430.8209842576066,2430.976210422837,2428.1791370824294,2423.7842144382557,2417.4196310070656,2409.920248049076,2401.658421272406,2392.271836449667
