OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,340.0,311.4878960249529,306.97579204990575,310.4636880748587,363.95158409981156,362.43948012476443,352.9240147906462,348.4126835696152,345.1638867174871,340.9181700369402,337.31758435789175,334.3404861459219,332.0921947558707,330.80544938639434,330.2507862706142,330.35014230538866,331.02976550305937,331.99418169687857,333.0192033101721,334.1918547125052,335.5443944775171,337.08293918126947,338.84860100853996,340.60283642590866,342.35067608165957,344.2861581378847,346.425393881848,348.73093207712935,350.92539640942437,352.87310783335016,354.6408600822603,356.5942358155804
AFW,122.0,115.28638638687315,108.57977277374627,146.4531591606194,144.59554554749255,103.78593193436569,111.3005756402911,116.74949693749787,121.91004050022018,127.05330633711486,132.43656610515143,138.0562950247143,143.9218635620964,150.04335900753526,156.36670661258609,162.8143122770358,169.28537615366415,175.69036611212883,181.9499564149596,188.06894356501994,194.147459680434,200.24610406223803,206.33216830087702,212.44357626994113,218.67007403758464,224.95227025562573,231.1943942447192,237.39970076421037,243.47411548724833,249.36877692676433,255.08614032338374,260.4960033889942
AFZ,1332.0,1370.615151311053,1395.859302622106,1448.0594539331591,1450.0536052442123,1439.0017565552653,1480.9169191218411,1509.5972118425207,1554.8288947072974,1598.5189594518774,1646.0409664250983,1696.99913555361,1751.5495888915111,1810.0149131072176,1871.4066154957156,1934.8220947140853,1999.1497145595476,2063.108458195445,2125.6756243071304,2187.101796825369,2248.440782416368,2310.2905293979125,2372.346711182734,2434.6026200673805,2497.974220963788,2562.129417776883,2626.0990489352066,2689.8666790759617,2752.1092270460285,2812.199749017541,2870.2919091176273,2925.5988140917825
ANZ,2801.0,2875.085712548963,2925.111425097927,2953.536137646891,3076.1248501958544,3129.263562744817,3126.4595509177934,3233.7464895786857,3226.8453734094546,3213.4501097858956,3200.527807168455,3190.223378492486,3183.7925085161496,3183.4288637989507,3188.544707188018,3198.7509166059926,3213.563596559309,3230.9028170118554,3248.7513687269015,3267.10223371654,3286.128786199649,3305.996587674824,3327.1996626217942,3348.5961916875412,3370.1566713968778,3393.164460132225,3417.9374312529926,3444.2155316255185,3470.184304927377,3494.6190874862455,3517.6967494435694,3541.6805909806867
ASC,420.0,394.31253490421216,366.70206980842426,367.3316047126364,382.6381396168486,394.0576745210608,392.666307372595,390.3687341185861,394.9576941429699,398.76467453017835,403.617179709921,409.37462118697727,416.10138953494675,423.9539579406281,432.62951350495996,441.9454709183429,451.6938545501853,461.52347868243714,471.17350690082606,480.74700729803806,490.4215773212594,500.2868395276179,510.3128057037861,520.354455336882,530.5543816675352,540.9690051864103,551.4548312961924,561.9892157336366,572.2201616200513,581.9887209779627,591.3626732932255,600.4287150130613
ASE,1050.0,1106.0414116764832,1223.0828233529664,1266.1242350294497,1354.1656467059329,1370.207058382416,1449.209299132072,1539.1403708909284,1626.5903725986143,1715.9898230742795,1806.3010931426747,1897.7570953848212,1989.1596673292452,2079.0973246646026,2167.0870734511254,2252.4647896627434,2334.589641650343,2413.16218823074,2487.372018776628,2557.2414377966734,2623.1493706965703,2684.4027561588628,2741.769437560956,2794.7772126865784,2842.4613170247876,2885.5501916024637,2924.018446509781,2956.880698798063,2983.277348496068,3004.0746630114845,3020.2223050080206,3031.9009223249022
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,1820.0,1946.5235996860165,2124.547199372033,2263.2707990580498,2557.3943987440666,2734.917998430083,2831.731488317757,2900.7712980405086,2965.579830082441,3025.968443759927,3083.2449119106213,3138.9933113161906,3191.494293690788,3240.4194968303755,3284.848734499312,3326.099509016989,3361.7504112821716,3389.971691519373,3413.26340157237,3433.246285158655,3449.131831648873,3461.508437367136,3470.136550508425,3475.980764270682,3480.915220763501,3484.562556976369,3487.452563326246,3489.2305484324256,3490.3683685937776,3488.704394355281,3483.0336352658833,3477.2150923975005
CAN,4564.0,4944.82841565912,5028.4328313182405,4977.242246977361,5333.185662636481,5450.189078295602,5638.900214690773,5722.59371088821,5675.789028963583,5651.628464748095,5606.26791152769,5545.220561207912,5492.419024440986,5430.139069008172,5359.74762782857,5291.204815062771,5211.902247017009,5123.53762522186,5043.66735081467,4959.304322962937,4853.129192727496,4741.136725234157,4639.816604320255,4547.300833801652,4440.737140840285,4320.83071671445,4215.427331324846,4103.036535434591,3999.574073199371,3904.4831309421606,3802.8563229727115,3718.779099967607
CHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,45654.0,49748.37374271572,53228.545485431445,56928.21822814717,60435.89097086289,64904.86371357861,64982.58661170116,64197.042898120504,63359.646351743664,62405.60856803057,61536.8612657536,60792.29553337674,60127.54209642646,59506.268980304245,58913.487735839924,58345.325674816515,57808.888187899676,57286.08938561491,56784.455329813805,56310.826872388265,55798.410046488454,55216.53806883411,54565.35285068836,53825.81253677537,53013.759092630986,52111.19003971306,51094.56880334666,49987.19372728924,48856.69529994722,47706.87906329334,46535.353730264265,45394.167054312114
ENE,165.0,93.66057357930691,198.15614715861383,251.5227207379207,133.18829431722764,129.01986789653455,139.2288395169389,141.2256248434052,143.4449260194844,146.63952406348534,149.83192394447323,153.11937433854268,156.48286972595366,159.9643958360526,163.52091781548006,166.97074307065148,170.22436712265318,173.2230416385317,175.96473187320782,178.38153239205343,180.4817923369268,182.3864362090381,184.11312979802423,185.58527475932758,186.76790169880985,187.7771344637525,188.66623677836893,189.4749177737778,190.1614385364244,190.46290887396148,190.73273592470042,190.99186694778444
ENW,3403.0,3053.378556937382,2995.5331138747642,2870.672670812146,2627.133227749528,2412.11478468691,2438.0255303970093,2618.9533723930504,2510.192114222886,2517.454619765399,2474.624992683006,2409.8062092212954,2321.8835682244235,2223.8614887383983,2120.7087415009278,2000.969419927041,1870.079009703626,1732.8356222350521,1598.4503149342772,1461.5417022860595,1319.114146666567,1184.6382204694658,1061.0640602255635,931.6104359496117,785.0439706148085,640.011321423713,504.2403144219014,376.89207157324853,250.66302726694715,248.30101085261495,245.671093430856,242.98753767760311
EUE,800.0,721.7583237489505,772.0436474979008,587.7719712468513,587.6042949958016,610.0156187447521,659.9252319885941,673.7012255391088,662.271526243046,665.542002207102,664.0466978995303,660.6631403696894,655.2375045546294,649.1390337480511,642.5932744138905,633.9786325935858,623.5577882267063,611.6225708077542,599.152859698857,585.3178850090217,569.7399591678767,554.0602416435777,538.6711556409864,521.6153287611438,501.51823785623907,480.75792480377527,460.45394331204966,440.6549014420193,420.66322754083365,410.46802638711733,400.4577147191571,391.0596371691979
EUM,4220.0,4610.939459245285,5052.476918490572,5249.748377735857,5649.188836981142,6155.7172962264285,6643.64031347718,6578.061974516507,6581.152099741181,6624.85795974872,6671.782338932938,6723.588022365643,6779.248083838981,6839.571399759781,6902.034636431955,6958.662648088455,7005.337675874495,7039.072546247798,7059.583543591082,7063.480762979825,7048.769817157018,7019.107323617821,6976.338533576662,6916.687572765603,6837.245147756637,6744.592140873263,6643.897734779102,6537.864940020981,6427.182199633359,6271.412902279013,6118.468473688923,5974.878179160485
EUW,2740.0,2884.4348254453857,3095.4506508907707,3124.5484763361565,3219.586301781542,3487.894127226927,3764.2126034965895,3725.1831260790314,3728.017684610001,3752.8798227152383,3780.0351165923094,3810.1752303258845,3842.7231037403662,3878.018024268509,3914.5863287762577,3947.9859736133985,3975.82185921731,3996.3471412333483,4009.307988087228,4012.829336024117,4005.7977694595534,3990.167085787079,3966.963473246381,3934.1936692453805,3890.309535927176,3838.8805063870323,3782.7794174340643,3723.558068469403,3661.677249804967,3572.9327775581633,3485.7976820749977,3403.9917991178336
IDN,280.0,262.3126085071011,287.8252170142023,270.4118255213034,263.73243402840455,325.2930425355057,344.77139919934297,365.7571808299665,385.50464990780046,405.64324135064066,425.8730052562481,446.2672543856943,466.5110188296822,486.261084004302,505.44292673722697,523.9224478656797,541.5644509103045,558.3135316520434,573.9546521037653,588.4933275960378,602.0145652530414,614.2996872825918,625.5444772622773,635.5948112539654,644.1825477954214,651.5212973925354,657.6067475281812,662.1828392657471,665.0438481408721,666.4594928267907,666.7008038198,665.8206365136687
IND,5030.0,5086.125145621764,5560.397291243529,5720.664436865293,5856.552582487057,5973.4407281088215,6314.7013950088385,6708.345079504677,7094.002664926488,7488.471368129621,7887.461313844923,8291.909349698095,8696.725101915301,9095.79058390121,9486.825204926547,9866.830981834439,10232.94036103336,10583.779558060029,10915.914271137972,11229.44077757703,11526.032591328521,11802.904295715256,12063.344497729331,12305.47778653221,12525.268694779901,12725.715576070352,12906.700266595772,13064.023410920157,13193.94476814245,13299.961605845721,13386.015334369054,13452.850038654855
JPN,1410.971496365395,1454.479775667474,1588.9595513349475,1723.4393270024214,1857.919102669895,1992.3988783373688,2126.8786540048427,1952.7656767606063,1798.4933010660002,1662.3930536335383,1542.122379684381,1435.2662211040815,1340.4706031691026,1257.6815882525736,1186.4882654711885,1125.9380955351944,1075.676039995893,1037.0610953833511,1009.0007976410178,990.7147928015064,980.7940159107294,977.3740665244908,978.7757585336884,985.6429371522736,995.9797817634663,1005.9355979793768,1014.2014549883114,1020.1168408321264,1023.1299551086772,1021.7508881896424,1014.7053940066352,1002.0831035658018
LAM,695.0,600.1203554857814,677.1717109715629,729.3870664573444,790.2654219431258,817.7817774289073,840.317728428316,856.6817505021861,870.1590837791402,882.4882661841405,894.0740392065036,905.3979982357303,915.6382039390766,924.6845163179462,932.2391337488075,938.9852343169936,944.0357870953405,946.7821511647497,948.3378831992515,949.3029011464307,949.2191944464288,948.1907848787744,945.9489802287003,942.7557935869019,939.2690693742868,935.2483532793342,930.9094339751023,926.1264795921937,921.1507868349621,915.1422213858353,907.6980177042101,900.4819410529029
MDA,710.0,791.2024270992671,871.8048541985341,955.9072812978012,1037.2097083970682,1118.5121354963353,1206.9277886369114,1191.8698944738683,1194.2501847957162,1202.3560482914602,1211.8347452129117,1222.5679931087902,1234.3772644663147,1247.2097550922474,1260.5332600400661,1273.027501051447,1283.8403195393655,1292.3378334948725,1298.312274303692,1301.2243751491812,1300.7396534972447,1297.3243425224937,1291.281252189588,1282.1696544102676,1269.6292616658777,1254.5883649714053,1237.8921021045312,1220.0655974692636,1201.3526242329701,1172.2366215526283,1143.6486361896184,1116.80910188235
MEA,6603.0,6877.906816038712,7279.004632077424,7472.477448116137,7536.528264154848,7678.86008019356,7535.794698735215,7444.637394753572,7392.31723996405,7344.272915120302,7298.305152878697,7253.338824183555,7233.237272468019,7243.157814287085,7264.384662786325,7302.664311854537,7356.318732749558,7421.836663565189,7495.888184683063,7575.09639714343,7656.3019410351735,7739.566125527568,7822.5497300185325,7899.134967157472,7969.664364886594,8034.444149766737,8090.827136062721,8139.833020853299,8182.637982204971,8217.006652698914,8239.183796600646,8252.248919999693
MEX,10.0,10.469797752392516,10.939595504785032,11.409393257177548,11.879191009570064,12.34898876196258,12.818786514355097,12.674446019977234,12.745876134456394,12.832010286328828,12.936661957772944,13.048883802481942,13.165856213328112,13.290452506251649,13.41664757123896,13.541167012704785,13.66336106318626,13.777772147008926,13.881535503254964,13.976460750288792,14.0583495909402,14.120938537086342,14.165834455170163,14.197020149815344,14.21532739331934,14.216235148671563,14.199877994634091,14.174176692621378,14.136956906474069,14.093100865784066,14.044786089312318,13.989893780407408
NIG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
