OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,300.0,268.0,260.0,260.0,310.0,305.0,291.4421763694959,277.8843527389918,273.2440054716761,267.6347778818489,262.91668639970464,258.9553990806391,255.84910498756935,253.8079417044758,252.5646809299633,252.0339657398659,252.13076764792112,252.5592304266331,253.12069539187925,253.9254613013658,254.99806912636583,256.3240763682061,257.911619584225,259.48081047253675,261.01907875789726,262.6975729516536,264.5090422067249,266.4166571940153,268.1572165345522,269.6325929277587,270.9398913222525,272.4576001437725
AFW,112.0,99.266,86.53899999999999,118.392,110.51400000000001,63.684000000000005,65.12704793084058,66.57009586168115,68.88764769783249,71.15672360874797,73.61295773710228,76.24211008007383,79.0561575775238,82.0711435158797,85.24626644023029,88.53840100191667,91.8919669123165,95.2493845804796,98.56714141635463,101.86085286678957,105.1890615726747,108.5862119344671,112.03638271237975,115.5417670647113,119.14168888046828,122.80566773468024,126.47620533633815,130.14818797265085,133.7605254256095,137.28789309242913,140.74235050219482,144.08189273480085
AFZ,1282.0,1286.002,1276.633,1294.22,1261.601,1215.936,1221.9346616191965,1227.9333232383933,1255.6090198587244,1281.5833898721748,1311.1257308970448,1343.8945168821392,1380.1614189832962,1420.3731230903354,1463.674970376945,1509.3711616478477,1556.5912495876619,1604.2146945533023,1651.4209496896615,1698.545559296661,1746.4368988215633,1795.5637098210743,1845.710864046258,1896.614453102361,1948.813747619814,2002.0607121238686,2055.5398509719316,2109.1405343375272,2161.727283271637,2212.8409547835404,2262.753238848,2311.272508043121
ANZ,1921.0,1918.3519999999999,1891.644,1843.335,1889.19,1865.595,1782.6657935214744,1699.736587042949,1671.3529520915786,1637.0429621065175,1608.1837887339573,1583.9537631076882,1564.9534787517523,1552.468285259546,1544.863625965688,1541.6173977523447,1542.2095064594212,1544.8302868451624,1548.2646023593868,1553.1871179558084,1559.7479435141067,1567.858738531618,1577.5692719286303,1587.1675495524992,1596.5766827388172,1606.8435364286563,1617.9237593300163,1629.5920773044884,1640.2385651828788,1649.263007223154,1657.259365742091,1666.5427427548236
ASC,410.0,380.09200000000004,348.26099999999997,344.67,355.75600000000003,362.955,356.8345449690007,350.7140899380014,352.89199809912145,354.27732983677254,356.72567961778736,360.1095428451463,364.52579262750623,370.15928381969354,376.7271447809469,384.0685161650033,391.9935875166975,400.1601141871854,408.3269266757455,416.6079095053849,425.1574235882049,434.0460489456718,443.2421851060574,452.5548223473212,462.06728515120005,471.8281018352225,481.69747541591767,491.63761441122847,501.32093375889895,510.6193307490052,519.6291122356732,528.5171108714585
ASE,760.0,800.0,901.0,928.0,1000.0,1000.0,1045.556665102898,1091.1133302057965,1127.1612329456984,1161.25063730317,1192.0817073965118,1219.8047903638856,1243.1942470446158,1261.048754958782,1273.210087591437,1279.273712961674,1278.7931319532609,1271.5339851976985,1256.5575596682984,1233.620533201523,1202.6227119577406,1162.260377363926,1112.7699652062122,1053.1316542557254,982.0724477478914,900.2610383826806,807.6690488141767,703.4893225488553,587.2292998551435,460.1921419421711,323.63550376332074,177.9717717439638
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,650.0,685.1,771.7,819.0,1021.7,1107.8,1103.007991884583,1098.215983769166,1082.3828077151618,1065.0799558949311,1047.029140721349,1029.007783449806,1008.7360113871048,985.9687101603008,960.071219437896,932.8921375572048,902.3755513323148,867.2848201456762,830.4650068760332,793.1446944658319,753.8170076613507,712.3231574896859,667.5167245544982,619.6606464798012,570.0836430154824,518.0666177988467,464.2732459927393,408.6334373568624,352.1003647475829,292.9416742282546,230.5704805629351,169.3255017225933
CAN,2854.0,3154.493,3157.762,3026.236,3301.844,3338.512,3369.371027018248,3400.2300540364963,3263.402475820239,3145.473325595221,3001.9457231371234,2840.2297884850154,2684.852165601196,2517.7284239579067,2341.210137799608,2165.6066790985687,1978.042075601292,1780.6071761925564,1590.8174788379529,1394.971267871427,1176.1625493256338,951.3226620132364,736.7347700218855,529.9563699736525,308.06806228211497,72.6274584961591,72.70170082237216,72.71548535228948,72.72925914305692,72.74837809234305,72.70165217340917,72.6943252445285
