OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,54.04801773473743,57.02226789703904,59.99651805934064,62.970768221642246,65.94501838394386,68.91926854624546,71.89351870854708,73.40541843012637,74.92156302618625,76.24530127283754,77.52788036382445,78.82148694168765,80.19444733371307,81.72057814624482,83.42464459166138,85.31593123759875,87.37860884825807,89.56470263030847,91.82847249859104,94.15654253487048,96.54703515836054,99.00689034273728,101.5481299375687,104.15822906836564,106.8341095469785,109.58164257811596,112.39371372303788,115.26157304615124,118.16307032658436,121.08982888090476,124.0524133825236,127.08750082218133
AFW,37.186023190731525,72.71516159877825,108.24430000682497,143.77343841487172,179.30257682291847,214.83171523096524,250.36085363901194,282.98385664742943,315.35844779786214,347.6981272139633,380.5265650674061,414.01631183400764,448.1332283365867,482.61948335753965,517.0526614210285,550.9793778038701,584.1091039871915,616.5417014061283,648.8140400529278,681.8925287482452,717.0415212135064,755.436380250129,797.871653459359,844.8566780671784,896.5647340025907,952.6756632032054,1012.6227736670767,1075.8709205935752,1141.8371945636893,1210.0798782642487,1280.3425689224352,1352.32222236823
AFZ,206.6741209487821,414.80015377772577,622.9261866066694,831.052219435613,1039.1782522645565,1247.3042850935,1455.4303179224437,1646.7995567354458,1836.7081392049195,2026.4537204142498,2219.0803773574767,2415.590625247062,2615.7688867728034,2818.083914922565,3020.048072035041,3218.995129043106,3413.221339614111,3603.3240223121325,3792.4679711690337,3986.334961680893,4192.355044800916,4417.433408356515,4666.236367319061,4941.759650631339,5245.022166189605,5574.141303827451,5925.788606620977,6296.821354686275,6683.819087464698,7084.18800518457,7496.419110601211,7918.723610525041
ANZ,1189.0563901642236,1254.489893734859,1319.9233973054945,1385.3569008761299,1450.7904044467653,1516.2239080174006,1581.657411588036,1614.9192054627806,1648.2743865760979,1677.396628002426,1705.6133680041382,1734.0727127171285,1764.2778413416877,1797.8527192173865,1835.342181016551,1876.9504872271727,1922.329394661678,1970.4234578667867,2020.2263949690032,2071.443935767151,2124.0347734839324,2178.1515875402206,2234.058858626512,2291.4810395040445,2350.3504100335276,2410.7961367185517,2472.6617019068344,2535.7546070153276,2599.5875471848567,2663.976235379905,2729.1530944155197,2795.9250180879894
ASC,28.909740210625603,52.27806754305228,75.64639487547896,99.01472220790565,122.38304954033234,145.751376872759,169.1197042051857,190.47005512128632,211.65920834439416,232.80883874634208,254.2727635715741,276.1677717995428,298.4776306972712,321.04109661524654,343.58559221985894,365.8170445944212,387.54510865117163,408.8305419980983,430.01853076092766,451.73646448869505,474.8065229677471,499.9937763511769,527.8160542567284,558.6035382752783,592.4686617710349,629.2037049916357,668.4394659828359,709.8271183555461,752.9855981390729,797.6268774114604,843.5851134768861,890.6664099455032
ASE,192.31438259874264,238.15697635687744,283.9995701150123,329.8421638731471,375.684757631282,421.5273513894168,467.3699451475517,510.5724179604619,556.2991895185454,604.8169590546349,656.2271953404752,710.619749105294,767.852536536727,827.6629179667525,889.844847097129,954.2263525789732,1020.7262381486344,1089.4137280564491,1160.4290483899429,1234.0685541599578,1310.7088361662002,1390.6005835974104,1474.0331904495854,1561.0812778280513,1651.6246764297434,1745.5802020788908,1842.742829469156,1942.7629082616315,2045.2632752112208,2150.0416322624824,2256.9777516311087,2365.9413721028927
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,1386.165047434503,1463.50718120995,1540.8493149853964,1618.191448760843,1695.5335825362895,1772.875716311736,1850.2178500871823,1931.930676682932,2010.8226049587563,2087.7548470372053,2163.914079073036,2240.3058615145524,2317.277129136839,2394.89220984244,2472.825996999738,2550.7760187632684,2628.08044210958,2704.2458764381886,2779.480735990981,2854.2780528026024,2929.105310467612,3004.5493587518167,3080.9636526232166,3158.55556413319,3237.3768209062287,3317.0699309708466,3397.219140267808,3477.2993844615444,3556.9183893066047,3635.539297633131,3712.786632191685,3788.898019595116
CAN,2041.143666876368,2067.3329508961947,2093.522234916022,2119.7115189358497,2145.900802955677,2172.0900869755046,2198.279370995333,2226.262073517597,2257.1838668250125,2291.839089954204,2328.5475162929874,2367.0647041807447,2408.1766502374,2451.207186380617,2495.970952790828,2542.7169372761828,2590.8204831187463,2640.001629707599,2690.667221175199,2742.09541663058,2793.1006654165185,2843.736770819732,2894.394959970079,2944.876900376985,2994.015190897617,3041.3756688425783,3087.8318055097,3132.566279711248,3175.980957920835,3218.0867105062102,3258.237757571166,3297.2724861249303
