OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,340.0,311.4878960249529,306.97579204990575,310.4636880748587,363.95158409981156,362.43948012476443,352.3695525192132,347.8460521149878,344.67697897234785,340.5431563195094,337.11323349190224,334.4000616413998,332.55261418898715,331.8475190790405,332.0893811227285,333.2169431530614,335.1542117698517,337.58992685028454,340.27874402661905,343.2864510332477,346.624572341664,350.27683832406115,354.2581390304529,358.300284974654,362.3785175573616,366.6609898144221,371.14616434088686,375.79028853789475,380.32164620657716,384.6205550143933,388.77596831272956,393.1766553220121
AFW,122.0,115.28638638687315,108.57977277374627,146.4531591606194,144.59554554749255,103.78593193436569,111.24936625207941,116.73251507737197,121.9455370737299,127.15176423490274,132.61621207267535,138.34604631787414,144.3638610349113,150.69254305962397,157.28726966052903,164.07467094318616,170.95447753442807,177.83781003275635,184.64976429090484,191.4041067567326,198.2118081634179,205.14169341827065,212.16274020114545,219.30650822902038,226.6496380560428,234.11612430903625,241.59434080342524,249.0764843867034,256.4648767226263,263.7152122204052,270.8411372081605,277.72720917804793
AFZ,1332.0,1370.615151311053,1395.859302622106,1448.0594539331591,1450.0536052442123,1439.0017565552653,1479.6135694855152,1507.3737659191877,1551.7416302905929,1594.6521910467377,1641.5893182758216,1692.305029302016,1747.1222592419451,1806.5133429942744,1869.584256093624,1935.4561960217616,2002.9941326836042,2070.8969757505274,2138.1699411067357,2205.1474584291627,2272.98883433688,2342.365238574624,2412.9713259840264,2484.713190243638,2558.3520534387,2633.3730209833493,2708.6412774301057,2784.031905775481,2858.1962919335974,2930.568477985378,3001.4312639884956,3070.1592338958817
ANZ,2801.0,2875.085712548963,2925.111425097927,2953.536137646891,3076.1248501958544,3129.263562744817,3123.0680688152556,3238.893973314861,3242.878369106358,3241.02728773505,3240.507824762304,3243.7363394444237,3252.4306811829447,3269.33898749997,3294.4070302065234,3327.642900842645,3368.7252771418953,3415.505608165494,3465.741672323663,3519.1288920572106,3575.5310142506664,3634.8195015604297,3697.1926997456458,3761.195988599079,3826.484336327033,3894.0387074095634,3963.940446281579,4035.8119668698373,4107.856017967428,4178.9981731291155,4249.653059532586,4322.361956676095
ASC,420.0,394.31253490421216,366.70206980842426,367.3316047126364,382.6381396168486,394.0576745210608,392.15775439427364,389.4545924221252,393.64432017395086,397.06894218065247,401.5864375697139,407.09608773581465,413.7061097047927,421.6116205699059,430.5334113231918,440.29305764868957,450.6724726718168,461.30770786796904,471.93309621060297,482.65742943069523,493.6680303916513,505.05768073209236,516.7855483836851,528.6807462826259,540.8498046726652,553.3113803492326,565.8909705403828,578.5484294524554,590.9316306917087,602.8982423154231,614.5448908057942,625.9915430554083
ASE,1050.0,1106.0414116764832,1223.0828233529664,1266.1242350294497,1354.1656467059329,1370.207058382416,1431.8051351617974,1510.9084043745097,1585.7610815058026,1660.9226036941739,1735.3326862429985,1809.2328162770843,1881.478059212361,1950.7394718582286,2016.6229228452198,2078.53880791307,2135.886162032816,2188.3576947631022,2235.076870800916,2275.926320071475,2311.0720369550986,2339.5485594661513,2361.8174942381265,2377.118955828085,2384.2469726894196,2383.762300582602,2375.561845531775,2358.654295826387,2332.233033264741,2297.262448293977,2254.818490286985,2205.2055562013597
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,1820.0,1946.5235996860165,2124.547199372033,2263.2707990580498,2557.3943987440666,2734.917998430083,2821.5495900006827,2889.02558989918,2952.281541001099,3011.3374936296564,3067.7487198468843,3123.441214335459,3177.108377527985,3228.8408901730986,3278.0663543511646,3326.318700546258,3371.249255729929,3410.9807969142944,3447.8808385494713,3483.3796858920728,3516.4476650642696,3547.3784603583017,3575.5936591116865,3601.698304907477,3627.2218310826825,3651.4952079880177,3674.8360974470743,3696.7720045173014,3717.747896896454,3735.6517418511667,3749.3770348061526,3762.8990726005704
CAN,4564.0,4944.82841565912,5028.4328313182405,4977.242246977361,5333.185662636481,5450.189078295602,5561.38352097297,5583.208948032471,5474.169306967902,5386.946728002766,5277.833141186133,5152.570134668036,5035.441612114436,4909.143668919203,4775.356417513528,4644.205160192612,4503.061179504705,4353.39501535601,4212.444153684687,4066.910891238219,3899.1724173195066,3724.982771760642,3560.678547454042,3404.2057451302653,3232.4480131472837,3045.803687263446,3048.917214235379,3049.495300993732,3050.072937380516,3050.874735590698,3048.915174026429,3048.607901990988
