OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,340.0,347.34694215193196,378.6938843038639,418.0408264557958,507.3877686077278,541.7347107596597,568.0855655680305,593.5727267945201,593.2401278392697,591.8692955259436,590.4621215070133,589.5700605348726,589.5222253107954,590.8203320295463,593.5051029405954,597.5784109518573,602.9800268948109,609.3378137303695,616.2438149594877,623.6146633931064,631.423762688247,639.6490900505407,648.3233703000632,657.210861901303,666.2351256951526,675.551602831443,685.1817871878661,695.0609209757531,704.8902376046046,714.4738888123495,723.870679053409,733.5018063146832
AFW,122.0,124.06846493526729,126.14392987053456,172.79939480580185,179.72385974106916,147.69632467633645,163.99451183033472,172.98178360714098,182.20382637137521,191.48170905048278,201.1831440733065,211.3041657205721,221.86848453203018,232.8895467304176,244.29472608913136,255.95677710131426,267.70385227902653,279.40347362766255,290.9464120391035,302.3569682610259,313.83077344782464,325.4901419397196,337.2787524281898,349.26984125362645,361.6011361889886,374.1274254101786,386.6520322984187,399.16510086288514,411.51517700760377,423.63519379136414,435.54368252429504,447.0090273059229
AFZ,1332.0,1448.1514112233158,1550.9318224466317,1680.6682336699478,1760.1986448932635,1826.6830561165793,1946.1627202228942,2048.2229289336883,2092.3332658962786,2134.6848651111786,2178.722011376778,2225.672905957169,2276.3457478410874,2331.8479644077033,2391.9948109300085,2456.208121292001,2523.5621865460603,2592.691016658934,2662.2348631604973,2732.0970915331714,2803.141444824917,2875.903834612901,2950.1862588762106,3025.8934860334307,3103.5140562276147,3182.653991509309,3262.4294715902934,3342.6617800934173,3422.047728269862,3499.865797686654,3576.3067795541674,3651.0940474593317
ANZ,2801.0,2637.1479194224785,2449.2358388449575,2239.7227582674363,2124.373677689915,1939.5745971123936,1824.9639309473703,1750.8877283323247,1726.6624394017572,1696.629787235999,1672.0216324048777,1652.0947424694532,1637.484427440028,1629.535808585677,1626.6879302963541,1628.4647060803873,1634.3737336150205,1642.6029078140743,1651.901144681972,1662.9012380201798,1675.7337623707822,1690.3081561914746,1706.6869143449549,1723.1778336256962,1739.7068960219926,1757.3218014176025,1775.978427573029,1795.4420434170604,1814.0925607422914,1831.314603174023,1847.6982708978376,1865.571284327966
ASC,420.0,424.42507857293924,426.92715714587837,457.6692357188177,503.08831429175683,544.6203928646961,573.3500992631627,591.5548875230502,602.720400623026,613.1772637072877,624.5485011022108,637.0060828816407,650.7565810702374,666.1069762638945,682.8749222686288,700.8544145810339,719.7511808979999,739.1161259207585,758.5531150533901,778.1017506949133,798.0313831184694,818.4974224605994,839.4387908134806,860.7553313115386,882.6028049314918,904.9082392454307,927.4041807295765,950.0358834640386,972.3697360031827,994.1943014978717,1015.5962618716964,1036.5708346512351
ASE,1050.0,1275.066932258825,1561.1338645176502,1773.2007967764755,2030.2677290353006,2215.334661294126,2463.4031938818807,2624.2118683729122,2793.3997120537474,2967.540049646646,3146.1081358232627,3329.481722734219,3516.6359175807993,3705.824663909817,3895.9747547678944,4085.9736618248253,4274.782066176019,4461.858871862012,4646.425355934052,4828.5958937735,5009.111257280491,5187.7471991846505,5365.399814105592,5541.856169836492,5715.97007050224,5887.944501455128,6057.460125597769,6223.049754204614,6383.11179023013,6537.778356495802,6687.728693639826,6833.0565616732265
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,1820.0,1846.448416527931,1924.3968330558619,1963.0452495837928,2157.093666111724,2234.542082639655,2231.3449020721982,2278.2260154493397,2318.891757453238,2356.625505425798,2392.682266361262,2428.590036553629,2462.709523390391,2495.0223858191066,2524.9363719119656,2554.089842289469,2580.219921164048,2601.6532167690416,2620.9077457192348,2639.334589137518,2655.7419928866398,2670.283966043941,2682.206358050238,2692.016220450518,2701.1854545830256,2709.0267145227567,2715.967055430535,2721.651136131671,2726.673009835198,2729.0215380923773,2727.7442896562557,2726.921111210777
CAN,4564.0,4675.894882620823,4490.5657652416485,4170.441647862472,4257.451530483297,4105.52141310412,4025.5338727630888,4127.636991631427,4072.331976251379,4038.2696595237353,3981.4003891417165,3908.9643303607645,3845.6303250008723,3773.6502323723744,3695.355619665609,3621.1230231156624,3538.207598975474,3448.597690370516,3369.7265145890856,3287.9020530826856,3185.9230503409635,3080.241418320985,2986.867898814503,2903.177582508798,2805.962668257533,2696.2621178807417,2601.715793439205,2499.7260452419773,2406.4753538644727,2320.901014504373,2228.0370449963416,2152.5360883797466
CHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,45654.0,49748.37374271572,53228.545485431445,56928.21822814717,60435.89097086289,64904.86371357861,64984.581767789765,64201.550905735756,63371.24545424679,62433.97585281532,61599.96324100445,60919.59722971136,60361.8239003363,59902.61765124704,59534.96232573551,59256.326727794985,59068.382581637954,58942.73901348525,58874.49651541868,58858.20835816249,58816.11495938637,58708.28126494967,58527.39432069726,58248.91364072337,57885.22030035038,57416.68970090177,56819.440337417,56116.92282672141,55376.70324960935,54601.91701786098,53788.93694821031,52988.39578982579
