OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,300.0,268.0,260.0,260.0,310.0,305.0,291.9966386409289,278.99327728185784,274.92784789555265,269.8904483549931,265.7168444535655,262.24201560334603,259.53278301761867,257.77340290996034,256.68304780122133,256.17809107709405,256.18684432349045,256.43099616927964,256.7270256614692,257.19591236433894,257.87142221867225,258.7516036882748,259.8622979845112,260.9449858038597,262.00849262848345,263.2407820495763,264.6441567984174,266.18311579889684,267.5877010498476,268.74708697527865,269.7426541694342,270.9382766456222
AFW,112.0,99.266,86.53899999999999,118.392,110.51400000000001,63.684000000000005,65.17825731905225,66.67251463810453,69.04186531186372,71.35957985293815,73.85642529527928,76.5116169235588,79.32994185345254,82.32117629333102,85.44081613026088,88.64514157160798,91.87979973290642,95.08782872215836,98.223690435082,101.29809805097747,104.36359924547925,107.4502499320883,110.54141308819277,113.64284354951653,116.80084356920929,119.99342938811446,123.17095653553304,126.33359559908986,129.4216889464073,132.40727362974627,135.2965091508978,138.03989920161922
AFZ,1282.0,1286.002,1276.633,1294.22,1261.601,1215.936,1223.2380112555225,1230.5400225110452,1259.5488904042875,1286.8087766579738,1317.4950592660462,1351.141942715858,1387.887049571211,1428.061759133057,1470.74506967146,1515.2346519728399,1560.6913510610195,1606.021780814704,1650.3928756133707,1694.0825489863078,1737.8646600289787,1782.15944432549,1826.7603597763582,1871.476041717791,1916.966337701702,1963.120298106744,2009.2428346905845,2055.29896157276,2100.1662131400058,2143.3350059235,2184.977575779971,2224.7816510564244
ANZ,1921.0,1918.3519999999999,1891.644,1843.335,1889.19,1865.595,1786.0572756240122,1706.519551248025,1681.6525193268967,1650.8402327830602,1625.311529273277,1604.0570265558176,1587.4854502746045,1576.7238413174016,1570.0544608613754,1566.9657895835119,1567.0193306087938,1568.512735404679,1570.3234604554382,1573.1915020568817,1577.3233965050617,1582.7072068289408,1589.5009960931611,1596.1234780024645,1602.6286354270019,1610.1661861894404,1618.7502154175195,1628.163573504403,1636.7550070166894,1643.8466286086723,1649.9362193613954,1657.249489241605
ASC,410.0,380.09200000000004,348.26099999999997,344.67,355.75600000000003,362.955,357.34309794732206,351.73119589464415,354.433373554317,356.3334052064786,359.2584868744634,363.0442731672608,367.74880894244495,373.5241277230833,380.06915230876496,387.2228432180308,394.80761457993333,402.49496457171097,410.0495866722589,417.5813648479065,425.2370790563898,433.0857810970351,441.10660103286705,449.1318495497194,457.27619541069225,465.6198583380346,474.0481376752024,482.5365536344444,490.7561425275087,498.5637210756398,506.03075290817054,513.2962768336542
ASE,760.0,800.0,901.0,928.0,1000.0,1000.0,1062.9608290731726,1125.9216581463454,1182.3079986266894,1239.591138868527,1296.6204565168605,1353.6981320590507,1409.7257997110314,1463.6137439923766,1515.3039797339718,1564.484722846515,1610.8125671501682,1654.184049006443,1693.841589584427,1729.8030822452674,1762.3087456205342,1790.455541838733,1814.902860689665,1834.9977801381551,1849.7493132409425,1859.9875167857847,1865.706444574967,1866.0246222210333,1860.302580812721,1849.642555520949,1835.0720122707223,1816.7959302438064
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,650.0,685.1,771.7,819.0,1021.7,1107.8,1113.1898902016574,1118.5797804033152,1113.7030079166902,1107.9509192226344,1101.9254887670668,1096.3102007500404,1088.784924247208,1079.153596135757,1066.924005473329,1054.1553862074122,1039.0071914406874,1020.4137783369304,1001.3183634268516,982.985565343682,963.923778578216,943.991995327336,922.0537410695816,898.3604020220114,874.1851192211947,848.7018996025699,822.4279649311902,795.1153442615638,767.5364603986702,737.7936300536961,705.1748247907233,673.9325415139942
CAN,2854.0,3154.493,3157.762,3026.236,3301.844,3338.512,3446.8877207360515,3555.2634414721038,3496.2442099715404,3457.354705785866,3394.098716748516,3313.8614309835,3241.057611961878,3157.4716904391403,3065.500893146708,2975.6652558902524,2875.4675052121597,2767.538588083334,2669.924779758071,2569.3295346635527,2449.1514126767224,2326.4562353923934,2217.4589124861573,2119.6103881832278,2009.9161565826785,1889.8545062916128,1787.2481942424165,1679.2523209963358,1582.1544421923052,1494.562882893085,1401.1979017003052,1326.5072635179406
