OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,340.0,347.34694215193196,378.6938843038639,418.0408264557958,507.3877686077278,541.7347107596597,568.0782915525206,593.5550661396289,593.1900629673623,591.7400345953391,590.1629616456819,588.943511346067,588.3229524443109,588.7052332448801,590.0422718664101,592.2756517636267,595.3243338029749,598.8322364337771,602.431565074437,606.0894373166027,609.8327887328542,613.6962270138721,617.7747910921089,621.900478341051,626.0649186228286,630.4836013746552,635.2214003624015,640.2339777026644,645.2177606174359,649.9493044201731,654.443891919198,659.0731395561694
AFW,122.0,124.06846493526729,126.14392987053456,172.79939480580185,179.72385974106916,147.69632467633645,163.993046930656,172.97700077420666,182.18977983916204,191.44569090240026,201.10108569065466,211.13588928317114,221.55494957084056,232.35424945584984,243.44952744599362,254.70935637376846,265.96203815473746,277.0730515315491,287.9232769079997,298.5186138185288,309.0329182252453,319.5713932412959,330.0719903478057,340.6161586517499,351.3616803909699,362.18973688602,372.9293788754803,383.58919671716956,394.0243527055504,404.1612815957895,414.0011224543171,423.2888881232192
AFZ,1332.0,1448.1514112233158,1550.9318224466317,1680.6682336699478,1760.1986448932635,1826.6830561165793,1946.1344785954175,2048.1575856401737,2092.1575655040115,2134.242451212901,2177.7116746528955,2223.5778873729096,2272.3755647320036,2324.922542010935,2380.7890220303325,2439.245760882449,2499.319605844069,2559.6657683431727,2618.961351358462,2677.1296731861767,2735.045592711048,2793.2846931978074,2851.7542031187213,2910.541361434288,2970.373997264549,3031.1107452422257,3092.082307151238,3153.241685643863,3213.308126627646,3271.4720774635844,3327.7506065513517,3381.6516461985957
ANZ,2801.0,2637.1479194224785,2449.2358388449575,2239.7227582674363,2124.373677689915,1939.5745971123936,1824.9194379409264,1750.7983041762543,1726.4521564307138,1696.144840062086,1670.9816327967815,1650.0446045887481,1633.767036891146,1623.3068951736732,1616.979202650032,1614.2759886495162,1614.7574400590545,1616.7102611596147,1618.9859694728807,1622.302903176887,1626.866637102571,1632.670380476023,1639.881936860902,1646.9327613873838,1653.8744164135364,1661.8604943907267,1670.9138881515053,1680.8162041909513,1689.9114573490156,1697.505907643252,1704.0880320127653,1711.8846302740048
ASC,420.0,424.42507857293924,426.92715714587837,457.6692357188177,503.08831429175683,544.6203928646961,573.3415693849573,591.5346514863604,602.6664803904141,613.0433262808353,624.2466316515985,636.3878689907958,649.5990127772336,664.1112915126187,679.6823130948351,696.0737583347249,712.9864056958186,729.9810439620451,746.6705481185044,763.0948230578847,779.5194068911667,796.1041913318866,812.8120681919784,829.5895846176106,846.6559224047726,864.005848879685,881.4295117610454,898.9071328900775,916.0100943019942,932.5017939724128,948.4206722576897,963.7029760246725
ASE,1050.0,1275.066932258825,1561.1338645176502,1773.2007967764755,2030.2677290353006,2215.334661294126,2463.3624226261236,2624.1079000884065,2793.1201900714773,2966.845816217879,3144.5438298444797,3326.265270284849,3510.549943939639,3695.141514309825,3878.4410633661423,4058.8593458843616,4234.974595164353,4405.97280166993,4570.904836991099,4729.804587764044,4883.415174774205,5031.594861549774,5175.396252582179,5314.821652567217,5448.975147911686,5578.318372265152,5702.774883343736,5821.086470731248,5931.815547436782,6035.208812215535,6132.011643632815,6222.340803949141
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,1820.0,1846.448416527931,1924.3968330558619,1963.0452495837928,2157.093666111724,2234.542082639655,2231.280389369243,2278.081188895022,2318.5419729798477,2355.821307564087,2390.9803625399572,2425.2885514852023,2456.8166152244685,2485.282416287992,2509.915301180832,2532.2919300872254,2550.193844680629,2562.0582708886177,2570.540100404974,2577.1356483628365,2580.810745782925,2581.8989383006906,2579.84729314242,2575.37121203119,2570.1348498669986,2563.6040942133814,2556.3043440539727,2547.9181956726015,2539.0225220224333,2527.547915312291,2512.461623915048,2497.7601346668353
CAN,4564.0,4675.894882620823,4490.5657652416485,4170.441647862472,4257.451530483297,4105.52141310412,4025.2990164609955,4127.161782769951,4071.365632098716,4036.3626866239547,3977.828806720101,3902.65521263402,3835.1294410816986,3757.1655730311613,3670.8889692547586,3586.6719177669743,3491.98782620082,3389.2213839415977,3296.2896020521307,3199.9775888432796,3083.4944679685714,2963.6234389293127,2856.651916680771,2760.2105581830915,2651.342388895417,2531.321698483736,2427.977316364444,2318.8217449377016,2220.0444291052154,2130.4739906591694,2034.928942544268,1957.761444989648
