OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,40.0,79.34694215193196,118.6938843038639,158.0408264557958,197.3877686077278,236.7347107596597,276.0816529115916,317.01909428637777,323.6859133404006,330.3714504414378,336.20855937092074,341.8641743565175,347.5684157546831,353.6225728997168,360.3521448645095,367.86633544571896,376.2060855414355,385.3015951184099,394.9413162401463,404.9235550595459,415.1893296049341,425.7303605630836,436.57725019423526,447.78300961719646,459.2924095924203,471.0918766512996,483.20730024858113,495.6073088091028,508.25331892915096,521.0476577852893,533.9533878532106,547.0170947397454
AFW,10.0,24.802464935267288,39.604929870534576,54.40739480580186,69.20985974106915,84.01232467633643,98.81478961160373,106.35836014809591,113.26971949397033,120.2856978720691,127.53848010477056,135.03816064170016,142.79642920571595,150.810667129107,159.0490542112961,167.42752634804208,175.82986458491166,184.18120712006277,192.41586850807664,200.542541313767,208.69829759457213,216.97100648802368,225.32028288789502,233.8171929922331,242.56017977332172,251.4345200725588,260.30102139631754,269.1549355886103,277.9058974208629,286.51218263910033,294.98027334418424,303.1205604844879
AFZ,50.0,162.14941122331587,274.29882244663173,386.44823366994757,498.59764489326346,610.7470561165793,722.8964673398951,823.2586489968456,845.0623094699363,867.0090488838151,887.2534607303835,907.322235829999,927.7500305798418,949.2196352270445,972.4408542040849,997.5813229907696,1024.6225179530675,1053.3337567952353,1083.1707560076916,1113.683097931303,1144.8683031197913,1176.7919519798938,1209.484855372948,1243.1358616263092,1277.7139177653023,1313.077939962983,1349.1530991584116,1385.8634769148453,1423.0345020567586,1460.4039273801184,1497.8939627222362,1535.4284208621496
ANZ,880.0,718.7959194224786,557.5918388449575,396.3877582674362,235.18367768991487,73.97959711239366,38.86216231691408,44.62465132974083,45.563094726766906,46.50417293771002,47.32582360622336,48.121926589722285,48.92487438713119,49.77707747698209,50.72435418030898,51.78207638302522,52.95600706072231,54.23632093094032,55.59323980972821,56.99837260719785,58.44341682684933,59.92720704529749,61.454050937435646,63.031410522858216,64.6515115519935,66.31244337871684,68.01785028790576,69.76331631336609,71.54341032817564,73.34438358417127,75.16103663383424,76.99992702054053
ASC,10.0,44.33307857293922,78.66615714587843,112.99923571881764,147.33231429175686,181.66539286469606,215.99847143763526,240.89801156317657,250.65188512367894,260.51859882262795,270.26352287084353,280.17918915235316,290.3747633292631,300.97519835834265,312.08641475899856,323.67035296776885,335.6278023997314,347.8541337400279,360.1938976832328,372.57040536238765,385.09613990483706,397.85571245568013,410.821582333426,424.0874633872013,437.72868977851056,451.6244671828141,465.64617324483737,479.77576232715126,493.90627644067405,507.9545147287848,521.9113366200936,535.6063246559228
ASE,290.0,475.0669322588252,660.1338645176504,845.2007967764755,1030.2677290353008,1215.334661294126,1400.4015935529512,1522.0298238123737,1662.7223368128261,1811.6354425455575,1969.6376696581094,2137.0594598025,2314.193419490978,2500.5768407506703,2695.354415250785,2897.8551357640426,3107.5189630227046,3324.0814745149237,3547.7681048768745,3779.0355122430933,4018.8488018147636,4268.434373437402,4528.60861769352,4800.313970649691,5083.793442257613,5378.655691000629,5684.629820562647,6001.048148663025,6326.772009349337,6660.573138559161,7001.792735535459,7350.039268312454
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,1170.0,1161.348416527931,1152.6968330558618,1144.0452495837928,1135.3936661117236,1126.7420826396549,1118.0904991675857,1165.1083736506364,1216.5640973627842,1266.2434614675442,1314.6887834306283,1362.6473300264074,1410.7523169048525,1459.2222138053737,1508.0975289188907,1557.1735379969552,1606.2597702363958,1654.9394600128064,1702.9019122801528,1750.2783684370636,1797.379297735585,1844.4990812133576,1892.0072664759127,1940.1264291204488,1988.987154263474,2038.6220155224376,2088.805895141896,2139.276986904937,2189.704650366142,2239.84186487974,2289.3505638856104,2337.994304044167
CAN,1710.0,1521.401882620824,1332.803765241648,1144.2056478624722,955.6075304832962,767.0094131041202,578.4112957249442,576.027579267301,583.3600451075998,591.4626575327939,600.5435616942325,610.1624783076691,620.2553549419627,631.0281507378219,642.3036855475438,654.0333884890249,666.2825032461606,678.8873474854618,691.7745615443099,705.0507530922538,718.5267740771734,731.8919679536859,745.1604331013758,758.434684978255,771.6627533998494,784.5387376407045,785.3407205558823,785.4896242615091,785.6384119603348,785.8449393075467,785.3401950384432,785.2610478446153
CHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,10610.0,12667.972742715723,14725.945485431446,16783.918228147166,18841.890970862893,20899.86371357861,22957.83645629433,24331.207518324496,26250.143889284984,28234.864598573797,30251.799990441166,32280.386873844545,34279.78851142023,36204.51543470731,38020.842210126175,39712.782157254514,41280.92051641766,42737.21557756754,44092.81935087256,45355.592343823606,46523.9419506091,47580.33664380404,48507.27831526565,49293.19568782111,49931.90710082763,50430.00065504908,50799.14167667338,51056.07668311152,51224.880765470814,51334.21376979968,51403.580412495445,51446.71747804179
ENE,50.0,56.179945419809954,62.3598908396199,68.53983625942985,74.7197816792398,80.89972709904976,87.07967251885971,86.480788869243,88.13314681740911,89.88740552950986,91.93543192807108,94.19959241412862,96.68269561932,99.3542831973394,102.17280463800118,105.07813577986695,107.99258465045529,108.2039390176544,108.33230565033736,108.30258696668278,108.07421129564092,107.76208364480372,107.39947529206836,106.84340002617552,105.98453470963008,104.99260308509449,103.96045736424512,102.902704474999,101.77748724755344,100.59357682493224,99.4167181065026,98.33061290107229
