Year,AFE,AFN,AFW,AFZ,ANZ,ASC,ASE,ASO,BRA,CAN,CHL,CHN,ENE,ENW,EUE,EUM,EUW,IDN,IND,JPN,LAM,MDA,MEA,MEX,NIG,RUS,SKT,USA
2019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023,1.0,1.4923169664933171,1.473146391320239,1.3214704541240716,0.7584340155979704,1.1978293197422782,1.933588313366953,1.0,1.1852163000613867,0.9328333765300826,1.0,1.323780850984862,0.800592616237817,0.7720050625182274,1.666944383584796,0.6844841113409303,2.038567450233798,2.502338713645667,1.1512305592098533,1.316838617669989,0.8700147792846736,0.9675019498963021,1.1413794130175448,58.79058829726203,1.0,1.213091769592868,0.6976800414799861,1.293923436263381
2025,1.0,1.6691877331796692,1.3437855536265928,1.460083430149468,0.6503134437123844,1.3638881343015143,2.3294840558627135,1.0,1.2203837862924003,0.8649829804432936,1.0,1.4198509319047576,0.8285880135332608,0.6813852574674197,2.2053034861625833,0.5845131012714779,2.6620325353938883,3.5549366571512415,1.2212379733609167,1.507469266378046,0.8024705381723574,0.9530612256043506,1.142291385414221,87.68588244589307,1.0,1.262928590623684,0.546520062219979,1.4678673505914015
2030,1.0,1.7671163924622253,1.731805497719459,1.690102667201305,0.5826760762932561,1.5244969809464273,3.197013571587034,1.0,1.3140962161957217,0.7560018113042691,1.0,1.3331777681094807,0.9204678704029507,0.4931391066802458,2.2590850312668285,0.5732025783696125,2.8306910572246062,5.056945334522236,1.5499774195076785,1.018562898932996,0.791193346730251,0.9838576105003692,1.0984718372306779,106.86517208120605,1.0,1.2106520074131244,0.8340078119847523,1.5189038842980163
2035,1.0,1.84804956820399,2.1944412417805585,1.9378481738293765,0.5694985767654922,1.7324318807534023,4.1774400904533,1.0,1.3783710558069837,0.5793875063206513,1.0,1.2969405747571403,1.0387107977764287,0.13086870570825235,2.3687805689936967,0.5538640472814752,3.159555895646821,6.8686157837813395,1.8406682692368184,0.7756267482443686,0.7486044167381521,1.0455690751302111,1.1243470538101141,125.97039818813894,1.0,1.2184804448117863,1.2127388777901422,1.6121331969674149
2040,1.0,2.006042461562617,2.668501790348285,2.231498244595321,0.5811445717875457,1.9807184795270283,5.172090238858408,1.0,1.4048473839027713,0.36880250437487344,1.0,1.2943100518984545,1.1270394997194906,0.13219017417612583,2.363724607928516,0.5526818714838881,3.1528120917669873,8.852590383570726,2.032220596803761,0.7455050440466795,0.6677216523520753,1.043337396686031,1.210814321992194,144.6542383887928,1.0,1.2784029792071554,1.6657971756761645,1.7203514924873688
2045,1.0,2.1991657131038416,3.1703051371529156,2.5560757883861434,0.6019070366361735,2.2555801158589404,6.18314178035888,1.0,1.4027907368871624,0.188002283386997,1.0,1.2581429950765788,1.1979673637550685,0.13023641236002498,2.280337230053354,0.533184383533053,3.041587318634065,11.064776104233989,2.088556744161739,0.8242229441279934,0.5532817848006389,1.0065305836347462,1.2988635130592598,163.8139205279553,1.0,1.359446214783791,2.218480939706225,1.806765671696732
2050,1.0,2.4102196908338764,3.665593878846629,2.887913610289242,0.6224714993842785,2.533627227446146,7.169534323863254,1.0,1.3776482449267915,0.18798321058044343,1.0,1.1787740174469274,1.2562285679988336,0.12656726177972463,2.156848508915829,0.5043104710322007,2.8768740809356896,13.457925950813072,1.9772406724878855,0.8381247786573446,0.4117037527883219,0.9520232182675841,1.358090489128695,183.35644015955145,1.0,1.4454747424593852,2.86842284151223,1.8065823755605193
2060,1.0,2.4102196908338764,3.665593878846629,2.887913610289242,0.6224714993842785,2.533627227446146,7.169534323863254,1.0,1.3776482449267915,0.18798321058044343,1.0,1.1787740174469274,1.2562285679988336,0.12656726177972463,2.156848508915829,0.5043104710322007,2.8768740809356896,13.457925950813072,1.9772406724878855,0.8381247786573446,0.4117037527883219,0.9520232182675841,1.358090489128695,183.35644015955145,1.0,1.4454747424593852,2.86842284151223,1.8065823755605193
2070,1.0,2.4102196908338764,3.665593878846629,2.887913610289242,0.6224714993842785,2.533627227446146,7.169534323863254,1.0,1.3776482449267915,0.18798321058044343,1.0,1.1787740174469274,1.2562285679988336,0.12656726177972463,2.156848508915829,0.5043104710322007,2.8768740809356896,13.457925950813072,1.9772406724878855,0.8381247786573446,0.4117037527883219,0.9520232182675841,1.358090489128695,183.35644015955145,1.0,1.4454747424593852,2.86842284151223,1.8065823755605193
