BGS_Country,ISO3,2020_t,2021_t,2022_t,2023_t,2024_t,EstimatedYears,BGSNotes
Azerbaijan,AZE,31492,24900,33529,28230,16255,,
Bosnia & Herzegovina,BIH,0,90037,138969,35600,31870,,
France,FRA,417000,438900,388590,356700,429200,,
Germany,DEU,529056,509193,341212,189471,220000,,
Greece,GRC,189036,183770,186448,182875,182000,,
Iceland,ISL,728104,729813,756012,768389,742192,,
Montenegro,MNE,37208,45214,43196,21778,14887,,
Netherlands,NLD,70600,46700,0,0,0,2022;2023;2024,Nil values marked as estimated in the BGS table
Norway,NOR,1330000,1419000,1424600,1321200,1283000,,
Romania,ROU,271307,293399,191454,196438,248059,,
Russia,RUS,3936000,3937000,4014000,4026000,4182000,,
Slovakia,SVK,151875,163995,71933,56114,0,,
Slovenia,SVN,50185,37867,19211,1487,0,,
Spain,ESP,200000,190000,0,0,0,2020;2021,
Sweden,SWE,117000,124000,120000,119000,109000,,
Turkey,TUR,79900,79200,82000,82000,82000,2023;2024,
United Kingdom,GBR,35700,37571,31337,29246,29050,,
Cameroon,CMR,61700,47300,62800,62200,28600,,
Egypt,EGY,268000,260000,260000,310000,305000,2021;2022,Years ended 30 June of the stated year
Ghana,GHA,37566,39239,55592,48314,35084,,Exports
Mozambique,MOZ,569002,562633,576220,541601,492936,,Years ended 30 June of the stated year
South Africa,ZAF,717000,714000,718000,720000,723000,,
Canada,CAN,3154493,3157762,3026236,3301844,3338512,,
USA,USA,1026617,907846,872300,735000,685000,2023;2024,
Argentina,ARG,309804,338239,400038,441000,447000,,
Brazil,BRA,685100,771700,819000,1021700,1107800,,
Venezuela,VEN,10000,38300,8400,8000,9200,2020;2023;2024,
Bahrain,BHR,1548000,1561222,1600111,1620665,1622000,,
China,CHN,37080401,38502600,40144300,41594000,44005000,,
India,IND,3619237,4016621,4100000,4159000,4199000,2022,Years ended 31 March following the stated year
Indonesia,IDN,220100,243400,223774,214882,274230,,
Iran,IRN,446836,562649,632166,635596,604526,,Years ended 20 March following the stated year
Kazakhstan,KAZ,264600,262361,249141,260877,264500,,
Malaysia,MYS,800000,901000,928000,1000000,1000000,2020;2023;2024,
Oman,OMN,397000,395000,395000,398000,399000,,
Qatar,QAT,655000,662000,638000,677000,682000,,
Saudi Arabia,SAU,796004,998000,952000,895000,986000,,
Tajikistan,TJK,84000,61000,62000,66649,82200,2022,
United Arab Emirates,ARE,2520000,2540000,2650000,2660000,2690000,,
Australia,AUS,1582947,1558529,1509646,1555474,1575895,,
New Zealand,NZL,335405,333115,333689,333716,289700,,
