Country_INF_Data,Country_OMNIA,ISO2,ISO3,OMNIARegion,ZijieRegion,SecondaryProduction2019_kt,OMNIARegionTotal2019_kt,OMNIARegionShare,AllocationWeight,WeightSource,AllocationMethod,SourceDetail
China,China,CN,CHN,CHN,China,10610.0,10610.0,1.0,11400.0,Secondary country observation,OMNIA 2019 region total allocated using INF_Data secondary-country weights,"INF_Data row 227, China regional secondary total in Mt"
Italy,Italy,IT,ITA,EUM,Europe,2640.728929384966,3370.0,0.7835990888382688,688.0,Secondary country observation,OMNIA 2019 region total allocated using INF_Data secondary-country weights,"INF_Data rows 294-343, Europe secondary value in kt"
Germany,Germany,DE,DEU,EUW,Europe,1184.4155844155846,1920.0,0.6168831168831169,760.0,Secondary country observation,OMNIA 2019 region total allocated using INF_Data secondary-country weights,"INF_Data rows 294-343, Europe secondary value in kt"
Austria,Austria,AT,AUT,EUW,Europe,735.5844155844156,1920.0,0.38311688311688313,472.0,Secondary country observation,OMNIA 2019 region total allocated using INF_Data secondary-country weights,"INF_Data rows 294-343, Europe secondary value in kt"
France,France,FR,FRA,EUM,Europe,729.2710706150342,3370.0,0.2164009111617312,190.0,Secondary country observation,OMNIA 2019 region total allocated using INF_Data secondary-country weights,"INF_Data rows 294-343, Europe secondary value in kt"
Turkey,Turkey,TR,TUR,MDA,Europe,630.0,630.0,1.0,80.0,Primary production fallback,OMNIA 2019 region total allocated using OMNIA primary-production shares; no secondary-country weights available,INF_Data 2019 primary production used only as a within-OMNIA-region allocation weight
Czechia,Czechia,CZ,CZE,EUE,Europe,126.26086956521739,220.0,0.5739130434782609,66.0,Secondary country observation,OMNIA 2019 region total allocated using INF_Data secondary-country weights,"INF_Data rows 294-343, Europe secondary value in kt"
Serbia,Serbia,RS,SRB,ENE,Europe,50.0,50.0,1.0,79.0,Secondary country observation,OMNIA 2019 region total allocated using INF_Data secondary-country weights,"INF_Data rows 294-343, Europe secondary value in kt"
Bulgaria,Bulgaria,BG,BGR,EUE,Europe,34.434782608695656,220.0,0.1565217391304348,18.0,Secondary country observation,OMNIA 2019 region total allocated using INF_Data secondary-country weights,"INF_Data rows 294-343, Europe secondary value in kt"
Poland,Poland,PL,POL,EUE,Europe,24.869565217391305,220.0,0.11304347826086956,13.0,Secondary country observation,OMNIA 2019 region total allocated using INF_Data secondary-country weights,"INF_Data rows 294-343, Europe secondary value in kt"
Slovenia,Slovenia,SI,SVN,EUE,Europe,19.130434782608695,220.0,0.08695652173913043,10.0,Secondary country observation,OMNIA 2019 region total allocated using INF_Data secondary-country weights,"INF_Data rows 294-343, Europe secondary value in kt"
Romania,Romania,RO,ROU,EUE,Europe,15.304347826086957,220.0,0.06956521739130435,8.0,Secondary country observation,OMNIA 2019 region total allocated using INF_Data secondary-country weights,"INF_Data rows 294-343, Europe secondary value in kt"
Japan,Japan,JP,JPN,JPN,Japan,1320.0,1320.0,1.0,1210.0,Secondary country observation,OMNIA 2019 region total allocated using INF_Data secondary-country weights,"INF_Data row 229, Japan regional secondary total in Mt"
United Arab Emirates,United Arab Emirates,AE,ARE,MEA,Middle East,199.24995923691506,470.0,0.423936083482798,2600.0,Primary production fallback,OMNIA 2019 region total allocated using OMNIA primary-production shares; no secondary-country weights available,INF_Data 2019 primary production used only as a within-OMNIA-region allocation weight
Bahrain,Bahrain,BH,BHR,MEA,Middle East,104.6062285993804,470.0,0.22256644382846894,1365.0,Primary production fallback,OMNIA 2019 region total allocated using OMNIA primary-production shares; no secondary-country weights available,INF_Data 2019 primary production used only as a within-OMNIA-region allocation weight
