ZijieRegion,Rows,UniqueISO3,ISO3List
China,1,1,CHN
Europe,36,36,"UKR, SRB, MDA, MKD, MNE, NOR, CHE, ISL, POL, CZE, ROU, HUN, BGR, SVK, HRV, LTU, SVN, EST, LVA, DEU, NLD, BEL, SWE, AUT, FIN, DNK, IRL, LUX, FRA, ITA, ESP, GRC, PRT, CYP, MLT, TUR"
Japan,1,1,JPN
Middle East,6,6,"IRN, SAU, ARE, QAT, OMN, BHR"
North America,3,3,"USA, CAN, MEX"
Other Asia,9,9,"THA, MYS, SGP, IDN, VNM, IND, PAK, TWN, KOR"
Other main producer,13,13,"TZA, EGY, CMR, GIN, SLE, ZWE, ZAF, RUS, KAZ, AZE, FJI, AUS, NZL"
Rest of World,149,148,"ETH, KEN, SDN, MUS, ERI, SSD, BDI, COM, DJI, MDG, REU, RWA, SOM, UGA, SYC, DZA, MAR, LBY, TUN, COD, CIV, GHA, GAB, BEN, SEN, TGO, NER, COG, BFA, CPV, CAF, TCD, GNQ, GMB, GNB, LBR, MWI, MLI, MRT, STP, AGO, MOZ, ZMB, BWA, NAM, SWZ, LSO, NGA, UZB, TKM, MNG, GEO, KGZ, ARM, TJK, AFG, MMR, KHM, BRN, LAO, PRK, COK, TLS, PYF, KIR, NCL, PLW, PNG, ASM, SLB, TON, VUT, NIU, WSM, WLF, FSM, NRU, TUV, MNP, HKG, MAC, PHL, BGD, NPL, LKA, BTN, MDV, COL, PER, TTO, ECU, GTM, CUB, BOL, HND, PRY, URY, CRI, SLV, PAN, NIC, CUW, ATG, ABW, BHS, BRB, BLZ, BMU, VGB, CYM, DMA, FLK, GRD, GLP, MTQ, MSR, PRI, BES, KNA, LCA, SPM, VCT, MAF, TCA, SXM, AIA, CHL, BLR, BIH, XKX, ALB, SJM, LIE, GIB, SHN, GRL, FRO, AND, MCO, SMR, IRQ, KWT, YEM, ISR, SYR, JOR, LBN, PSE"
South America,9,8,"ARG, VEN, DOM, HTI, JAM, SUR, GUY, BRA"
UK,1,1,GBR
