OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,0.0,-10.666666666666668,-13.33333333333333,-13.33333333333333,3.3333333333333437,1.6666666666666607,1.6666666666666607,-2.858166127211914,-4.266846308219918,-6.005358994161103,-7.42753289940159,-8.581192595356125,-9.432022897064773,-9.905769310825441,-10.093709818856455,-10.023597415931395,-9.723626379422512,-9.296321193822333,-8.811226510373293,-8.230790947217415,-7.547188882584221,-6.765515979418469,-5.882399557363859,-4.994497002259912,-4.10549384696659,-3.1556240478619824,-2.147634517876995,-1.094670015151411,-0.08866950330731482,0.8361202841080217,1.7135973577230734,2.6759245017238698
AFW,0.0,-11.369642857142848,-22.73303571428572,5.707142857142844,-1.3267857142857054,-43.13928571428571,-43.13928571428571,-42.02628551368548,-40.09885111817801,-38.21914202823172,-36.17412378029291,-33.977170659086596,-31.617368324530247,-29.079100565648396,-26.39834087518632,-23.61116647751802,-20.76411285723353,-17.90765829089872,-15.079892948358165,-12.26701533688156,-9.420450405109214,-6.511810258370243,-3.554074638510707,-0.5479530330674609,2.5391949678643,5.683820356122982,8.838145560369659,11.99749311888947,15.108596484811754,18.149491977231193,21.13114184703,24.022517587102964
AFZ,0.0,0.3121684867394725,-0.4186427457098296,0.9531981279251145,-1.5911856474258856,-5.153198127925118,-5.153198127925118,-4.901995449542684,-2.883240374382612,-1.0043414622628588,1.1554194289838282,3.567841194071386,6.254776550430252,9.25369115574728,12.497936575350499,15.9363903702876,19.50498414746633,23.11649398901592,26.707028654330813,30.302782196511878,33.96530743632691,37.72819407376416,41.57634091422941,45.48505953591055,49.493506953289156,53.58750450326002,57.707729704218536,61.845202078027015,65.91188358442494,69.87237562182906,73.7484869200244,77.53469737416043
ANZ,0.0,-0.13784487246226718,-1.5281624154086404,-4.04294638209266,-1.6559083810515296,-2.8841749089016155,-2.8841749089016155,-7.2064654352305695,-8.552089744096836,-10.212782471242942,-11.571296493181881,-12.673315639873406,-13.486060755574469,-13.938601154161212,-14.118128998477331,-14.051154993304992,-13.764611373167368,-13.356433383017198,-12.893052690258589,-12.338598802113342,-11.685596390236308,-10.938913023590768,-10.095326991007214,-9.247169064062133,-8.397959802407362,-7.490608432546775,-6.527738909061387,-5.521907599482723,-4.560938060960029,-3.6775440618715294,-2.8393449470914045,-1.920093852692728
ASC,0.0,-7.2946341463414495,-15.058292682926833,-15.934146341463407,-13.230243902439021,-11.474390243902445,-11.474390243902445,-13.082317412295719,-12.571064133224297,-12.259490029954101,-11.679899560787366,-10.865376415392348,-9.791338766503966,-8.40971511760461,-6.7903355548418425,-4.970521773150405,-2.9945152985196843,-0.9471966992940062,1.1113937799388296,3.2093452954827795,5.381759966903843,7.644193764841378,9.990068797452501,12.369366332792042,14.801087153453295,17.300806552320957,19.836537112326447,22.39854468151603,24.90559224561968,27.326061224930797,29.68435018928346,32.0283714667918
ASE,0.0,5.263157894736836,18.552631578947377,22.10526315789474,31.578947368421062,31.578947368421062,31.578947368421062,39.37732156770859,46.368359030346376,53.482464335387725,60.585009553232624,67.72231937929045,74.76625270079758,81.58610296001866,88.17384726520486,94.48574837374386,100.4722219290139,106.11375637343161,111.31096379742415,116.06059148718457,120.38571484711755,124.16630758834528,127.4750839217575,130.22333428150844,132.28301338480466,133.75478332032992,134.63910808133895,134.83072516512073,134.25605043302556,133.0578748958845,131.36975207151215,129.2229033547482
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,0.0,5.400000000000005,18.72307692307693,26.0,57.18461538461539,70.43076923076923,70.43076923076923,71.26579676832236,70.54181534340094,69.70725393798847,68.86838221395261,68.14400701741438,67.18694010864374,65.96225754616458,64.3734891216651,62.701782587900624,60.62716359093206,57.95411779889908,55.11254995897021,52.28705760201382,49.24827556579008,45.977934879872805,42.30810017040505,38.28623478899993,34.119808880187996,29.69848673167683,25.120091741219895,20.366049301542155,15.572632029385192,10.464044742262747,4.941368490256859,-0.3393093541362746
CAN,0.0,10.52883672039242,10.643377715487045,6.034898388227039,15.691800981079185,16.976594253679057,16.976594253679057,20.662246596441204,18.675519130867755,17.38628244490541,15.293132213063876,12.657310611307636,10.318488956069949,7.6676244780742975,4.790188265162021,2.0401681774967484,-1.0170135156117643,-4.308175623152655,-7.239263851289001,-10.278718780912543,-14.003969120602788,-17.846451552756413,-21.263896058038323,-24.349417791339135,-27.88920197541762,-31.83794096908198,-35.254398340309265,-38.913863415432026,-42.26022318214766,-45.333649238937234,-48.64246347461879,-51.344626947322624
CHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,0.0,5.810983335235709,9.869307156717255,14.553989270631206,18.690788722748543,25.570711106038125,25.570711106038125,19.659931050547463,12.076605759013681,4.087561910404225,-3.579398685203372,-10.71866059859884,-17.312108435314634,-23.310434720596508,-28.650281924782128,-33.30671871896157,-37.28840904658782,-40.724008048473316,-43.66712866536646,-46.16357531907595,-48.44935294610878,-50.6026240991844,-52.606577962142964,-54.51351349131342,-56.2787568702892,-57.98732277283945,-59.74696233038721,-61.53487886888394,-63.21551381074115,-64.85783247357017,-66.52285461625836,-68.0937152057828
ENE,0.0,-67.64521739130436,17.6095652173913,58.40434782608695,-50.10608695652174,-59.34173913043478,-59.34173913043478,-56.31721027658871,-54.96210946087557,-52.88421637006026,-51.011444690995766,-49.18485027514421,-47.40555578683448,-45.59936509120293,-43.75457418186289,-41.959873851195326,-40.22047571628533,-38.53153581665144,-36.85527753455816,-35.22351004125351,-33.60970521718309,-31.907986694977087,-30.1161154220004,-28.31291835177655,-26.538856616251472,-24.71915370543045,-22.853086198134864,-20.95097485332964,-19.083042557856455,-17.26820722332729,-14.83250705087068,-12.494973889904681
ENW,0.0,-8.687134757959003,-4.649629306585257,-3.5347143480156995,-7.595508068033141,-10.412472743131262,-10.412472743131262,-3.3270316322502214,-7.827608070577218,-7.61511481848689,-9.329112597581457,-11.870635906716853,-15.262504915041319,-18.97898949272173,-22.85509256130328,-27.324127214277194,-32.18208087272411,-37.246378396080026,-42.13758661475082,-47.09626984601627,-52.225963323642176,-56.984310271676094,-61.27090484943692,-65.76648446370801,-70.94813184379571,-76.07463855114165,-80.85636633194159,-85.35349488773282,-89.86371250734203,-94.4363753171205,-94.48935210435496,-94.53978746446788
EUE,0.0,-18.384999999999994,-14.610172413793098,-51.27620689655173,-56.200172413793105,-57.231206896551726,-57.231206896551726,-53.81371425391649,-56.00452054113869,-55.909992973337985,-56.74409256006878,-57.97771353646824,-59.621274059278285,-61.420773667301276,-63.299409184824604,-65.46512517753402,-67.81982097453742,-70.27521863217251,-72.6462333613759,-75.05072927852652,-77.53729585834313,-79.84285093231905,-81.91958281402503,-84.09680885445844,-86.6063154050156,-89.08834594293684,-91.40287898773484,-93.57999103804902,-95.76349117256856,-97.97682574777357,-98.00049515423855,-98.02233929335948
EUM,0.0,-5.172235294117645,-4.391764705882362,-32.34847058823529,-36.52058823529411,-28.094117647058813,-28.094117647058813,-22.348390305420118,-26.031726862662918,-25.872800512953965,-27.27514699977278,-29.34919675335229,-32.112465506512144,-35.13790994203055,-38.29640319622055,-41.93755619777887,-45.89643524649909,-50.02462129730818,-54.01093687471559,-58.05354336395083,-62.234132783871424,-66.11039301657303,-69.6019397151988,-73.26244421296404,-77.48160191404374,-81.65456502348867,-85.54591964784493,-89.20623249745957,-92.87728544044604,-96.5984981290397,-96.6382927884896,-96.67501868098628
EUW,0.0,-12.602926829268291,-17.08621951219512,-43.754634146341466,-62.38158536585365,-59.8780487804878,-59.8780487804878,-56.67205527093989,-58.72727863847147,-58.6386011194443,-59.421080598116575,-60.57835619667622,-62.12020132106396,-63.808334893549755,-65.57070687376907,-67.60239271546749,-69.81136292595828,-72.11480283846299,-74.33908204773938,-76.59477038718086,-78.92745026379461,-81.09032093419712,-83.03852964451247,-85.08101320903181,-87.43521336527569,-89.76363792303546,-91.93493094256766,-93.97730757149982,-96.02567694383846,-98.1020343861455,-98.12423895874791,-98.14473122473547
IDN,0.0,-8.291666666666664,1.416666666666666,-6.760833333333338,-10.465833333333329,14.2625,14.2625,21.034569162790294,27.105551140157647,33.28340461652901,39.45121937097946,45.649223537379015,51.766140014109126,57.68846387996547,63.409228095867576,68.89045145901731,74.08907516204602,78.98815546590616,83.50138440686416,87.62593734451367,91.38185284466267,94.6649006781811,97.53822550223464,99.92479237339053,101.71340740829744,102.9914850614579,103.75942826229432,103.92582757976503,103.42678291578724,102.38629327021167,100.92033585014084,99.05602315874656
IND,0.0,-0.5704120879120866,10.34673076923076,12.637362637362637,14.258241758241752,15.357142857142847,15.357142857142847,22.194088923003918,28.323231338462218,34.560269089467766,40.78717194688408,47.04455343295797,53.22007040354213,59.199130552233555,64.9747000952232,70.50843396709514,75.75686085405118,80.70287469482142,85.25934068925602,89.4234071366931,93.21530457382292,96.52980423852497,99.43065571826082,101.84008606937391,103.64583616322088,104.9361578909807,105.71145804216813,105.87945147690658,105.37562592963971,104.3251683194348,102.84516692326716,100.96299398401278
JPN,0.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
