OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,300.0,268.0,260.0,260.0,310.0,305.0,292.0039126564389,279.00782531287786,274.9618568748196,269.96855353221946,265.8838288291889,262.5703224840142,260.1265935288773,258.76591346567983,258.22611644576153,258.4274911603176,259.28905886206377,260.516351840034,261.9096260588139,263.5767354570414,265.5401565479225,267.7852537230889,270.3217138926407,272.8719206481948,275.4252885141906,278.1534757061847,281.0485926242733,284.0728852932983,286.9622894138838,289.6184425579165,292.1387055621321,294.9026723618409
AFW,112.0,99.266,86.53899999999999,118.392,110.51400000000001,63.684000000000005,65.17972221873097,66.67544443746195,69.04873146875022,71.37556289924173,73.89118814196539,76.58108322543949,79.45725978172514,82.53605496627456,85.77714203285923,89.13792502494918,92.56320339993775,95.9955277687526,99.39128376741802,102.76585759089555,106.17759829482722,109.66093217167906,113.20008335900496,116.79745805167465,120.4925662543371,124.25497533723627,128.0271271131968,131.80382116491148,135.52388635790092,139.16197604135542,142.73017373911466,146.18657819524924
AFZ,1282.0,1286.002,1276.633,1294.22,1261.601,1215.936,1223.2662528829992,1230.5965057659985,1259.6811725291273,1287.1155859220698,1318.1593177052978,1352.46366317932,1390.3011705090853,1432.1259545111566,1477.095356861936,1524.5269612510822,1573.5599202362687,1623.0769856414622,1672.2550377952148,1721.4238255738856,1771.4268306438107,1822.7323367967474,1875.128890882273,1928.3579700105602,1982.9635497634208,2038.6988029157574,2094.746719666645,2150.9944783236965,2206.304554392151,2260.21724751339,2313.004854242862,2364.4783677600503
ANZ,1921.0,1918.3519999999999,1891.644,1843.335,1889.19,1865.595,1786.1017686304563,1706.6085372609125,1681.8605422176363,1651.3179791047244,1626.3329234248872,1606.065182867424,1591.1176139491997,1582.79473551477,1579.4929564282966,1580.7247061351893,1585.9946615336783,1593.501650527896,1602.0238977940753,1612.221114049112,1624.2307814918738,1637.9633784246757,1653.478156818167,1669.0770190218655,1684.6952168053488,1701.3827328199332,1719.0913087110862,1737.5900145532814,1755.263646947851,1771.5105519470046,1786.9262570596256,1803.832626376684
ASC,410.0,380.09200000000004,348.26099999999997,344.67,355.75600000000003,362.955,357.35162782552754,351.7482556510551,354.47329439646427,356.4255894522472,359.4569585449671,363.4371094684728,368.4632558911617,374.72313746499464,381.9385425784483,389.95380872047514,398.58285325383395,407.48470967052765,416.4172093950742,425.49198647448884,434.8615014703004,444.5961566449181,454.66577863903854,464.8814490272126,475.32831931555467,486.0553870084959,496.9222671453563,507.8903170997996,518.6311574842653,529.016469152005,539.1427945042548,549.1779838241923
ASE,760.0,800.0,901.0,928.0,1000.0,1000.0,1063.0016003289293,1126.0032006578583,1182.4824791395083,1239.9559996031817,1297.3361282938124,1354.9971137240984,1411.9037279137278,1467.0000171343515,1520.2211659505283,1571.2138293946898,1619.577424763489,1665.154321848213,1707.1415843961984,1745.512934343581,1780.4547935481198,1810.997492167409,1837.7284746527716,1859.931073084722,1876.5708336752784,1888.4609865308007,1895.6052801656408,1897.15331859264,1892.510629377508,1882.8307942752435,1869.1927670699104,1851.84877954587
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,650.0,685.1,771.7,819.0,1021.7,1107.8,1113.2544029046126,1118.708805809225,1113.9797565151762,1108.5283983873978,1103.0488852427345,1098.3172638310564,1092.0656993109164,1084.0660683698957,1073.6882272573264,1062.7686341141552,1049.2172152996477,1031.7568704888051,1013.195739049742,994.7396127237736,974.8902774390584,953.5284002144952,929.557026578815,903.2861873169422,876.071078165611,847.190985851851,817.284893164672,786.2314707019684,754.9208516906663,721.5515409982352,685.4773996849522,650.9839928481181
CAN,2854.0,3154.493,3157.762,3026.236,3301.844,3338.512,3447.1225770381443,3555.733154076289,3497.1873129642786,3459.1954658286977,3397.5135074219907,3319.83984791405,3250.918325767905,3172.801375543225,3088.0077003913684,3006.968784940116,2916.8782834713525,2819.8927345418506,2733.5180159841525,2643.9498953131606,2534.1724254441287,2420.94030385385,2320.2334044515223,2229.307765039101,2124.9957011033225,2008.632360020128,1907.9545499592011,1800.115671927056,1701.5035318118996,1610.9343336162233,1513.4286032791958,1433.7999495896806
