Country,ISO3,OMNIARegion,ZijieRegion,OMNIA2019_kt,HistoricalSource2019,BGS2020_kt,BGSRecordPresent,BGS_Country,EstimatedYears,BGSNotes,Difference_kt,AbsoluteDifference_kt,Difference_pct_of_OMNIA2019,MisalignmentStatus,MajorMisalignment,BGS2020Estimated,MajorRelativeThreshold_pct,MajorAbsoluteThreshold_kt
Argentina,ARG,LAM,South America,427.0,OMNIA INF_Data,309.804,True,Argentina,,,-117.19600000000003,117.19600000000003,-27.44637002341921,Major: difference exceeds absolute and relative thresholds,True,False,25.0,50.0
Japan,JPN,JPN,Japan,90.89354286806416,Zijie back-extrapolated fallback used by old approach,0.0,False,,,,-90.89354286806416,90.89354286806416,-100.0,Major: OMNIA 2019 producer absent or nil in BGS 2020,True,False,25.0,50.0
Netherlands,NLD,EUW,Europe,150.0,OMNIA INF_Data,70.6,True,Netherlands,2022;2023;2024,Nil values marked as estimated in the BGS table,-79.4,79.4,-52.93333333333333,Major: difference exceeds absolute and relative thresholds,True,False,25.0,50.0
Slovakia,SVK,EUE,Europe,220.0,OMNIA INF_Data,151.875,True,Slovakia,,,-68.125,68.125,-30.96590909090909,Major: difference exceeds absolute and relative thresholds,True,False,25.0,50.0
Bosnia and Herzegovina,BIH,ENE,Rest of World,55.0,OMNIA INF_Data,0.0,True,Bosnia & Herzegovina,,,-55.0,55.0,-100.0,Major: OMNIA 2019 producer absent or nil in BGS 2020,True,False,25.0,50.0
China,CHN,CHN,China,35044.0,OMNIA INF_Data,37080.401,True,China,,,2036.400999999998,2036.400999999998,5.810983335235698,Review: absolute threshold exceeded,False,False,25.0,50.0
Canada,CAN,CAN,North America,2854.0,OMNIA INF_Data,3154.493,True,Canada,,,300.49299999999994,300.49299999999994,10.52883672039243,Review: absolute threshold exceeded,False,False,25.0,50.0
Russian Federation,RUS,RUS,Other main producer,3637.0,OMNIA INF_Data,3936.0,True,Russia,,,299.0,299.0,8.221061314270003,Review: absolute threshold exceeded,False,False,25.0,50.0
Bahrain,BHR,MEA,Middle East,1365.0,OMNIA INF_Data,1548.0,True,Bahrain,,,183.0,183.0,13.406593406593407,Review: absolute threshold exceeded,False,False,25.0,50.0
Iceland,ISL,ENW,Europe,845.0,OMNIA INF_Data,728.104,True,Iceland,,,-116.89599999999996,116.89599999999996,-13.83384615384615,Review: absolute threshold exceeded,False,False,25.0,50.0
Iran (Islamic Republic of),IRN,MEA,Middle East,360.0,OMNIA INF_Data,446.836,True,Iran,,Years ended 20 March following the stated year,86.83600000000001,86.83600000000001,24.121111111111116,Review: absolute threshold exceeded,False,False,25.0,50.0
United Arab Emirates,ARE,MEA,Middle East,2600.0,OMNIA INF_Data,2520.0,True,United Arab Emirates,,,-80.0,80.0,-3.076923076923077,Review: absolute threshold exceeded,False,False,25.0,50.0
Norway,NOR,ENW,Europe,1400.0,OMNIA INF_Data,1330.0,True,Norway,,,-70.0,70.0,-5.0,Review: absolute threshold exceeded,False,False,25.0,50.0
United States of America,USA,USA,North America,1090.0,OMNIA INF_Data,1026.617,True,USA,2023;2024,,-63.38300000000004,63.38300000000004,-5.8149541284403705,Review: absolute threshold exceeded,False,False,25.0,50.0
Malaysia,MYS,ASE,Other Asia,760.0,OMNIA INF_Data,800.0,True,Malaysia,2020;2023;2024,,40.0,40.0,5.263157894736842,Within thresholds,False,True,25.0,50.0
Spain,ESP,EUM,Europe,240.0,OMNIA INF_Data,200.0,True,Spain,2020;2021,,-40.0,40.0,-16.666666666666664,Within thresholds,False,True,25.0,50.0
Brazil,BRA,BRA,South America,650.0,OMNIA INF_Data,685.1,True,Brazil,,,35.10000000000002,35.10000000000002,5.400000000000003,Within thresholds,False,False,25.0,50.0
Egypt,EGY,AFN,Other main producer,300.0,OMNIA INF_Data,268.0,True,Egypt,2021;2022,Years ended 30 June of the stated year,-32.0,32.0,-10.666666666666668,Within thresholds,False,False,25.0,50.0
Slovenia,SVN,EUE,Europe,80.0,OMNIA INF_Data,50.185,True,Slovenia,,,-29.814999999999998,29.814999999999998,-37.26875,Review: relative threshold exceeded,False,False,25.0,50.0
Qatar,QAT,MEA,Middle East,627.0,OMNIA INF_Data,655.0,True,Qatar,,,28.0,28.0,4.4657097288676235,Within thresholds,False,False,25.0,50.0
Montenegro,MNE,ENE,Europe,60.0,OMNIA INF_Data,37.208,True,Montenegro,,,-22.792,22.792,-37.98666666666667,Review: relative threshold exceeded,False,False,25.0,50.0
