OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,300.0,268.0,260.0,260.0,310.0,305.0,305.0,291.42550161836425,287.19946107534025,281.9839230175167,277.71740130179523,274.2564222139316,271.7039313088057,270.28269206752367,269.7188705434306,269.9292077522058,270.82912086173246,272.111036418533,273.5663204688801,275.30762715834777,277.35843335224735,279.7034520617446,282.3528013279084,285.01650899322027,287.68351845910024,290.53312785641407,293.55709644636903,296.71598995454576,299.73399149007804,302.5083608523241,305.1407920731692,308.02777350517164
AFW,112.0,99.266,86.53899999999999,118.392,110.51400000000001,63.684000000000005,63.684000000000005,64.93056022467226,67.08928674764063,69.19456092838047,71.48498136607193,73.945568861823,76.58854747652612,79.43140736647379,82.43385821979132,85.55549354517981,88.74419359989845,91.94342271419343,95.11051989783886,98.26094282269266,101.44909554627768,104.70677251062533,108.019436404868,111.38629260296445,114.84389836400803,118.36587879885775,121.89872302761403,125.43719229315622,128.92162806298916,132.32743101449893,135.6668788686736,138.9052196975553
AFZ,1282.0,1286.002,1276.633,1294.22,1261.601,1215.936,1215.936,1219.1564183368628,1245.036858400415,1269.1243424537902,1296.8124770795728,1327.7397241079952,1362.1862353765157,1400.63232061668,1442.2235468959934,1486.304524547087,1532.0538967705183,1578.353452939184,1624.384107348521,1670.4816677592823,1717.435241333711,1765.6754480256564,1815.0086905204212,1865.1184632503732,1916.506759141167,1968.9918077317934,2021.8130948080816,2074.8554906403065,2126.990347552328,2177.7638554718487,2227.455602314713,2275.9948203367367
ANZ,1921.0,1918.3519999999999,1891.644,1843.335,1889.19,1865.595,1865.595,1782.5637989892207,1756.7143560158997,1724.812448727423,1698.715394365976,1677.545606558032,1661.9327728854144,1653.2394718285632,1649.7907419392504,1651.077312578611,1656.581815521455,1664.4229147122396,1673.3244578201325,1683.9755170114026,1696.5196933435604,1710.8634808168213,1727.0687685027515,1743.3618822793665,1759.6751921957546,1777.1054120107765,1795.6021355569308,1814.9241550139368,1833.384379848958,1850.354378571448,1866.4561835663742,1884.1149970897727
ASC,410.0,380.09200000000004,348.26099999999997,344.67,355.75600000000003,362.955,362.955,356.36249860958753,358.45863705378036,359.7360908771882,362.1124118007718,365.4519566968914,369.85551105733373,375.5201680178211,382.15962422514843,389.62086073008334,397.7224872760693,406.1164935328946,414.5567144977492,423.1583157114794,432.06521586430574,441.3411944358497,450.95928206955523,460.7144019644474,470.6844573291585,480.93330686451594,491.3298021605384,501.83403319421575,512.1129282070407,522.0368510222163,531.7058357760621,541.3163230138464
ASE,760.0,800.0,901.0,928.0,1000.0,1000.0,1000.0,1059.2676439145853,1112.3995286306324,1166.4667289489466,1220.446072604568,1274.6896272826075,1328.2235205260615,1380.054382496142,1430.121239215557,1478.0916876404533,1523.5888866605055,1566.4645484380803,1605.9633248604237,1642.0604953026027,1674.9314328380935,1703.663937671424,1728.810637805357,1749.6973405394642,1765.3509017245156,1776.5363532345073,1783.257221418176,1784.7135112549174,1780.3459832909944,1771.2398492087225,1758.4101157434925,1742.0940654960862
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,650.0,685.1,771.7,819.0,1021.7,1107.8,1107.8,1113.2276789940954,1108.521799732106,1103.097150596925,1097.644484390692,1092.9360456131935,1086.7151107061843,1078.7546740500698,1068.427679290823,1057.561586821354,1044.0765633410583,1026.701765692844,1008.2315747333064,989.8658744130898,970.1137911776356,948.8565767191732,925.0026511076328,898.8605261284995,871.778757721222,843.0401637558994,813.2805963179294,782.379320460024,751.2221081910037,718.0162908247079,682.1188951866696,647.7944891981142
CAN,2854.0,3154.493,3157.762,3026.236,3301.844,3338.512,3338.512,3443.700517862432,3386.999315994966,3350.2045009776007,3290.4659933608427,3215.23964484672,3148.489674806236,3072.83400260424,2990.711973087724,2912.226399785757,2824.9744342644403,2731.044667715223,2647.391409684212,2560.645365992756,2454.3267212979963,2344.662272684332,2247.128406503586,2159.067616235181,2058.042175621581,1945.3451647424004,1847.8394713675737,1743.39833812357,1647.8932303815056,1560.1776507207312,1465.7440924343796,1388.6243469234123
