OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,0.0,1.633267572813546,3.266535145627114,4.89980271844066,6.533070291254228,8.166337864067774,60.372043166291434,53.234436476388346,51.012342193147894,48.269960243820975,46.02658055607141,44.2067632194272,42.864638033793035,42.11733626017819,41.82087327722763,41.93147068026099,42.404653972218064,43.0786979624173,43.84390083632379,44.75949726769777,45.83783162656256,47.07086586166176,48.46392013994307,49.864524207758706,51.266864395257095,52.76521744861149,54.3552503051419,56.01622802989936,57.60312334967745,59.06191444187863,60.446073043129985,61.96407668520667
AFW,0.0,-2.3797874568946886,-4.759574913789355,-7.139362370684033,-9.51914982757872,-11.898937284473398,28.589261910535413,26.16460786506174,26.840887957932182,27.223779523605284,27.9962662683392,29.109965179389306,30.60078524204457,32.539186660120876,34.82336823722534,37.39962003684136,40.20443013329415,43.11433624679992,46.04210630475478,49.02871759666911,52.12407825846628,55.35002105383475,58.69735441869683,62.09211924700995,65.5610674778941,69.12821545505487,72.74822927304041,76.40690409168516,79.98628292995052,83.4405063868029,86.80521038213071,90.15255508679867
AFZ,0.0,-3.0830633513365235,-6.166126702673058,-9.249190054009592,-12.332253405346115,-15.415316756682639,23.019424529781475,21.420701342951975,22.604912878749815,23.53549928298506,24.836507602210347,26.464296464104486,28.4515817106773,30.86064458252371,33.597076402341955,36.60542676235752,39.81884748445517,43.12058174957518,46.42733524020009,49.77688569384193,53.22572418407814,56.80091824559883,60.49073317685596,64.23496871566705,68.06608382674932,71.99578192836292,75.9715438399576,79.98030910095288,83.90886471806908,87.71278173024515,91.42457038381724,95.09250163975578
ANZ,0.0,1.6332675728135682,3.266535145627114,4.89980271844066,6.533070291254206,8.166337864067753,60.372043166291455,53.234436476388346,51.01234219314787,48.269960243820954,46.02658055607141,44.2067632194272,42.864638033793035,42.11733626017819,41.82087327722761,41.93147068026095,42.404653972218085,43.07869796241728,43.84390083632379,44.75949726769777,45.83783162656256,47.07086586166176,48.46392013994305,49.864524207758734,51.266864395257116,52.76521744861149,54.35525030514188,56.01622802989936,57.60312334967745,59.06191444187863,60.446073043129985,61.96407668520665
ASC,0.0,-0.9768495196796012,-1.9536990393592246,-2.9305485590388147,-3.907398078718427,-4.8842475983980504,39.700315520271225,35.62804388365557,35.29107114585308,34.58138741766439,34.2995468729935,34.38770758363021,34.888148413143604,35.887645463392936,37.26965048698223,38.9839255463295,40.97361407698301,43.10187733437343,45.27362797026262,47.53622593694742,49.92644732210969,52.455682246814916,55.11981235376664,57.8174315503611,60.563907050630725,63.40781777800555,66.31816345499458,69.27845636276815,72.16127592221275,74.91790920280496,77.59022740995974,80.298046377299
ASE,0.0,3.010269860112036,6.020539720224072,9.030809580336108,12.041079440448144,15.0513493005602,22.90836882854068,30.19285826639311,36.7232115496285,43.368522947878496,50.00303602702616,56.67002285196578,63.24978634755993,69.6202330472798,75.7738687390353,81.66983830691295,87.26182482473506,92.53160247626097,97.38633265705441,101.8229769954285,105.86309030978045,109.3945556112033,112.48529550608546,115.05244606934117,116.9763997409536,118.35118534065741,119.17723628622375,119.35622649459927,118.81942075674039,117.70020067035443,116.12331905763807,114.11793993600487
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,0.0,1.1294979968355046,2.2589959936710313,3.3884939905065137,4.51799198734204,5.647489984177545,6.705350593155268,7.228154700369638,6.774875682045334,6.252363416460982,5.727152494630738,5.2736269390256,4.674414951058803,3.9076509284325933,2.912935640150338,1.8662934605760961,0.5673909888105344,-1.1061817450203515,-2.8852647941808196,-4.654283111167235,-6.556840401819253,-8.604374723379216,-10.902029079221842,-13.42008704198453,-16.028653202465836,-18.796807873547326,-21.66330460307364,-24.639772805089876,-27.640893276899924,-30.83933919114695,-34.29704291649277,-37.603233361438235
CAN,0.0,-4.6728847727306455,-9.345769545461291,-14.018654318191913,-18.69153909092256,-23.36442386365323,-44.25310685238875,-42.49665575512368,-43.44345955329688,-44.05786400089484,-45.055385112368796,-46.311524138528306,-47.42612353114786,-48.68943145822895,-50.0607154328027,-51.371277404271964,-52.828221695272234,-54.39667274747732,-55.793525368316885,-57.24202171298949,-59.01734381019854,-60.84853456193395,-62.47716732295186,-63.94761747127752,-65.63455298119231,-67.51638183893999,-69.14454416690232,-70.88851534183563,-72.48327163935619,-73.94795741755017,-75.52482084752674,-76.81257605480796
CHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,0.0,7.160557590621908,14.321115181243815,21.4816727718657,28.642230362487588,35.802787953109494,22.889014758245008,17.10446570955362,9.683090410651985,1.8646611068075192,-5.6385633751250275,-12.625358742536507,-19.07799647451255,-24.948222109965922,-30.17403118679599,-34.7310248111893,-38.62768189885388,-41.9899100229711,-44.87017716280801,-47.31330953793499,-49.55027194794555,-51.65755770095335,-53.61871499369178,-55.48492588254595,-57.2124706080645,-58.884548265063884,-60.60660884473261,-62.35634252028931,-64.00108571202539,-65.60833090970293,-67.23779473023373,-68.77510791791013
ENE,0.0,-4.998371854567763,-9.996743709135526,-14.995115563703287,-19.993487418271062,-24.991859272838823,-39.24157197717235,-34.679328733134675,-33.30537020952603,-30.576731970148163,-28.282962134327118,-26.12138189923774,-24.095331987328972,-22.06225785477326,-19.993058471009984,-18.040911890620524,-16.194957366695384,-14.432980234861681,-12.672360308376263,-10.975828081977701,-9.317512695262653,-7.511882319571961,-5.547407113039593,-3.5862446571859663,-1.7229264370655084,0.20489956187765834,2.22338655434684,4.31365119581244,6.358162587510585,8.328011904337739,11.502303160484551,14.548816537951215
ENW,0.0,-0.5232844043401408,-1.0465688086802816,-1.5698532130204224,-2.093137617360541,-2.6164220217006817,-46.878335533628224,-43.036150664329334,-45.27034280683989,-45.07321784405056,-45.926618944623,-47.224805859169074,-48.98620645787363,-50.930128576461,-52.93851832315328,-55.257181650887844,-57.77240546255751,-60.38741943397932,-62.91780270898526,-65.47514694295963,-68.12946137619869,-70.60196206497955,-72.83186060424902,-75.17821858804842,-77.8824953103006,-80.56592361627362,-83.07474835238848,-85.43080179600217,-87.79318281729836,-90.19235149921118,-90.24044066583173,-90.29331675269083
EUE,0.0,-1.2676845903805023,-2.535369180761027,-3.803053771141529,-5.070738361522054,-6.338422951902556,-52.8628094557216,-49.0962546808435,-51.51082955922769,-51.40664696131494,-52.32594134162476,-53.68556416014362,-55.49699768241676,-57.48029788222752,-59.550816920222225,-61.93773878556952,-64.53294282110758,-67.239134388636,-69.8523241694049,-72.50241490111017,-75.24295897936707,-77.78400306657021,-80.07285199856075,-82.47245954599936,-85.2382866798071,-87.97383140560109,-90.52477047207842,-92.9242523864659,-95.33077486292096,-97.77017906488959,-97.7962660606089,-97.82034135648007
EUM,0.0,-1.2676845903805023,-2.535369180761027,-3.803053771141518,-5.070738361522043,-6.338422951902567,-52.8628094557216,-49.09625468084351,-51.5108295592277,-51.40664696131494,-52.32594134162476,-53.68556416014362,-55.49699768241676,-57.480297882227525,-59.55081692022224,-61.93773878556952,-64.53294282110758,-67.239134388636,-69.8523241694049,-72.50241490111017,-75.24295897936707,-77.78400306657021,-80.07285199856075,-82.47245954599936,-85.2382866798071,-87.97383140560109,-90.52477047207842,-92.9242523864659,-95.33077486292096,-97.77017906488959,-97.7962660606089,-97.82034135648007
EUW,0.0,-1.2676845903805023,-2.535369180761027,-3.80305377114154,-5.070738361522043,-6.338422951902545,-52.862809455721596,-49.0962546808435,-51.5108295592277,-51.40664696131494,-52.32594134162476,-53.68556416014362,-55.49699768241676,-57.480297882227525,-59.55081692022224,-61.93773878556952,-64.53294282110758,-67.239134388636,-69.85232416940491,-72.50241490111019,-75.24295897936707,-77.78400306657021,-80.07285199856075,-82.47245954599936,-85.2382866798071,-87.97383140560109,-90.52477047207842,-92.9242523864659,-95.33077486292096,-97.77017906488959,-97.7962660606089,-97.82034135648007
IDN,0.0,3.010269860112036,6.020539720224072,9.030809580336108,12.041079440448144,15.05134930056018,22.90836882854066,30.19285826639311,36.72321154962852,43.36852294787852,50.003036027026184,56.67002285196578,63.24978634755993,69.62023304727978,75.77386873903531,81.66983830691296,87.26182482473506,92.531602476261,97.38633265705441,101.8229769954285,105.86309030978049,109.39455561120334,112.48529550608546,115.05244606934117,116.97639974095355,118.35118534065741,119.17723628622375,119.35622649459927,118.81942075674044,117.70020067035443,116.12331905763807,114.11793993600483
IND,0.0,3.010269860112036,6.020539720224094,9.030809580336108,12.041079440448165,15.05134930056018,22.90836882854066,30.19285826639311,36.72321154962852,43.368522947878496,50.00303602702616,56.67002285196576,63.24978634755993,69.62023304727978,75.7738687390353,81.66983830691296,87.26182482473506,92.53160247626097,97.38633265705441,101.82297699542846,105.86309030978049,109.3945556112033,112.48529550608546,115.05244606934117,116.97639974095355,118.35118534065741,119.17723628622375,119.35622649459923,118.81942075674039,117.70020067035438,116.12331905763807,114.11793993600483
JPN,0.0,-1.7332194760575792,-3.4664389521151695,-5.199658428172748,-6.932877904230339,-8.666097380287919,19.78288307292757,9.980480236509548,1.299800443790855,-6.349829441801791,-13.095303050204388,-19.065414236633416,-24.326730746479953,-28.87016378831383,-32.70477166646511,-35.8691874015973,-38.369020075338,-40.115921947413504,-41.16429269869665,-41.55763795323685,-41.38310094725549,-40.762478205690556,-39.81587952977178,-38.53984709697305,-37.08413916651306,-35.703852358070776,-34.507586493144146,-33.55987824140079,-32.908086971590755,-32.63908863392797,-32.81366636173956,-33.402952483636696
