OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,300.0,304.89980271844064,309.79960543688134,314.699408155322,319.5992108737627,324.4990135922033,481.1161294988743,459.7033094291651,453.0370265794437,444.8098807314629,438.07974166821424,432.6202896582816,428.5939141013791,426.3520087805346,425.4626198316829,425.79441204078296,427.2139619166542,429.2360938872519,431.53170250897136,434.2784918030933,437.5134948796877,441.2125975849853,445.3917604198292,449.59357262327615,453.8005931857713,458.29565234583447,463.06575091542567,468.0486840896981,472.8093700490324,477.1857433256359,481.33821912939,485.89223005562
AFW,112.0,109.33463804827795,106.66927609655592,104.00391414483389,101.33855219311184,98.67319024138979,144.01997333979966,141.30436080886915,142.06179451288403,142.4906330664379,143.3558182205399,144.60316100091603,146.2728794710899,148.4438890593354,151.00217242569238,153.88757444126233,157.02896174928946,160.2880565964159,163.56715906132536,166.91216370826942,170.37896764948223,173.99202358029493,177.74103694894046,181.54317355665114,185.42839557524138,189.42360130966145,193.47801678580527,197.57573258268738,201.58463688154458,205.45336715321923,209.2218356279864,212.9708616972145
AFZ,1282.0,1242.4751278358658,1202.9502556717314,1163.425383507597,1123.9005113434628,1084.3756391793286,1577.1090224717984,1556.6133912166445,1571.7949831055728,1583.7251008078686,1600.4040274603367,1621.2722806698196,1646.7492775308829,1677.6334635479539,1712.7145194780237,1751.2815710934235,1792.4776247507152,1834.805858029554,1877.1984377793651,1920.1396745950535,1964.3537840398817,2010.187771908577,2057.4911993272935,2105.4922989348515,2154.6071946589263,2204.9859243216124,2255.9551920282565,2307.347562674216,2357.7116456856456,2406.477861781743,2454.062992320537,2501.085871021669
ANZ,1921.0,1952.3750700737485,1983.7501401474967,2015.1252102212452,2046.5002802949934,2077.8753503687417,3080.746949224459,2943.6335247114203,2900.9470935303707,2848.2659362838003,2805.1706124821317,2770.2119214451964,2744.429696629164,2730.074029558023,2724.3789756555425,2726.503551767813,2735.5934028063093,2748.541787858036,2763.24133506578,2780.829942512474,2801.5447455462668,2825.2313332025224,2851.991905888306,2878.8975100310454,2905.836465032889,2934.6198271878266,2965.1643583617756,2997.0717404543666,3027.555999547304,3055.5793764284886,3082.169063158527,3111.3299131228196
ASC,410.0,405.99491696931364,401.98983393862716,397.98475090794085,393.9796678772544,389.974584846568,572.771293633112,556.0749799229878,554.6933916979976,551.783688412424,550.6281421792734,550.9896010928838,553.0414084938888,557.139346399911,562.8055669966271,569.834094739951,577.9918177156303,586.7176970709311,595.6218746780768,604.8985263414844,614.6984340206498,625.0682972119412,635.9912306504432,647.0514693564805,658.312018907586,669.9720528898227,681.9044701654777,694.0416710873494,705.8612312810723,717.1634277315004,728.1199323808349,739.2219901469259
ASE,760.0,782.8780509368515,805.756101873703,828.6341528105545,851.5122037474059,874.3902546842575,934.1036030969092,989.4657228245876,1039.0964077771766,1089.6007744038766,1140.0230738053988,1190.69217367494,1240.6983762414554,1289.1137711593265,1335.8814024166682,1380.6907711325384,1423.1898686679865,1463.2401788195834,1500.1361281936136,1533.8546251652565,1564.5594863543315,1591.398622645145,1614.8882458462494,1634.3985901269928,1649.0206380312472,1659.4690085889963,1665.7469957753003,1667.1073213589543,1663.027597751227,1654.5215250946935,1642.5372248380493,1627.2963435136369
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,650.0,657.3417369794308,664.6834739588617,672.0252109382924,679.3669479177232,686.7086848971541,693.5847788555092,696.9830055524026,694.0366919332947,690.6403622069964,687.2264912150998,684.2785751036664,680.3836971818822,675.3997310348119,668.9340816609772,662.1309074937446,653.6880414272684,642.8098186573677,631.2457788378247,619.747159777413,607.3805373881748,594.0715642980351,579.136810985058,562.7694342271005,545.813754183972,527.8207488219424,509.18852008002136,489.84147676691583,470.3341937001505,449.5442952575448,427.069221042797,405.5789831506514
CAN,2854.0,2720.6358685862674,2587.271737172535,2453.9076057588027,2320.54347434507,2187.179342931337,1591.016330432825,1641.1454447487702,1614.1236643489071,1596.5885614144613,1568.1193088929945,1532.269101086402,1500.4584344210402,1464.4036261821457,1425.2671815478109,1387.8637428820782,1346.2825528169303,1301.5189597869974,1261.652785988236,1220.3127003112802,1169.6450076569336,1117.382823602405,1070.901644602954,1028.9349973697397,980.7898579167712,927.0824623166528,880.6147094766077,830.8417721440115,785.3274274127746,743.5252953031181,698.5216130115866,661.7690793957805
CHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,35044.0,37553.34580205754,40062.69160411508,42572.03740617262,45081.38320823015,47590.729010287694,43065.22633187938,41038.08896325597,38437.34220350888,35697.451838269626,33068.021850821184,30619.569282265507,28358.30691547182,26301.14504378354,24469.812510899214,22872.85966516682,21507.315155365646,20329.055931550007,19319.69511506556,18463.523805526063,17679.602698561965,16941.125479277907,16253.857517610651,15599.862573720597,14994.461800109875,14408.498905991011,13805.019996451903,13191.843327189814,12615.459523077823,12052.216516003704,11481.187214736896,10942.451181247576
ENE,115.0,109.25187236724707,103.50374473449415,97.75561710174122,92.00748946898828,86.25936183623536,69.8721922262518,75.11877195689513,76.69882425904507,79.83675823432961,82.47459354552382,84.9604108158766,87.29036821457169,89.62840346701076,92.00798275833851,94.2529513257864,96.3757990283003,98.40207272990907,100.4267856453673,102.37779770572564,104.28486040044795,106.36133533249225,108.62048182000447,110.87581864423613,113.01863459737467,115.2356344961593,117.55689453749886,119.9606988751843,122.31188697563718,124.57721368998841,128.22764863455723,131.7311390186439
ENW,2293.0,2281.0010886084806,2269.002177216961,2257.0032658254418,2245.004354433923,2233.0054430424034,1218.0797662139048,1306.1810652669285,1254.9510394391614,1259.4711148359206,1239.9026275997946,1210.135201649253,1169.7462859209577,1125.1721517417493,1079.1197748500954,1025.952824745142,968.2787427435563,908.3164723788541,850.2947838829679,791.6548805979357,730.7914506437643,674.097009850019,622.96543634457,569.1634477760497,507.15438253480704,445.6233714788457,388.0960202797322,334.0717148176704,279.90231799934855,224.88938012308753,223.78669553247832,222.5742468607992
EUE,580.0,572.6474293757931,565.294858751586,557.9422881273791,550.5897175031721,543.2371468789652,273.3957051568147,295.2417228511077,281.2371885564794,281.84144762437336,276.5095402185764,268.62372787116703,258.11741344198276,246.6142722830804,234.60526186271107,220.76111504369678,205.7089316375761,190.01302054591122,174.85651981745156,159.48599357356102,143.59083791967095,128.8527822138928,115.57745840834758,101.65973463320373,85.61793725711877,69.75177784751367,54.95633126194526,41.03933615849784,27.081505795058384,12.932961423640416,12.78165684846844,12.642020132415578
EUM,850.0,839.2246809817657,828.4493619635313,817.6740429452971,806.8987239270626,796.1234049088282,400.66611962636637,432.6818352128302,412.1579487465646,413.04350082882297,405.2294985961895,393.67270463877924,378.27551969945756,361.4174680010661,343.818056178111,323.52922032265906,301.4699860205856,278.46735769659404,256.2552445600583,233.72947334056357,210.4348486753798,188.83597393415326,169.3807580122335,148.98409385900544,125.47456322163956,102.2224330523907,80.53945098733357,60.143854715039936,39.68841366517177,18.953477948438543,18.73173848482444,18.52709846991938
EUW,820.0,809.6049863588798,799.2099727177596,788.8149590766394,778.4199454355193,768.0249317943991,386.5249624630829,417.4107116170833,397.6111976143329,398.4654949172175,390.9272809986769,379.77837388682235,364.92461900418255,348.6615573657343,331.68330125417765,312.1105419583299,290.82986886691793,268.6390980131848,247.21094181087975,225.48019781089658,203.00773636918996,182.17117485412433,163.40261361180174,143.72583172280525,121.04604922558168,98.61458247407103,77.69688212895709,58.0211304309797,38.28764612404806,18.284531667905416,18.0706183030071,17.8732008768634
IDN,240.0,247.2246476642689,254.44929532853777,261.67394299280664,268.89859065707554,276.12323832134445,294.9800851884976,312.4628598393435,328.13570771910844,344.0844550749084,360.00728646486283,376.0080548447179,391.79948723414384,407.0885593134715,421.8572849736847,436.0076119365911,449.42837957936416,462.0758459430264,473.7271983769306,484.3751447890284,494.0714167434732,502.546933466888,509.9647092146051,516.1258705664188,520.7433593782886,524.0428448175778,526.025367086937,526.4549435870382,525.166609816177,522.4804816088506,518.6959657383313,513.8830558464116
IND,3640.0,3749.573822908078,3859.147645816157,3968.7214687242345,4078.295291632313,4187.869114540391,4473.86462535888,4739.020040896709,4976.724900406478,5218.614235302777,5460.110511383752,5702.788831811554,5942.292223051181,6174.176482920984,6398.168822100884,6612.782114371632,6816.330423620356,7008.1503301359,7184.86250871678,7346.356362633596,7493.416487276009,7621.9618242478,7734.46475642151,7827.909036924018,7897.94095057071,7947.98314639993,7978.051400818545,7984.566644403412,7965.026915545351,7924.2873044009,7866.888813698025,7793.893013670576
JPN,90.89354286806416,89.31815828059612,87.74277369312809,86.16738910566005,84.59200451819201,83.01661993072398,108.8749061744946,99.96515495027464,92.0749775416405,85.12195792233109,78.99075797642372,73.56431240591576,68.78211542861386,64.6524281690528,61.16701721350319,58.29076764076705,56.01858115783067,54.43076015587271,53.47785883763892,53.12033340008392,53.278976268436224,53.8430822660895,54.70347933937426,55.863310425690585,57.18645493749704,58.44104651943076,59.52837494618386,60.3897805522464,60.98221672948148,61.22671884883938,61.068038966972864,60.53241593315074
LAM,435.0,439.91331628623453,444.82663257246895,449.7399488587034,454.6532651449379,459.5665814311724,464.16827508022544,466.442472946608,464.47070921689726,462.1977808616053,459.91311335164374,457.9402771847614,455.3337050371059,451.99828153868185,447.671270034654,443.1183765535061,437.4681508013258,430.18810940916154,422.4490981453134,414.7538684664226,406.47774425208627,397.57096995330045,387.576173505385,376.62262136736734,365.2753585692737,353.23388575006913,340.7646249766297,327.8169882978591,314.76211424548535,300.84887451851074,285.8078633132565,271.42593487774366
MDA,80.0,78.9858523276956,77.97170465539118,76.95755698308677,75.94340931078236,74.92926163847795,37.70975243542272,40.72299625532519,38.79133635261785,38.87468243094804,38.13924692670019,37.0515486718851,35.60240185406659,34.01576169421798,32.35934646382221,30.44980897154438,28.37364574311394,26.2086924890912,24.11814066447608,21.998068079111864,19.805632816506336,17.772797546743835,15.94171840115139,14.02203236320051,11.80937065615431,9.620934875519124,7.580183622337277,5.660598090827288,3.735380109663225,1.7838567480883332,1.762987151512888,1.7437269148159416
MEA,6133.0,5832.654030788652,5532.308061577302,5231.962092365953,4931.616123154605,4631.270153943255,5759.601896486411,5600.324699753067,5536.813042580435,5480.008898878966,5428.583152398408,5381.821769840475,5359.941790433195,5366.1187836449935,5383.78403268749,5417.946079883889,5466.412095789026,5525.803437088449,5593.150850733845,5665.62730927968,5740.72969193693,5818.743676660258,5897.7996056814145,5972.882205025224,6044.561490645753,6113.092233478075,6176.183869521591,6234.745001065587,6289.668287354985,6338.940884630884,6379.39723818028,6413.738341609193
MEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
