ZijieRegion,OriginalZijie2024_kt,Zijie2025_kt,Zijie2026_kt,LinearChange2025_2026_kt,SyntheticZijie2024_kt,SyntheticMinusOriginal2024_kt,ImpliedGrowth2024_2025_pct,Method
China,47590.729010287694,43065.22633187938,41038.08896325597,-2027.1373686234074,45092.363700502785,-2498.365309784909,-4.4955225281322,Synthetic 2024 = 2 * Zijie 2025 - Zijie 2026
North America,3022.5071228175175,2198.6574657417877,2267.931897017922,69.27443127613424,2129.3830344656535,-893.124088351864,3.2532630416827635,Synthetic 2024 = 2 * Zijie 2025 - Zijie 2026
Europe,4341.214096179317,2184.8087817273035,2359.3885955429037,174.57981381560012,2010.2289679117034,-2330.985128267613,8.684573578549104,Synthetic 2024 = 2 * Zijie 2025 - Zijie 2026
South America,1146.2752663283266,1157.7530539357347,1163.4254784990105,5.672424563275854,1152.0806293724588,5.805363044132264,0.49236350465902134,Synthetic 2024 = 2 * Zijie 2025 - Zijie 2026
Other Asia,5338.382607545993,5702.948313644287,6040.948623560641,338.0003099163541,5364.948003727933,26.565396181939832,6.300160032892932,Synthetic 2024 = 2 * Zijie 2025 - Zijie 2026
Other main producer,7522.968798445913,11153.875602215569,10657.45505693281,-496.4205452827591,11650.296147498328,4127.327349052414,-4.2610122437905185,Synthetic 2024 = 2 * Zijie 2025 - Zijie 2026
Middle East,4631.270153943255,5759.601896486411,5600.324699753067,-159.27719673334377,5918.879093219754,1287.6089392764998,-2.6910027088710153,Synthetic 2024 = 2 * Zijie 2025 - Zijie 2026
Japan,83.01661993072398,108.8749061744946,99.96515495027464,-8.90975122421996,117.78465739871456,34.76803746799058,-7.564441261699672,Synthetic 2024 = 2 * Zijie 2025 - Zijie 2026
UK,130.30303831261577,159.84983849485502,163.39198285186507,3.542144357010045,156.30769413784498,26.004655825229207,2.266135634939559,Synthetic 2024 = 2 * Zijie 2025 - Zijie 2026
Rest of World,416.50110350583964,576.208853810178,617.5874885679225,41.37863475774452,534.8302190524334,118.32911554659381,7.736779501924107,Synthetic 2024 = 2 * Zijie 2025 - Zijie 2026
