OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,0.0,3.835758747523532,7.671517495047042,11.507276242570574,15.343034990094061,19.178793737617617,23.014552485141103,24.466712223840513,25.883324981518196,26.93041477955187,27.87735138159466,28.814295693372838,29.854047631984713,31.11505538942221,32.62922349750781,34.40466633942201,36.41101034966076,38.56683143127331,40.79735016246644,43.08337598696883,45.4220200529869,47.82229162434011,50.30056639559079,52.83109145733012,55.40752492248346,58.04135756872451,60.72202921588461,63.43596909750926,66.14505415479117,68.83420643054683,71.51969571127776,74.26119722782887
AFW,0.0,36.14708387505705,72.29416775011413,108.44125162517119,144.5883355002282,180.73541937528526,216.88250325034235,249.71736223887234,281.6235905685157,312.72719869480864,343.7046092058652,374.7764698267063,405.9611755203422,437.06242122326,467.6992805850375,497.4624993350904,526.0904765735589,553.6748746827697,580.7016476686819,608.0537724241444,636.8710264384458,668.1641349061555,702.5459294848329,740.3622724630004,781.6751149587914,826.0869804359797,872.9909454135418,921.8594758926615,972.1141652189453,1023.333481329931,1075.2859668423223,1127.6728846970718
AFZ,0.0,40.42088167114552,80.84176334229107,121.2626450134366,161.6835266845821,202.10440835572768,242.52529002687317,279.5111180753179,315.4501878721782,350.529351977138,385.47887358859845,420.53665983764085,455.7086188058763,490.7568132229921,525.2457118683625,558.7108553931342,590.8600586094917,621.8078779349252,652.1144352183486,682.7820364497786,715.1015988464754,750.2163439125914,788.8179961449637,831.3015711307688,877.7380530591763,927.675871555409,980.4292225555267,1035.4025904808473,1091.9461057199192,1149.584474792186,1208.0534736039763,1267.00695813758
ANZ,0.0,3.83575874752351,7.67151749504702,11.507276242570551,15.343034990094084,19.178793737617617,23.014552485141127,24.466712223840513,25.883324981518218,26.930414779551892,27.877351381594707,28.814295693372838,29.854047631984713,31.11505538942221,32.62922349750783,34.40466633942203,36.41101034966081,38.56683143127333,40.79735016246644,43.08337598696885,45.4220200529869,47.82229162434013,50.30056639559082,52.83109145733009,55.40752492248349,58.04135756872453,60.72202921588461,63.43596909750928,66.14505415479117,68.83420643054683,71.5196957112778,74.26119722782889
ASC,0.0,26.572891391920294,53.14578278384063,79.71867417576091,106.29156556768118,132.86445695960154,159.43734835152185,182.97317667286842,205.84500461593973,228.04254371807912,250.1216024459799,272.26416387938735,294.516596182604,316.7758590604603,338.7833523845011,360.25349269652105,380.99319423795384,401.04283200930917,420.7222086826764,440.6469792513601,461.61833690176593,484.35018764520254,509.2786268347014,536.6394031865123,566.47423186823,598.5068177488212,632.3069461950026,667.4993760308764,703.6657924311277,740.5051000477936,777.8592457172317,815.5356937892875
ASE,0.0,14.430766715399423,28.861533430798847,43.29230014619827,57.723066861597694,72.15383357699716,86.58460029239654,100.62115143536406,115.15065717814,130.2432187785612,145.89927257429974,162.12010569295495,178.8197738039084,195.87269338040096,213.18431689556328,230.6750971265223,248.29727783920256,266.05387452118526,283.96240393593786,302.09190398405957,320.53520844474866,339.33075613465445,358.54128152369793,378.1528684244262,398.0895178949224,418.3109933506396,438.74048037377617,459.25255321618226,479.7200009552862,500.09304393144436,520.3519463140467,540.4658578953489
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,0.0,4.637599999193531,9.275199998387084,13.912799997580638,18.550399996774193,23.187999995967722,27.825599995161276,32.82993834052845,37.59068018397536,42.169654184286706,46.649755533397055,51.10027495581528,55.54433892437587,59.98612464744744,64.40379378214205,68.77829655678266,73.06594565833704,77.23475784868845,81.30074988223971,85.29770601392721,89.25575957194437,93.21270138455928,97.19025109220232,101.2012743629394,105.2494496253773,109.3114139005078,113.36136964519187,117.36667689029466,121.30422448019335,125.14024663925301,128.85206489457227,132.4593377364638
CAN,0.0,0.4809936686487326,0.9619873372974874,1.44298100594622,1.923974674594997,2.4049683432437075,2.8859620118924845,3.468989177038373,4.1759148693084835,5.04172132970917,5.983969928239374,6.989168708280413,8.093194343450882,9.262380923308555,10.486843187653871,11.777645390723567,13.104529038660662,14.454422440904736,15.847512975228062,17.250463506284717,18.608802674670265,19.928083637372307,21.229724104559455,22.506507061559944,23.705148487787532,24.8082076999969,25.8604708786645,26.82499983428204,27.723578970608198,28.55863549053288,29.301211525791903,29.993560003893283
CHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,0.0,10.919841206428703,21.839682412857407,32.75952361928609,43.67936482571479,54.5992060321435,65.51904723857216,77.22196458196751,89.12241142863193,100.99174785225307,112.70369524272903,124.00389446468157,134.61460947318847,144.34244375425806,153.11286930978255,160.95721375251765,167.975997026866,174.25860856263427,179.87277828915,184.82692118453178,189.0266372113389,192.38325437069926,194.84855027120585,196.40490864861277,197.11283130351265,197.05579559155368,196.34222085520685,195.12421824289686,193.5814517151311,191.82901794729923,189.9458603538518,188.0183861757969
ENE,0.0,5.514715211883692,11.029430423767339,16.54414563565101,22.058860847534632,27.573576059418325,33.08829127130195,38.41640628519425,43.699818281773894,49.189552227167255,54.86612200141157,60.75129315269214,66.80099678939216,72.93130042155815,79.02065522598687,84.92886569864386,90.55817604594849,95.88245930253278,100.95572233793763,105.88862453532424,110.83900187166446,115.96715391360748,121.37519521020046,127.11513661178589,133.19759660774056,139.5945805613374,146.2507114131683,153.11892709784357,160.13973417186443,167.2755973530542,174.5160622582452,181.8353811767416
ENW,0.0,5.786883586747793,11.573767173495586,17.360650760243423,23.147534346991215,28.93441793373901,34.721301520486826,39.5605277942438,43.653994867852866,46.94523959592447,49.3698834671318,51.35891426964236,52.92549400960878,54.21979641777439,55.6800732477615,57.15493954648787,58.76091803817878,60.52626780687063,62.284694839247614,64.17021551383395,65.97832309092905,67.62966346670076,69.19821712730769,70.63590910454207,72.02417479019579,73.26123491891695,74.36289207612607,75.42541010478476,76.39739452982082,77.21152439939178,77.7790574624967,78.13701996326279
EUE,0.0,0.5192191745750696,1.0384383491501392,1.5576575237252088,2.0768766983003006,2.5960958728753702,3.11531504745044,3.7734940883702883,4.528064747260507,5.604415846537969,6.895001074047902,8.395318653890872,10.063577735180118,11.849429920546761,13.684452687270966,15.482714412364151,17.177720418390297,18.720336812083715,20.085955340390417,21.252480985393184,22.209302610462323,22.969893256775187,23.548589781970406,23.944687433961143,24.15933334854985,24.226283304671668,24.18124016440708,24.05605325965714,23.87530312806405,23.664185981426545,23.44942455995389,23.255269092534768
EUM,0.0,0.5192191745750696,1.0384383491501392,1.557657523725231,2.0768766983003006,2.5960958728753702,3.1153150474504177,3.7734940883702883,4.528064747260507,5.604415846537969,6.8950010740478795,8.395318653890826,10.063577735180097,11.849429920546761,13.684452687270943,15.482714412364107,17.177720418390273,18.720336812083673,20.08595534039037,21.252480985393163,22.209302610462302,22.969893256775165,23.548589781970385,23.94468743396112,24.15933334854983,24.226283304671647,24.181240164407036,24.056053259657162,23.87530312806403,23.664185981426545,23.44942455995389,23.255269092534746
EUW,0.0,0.5192191745750696,1.0384383491501392,1.557657523725231,2.0768766983002784,2.596095872875348,3.11531504745044,3.773494088370266,4.528064747260485,5.604415846537947,6.895001074047902,8.395318653890804,10.063577735180074,11.84942992054674,13.684452687270943,15.482714412364107,17.177720418390273,18.720336812083694,20.08595534039037,21.25248098539314,22.209302610462302,22.969893256775144,23.548589781970385,23.944687433961143,24.15933334854985,24.226283304671647,24.181240164407036,24.05605325965712,23.87530312806403,23.664185981426545,23.449424559953847,23.255269092534746
IDN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IND,0.0,14.430766715399423,28.861533430798893,43.29230014619829,57.72306686159774,72.15383357699716,86.58460029239659,100.62115143536406,115.15065717814004,130.2432187785612,145.89927257429974,162.12010569295506,178.8197738039084,195.87269338040102,213.1843168955632,230.6750971265224,248.29727783920256,266.05387452118526,283.9624039359379,302.0919039840597,320.53520844474866,339.33075613465445,358.54128152369793,378.1528684244262,398.0895178949224,418.31099335063965,438.7404803737763,459.25255321618226,479.72000095528597,500.09304393144447,520.3519463140466,540.4658578953488
JPN,0.0,-0.851849281710193,-1.7036985634203639,-2.555547845130546,-3.407397126840739,-4.259246408550899,-5.111095690261102,-8.843072313080969,-12.141369068751573,-15.035509322656482,-17.570465366606836,-19.793244438591618,-21.728646020287922,-23.371616305186915,-24.719388988506008,-25.778798180566,-26.54741213926084,-26.992106501435643,-27.132139006470535,-26.989411498723648,-26.606349679442374,-26.04222398164029,-25.358885370181138,-24.574098127430275,-23.754944298277724,-23.005883869377787,-22.381091204874004,-21.915081742804688,-21.631194847417877,-21.562692572193342,-21.732167449072804,-22.12895689419475
LAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
