OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,79.15172672395454,82.18779600558454,85.22386528721454,88.25993456884454,91.29600385047452,94.33207313210454,97.36814241373452,98.51755192170516,99.63882538039888,100.4676150358929,101.21713170739092,101.9587393086052,102.7817209216623,103.77983033579709,104.97832053885028,106.38361420522222,107.97167013334884,109.6780397445242,111.4435338351648,113.25296274861395,115.10403990879456,117.00389630358482,118.96549357799388,120.96844785954296,123.00773943510566,125.09246345362466,127.21426135015136,129.36239162870731,131.50667922996658,133.6351896904637,135.76080082714896,137.93074661566254
AFW,37.71978173827559,51.35438288069852,64.98898402312146,78.6235851655444,92.25818630796732,105.89278745039024,119.5273885928132,131.91262573735727,143.9475854242146,155.67979852218085,167.36441015512102,179.0846481633235,190.84745108668656,202.57877308371195,214.1349295664369,225.36155071724238,236.1599612476759,246.5647360082872,256.7591757894725,267.07633754801384,277.9461428651728,289.74983507831473,302.7185729510941,316.9828149838566,332.56592900314655,349.3179877270386,367.0100609431722,385.4431639785988,404.39912310572157,423.71893735062275,443.315301493506,463.07553256772724
AFZ,448.1450247040062,629.2891948547384,810.4333650054707,991.5775351562029,1172.721705306935,1353.8658754576675,1535.0100456083994,1700.7601938530834,1861.8193470726133,2019.0248757167437,2175.6494179763554,2332.7591428228043,2490.380527029886,2647.4472665587773,2802.007549913212,2951.979925629532,3096.054980325618,3234.7460928869327,3370.5634215116647,3507.9987506263833,3652.8372615132866,3810.202244464581,3983.1936283975,4173.581656012781,4381.6844394225145,4605.478288459099,4841.889806330767,5088.250219600319,5341.647169936971,5599.9506532548685,5861.97656242415,6126.173670251142
ANZ,506.8348901223889,526.2758537557596,545.7168173891304,565.1577810225011,584.598744655872,604.0397082892428,623.4806719226135,630.840724138652,638.0206118524876,643.3276282798344,648.1270333663267,652.8757940394354,658.1456196350443,664.5368469168874,672.2111791837714,681.209742960773,691.3785944205439,702.30504783077,713.610094991172,725.1964714669582,737.0495355493146,749.2149493306216,761.7757105444209,774.6012944606067,787.6595581827934,801.0087409813767,814.5953201788026,828.3505143958226,842.0811026692194,855.7106646512693,869.3216612965107,883.216547495626
ASC,127.62594024019634,161.53984272814083,195.45374521608534,229.3676477040298,263.28155019197425,297.1954526799188,331.10935516786327,361.1471773563003,390.337562818765,418.6673808080556,446.84598710572413,475.1056393283735,503.50551528166693,531.9141088200679,560.0013790981734,587.4028475422784,613.8720866375426,639.4606253579883,664.5766148707831,690.0057906497675,716.7706830322323,745.7824212775414,777.597576180345,812.5170242563607,850.5940048804549,891.4758937938077,934.6136255256409,979.5282949970461,1025.6860239790512,1072.7025367027995,1120.3761163321126,1168.461037433183
ASE,60.61201202830088,69.35879008561481,78.10556814292876,86.85234620024269,95.59912425755664,104.3459023148706,113.09268037218452,121.6005164393186,130.4071422077826,139.55504746040862,149.04449667023894,158.87626999120886,168.99827483530626,179.33439250018642,189.82731582749076,200.42882964492333,211.109987938142,221.8726184548422,232.72733845780388,243.71599320764224,254.89485112577125,266.28721075236194,277.9310967118688,289.8180741230789,301.9020784981762,314.15872163369545,326.5414447654792,338.9742248239722,351.379956709484,363.728467968724,376.0077963176686,388.1992428246893
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,1750.5457152900922,1831.729023368268,1912.912331446444,1994.09563952462,2075.278947602796,2156.462255680972,2237.645563759148,2325.2487942425923,2408.5877565990745,2488.744789765772,2567.171011973277,2645.0793890305727,2722.8747604169607,2800.6302500745574,2877.963567827647,2954.541238714364,3029.5984963482983,3102.575459524986,3173.7525088523544,3243.7210531576343,3313.0085901263906,3382.2766654836432,3451.905491464322,3522.120287469498,3592.9854460735382,3664.0919876484495,3734.988314408162,3805.103048771512,3874.031619393992,3941.182940936989,4006.160016364836,4069.306976537391
CAN,2126.3079866373664,2136.5353934290647,2146.762800220763,2156.9902070124613,2167.21761380416,2177.445020595858,2187.6724273875566,2200.069380564319,2215.10079801865,2233.510509934972,2253.5456171394985,2274.9192390810927,2298.394224336246,2323.2547319624523,2349.2905708825874,2376.737001218149,2404.950634197621,2433.6535254206274,2463.2749207130337,2493.1059699034627,2521.988444126468,2550.040420602588,2577.7173058136923,2604.865643800418,2630.35245217744,2653.8068883039864,2676.18124431244,2696.6901005291656,2715.796660471126,2733.5525339472206,2749.341987491788,2764.06344847702
CHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,14036.369814746986,15569.119109664449,17101.86840458191,18634.61769949937,20167.36699441683,21700.11628933429,23232.865584251747,24875.53034168488,26545.921070690096,28211.945025666024,29855.87727390184,31442.01502649826,32931.37422508115,34296.80901973781,35527.85838503831,36628.91958056316,37614.1019574463,38495.95254663069,39283.97817147201,39979.35998941881,40568.84766211065,41039.99485986373,41386.03290948663,41604.48912698226,41703.85576882638,41695.85002536935,41595.690036471104,41424.72668545399,41208.178270238655,40962.20018582727,40697.8732218165,40427.325818100966
ENE,336.22793930623334,354.7699526217572,373.311965937281,391.85397925280483,410.39599256832855,428.93800588385244,447.48001919937616,465.3946305144523,483.1589377956103,501.6169571136012,520.7031706888233,540.490760375419,560.8315542472296,581.4433478228766,601.9174599988523,621.782514320942,640.7098284988369,658.6115563752771,675.6692841348038,692.2550795410687,708.8996312469282,726.1419111820437,744.3252569904084,763.6245436823444,784.0754735858687,805.5839209107978,827.9636925114353,851.0565525751265,874.6624675227731,898.6552332485996,922.9996991955145,947.6092943664262
ENW,281.8043338127871,298.11202255294324,314.4197112930994,330.7274000332556,347.03508877341176,363.3427775135679,379.6504662537241,393.2876156161783,404.8231832328081,414.0980535128988,420.9308050214872,426.5359800238332,430.9506696236916,434.5980699025456,438.7131932951133,442.86943044286846,447.39514743255467,452.3699795876823,457.3253031718562,462.6387821477766,467.734107660028,472.387656404953,476.80790859872246,480.8593868974477,484.7715797644557,488.257668819062,491.362186431836,494.3564082841384,497.0955025178753,499.3897557731907,500.9890885408408,501.9978423814243
EUE,452.7480663184499,455.0988210912932,457.4495758641364,459.80033063697965,462.15108540982294,464.50184018266623,466.8525949555095,469.8324878361874,473.2487919033192,478.1219506920953,483.96505035383814,490.7577091852129,498.31071991693193,506.3961311534852,514.7041612463323,522.8457564340365,530.5198633503015,537.5040292434599,543.6868407236549,548.9682630245138,553.3002544301311,556.7438138739116,559.363851201585,561.1571756617059,562.1289808894378,562.4320955211804,562.2281635746233,561.6613822840841,560.8430395584282,559.8872107593603,558.9148825764448,558.0358474520532
EUM,3456.633062848687,3474.5805645056994,3492.5280661627107,3510.4755678197234,3528.4230694767352,3546.370571133747,3564.318072790759,3587.068907131935,3613.15164600969,3650.3571539796494,3694.9679496579984,3746.8284231705807,3804.4940181484017,3866.224375241391,3929.65437890678,3991.813688252904,4050.4038262744753,4103.726414571805,4150.9308361336425,4191.253347265418,4224.3271599100435,4250.617987663429,4270.621403086883,4284.313045486762,4291.73256713849,4294.0467814573585,4292.489805378427,4288.162553438486,4281.914684628695,4274.617139536681,4267.193625235814,4260.482383155675
EUW,4850.30971916809,4875.493457256289,4900.677195344488,4925.8609334326875,4951.0446715208855,4976.228409609084,5001.412147697284,5033.335869688546,5069.934883694689,5122.141245675317,5184.738626399379,5257.5086757928875,5338.424408153565,5425.04377027038,5514.0480578737515,5601.269321102025,5683.482362152795,5758.304035025587,5824.540763230806,5881.120869966964,5927.529682242795,5964.42068428399,5992.489258090023,6011.7012210019275,6022.112212659021,6025.359492887776,6023.174761077702,6017.102808469492,6008.335867269423,5998.096031787234,5987.679437688521,5978.262296181996
