Year,AFE,AFN,AFW,AFZ,ANZ,ASC,ASE,ASO,BRA,CAN,CHL,CHN,ENE,ENW,EUE,EUM,EUW,IDN,IND,JPN,LAM,MDA,MEA,MEX,NIG,RUS,SKT,USA
2019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023,1.0,1.1534303499009406,2.445883355002282,2.616835266845821,1.1534303499009408,2.062915655676812,1.577230668615977,1.0,1.185503999967742,1.01923974674595,1.0,1.436793648257148,1.2205886084753463,1.2314753434699122,1.020768766983003,1.020768766983003,1.0207687669830028,1.0,1.5772306686159774,0.9659260287315926,1.0,1.0,1.2126697225322465,1.0,1.0,1.153430349900941,1.577230668615977,1.0192397467459497
2025,1.0,1.230145524851411,3.1688250325034235,3.4252529002687315,1.2301455248514113,2.5943734835152186,1.8658460029239654,1.0,1.2782559999516128,1.0288596201189248,1.0,1.6551904723857216,1.3308829127130195,1.3472130152048682,1.0311531504745044,1.0311531504745042,1.0311531504745044,1.0,1.8658460029239659,0.948889043097389,1.0,1.0,1.3190045837983695,1.0,1.0,1.2301455248514115,1.8658460029239652,1.0288596201189248
2030,1.0,1.2881429569337284,4.747764698267063,5.205366598376409,1.2881429569337284,3.7226416387938737,2.6212010569295496,1.0,1.5110027495581528,1.0698916870828041,1.0,2.2400389446468156,1.6075129315269214,1.5135891426964236,1.0839531865389087,1.0839531865389083,1.083953186538908,1.0,2.6212010569295505,0.8020675556140838,1.0,1.0,1.4601403045455712,1.0,1.0,1.2881429569337284,2.6212010569295496,1.0698916870828044
2035,1.0,1.3641101034966077,6.26090476573559,6.908600586094917,1.364110103496608,4.809931942379539,3.4829727783920257,1.0,1.7306594565833704,1.1310452903866066,1.0,2.67975997026866,1.905581760459485,1.5876091803817878,1.171777204183903,1.1717772041839027,1.1717772041839027,1.0,3.4829727783920257,0.7345258786073916,1.0,1.0,1.6362782666037148,1.0,1.0,1.3641101034966079,3.4829727783920243,1.1310452903866068
2040,1.0,1.478222916243401,7.681641349061555,8.502163439125914,1.4782229162434013,5.8435018764520255,4.393307561346544,1.0,1.9321270138455928,1.199280836373723,1.0,2.9238325437069927,2.159671539136075,1.6762966346670076,1.2296989325677519,1.2296989325677516,1.2296989325677514,1.0,4.393307561346544,0.7395777601835971,1.0,1.0,1.956901723362402,1.0,1.0,1.4782229162434017,4.393307561346543,1.199280836373723
2045,1.0,1.607220292158846,9.729909454135418,10.804292225555267,1.607220292158846,7.323069461950027,5.387404803737762,1.0,2.133613696451919,1.258604708786645,1.0,2.9634222085520685,2.4625071141316828,1.7436289207612607,1.2418124016440708,1.2418124016440704,1.2418124016440704,1.0,5.387404803737763,0.77618908795126,1.0,1.0,2.2718015888610443,1.0,1.0,1.607220292158846,5.387404803737761,1.2586047087866454
2050,1.0,1.7426119722782887,12.276728846970718,13.6700695813758,1.742611972278289,9.155356937892876,6.404658578953489,1.0,2.324593377364638,1.2999356000389328,1.0,2.880183861757969,2.818353811767416,1.7813701996326279,1.2325526909253477,1.2325526909253475,1.2325526909253475,1.0,6.404658578953488,0.7787104310580525,1.0,1.0,2.518684016934818,1.0,1.0,1.742611972278289,6.4046585789534864,1.299935600038933
2060,1.0,1.7426119722782887,12.276728846970718,13.6700695813758,1.742611972278289,9.155356937892876,6.404658578953489,1.0,2.324593377364638,1.2999356000389328,1.0,2.880183861757969,2.818353811767416,1.7813701996326279,1.2325526909253477,1.2325526909253475,1.2325526909253475,1.0,6.404658578953488,0.7787104310580525,1.0,1.0,2.518684016934818,1.0,1.0,1.742611972278289,6.4046585789534864,1.299935600038933
2070,1.0,1.7426119722782887,12.276728846970718,13.6700695813758,1.742611972278289,9.155356937892876,6.404658578953489,1.0,2.324593377364638,1.2999356000389328,1.0,2.880183861757969,2.818353811767416,1.7813701996326279,1.2325526909253477,1.2325526909253475,1.2325526909253475,1.0,6.404658578953488,0.7787104310580525,1.0,1.0,2.518684016934818,1.0,1.0,1.742611972278289,6.4046585789534864,1.299935600038933
2080,1.0,1.7426119722782887,12.276728846970718,13.6700695813758,1.742611972278289,9.155356937892876,6.404658578953489,1.0,2.324593377364638,1.2999356000389328,1.0,2.880183861757969,2.818353811767416,1.7813701996326279,1.2325526909253477,1.2325526909253475,1.2325526909253475,1.0,6.404658578953488,0.7787104310580525,1.0,1.0,2.518684016934818,1.0,1.0,1.742611972278289,6.4046585789534864,1.299935600038933
2090,1.0,1.7426119722782887,12.276728846970718,13.6700695813758,1.742611972278289,9.155356937892876,6.404658578953489,1.0,2.324593377364638,1.2999356000389328,1.0,2.880183861757969,2.818353811767416,1.7813701996326279,1.2325526909253477,1.2325526909253475,1.2325526909253475,1.0,6.404658578953488,0.7787104310580525,1.0,1.0,2.518684016934818,1.0,1.0,1.742611972278289,6.4046585789534864,1.299935600038933
2100,1.0,1.7426119722782887,12.276728846970718,13.6700695813758,1.742611972278289,9.155356937892876,6.404658578953489,1.0,2.324593377364638,1.2999356000389328,1.0,2.880183861757969,2.818353811767416,1.7813701996326279,1.2325526909253477,1.2325526909253475,1.2325526909253475,1.0,6.404658578953488,0.7787104310580525,1.0,1.0,2.518684016934818,1.0,1.0,1.742611972278289,6.4046585789534864,1.299935600038933
