OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,0.0,3.835758747523532,7.671517495047042,11.507276242570574,15.343034990094061,19.178793737617617,35.79122377530739,37.3942093087388,38.95795584193049,40.11379961980226,41.15908798147443,42.19334622275879,43.341090008469905,44.73306992558803,46.404504209132,48.36435002717672,50.57907912191115,52.958810438237606,55.42099773269646,57.94445725858171,60.52600011903158,63.17557130782654,65.91124734973421,68.70460055864966,71.54863035952299,74.45602099768038,77.41511548003123,80.41093353841045,83.401392535399,86.36984847061953,89.33426096084077,92.3605032906602
AFW,0.0,36.14708387505705,72.29416775011413,108.44125162517119,144.5883355002282,180.73541937528526,233.29370650313166,267.47351531243197,300.6868296492518,333.054132343829,365.28709107292235,397.6179226256276,430.06930082020307,462.44088184095756,494.3376709157369,525.3344755271308,555.1583873748905,583.9021325447437,612.0685395606265,640.5749195044822,670.6060585248155,703.2129585916263,739.0332158755567,778.4255673004827,821.4542156692416,867.7063185196535,916.5506047117839,967.438239158108,1019.766728230213,1073.097385696926,1127.1901078690812,1181.7362156289962
AFZ,0.0,40.42088167114552,80.84176334229107,121.2626450134366,161.6835266845821,202.10440835572768,259.4172304400966,297.9059543115443,335.30553623697006,371.8011581448393,408.1592895914031,444.62969838260096,481.2215877823995,517.6908203354833,553.5854972772228,588.4230013958734,621.8987617498749,654.1296577517824,685.6959450623295,717.639068859307,751.3009479718086,787.8702842937163,828.066617453166,872.2998943832288,920.6437359108637,972.6290154352018,1027.5425058592332,1084.7647594683922,1143.6191574398108,1203.6111902930763,1264.4666204746964,1325.8272270662385
ANZ,0.0,3.83575874752351,7.67151749504702,11.507276242570551,15.343034990094084,19.178793737617617,35.791223775307344,37.39420930873878,38.95795584193045,40.11379961980226,41.159087981474386,42.19334622275879,43.341090008469884,44.73306992558801,46.40450420913203,48.3643500271767,50.57907912191113,52.958810438237606,55.42099773269646,57.944457258581686,60.52600011903158,63.175571307826516,65.91124734973421,68.70460055864964,71.54863035952297,74.45602099768038,77.41511548003123,80.41093353841046,83.40139253539898,86.3698484706195,89.33426096084074,92.36050329066019
ASC,0.0,26.572891391920294,53.14578278384063,79.71867417576091,106.29156556768118,132.86445695960154,174.7716007686856,199.29854714349173,223.13375479592153,246.25276717220981,269.2444843855268,292.30180531112336,315.47758059961996,338.6695732609895,361.61026525525034,384.0031072772073,405.64612190282486,426.5779267617977,447.12789755074135,467.935259259542,489.8327882783731,513.5630102198924,539.5799509333991,568.12762631279,599.2491408356973,632.6577401712173,667.9057515024101,704.6025266554241,742.3116277942427,780.7194243311155,819.6622795046212,858.9424980945274
ASE,0.0,14.430766715399423,28.861533430798847,43.29230014619827,57.723066861597694,72.15383357699716,84.17742941227205,98.03289177773176,112.37494902222966,127.27279801113794,142.72686945283598,158.7384338693937,175.2226557177861,192.05557165324234,209.1438539283019,226.40898157712596,243.80381447980795,261.33132922043,279.0088165746616,296.90442376925375,315.10978691344906,333.66284891587446,352.6255348946135,371.98410819815047,391.66355036441337,411.62414391029534,431.79006541848094,452.0375072872704,472.2408997714881,492.35110543033915,512.3486430497064,532.2030604274782
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,0.0,4.637599999193531,9.275199998387084,13.912799997580638,18.550399996774193,23.187999995967722,27.75227597659924,32.75374370608246,37.51175466680075,42.08810205104609,46.56563349996048,51.01359999112898,55.455114731452525,59.89435253314672,64.30948758035302,68.68148102882844,72.96667062569577,77.13309147923799,81.19675115623978,85.1914145321287,89.14719764985404,93.10186965990259,97.077137743766,101.08586018943542,105.13171331547736,109.1913475444832,113.23898013144134,117.24198983033425,121.1772787426865,125.01110046177163,128.72078952363773,132.32599314198703
CAN,0.0,0.4809936686487326,0.9619873372974874,1.44298100594622,1.923974674594997,2.4049683432437075,1.252853830959233,1.8266266098459383,2.5223312753716476,3.374394795667235,4.301687088549522,5.2909303551361475,6.377431798847444,7.52805988801053,8.733086271094258,10.003399579502537,11.309221612247299,12.637688165624073,14.008666183294016,15.389347690035727,16.726125949964988,18.02446597484608,19.305445511678588,20.561962101415986,21.741577500371267,22.82712786114658,23.862688473477878,24.811907467489736,25.696223463246916,26.518025136664235,27.248814267525102,27.93017310290424
CHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,0.0,10.919841206428703,21.839682412857407,32.75952361928609,43.67936482571479,54.5992060321435,62.64790238694735,74.14781728778361,85.84183528371531,97.50528250767377,109.01407081758663,120.11825327071568,130.54491151791936,140.10400376126265,148.722294788463,156.43056879376584,163.32760207136738,169.50123347423482,175.01801806728494,179.8862248598097,184.01309130676592,187.31148354134115,189.73401565272155,191.26337695385763,191.95901976229956,191.90297340953205,191.20177656240523,190.00490180207322,188.48889658212875,186.766861075248,184.91636931887138,183.02232970714164
