OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,79.15172672395454,82.18779600558454,85.22386528721454,88.25993456884454,91.29600385047452,94.33207313210454,107.48109835774488,108.74988908659104,109.98762146919825,110.90249177761514,111.7298555651232,112.54848882188456,113.4569478466418,114.55872398669148,115.88169308317268,117.43294488928228,119.1859412100224,121.06953963828548,123.01840339702748,125.01576518494576,127.0591009351108,129.15628228182243,131.3216171065659,133.53260440492147,135.78370310085654,138.08495299356872,140.4271273717427,142.79836909445788,145.16536902754618,147.51495315731293,149.86133683054362,152.25665988944695
AFW,37.71978173827559,51.35438288069852,64.98898402312146,78.6235851655444,92.25818630796732,105.89278745039024,125.71765864039011,138.61020792181807,151.13819759771394,163.34707352867542,175.5052752090779,187.70039430492784,199.94098333098407,212.15147303724171,224.18287225776663,235.87479930302416,247.12431375781483,257.9663916992896,268.5906989491949,279.34324324550084,290.67092333748866,302.97017487430736,316.4814977398947,331.34020671895126,347.57051896857723,365.0167112131153,383.4406693564056,402.63537400133055,422.37356586626595,442.4897734622975,462.89343020192626,483.46810299569074
AFZ,448.1450247040062,629.2891948547384,810.4333650054707,991.5775351562029,1172.721705306935,1353.8658754576675,1610.7104361462257,1783.1957372481816,1950.8001029070763,2114.3534167219773,2277.2905738750956,2440.7308963620612,2604.7156281524512,2768.15067938683,2929.010888234812,3085.1334296735977,3235.153384181892,3379.5945410319623,3521.0572870979518,3664.2088071291473,3815.0628435937006,3978.9465048876045,4159.084372055126,4357.313601880746,4573.964122437632,4806.933566204423,5053.025641431031,5309.464324003986,5573.217380332394,5842.068690783096,6114.789273404246,6389.773778972441
ANZ,506.8348901223889,526.2758537557596,545.7168173891304,565.1577810225011,584.598744655872,604.0397082892428,688.2372998174262,696.3617897844713,704.287402807766,710.145622349329,715.443508468672,720.6854900894675,726.5026560446629,733.5576959281143,742.0291080425825,751.9622904410375,763.1873102148434,775.2486188171547,787.7278430856327,800.517616400936,813.6017763211596,827.0307275446029,840.8960882057103,855.053776872847,869.4683121891513,884.2039823354851,899.2017056037257,914.3855567681787,929.5422463397206,944.5874167173271,959.6120935049142,974.9501454920919
ASC,127.62594024019634,161.53984272814083,195.45374521608534,229.3676477040298,263.28155019197425,297.1954526799188,350.6798389940736,381.98258491712863,412.4024927917454,441.90834971123064,471.25174498209356,500.6788676075857,530.2571687274846,559.8561674219948,589.1344412772776,617.713516454302,645.3356173665696,672.0500301270768,698.2771235655518,724.8327145855873,752.7796418852403,783.0655607591897,816.269925966537,852.7041650862036,892.4232906130534,935.0613296360907,980.0469355134966,1026.8815398403613,1075.0081347249052,1124.0264461806307,1173.7276312521954,1223.8593795559675
ASE,60.61201202830088,69.35879008561481,78.10556814292876,86.85234620024269,95.59912425755664,104.3459023148706,111.6336456687817,120.03172018431084,128.72472964645172,137.7546156675669,147.12163930867112,156.82657065875424,166.81798918827363,177.02075821978616,187.37830992777523,197.843051174982,208.38640938625844,219.0101887291065,229.7248694905547,240.5717570758784,251.6063939746339,262.8517781471621,274.3454436534843,286.0790644327316,298.0071702856494,310.1056876465996,322.3286584167588,334.6010403176927,346.8467230003516,359.0359232732104,371.1568331804253,383.1909950295894
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,1750.5457152900922,1831.729023368268,1912.912331446444,1994.09563952462,2075.278947602796,2156.462255680972,2236.361993293932,2323.914972334017,2407.206129339904,2487.317182391601,2565.698417321338,2643.562104150027,2721.312850130739,2799.023737259835,2876.312694652976,2952.846438638026,3027.860641518044,3100.79574325068,3171.931963610406,3241.860372177292,3311.108164050802,3380.336505476483,3449.925390589849,3520.099909600387,3590.924418145244,3661.990171197556,3732.845830019237,3802.920344785854,3871.809376225322,3938.922178060628,4003.861980983711,4066.972718452207
CAN,2126.3079866373664,2136.5353934290647,2146.762800220763,2156.9902070124613,2167.21761380416,2177.445020595858,2152.947517705945,2165.147694128564,2179.940517995046,2198.0580126783143,2217.775102761343,2238.809461346047,2261.911828318611,2286.3777252749783,2312.000297499575,2339.0110708315774,2366.7768690051,2395.024159429356,2424.175374514115,2453.532915661989,2481.956938566497,2509.5636462092534,2536.8012164081133,2563.518629009123,2588.6008854487136,2611.68302946885,2633.702237475321,2653.885556755674,2672.6888384005706,2690.1628730167627,2705.7017006717347,2720.189488006061
