OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,57.10245387976678,61.5607183258668,66.01898277196683,70.47724721806686,74.93551166416688,79.39377611026691,83.85204055636693,95.5402454254894,96.66807701150532,97.76830074769909,98.58153149370162,99.31697745138608,100.0446628161571,100.85219455439272,101.83156641077184,103.00755729753644,104.3864693159004,105.94471259097398,107.61904844043048,109.35139882255348,111.12685923686796,112.94318603330302,114.80737632934633,116.73214844039948,118.69750116143732,120.698509014658,122.74409640532008,124.82606168423096,126.93386500605152,129.03789778934757,131.12644961693113,133.21215654985306
AFW,16.533170658283368,19.5142142071335,22.495257755983626,25.476301304833754,28.457344853683885,31.438388402534017,34.41943195138414,38.213370084575985,39.55827525338161,40.91339163731414,42.242253992831266,43.593031655297196,44.983152038041325,46.431617907118294,47.953707677615945,49.541401137583314,51.177460189896735,52.84465522153087,54.51845155228096,56.18736968937949,57.87003359818186,59.57998788012215,61.31230865690331,63.08113923019906,64.89772931605548,66.74264468806884,68.5956392948574,70.45414699166548,72.3014002457272,74.12415433018833,75.92083765398492,77.66394436569242
AFZ,179.6471168071072,216.41050555446412,253.17389430182106,289.93728304917795,326.70067179653495,363.46406054389183,400.2274492912487,442.51178361116763,459.7593397434618,477.1649362436078,494.4322794135185,512.0526878048887,530.2081612789482,549.0887244001035,568.8310151352271,589.3085858857793,610.2848236287828,631.5456152413534,652.8082696053747,673.9618542111277,695.2680675502174,716.9107970055918,738.8185646270953,761.1721068916771,784.1377379454033,807.4577098067743,830.8529814918835,854.2951743678491,877.5666183693379,900.5113139227492,923.116889187705,945.0038619667023
ANZ,365.64604634343993,394.19379967996707,422.7415530164942,451.2893063530214,479.83705968954854,508.3848130260757,536.9325663626029,611.7760382078836,618.9979197970056,626.0430191210997,631.2504066646693,635.9597122803755,640.6193242327927,645.7902191299613,652.0614635836423,659.5917252285583,668.4213585194822,678.3993096242033,689.1206401802231,700.2134571270841,711.5823219800778,723.212867899917,735.1498997622474,747.4748571800245,760.0596657704036,772.8727860571933,785.9713639820661,799.3028816513588,812.7998489220832,826.2726721777889,839.6463657137488,853.0018424408925
ASC,66.64697556386483,75.87475797902563,85.10254039418643,94.33032280934722,103.55810522450803,112.78588763966883,122.01367005482965,136.63122063481953,140.3722286675167,144.1243587000455,147.67686026801763,151.24437729494133,154.9018596265481,158.7364086056344,162.82835397788295,167.1704388141801,171.72463103004944,176.43863701933253,181.2238268396683,186.02511996771085,190.87973813900012,195.81885843842454,200.83410041347338,205.96521512041087,211.2294314661522,216.57812419923073,221.96735231791666,227.3870873880187,232.79237100859103,238.1375217934542,243.41320288202172,248.55996138102284
ASE,23.0,37.02299198353736,51.04598396707472,65.06897595061207,79.09196793414944,93.1149599176868,107.13795190122416,114.62069803306268,123.24348516266738,132.1690990005862,141.44060341754417,151.05826645993102,161.02287882249723,171.28164408393002,181.7574150869826,192.3921103849008,203.13686336062173,213.96233690445564,224.87038345916037,235.87176373946116,247.00888838559857,258.3387860728014,269.885070132443,281.6862789472294,293.73386367059294,305.9811374282755,318.4033825029522,330.9534110657583,343.5541728843499,356.1275210767242,368.64287552358326,381.0881123161083
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,760.8000000000001,1006.3799551717982,1251.9599103435962,1497.5398655153942,1743.1198206871925,1988.6997758589905,2234.2797310307883,2317.062707543837,2407.775098148073,2494.071875836672,2577.073793256469,2658.283470836183,2738.95692422326,2819.5133612114746,2900.028501013043,2980.106485443828,3059.4020040531705,3137.12314783518,3212.6901646251117,3286.3933861274445,3358.845211088737,3430.591858818849,3502.318354217876,3574.418403780174,3647.125220255647,3720.505481600412,3794.135692932388,3867.548228633887,3940.151432141119,4011.526373311578,4081.0609883683856,4148.344190300599
CAN,1550.0,1666.28610807978,1782.57221615956,1898.85832423934,2015.14443231912,2131.4305403989,2247.7166484786803,2222.4285495503573,2235.022456354027,2250.2926818560263,2268.9948736648284,2289.3482838405075,2311.0614740858223,2334.909412551467,2360.1648855432686,2386.614362623665,2414.4968415530348,2443.1587118747225,2472.317613413205,2502.409611534685,2532.714594380322,2562.05593200074,2590.5535775400645,2618.6701726416622,2646.249823351341,2672.1415472972585,2695.968610164933,2718.69843340011,2739.533119162047,2758.9432300027347,2776.9811956695603,2793.0215003787757
CHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,11400.0,13299.972742715723,15199.945485431444,17099.918228147166,18999.89097086289,20899.86371357861,22799.83645629433,23986.83453529964,25682.80818050616,27407.40757960509,29127.49849111716,30824.780760610636,32462.392947697528,34000.085856498685,35409.832681288615,36680.832908237135,37817.62649982045,38834.78069355054,39745.24970525784,40558.84888027557,41276.79770778707,41885.41584032784,42371.85303135319,42729.12094602872,42954.66665511366,43057.25801163831,43048.99246028222,42945.58201045857,42769.07043905657,42545.49444556516,42291.53371098899,42018.62862633848
