OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,0.0,7.8074831170779735,15.614966234155947,23.422449351233922,31.229932468311894,39.037415585389866,46.844898702467816,67.31372985591145,69.28883164118784,71.21558550453383,72.63974627302699,73.92768734686068,75.20203777373237,76.6162182219771,78.33133165377681,80.39077184743422,82.80557528349559,85.5344304713209,88.46659141309397,91.50034962210296,94.60960376738512,97.7904246831718,101.05506598907522,104.42580048518968,107.86760129672052,111.37184273866265,114.95415357064407,118.60017075108713,122.2914364999439,125.97609913760608,129.6336509338584,133.286220641832
AFW,0.0,18.030682743582418,36.06136548716481,54.092048230747224,72.12273097432964,90.15341371791206,108.18409646149445,131.13152869701076,139.2661158043652,147.4624649012252,155.50001790894999,163.670124480669,172.07819339543374,180.83916186914428,190.04544057972578,199.648519703402,209.5441355300839,219.62807566529835,229.75194340576402,239.84630565238115,250.02380846524503,260.36637564296643,270.84422537055787,281.542902653064,292.53045079735347,303.68932292264077,314.89706186810554,326.13814644420245,337.3111591242368,348.3359898849832,359.20313304180064,369.7462209209195
AFZ,0.0,20.464224197280558,40.92844839456114,61.39267259184169,81.85689678912232,102.32112098640287,122.78534518368338,146.3227862912526,155.92358392098214,165.6123542221693,175.22416624387355,185.0325109056417,195.13869785522328,205.6485036660385,216.6379874306577,228.03676249284788,239.7131189609154,251.54787144146815,263.3836608167308,275.1587368556446,287.0187731967604,299.06613017082907,311.2610198027214,323.7040484813189,336.4877944505821,349.4687831109292,362.4916871802605,375.540709782241,388.49468556270176,401.2667778518575,413.8500999038491,426.03341415235894
ANZ,0.0,7.8074831170779735,15.614966234155926,23.422449351233897,31.229932468311873,39.03741558538982,46.844898702467816,67.31372985591138,69.2888316411878,71.21558550453382,72.63974627302696,73.92768734686067,75.2020377737324,76.61621822197708,78.33133165377681,80.39077184743422,82.80557528349557,85.53443047132087,88.46659141309394,91.50034962210296,94.60960376738512,97.7904246831718,101.05506598907512,104.42580048518964,107.86760129672052,111.37184273866261,114.95415357064402,118.60017075108713,122.2914364999439,125.97609913760608,129.63365093385835,133.286220641832
ASC,0.0,13.845763197938709,27.691526395877418,41.537289593816105,55.383052791754835,69.22881598969354,83.07457918763228,105.00738327411709,110.6205532657731,116.25041118623236,121.58073793837123,126.93359453349925,132.42143895653982,138.17496182332292,144.3146933529666,150.82974493566948,157.66305158963044,164.73614973009427,171.91605516443818,179.1201226970176,186.40420142709786,193.81507079909434,201.34015642018593,209.0391024916706,216.93776000944024,224.96316954652139,233.04940012651474,241.18140465372474,249.29172560203648,257.3118206470714,265.2276803600333,272.95009905264027
ASE,0.0,60.96953036320591,121.93906072641182,182.9085910896177,243.87812145282365,304.8476518160296,365.81718217923543,398.350861013316,435.8412398376843,474.6482565242878,514.9591452936703,556.7750715649174,600.0994731412924,644.7028003649132,690.2496308129679,736.4874364560904,783.2037537418336,830.2710300193723,877.6973193876538,925.5294075628746,973.9516886330373,1023.212113360006,1073.413348401926,1124.7229519444759,1177.1037550895346,1230.3527714272846,1284.3625326215313,1338.9278741989492,1393.7137951493473,1448.3805264205398,1502.7951109721012,1556.9048361569926
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,0.0,32.279173918480296,64.55834783696058,96.83752175544087,129.11669567392119,161.39586959240145,193.6750435108817,204.55608669083028,216.47937672819043,227.82227600376865,238.73209690542438,249.40634474713232,260.0101109652024,270.5984964789004,281.18145386606767,291.70695129387855,302.129600953361,312.34531385846213,322.27788704325866,331.9654818779501,341.48859241439754,350.9190140403323,360.3467868320026,369.8236598028619,379.3802865740861,389.0254313354905,398.7034296703979,408.3528165922564,417.89582441392207,427.27738871077514,436.41705945956693,445.2608031415087
CAN,0.0,7.502329553534182,15.004659107068385,22.506988660602566,30.00931821413677,37.51164776767097,45.013977321205175,43.382487067765,44.194997184130756,45.18017302296944,46.386766042892155,47.69988928003275,49.10074026360143,50.63931693880433,52.26870229311411,53.975120169268706,55.77398977761514,57.62314270159501,59.504362155690636,61.44578138933452,63.400941572924,65.29393109682194,67.13248887355255,68.94646275107499,70.72579505492523,72.39622885788765,73.93345872031827,75.39989892903935,76.74407220400303,77.99633741953127,79.16007713997163,80.19493550830812
