OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,0.0,7.8074831170779735,15.614966234155947,23.422449351233922,31.229932468311894,39.037415585389866,56.93803573519101,78.81375755733926,80.92461464054239,82.98380068875085,84.50584875138934,85.88231428785772,87.24425504711262,88.75563680898313,90.58863567668685,92.78962802686416,95.37040891398183,98.28682737160099,101.42052546208546,104.66280393702294,107.98576743438471,111.38521672380412,114.87424765681963,118.47666391696423,122.15503111614,125.90013069739632,129.72866563685776,133.62528567345063,137.57026436267253,141.50818608696204,145.41713355177382,149.32075649285187
AFW,0.0,18.030682743582418,36.06136548716481,54.092048230747224,72.12273097432964,90.15341371791206,134.52863349252985,159.91760009756203,169.48778313624305,179.13746632995125,188.65042476629816,198.33751017940648,208.31225834266198,218.6963406584756,229.58350667577227,240.9107293527817,252.5514200367182,264.38470308871916,276.2440586253427,288.05696005004194,299.9617037526562,312.05724305944875,324.3064367450911,336.8097646649371,349.6528433761249,362.69523131057883,375.7879629208468,388.91392156869705,401.95312577844567,414.81482553574705,427.4898023639949,439.7755781502722
AFZ,0.0,20.464224197280558,40.92844839456114,61.39267259184169,81.85689678912232,102.32112098640287,152.99838297978164,179.22364615814607,190.56945518404152,202.0259884963624,213.44111184757506,225.10646617008626,237.13141628733797,249.6275658025725,262.66999552323284,276.1696358999577,289.9669572731908,303.92282038038144,317.85924081661807,331.7123025623766,345.659862471168,359.8254284149738,374.159900680562,388.7820112018386,403.80666771552234,419.0621921865877,434.3601831537375,449.6831035084181,464.88710695930695,479.8730324541781,494.6346843567298,508.91575683731605
ANZ,0.0,7.8074831170779735,15.614966234155926,23.422449351233897,31.229932468311873,39.03741558538982,56.93803573519101,78.81375755733926,80.92461464054234,82.98380068875089,84.50584875138934,85.88231428785771,87.24425504711257,88.75563680898313,90.58863567668686,92.7896280268642,95.37040891398183,98.28682737160096,101.42052546208546,104.66280393702294,107.98576743438471,111.38521672380408,114.87424765681959,118.47666391696423,122.15503111614,125.90013069739632,129.7286656368577,133.62528567345063,137.57026436267248,141.50818608696204,145.41713355177376,149.32075649285187
ASC,0.0,13.845763197938709,27.691526395877418,41.537289593816105,55.383052791754835,69.22881598969354,102.76652172949348,126.71732344509081,133.23399289420297,139.7764668945193,146.0183049153243,152.3033951773258,158.75244616506876,165.5044427027104,172.68523865406195,180.27659183148842,188.20856166719088,196.39168016306385,204.67914277682323,212.9836154501351,221.37536312122617,229.9111130847654,238.57428892219485,247.4339827020834,256.5254394418709,265.7619343905409,275.0623192660516,284.4102005057801,293.72663654863567,302.93534169801444,312.0218991506276,320.8763973958205
ASE,0.0,60.96953036320591,121.93906072641182,182.9085910896177,243.87812145282365,304.8476518160296,330.99394434403064,361.0954929797506,395.7831920656317,431.6891007136049,468.9864560182116,507.67633627494575,547.7619222861588,589.0308249080869,631.1726969947687,673.9538888321152,717.1778200705777,760.7264735519369,804.6073012723964,848.8635913740302,893.6659531394974,939.2438011995748,985.6921271295827,1033.1659629165654,1081.6309183091087,1130.8991816146386,1180.8713185403026,1231.357502156178,1282.0477752252525,1332.6277689144952,1382.9744656936948,1433.0390935713212
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,0.0,32.279173918480296,64.55834783696058,96.83752175544087,129.11669567392119,161.39586959240145,169.27433529139378,179.2513004244526,190.18391478934223,200.5843615763548,210.58771336383026,220.37506525437323,230.0977916591122,239.8064153028657,249.510061829238,259.161022597309,268.71768095506354,278.0845964040669,287.1918974879265,296.07457484619937,304.8064344858604,313.4533064995087,322.0977497637564,330.78721359889005,339.54980469510616,348.39355904810486,357.2674372552154,366.11508129840627,374.8651850087488,383.46725912382436,391.8475380070447,399.9564776464938
CAN,0.0,7.502329553534182,15.004659107068385,22.506988660602566,30.00931821413677,37.51164776767097,39.075520670316145,37.51084145347645,38.29007852821151,39.23491050419976,40.392092422679404,41.65144204733737,42.99492688597331,44.47049742164029,46.03315793691796,47.66969642094063,49.39490065311367,51.16832905258375,52.97251082806851,54.83442714638542,56.709521710023836,58.524991560053685,60.28825869336523,62.02794866090531,63.73441565929237,65.33644365124039,66.81072252736524,68.21711065164955,69.50623878633013,70.70722258171386,71.82330608300613,72.81578604290434
CHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,0.0,16.666427567681772,33.332855135363545,49.999282703045324,66.66571027072709,83.33213783840885,80.83430241111911,90.24884229133852,103.70026382352657,117.37872725779357,131.0214321369823,144.4832328734468,157.47176715699217,169.6678030811365,180.84904923287363,190.92984256861521,199.9461912829345,208.01363375868726,215.23491488123577,221.68788394259823,227.38221318214335,232.20939848427236,236.06751958415458,238.9011493011076,240.69003936803335,241.5037310112217,241.43817373337066,240.61798554510335,239.21800414860704,237.44473665625483,235.43047605552937,233.2659605028926
ENE,0.0,68.00348736995232,136.00697473990465,204.01046210985695,272.01394947980924,340.0174368497615,307.7948453724926,302.28694291514887,306.7100082079447,311.512480514226,317.55334380607667,324.4432331296812,332.1679615690469,340.5739793292943,349.4678643884465,358.5765490574266,367.55448622574846,376.1394968556524,384.1357424360722,391.4583322446311,398.069360393064,403.95716028804117,409.1579461236618,413.74461527959977,417.7447531464387,421.12788796703893,423.97358096491223,426.40945132325294,428.52336127561034,430.3920301138195,427.64013471003705,425.19142180210497
