OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,57.10245387976678,61.5607183258668,66.01898277196683,70.47724721806686,74.93551166416688,79.39377611026691,89.61546947549935,102.10704343985763,103.31239463226149,104.48824039573832,105.35736718873434,106.14336278686709,106.92106438079036,107.78410045430968,108.83078778735684,110.08760842901404,111.56129764481824,113.22664414952122,115.01606265637125,116.86748322717602,118.7649769256985,120.7061458883553,122.69846816773128,124.75553625123756,126.85597418467538,128.9945179458136,131.1807053438903,133.40577100315554,135.6584506397351,137.90710057616883,140.13920549944729,142.36826998901637
AFW,16.533170658283368,19.5142142071335,22.495257755983626,25.476301304833754,28.457344853683885,31.438388402534017,38.77501921785988,42.97262039504443,44.55487508913965,46.15027367953911,47.72306733247191,49.32464969563479,50.97379183219981,52.6906098827699,54.49060362026019,56.36335267629393,58.287927932872044,60.24434481433708,62.20507230417963,64.15811945641994,66.1263510492044,68.12612720483615,70.15130730114707,72.21850384410001,74.34187196519835,76.49819222031698,78.66283588127358,80.83297302505838,82.98876690953819,85.11521367996883,87.21078922988093,89.24201750732021
AFZ,179.6471168071072,216.41050555446412,253.17389430182106,289.93728304917795,326.70067179653495,363.46406054389183,454.50430059178075,501.61722976678834,521.9996485602501,542.5809803418804,563.0879203223087,584.0443930280334,605.6468692111689,628.095841527193,651.5261904819527,675.777905198067,700.564395241691,725.6357009393057,750.6720784391214,775.5587044548847,800.6150936959725,826.0631244934292,851.8145906280727,878.0827905958948,905.0741528328988,932.4802626989706,959.962662400867,987.4898470287,1014.8034008674748,1041.725183945872,1068.2440659819076,1093.899600942414
ANZ,365.64604634343993,394.19379967996707,422.7415530164942,451.2893063530214,479.83705968954854,508.3848130260757,573.8377228747809,653.825434826555,661.5437002952476,669.0730326673778,674.6383412318622,679.6713330452388,684.6512155849941,690.1775232424296,696.8798111317084,704.9276526404533,714.3641759189861,725.0279447041008,736.4861878762972,748.3414509313504,760.4917355808894,772.9216875051017,785.6791911673726,798.8512837954245,812.3010880292046,825.9948965796931,839.9937832187109,854.2416203235393,868.6662789297702,883.0651340227344,897.3580458814606,911.6314888296681
ASC,66.64697556386483,75.87475797902563,85.10254039418643,94.33032280934722,103.55810522450803,112.78588763966883,135.13775418875417,151.10023915549806,155.44340225082567,159.80376329908873,163.96375955955065,168.15258213063362,172.45067956653588,176.9506810490509,181.73646437203917,186.79587166916525,192.082289667299,197.53609065160558,203.0594338346622,208.5941137079522,214.18695972768546,219.87577892007806,225.6495236035043,231.55424155201987,237.61342250378542,243.7692670351831,249.9676922705101,256.19777239609107,262.4068952489961,268.5442187196509,274.6001344446905,280.5013897264671
ASE,23.0,37.02299198353736,51.04598396707472,65.06897595061207,79.09196793414944,93.1149599176868,99.12860719912706,106.05196338534265,114.0301341750953,122.28849316412912,130.86688488418866,139.76555734323753,148.9852421258165,158.47708972885997,168.1697203087968,178.0093944313865,187.95089861623288,197.9670889169455,208.05967929265117,218.23862601602696,228.54316922208443,239.02607427590223,249.709189239804,260.62817147081,271.775111211095,283.1068117713669,294.6004032642696,306.21222549592096,317.8709883018081,329.5043868503339,341.0841271095498,352.5989915214039
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,760.8000000000001,1006.3799551717982,1251.9599103435962,1497.5398655153942,1743.1198206871925,1988.6997758589905,2048.639142896924,2124.5438936292358,2207.719223717316,2286.845822872908,2362.951323272021,2437.413496455272,2511.383998942526,2585.2472076242025,2659.072550396843,2732.497059920327,2805.204116706124,2876.467609442141,2945.755956088145,3013.3353654298853,3079.767353568426,3145.5527558482627,3211.3196802026587,3277.429121060356,3344.094914120368,3411.378197237982,3478.890662637679,3546.203538518275,3612.7743275465614,3678.218907414056,3741.9760691575966,3803.668881934525
CAN,1550.0,1666.28610807978,1782.57221615956,1898.85832423934,2015.14443231912,2131.4305403989,2155.6705703899,2131.418042528885,2143.4962171872785,2158.141112815096,2176.077432551531,2195.5973517337293,2216.421366732586,2239.2927100354245,2263.5139480222283,2288.8802945245798,2315.6209601232617,2343.109100315048,2371.073917835062,2399.933620768974,2428.9975865053693,2457.137369180832,2484.468009747161,2511.4332042440324,2537.883442719032,2562.714876594226,2585.5661991741613,2607.365215100568,2627.346701188117,2645.961950016565,2663.2612442865952,2678.644683665017
