Year,AFE,AFN,AFW,AFZ,ANZ,ASC,ASE,ASO,BRA,CAN,CHL,CHN,ENE,ENW,EUE,EUM,EUW,IDN,IND,JPN,LAM,MDA,MEA,MEX,NIG,RUS,SKT,USA
2019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023,1.0,4.129528220363679,7.633428678220714,3.116788894183025,0.2558171622210749,12.497599104949733,4.721243261756736,1.0,0.887211331422265,0.4970342941418061,1.0,1.4590441284371538,1.0071681787688525,1.2314753434699122,3.1351570137049176,0.5099334193848354,1.7892384719791106,16.30762341412105,1.5133314054679035,0.9659260287315926,0.5556318640110222,0.6740511526102784,1.2126697225322465,52.46242175466324,1.0,2.041966353295474,0.6832287024236314,1.2499816909198733
2025,1.0,5.694292330545518,10.95014301733107,4.175183341274537,0.030437127720990095,18.246398657424596,6.581864892635104,1.0,0.8308169971333973,0.24555144121270908,1.0,1.6885661926557307,1.0107522681532783,1.3472130152048682,4.202735520557376,0.2649001290772531,2.183857707968666,23.961435121181573,1.7699971082018553,0.948889043097389,0.3334477960165333,0.5110767289154176,1.3683574795870248,78.19363263199484,1.0,2.5629495299432112,0.524843053635447,1.37497253637981
2030,1.0,5.962760024835235,17.49870638052176,5.359160019302086,0.03187214106869313,27.293411984155334,9.246417542555188,1.0,0.9820933890361023,0.2553443060330355,1.0,2.2869262403349033,1.0625076802238453,1.5135891426964236,4.417935936666726,0.27846429882479057,2.295681800914715,33.66180218880016,2.4865494169992406,0.8020675556140838,0.39416246560482426,0.5372463330193221,1.5147740436335233,92.43124531342457,1.0,2.6837844135324858,0.7373165656519766,1.4298079717327012
2035,1.0,6.314408778017249,23.73423909621287,6.526726781724836,0.033751773759152934,35.96504767035438,12.286360297783055,1.0,1.124861759173078,0.2699394511169326,1.0,2.7420623923214436,1.1485941407968099,1.5876091803817878,4.775885789552137,0.3010260236272958,2.481682452506129,44.72878583092956,3.304051747056688,0.7345258786073916,0.4514624468609896,0.5807750868591947,1.6975025199269156,105.86811230636943,1.0,2.842058340186795,0.9797239782252815,1.5115339170406479
2040,1.0,6.842632229075636,29.50476368597953,7.692102959883078,0.036575233411696974,44.11057349119188,15.497611676022931,1.0,1.2558078849497114,0.2862247988275714,1.0,3.0024187742950654,1.2053699149021337,1.6762966346670076,5.011961008038217,0.3159059406582417,2.6043536705805037,56.419422574871234,4.16762244410243,0.7395777601835971,0.5040175789632177,0.6094831865841701,2.0301226719535164,118.1923104016054,1.0,3.0798069429996358,1.235791674362947,1.6027242018010912
2045,1.0,7.439755702271654,37.89401416444641,9.314846948316532,0.03976697741847635,55.851074004492155,19.004339310193476,1.0,1.3867664414608447,0.3003832535715025,1.0,3.059790566620782,1.2172437246640102,1.7436289207612607,5.061332633136575,0.3190178542672082,2.630008533585466,69.18574763083747,5.110652705735227,0.77618908795126,0.5565777001316734,0.6154870591888304,2.3568050744021534,130.51767843473397,1.0,3.3485668232636656,1.5154208782144747,1.6820048866724049
2050,1.0,8.066478142949506,48.374439096944975,11.292180726480712,0.043116933807296844,70.44721579395085,22.592752769557485,1.0,1.5108958529522871,0.3102474369014226,1.0,2.994748564751186,1.208167212986685,1.7813701996326279,5.023592249829057,0.3166390625586448,2.610397585767154,82.24945186924236,6.075649944316351,0.7787104310580525,0.606396948925888,0.6108976122549291,2.6129250463741345,142.2003108730171,1.0,3.630648931364056,1.8015637736462178,1.7372396721229482
2060,1.0,8.066478142949506,48.374439096944975,11.292180726480712,0.043116933807296844,70.44721579395085,22.592752769557485,1.0,1.5108958529522871,0.3102474369014226,1.0,2.994748564751186,1.208167212986685,1.7813701996326279,5.023592249829057,0.3166390625586448,2.610397585767154,82.24945186924236,6.075649944316351,0.7787104310580525,0.606396948925888,0.6108976122549291,2.6129250463741345,142.2003108730171,1.0,3.630648931364056,1.8015637736462178,1.7372396721229482
2070,1.0,8.066478142949506,48.374439096944975,11.292180726480712,0.043116933807296844,70.44721579395085,22.592752769557485,1.0,1.5108958529522871,0.3102474369014226,1.0,2.994748564751186,1.208167212986685,1.7813701996326279,5.023592249829057,0.3166390625586448,2.610397585767154,82.24945186924236,6.075649944316351,0.7787104310580525,0.606396948925888,0.6108976122549291,2.6129250463741345,142.2003108730171,1.0,3.630648931364056,1.8015637736462178,1.7372396721229482
