OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,40.0,79.34694215193196,118.6938843038639,158.0408264557958,197.3877686077278,236.7347107596597,276.0816529115916,314.5649014816423,318.27827096445014,321.9007419937241,324.5782926778244,326.9997380508584,329.3956317819181,332.0544185638664,335.2789864948338,339.15091979153976,343.6909680327471,348.82146189033546,354.3341889006739,360.037927936065,365.8836061403246,371.8638363274519,378.0016564074225,384.3389412531082,390.809837180962,397.3981271252583,404.1331945635929,410.9880356824548,417.9279481907209,424.85544625443305,431.7319734912769,438.5991339528423
AFW,10.0,24.802464935267288,39.604929870534576,54.40739480580186,69.20985974106915,84.01232467633643,98.81478961160373,106.30633916967905,113.15509490262501,120.10614615124106,127.2919559313411,134.7230824951326,142.41122475030505,150.35349176414306,158.51758405627214,166.8188520763651,175.1406488790888,183.40794585890995,191.5551282716855,199.59111067013038,207.65317515299742,215.82920976804056,224.07866906918485,232.47238320195183,241.1085699346515,249.87245007294234,258.6249051852219,267.3612796979736,275.9912906497029,284.47321775000876,292.8135087851804,300.8224491106737
AFZ,50.0,162.14941122331587,274.29882244663173,386.44823366994757,498.59764489326346,610.7470561165793,722.8964673398951,817.6264231676897,832.6520933671516,847.5692791891089,860.5626936714806,873.2092427778491,886.0445773320022,899.7220098965468,914.8994540680724,931.6811600409189,950.0022663097916,969.6140310174719,989.9798253652822,1010.6732659592858,1031.714614181106,1053.1714978161535,1075.0573679939373,1097.5355160228705,1120.5505064641936,1143.955188593552,1167.6827519236485,1191.6673017697208,1215.743173877711,1239.648550173264,1263.3019253113052,1286.6156796992818
ANZ,880.0,718.7959194224786,557.5918388449575,396.3877582674362,235.18367768991487,73.97959711239366,38.86216231691408,44.27919107141221,44.8018971841207,45.3118081312746,45.6887089799905,46.0295596020292,46.3668134908283,46.74107307090705,47.19497386805746,47.73999994519789,48.379072081342045,49.10125728617844,49.87724688789679,50.68012397106779,51.5029808789085,52.34477776679902,53.20875752678769,54.100814603830855,55.011679216643934,55.93906859766928,56.88711886194286,57.85202886377907,58.828913794440446,59.80405122701842,60.77201383821186,61.73865795128194
ASC,10.0,44.33307857293922,78.66615714587843,112.99923571881764,147.33231429175686,181.66539286469606,215.99847143763526,239.8066318719951,248.2471062265617,256.7516742550405,265.09154255724377,273.56897341316795,282.29332517907574,291.3838387988998,300.9363796901804,310.9006058605587,321.168327644166,331.6314162502308,342.13590565831595,352.60976422042444,363.16988164816905,373.9012658156813,384.7730121744422,395.873882284326,407.2744856159371,418.8528522369348,430.4819135842202,442.1455663642391,453.7385785189174,465.17783234586665,476.4534673674416,487.3928508270427
ASE,290.0,475.0669322588252,660.1338645176504,845.2007967764755,1030.2677290353008,1215.334661294126,1400.4015935529512,1498.2086677150542,1610.9172329142393,1727.5840500434642,1848.7720075294503,1974.484609010121,2104.732189667071,2238.8246467754657,2375.753588817366,2514.7598324301352,2655.20464141253,2796.704550013799,2939.283771537854,3083.08295942992,3228.656463732372,3376.749707017242,3527.6713394528197,3681.92509675177,3839.399236826961,3999.483514924328,4161.854845432128,4325.896435611974,4490.601160852622,4654.947562220558,4818.535926569915,4981.207782127356
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,1170.0,1161.348416527931,1152.6968330558618,1144.0452495837928,1135.3936661117236,1126.7420826396549,1118.0904991675857,1159.517209640115,1204.9120009380615,1248.0971070384,1289.6333811185273,1330.2727727225724,1370.6438240794746,1410.9563174492112,1451.2481446546394,1491.3212081753134,1531.0027058644002,1569.8963462802365,1607.712006669493,1644.5949764137445,1680.8517154475812,1716.7555658294457,1752.649331471423,1788.730033133576,1825.1143764174149,1861.8357286709056,1898.6821622658629,1935.4196654297027,1971.752158144532,2007.469997094142,2042.2668899713035,2075.9371183626586
CAN,1710.0,1521.401882620824,1332.803765241648,1144.2056478624722,955.6075304832962,767.0094131041202,578.4112957249442,571.9038375551381,575.1446632871003,579.0741936950375,583.8868817197258,589.1244824467142,594.711999232967,600.8488568291496,607.3479192742408,614.1542381755463,621.3293155041214,628.7049558286652,636.2084986049332,643.9521577695252,651.7506248968347,659.3011144671351,666.6344943629806,673.869817469697,680.9669671542107,687.6297578606135,693.7612434800038,699.6103733149215,704.971822052573,709.9666808881497,714.6084417171458,718.7361387900662
CHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,10610.0,12737.647948522921,14865.295897045842,16992.94384556876,19120.591794091684,21248.239742614598,23375.88769113752,24600.30911941753,26341.681679342,28113.05999287239,29881.248237202115,31627.82048604449,33315.6629391474,34904.041467647985,36364.43401613193,37685.73859133202,38872.33594003433,39938.77977576173,40898.12131364501,41760.28590632952,42526.66697980652,43183.711908853606,43718.57353532003,44124.365472480014,44398.483742098884,44549.57478560178,44589.72343314888,44534.5664499589,44405.99972427428,44229.93545827271,44023.049597726196,43796.81450674345
