Year,AFE,AFN,AFW,AFZ,ANZ,ASC,ASE,ASO,BRA,CAN,CHL,CHN,ENE,ENW,EUE,EUM,EUW,IDN,IND,JPN,LAM,MDA,MEA,MEX,NIG,RUS,SKT,USA
2019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023,1.0,1.4923169664933171,1.473146391320239,1.3214704541240716,0.7584340155979704,1.1978293197422782,1.933588313366953,1.0,1.1852163000613867,0.9328333765300826,1.0,1.3298854819751103,0.800592616237817,0.7720050625182274,1.666944383584796,0.6844841113409303,2.038567450233798,2.502338713645667,1.1512305592098533,1.316838617669989,0.8700147792846736,0.9675019498963021,1.1413794130175448,58.79058829726203,1.0,1.213091769592868,0.5583296298655901,1.293923436263381
2025,1.0,1.6708398987295014,1.3442173100847108,1.461083123290461,0.6515401395742129,1.3651192839599113,2.3460982798875056,1.0,1.2260136824572518,0.8820188152416935,1.0,1.4325718009951582,0.8339106461500698,0.7164933715466154,2.2235957833437108,0.5930573550948296,2.669116046545377,3.572022102104936,1.2358008526877766,1.507469266378046,0.8085418269244989,0.9598745450337636,1.1440091013059277,87.68588244589307,1.0,1.2648750736373893,0.3374944447983849,1.4710837132328791
2030,1.0,1.7340295898084488,1.732001358365345,1.6709256050729497,0.5898231854585695,1.5166811497181922,3.1709349740325896,1.0,1.3343901299745216,0.856477723567214,1.0,1.3472866583453613,0.9186617165839578,0.7097929346095821,2.248094153347159,0.5973251712828331,2.7077185580172634,4.8955325095452285,1.622386572025422,1.018562898932996,0.8279495401672629,0.9711195024979855,1.1033132441894025,104.326207991899,1.0,1.2095539234737496,0.4758474925683024,1.4904242638695104
2035,1.0,1.773470667337679,2.194293871139562,1.894566206115661,0.5834965132506321,1.7136932878523807,4.071221015405732,1.0,1.4177032533868397,0.7752426816335394,1.0,1.311188956609481,1.0288592707283433,0.5616751221511247,2.3245475218615304,0.5966632566480238,2.884918341046673,6.384916231112309,2.0126173434659202,0.7756267482443686,0.8255895415912459,1.0103431030030647,1.1330874761388703,120.0683874791143,1.0,1.2134825535163287,0.639899883294251,1.5477224325859233
2040,1.0,1.8813208530898258,2.667951983112456,2.1590869629225984,0.6034659607966707,1.9488033868109509,4.940711618271096,1.0,1.4671889923318355,0.6748995219809345,1.0,1.3080193776665707,1.1247816537645257,0.38128852265304525,2.3504400152235134,0.5802673030915604,3.010552429975286,7.876429835814339,2.351931749684605,0.7455050440466795,0.7936297357338562,1.0284052297488944,1.2256564908007703,134.63599489104536,1.0,1.2687451460689596,0.8137910388273218,1.6144199053994897
2045,1.0,2.0152405505525475,3.169278953265727,2.449271375067788,0.6340515628607744,2.2081051922132775,5.769009643426446,1.0,1.4922895908958982,0.5700516637684498,1.0,1.271780067576094,1.2026615799658578,0.2064760622198966,2.295522257728854,0.5460726028800181,3.0239512008172458,9.378203474651087,2.6178937866071315,0.8242229441279934,0.7371305452187854,1.0104741942322475,1.321684052428187,148.9035288346587,1.0,1.344281159078363,1.0030000657361249,1.6723466115313055
2050,1.0,2.1573582538667155,3.664008420540352,2.7410615971916905,0.666037588121373,2.468025796788655,6.507672915879263,1.0,1.4983083028630642,0.47163367405340634,1.0,1.1932228908066511,1.2645668492040454,0.10561136252641722,2.1870943507618894,0.5087159759103227,2.928037165311143,10.816153605941379,2.785219204849683,0.8381247786573446,0.6621993297450357,0.9661614707389318,1.3896583797476738,162.80469090948813,1.0,1.4238774688972338,1.2004627548225513,1.7100941176309632
2060,1.0,2.1573582538667155,3.664008420540352,2.7410615971916905,0.666037588121373,2.468025796788655,6.507672915879263,1.0,1.4983083028630642,0.47163367405340634,1.0,1.1932228908066511,1.2645668492040454,0.10561136252641722,2.1870943507618894,0.5087159759103227,2.928037165311143,10.816153605941379,2.785219204849683,0.8381247786573446,0.6621993297450357,0.9661614707389318,1.3896583797476738,162.80469090948813,1.0,1.4238774688972338,1.2004627548225513,1.7100941176309632
2070,1.0,2.1573582538667155,3.664008420540352,2.7410615971916905,0.666037588121373,2.468025796788655,6.507672915879263,1.0,1.4983083028630642,0.47163367405340634,1.0,1.1932228908066511,1.2645668492040454,0.10561136252641722,2.1870943507618894,0.5087159759103227,2.928037165311143,10.816153605941379,2.785219204849683,0.8381247786573446,0.6621993297450357,0.9661614707389318,1.3896583797476738,162.80469090948813,1.0,1.4238774688972338,1.2004627548225513,1.7100941176309632
2080,1.0,2.1573582538667155,3.664008420540352,2.7410615971916905,0.666037588121373,2.468025796788655,6.507672915879263,1.0,1.4983083028630642,0.47163367405340634,1.0,1.1932228908066511,1.2645668492040454,0.10561136252641722,2.1870943507618894,0.5087159759103227,2.928037165311143,10.816153605941379,2.785219204849683,0.8381247786573446,0.6621993297450357,0.9661614707389318,1.3896583797476738,162.80469090948813,1.0,1.4238774688972338,1.2004627548225513,1.7100941176309632
2090,1.0,2.1573582538667155,3.664008420540352,2.7410615971916905,0.666037588121373,2.468025796788655,6.507672915879263,1.0,1.4983083028630642,0.47163367405340634,1.0,1.1932228908066511,1.2645668492040454,0.10561136252641722,2.1870943507618894,0.5087159759103227,2.928037165311143,10.816153605941379,2.785219204849683,0.8381247786573446,0.6621993297450357,0.9661614707389318,1.3896583797476738,162.80469090948813,1.0,1.4238774688972338,1.2004627548225513,1.7100941176309632
2100,1.0,2.1573582538667155,3.664008420540352,2.7410615971916905,0.666037588121373,2.468025796788655,6.507672915879263,1.0,1.4983083028630642,0.47163367405340634,1.0,1.1932228908066511,1.2645668492040454,0.10561136252641722,2.1870943507618894,0.5087159759103227,2.928037165311143,10.816153605941379,2.785219204849683,0.8381247786573446,0.6621993297450357,0.9661614707389318,1.3896583797476738,162.80469090948813,1.0,1.4238774688972338,1.2004627548225513,1.7100941176309632
