OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,57.38908773873708,102.16675303204322,146.94441832534935,191.7220836186555,236.49974891196163,281.27741420526775,326.05507949857383,329.8907099093054,333.60915452966213,336.30055614259874,338.6383405101375,340.80332903765947,343.023240808338,345.53932535430664,348.3777138566359,351.5287139442659,354.9117139123649,358.3357072409033,361.6412102306674,364.8211429491087,367.9134004046081,370.98970862762985,374.1438915451832,377.35812525285496,380.6609413213249,384.1171969722293,387.717732523729,391.4277050002203,395.1303804742368,398.7572461142563,402.3163272373415,405.9315083776154
AFW,55.86026831081556,147.5518420915981,239.24341587238067,330.9349896531632,422.6265634339458,514.3181372147284,606.0097109955109,681.0769478511386,753.9614541898135,825.2645779790791,896.1779836096295,966.9810132575974,1037.4196114344238,1106.7149642606353,1173.7560562652573,1237.405077950759,1296.9115844866772,1352.3819931658456,1404.8013906851938,1456.0091290416676,1508.4685242165278,1564.4325139723614,1625.360669064625,1692.2791150967857,1765.634664265423,1844.8213927784777,1928.7350261719641,2016.3634704317276,2106.4665548229964,2198.0025031691744,2290.222026597165,2382.103243850182
AFZ,315.6764839845413,480.57326395192285,645.4700439193043,810.3668238866858,975.2636038540675,1140.1603838214492,1305.0571637888306,1383.1640217571671,1458.9868352030567,1531.0013438930687,1601.8475828120431,1672.1968960478416,1742.335126412435,1812.0943257121176,1880.5079805740415,1946.5029436214202,2009.2017703203464,2068.266161167935,2124.241496129917,2178.810598657626,2234.335449128691,2293.061031828869,2356.5500098968855,2425.709472592813,2501.017356251208,2582.062218714311,2667.8031064682104,2757.225506831148,2848.917049125116,2941.7588417522093,3035.077111787377,3128.211120681235
ANZ,1262.559930252216,1027.627782589602,792.695634926988,557.7634872643741,322.83133960176013,87.89919193914616,38.24490718521093,38.69481070850765,39.13096882509824,39.44665906075775,39.72087146159829,39.97481562777862,40.235202062363605,40.53032833390858,40.863259521467725,41.23285875015427,41.62967060165644,42.03129080415141,42.41901258182892,42.79200548799382,43.154714449805496,43.51555263286188,43.88552519428468,44.26254146408342,44.64994807704805,45.05535251601731,45.47768038833853,45.9128447576264,46.34715321881795,46.77256950121138,47.190034941180464,47.614080680262745
ASC,41.347594780948526,159.14708993963907,276.9465850983297,394.7460802570202,512.5455754157108,630.3450705744012,748.1445657330918,825.2554851998318,900.1218414178401,972.9608950669584,1045.2575441373472,1117.369644629041,1189.1387039763022,1259.8843612947874,1328.500649008841,1393.8394068648677,1455.1117639754614,1512.3433976645872,1566.4568822761812,1619.2986173174677,1673.3615278935579,1730.941413804883,1793.5457761829869,1862.1987652318116,1937.3617848279805,2018.4532099149571,2104.3588255152717,2194.0461665498306,2286.2185780325076,2379.7994152197,2474.0387072175536,2567.9617272988858
ASE,241.94640425396432,465.9412643819728,689.9361245099813,913.9309846379897,1137.9258447659986,1361.920704894007,1585.9155650220152,1705.1365546035408,1828.3975655887466,1956.1322609192653,2088.074793363514,2223.8421475472705,2362.1993886005653,2501.5153512255574,2640.437769968942,2777.825138730902,2912.9253041627635,3045.5355001127314,3175.672656374391,3303.8691235535425,3430.9307825918427,3557.273873672425,3683.591991651634,3809.985777091681,3936.0652330929706,4061.755735528544,4186.658487830159,4309.928636501107,4430.6605474618855,4548.555615157387,4663.520456946262,4775.323580351414
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,1425.729555558367,1384.941973702328,1344.1543918462887,1303.3668099902495,1262.57922813421,1221.791646278171,1181.004064422132,1227.1823943402492,1271.011824315365,1312.9600654554356,1353.62391304803,1393.4014874583756,1432.205118112854,1469.7511988132333,1505.548206589718,1539.211221742655,1570.2338938647008,1598.32255120885,1623.713187027117,1646.871720892431,1668.281506715044,1688.5369078745946,1708.110544925532,1727.4006829829902,1746.7046155263783,1766.030671418697,1785.3081302763617,1804.33781582576,1822.9448189777213,1840.8024688117985,1857.6500076188947,1873.6001171189112
CAN,2112.3705062658805,1846.6100107960908,1580.8495153263011,1315.0890198565116,1049.328524386722,783.5680289169323,517.8075334471429,520.7257715566429,524.2447350408323,528.5202216203785,533.1049834723812,537.8838270956963,542.9741402355135,548.1297703302163,553.2169437459227,558.2091145896818,562.8833166037068,567.1225115535507,571.0006304039505,574.346154029024,576.9031910603787,578.7373891443178,580.0114635770466,580.7593959591072,580.796481805634,580.1282192580634,579.0782066752168,577.5576127470885,575.7658982831463,573.7920246168374,571.5494294742593,569.2897093235109
CHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,14110.471051884537,15706.479091465055,17302.48713104557,18898.495170626084,20494.503210206603,22090.51124978712,23686.51928936764,25361.522973335024,27062.120384683574,28752.721378467457,30409.65522515563,31989.11153670163,33442.75391730508,34735.082429674214,35850.77947726485,36794.20328397711,37583.96079050482,38239.964525962176,38779.80960181844,39212.19394278933,39530.300550524946,39726.93868020566,39799.75047998815,39749.530596513854,39586.82736294006,39324.51691219618,38978.22180995854,38569.39049472076,38123.57139763128,37657.865171564095,37184.668050314016,36717.33850530257
ENE,73.33399507157415,73.45230860257621,73.57062213357827,73.68893566458031,73.80724919558237,73.92556272658443,74.04387625758648,74.51438773540423,75.05107551254424,75.8130074607211,76.71847456135131,77.75772226962064,78.89213596435656,80.07535924186675,81.24747703564418,82.33675082831734,83.28738215183239,84.05875061185691,84.63063767961243,84.98702759709239,85.12209267057784,85.04905673885953,84.78368206803721,84.33315661586,83.70834362878242,82.94553675838726,82.08362765238475,81.15885771990332,80.20128849982753,79.23964289888735,78.30152524368076,77.41050835376804
ENW,282.2269979362274,298.4501538516955,314.67330976716363,330.8964656826317,347.1196215980998,363.3427775135679,379.565933429036,393.1876159729729,404.6897789034151,413.8966340438146,420.6000971013063,425.9758537664604,430.0108316722236,433.07050548974064,436.3322048454356,439.3216614930738,442.3373066249846,445.4499875895331,448.2005556607914,450.98667732568526,453.2547792741434,454.8020393558066,455.8568527627762,456.3085473774044,456.4233669691808,455.9685340985924,455.06073145645496,454.0574219521636,452.905738056407,451.50265359153633,449.6678577202072,447.54840431551577
EUE,322.6695783149263,494.6974633770112,666.7253484390961,838.7532335011811,1010.781118563266,1182.809003625351,1354.8368886874357,1363.4461935876911,1373.2663763621233,1387.2080223460302,1403.776039735598,1422.791942235744,1443.5491688740908,1465.199501419454,1486.64662851707,1506.5778961759918,1523.9723175614877,1538.0866305503912,1548.550881407046,1555.072017676011,1557.5434056311037,1556.2070118671227,1551.3512505060808,1543.1076450554583,1531.6749685640382,1517.71731346559,1501.9463096968864,1485.0250937719375,1467.5037244379353,1449.9077664755876,1432.7423171576554,1416.4387062189503
EUM,4942.711267824097,4336.807726932078,3730.904186040061,3125.0006451480417,2519.0971042560236,1913.1935633640053,1307.290022471987,1315.5971910252633,1325.0727427075797,1338.5251182988993,1354.5116949904357,1372.8602503141872,1392.889019463505,1413.779551715822,1434.4740098454386,1453.705806354146,1470.4897850853142,1484.1087680776627,1494.2057848121285,1500.4980672638246,1502.8827239279046,1501.5932297841196,1496.907877302357,1488.9535742827256,1477.9221180002924,1464.4542951209023,1449.2367615245382,1432.9093815044896,1416.0029099567755,1399.0244674061755,1382.4614251595758,1366.729975795894
EUW,2816.025410748447,3370.663547699987,3925.301684651526,4479.939821603065,5034.577958554604,5589.216095506144,6143.854232457683,6182.895326475426,6227.427455771563,6290.649413632952,6365.781324058674,6452.013795314096,6546.142746039405,6644.321713820399,6741.579194549612,6831.9626231283455,6910.842073741744,6974.847034279183,7022.299854948573,7051.871614472577,7063.0787549591705,7057.018535790633,7034.998844535589,6997.616108162368,6945.771713876515,6882.477158592546,6810.959510185197,6734.225930706456,6654.770802166625,6574.977432423165,6497.136314186277,6423.2034224068475
IDN,33.371917828133014,160.54723498919014,287.7225521502472,414.89786931130436,542.0731864723615,669.2485036334185,796.4238207944758,856.2948745476426,918.1947685199075,982.3412819578646,1048.6009102332757,1116.781308574144,1186.2623105798957,1256.22476866947,1325.9895947231703,1394.9835409152433,1462.8288867308102,1529.4238059460154,1594.7768004579266,1659.1552090283453,1722.9637333909668,1786.4114033354795,1849.84653215028,1913.319660067681,1976.6349362947867,2039.7548856761564,2102.4792383527874,2164.38372113845,2225.0135377187967,2284.2187327101024,2341.952410702762,2398.098319528527
IND,1159.674144527622,1306.9801343477016,1454.286124167781,1601.5921139878603,1748.89810380794,1896.20409362802,2043.510083448099,2197.1306794885486,2355.95699054804,2520.5478071533757,2690.560575444578,2865.501766133834,3043.780120572296,3223.2938227443888,3402.3004292626656,3579.329067858296,3753.410561491712,3924.283638576384,4091.970113769198,4257.15594025384,4420.879525034223,4583.677208776981,4746.442713767227,4909.305719042244,5071.763699363983,5233.7204988214535,5394.662253482414,5553.500338783462,5709.067812162088,5860.979909462937,6009.116303744633,6153.178708502133
JPN,1996.2524020417072,1978.9854429434592,1961.7184838452115,1944.451524746963,1927.184565648715,1909.917606550467,1892.650647452219,1818.168626138476,1752.2775757612312,1694.3400296879383,1643.3828904363504,1598.3583766769398,1558.6248920121725,1524.1038821419338,1494.652244336627,1469.9389123445724,1449.8493906650046,1434.941680187971,1424.812184407821,1419.1008902254875,1417.1357206504674,1417.9952311030056,1420.7725646296085,1425.4783616558025,1431.1451053023234,1436.0315232931048,1439.339189902769,1440.5742295892128,1439.3583233272775,1434.997895667006,1426.89629871476,1415.017523168542
LAM,316.8287901240816,281.5642399636632,246.29968980324483,211.03513964282644,175.77058948240804,140.50603932198968,105.24148916157125,109.35652682653892,113.26224960823062,117.00033612146363,120.62396791461735,124.1686222407888,127.62648661058763,130.97228834330383,134.162226904412,137.16200137690467,139.92648992546253,142.42952290942927,144.69213013049844,146.755830556438,148.6636967615425,150.4686935823106,152.21293712355254,153.93191753730122,155.65212720358608,157.3743083230241,159.09215886947774,160.78792987131175,162.44603485125066,164.03736355034687,165.53867935964826,166.96002355874143
MDA,924.0083379018342,848.6165031568123,773.2246684117904,697.8328336667686,622.4409989217465,547.0491641767247,471.6573294317028,474.6544738048912,478.07315927219287,482.9266435311152,488.6944425194585,495.314420071621,502.5406021784103,510.0776999020685,517.5440560186663,524.4826982675521,530.5381920367251,535.4517866005393,539.0946905211248,541.364883887693,542.225244461443,541.7600077092911,540.069578805982,537.199744832465,533.2197043514121,528.3606468635098,522.8703110289058,516.9795535653778,510.8798655977227,504.75421120300535,498.7784291355162,493.1026775674489
MEA,744.0654572689685,783.0269878717934,821.9885184746181,860.9500490774429,899.9115796802677,938.8731102830925,1014.7454315372864,1042.795601695095,1067.2213012024213,1087.8757556438502,1105.3334812902888,1120.630125315551,1136.5057066321535,1154.8021580990362,1175.7860158655,1200.5887269841546,1229.4313683401538,1261.9069140143438,1297.2158650083413,1334.3270301092577,1372.1578894791976,1409.8749063324265,1446.6691910590305,1481.6984097803047,1514.6548012841972,1545.409310426745,1573.801376159499,1599.9574657383275,1624.072683591629,1646.1724272893857,1666.1801635365418,1684.3780966510678
MEX,12.18572269708006,168.58149217382626,324.9772616505725,481.37303112731865,637.768800604065,794.1645700808111,950.5603395575574,987.7281108544704,1023.0053119199432,1056.7683916104932,1089.4976953781704,1121.513660248516,1152.7457223913627,1182.9656143415832,1211.7777216765478,1238.8722322529902,1263.8415974183367,1286.4494482015048,1306.8857296099045,1325.5254485387627,1342.7576443410314,1359.0607050874974,1374.8150311241477,1390.3411759820672,1405.878423673266,1421.4334778891882,1436.9494175794675,1452.2659307926212,1467.2422376209392,1481.6154088921885,1495.1755673129965,1508.0134075533977
NIG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUS,459.1127019098967,578.2482221818682,697.3837424538397,816.5192627258111,935.6547829977826,1054.790303269754,1173.9258235417255,1187.7355933378112,1201.1234484510014,1210.8135470067637,1219.2304851607296,1227.025290701064,1235.0178414001405,1244.076729939062,1254.2960387909668,1265.640871628841,1277.8209947837988,1290.148710071005,1302.0498137908,1313.4988154166736,1324.6321518015343,1335.7080647108892,1347.0643569814602,1358.63685558549,1370.5282853376293,1382.9721576048496,1395.935493949696,1409.292846031068,1422.6239260492878,1435.6820610118923,1448.4961451994316,1461.512211392528
SKT,1668.5958914066505,1535.651264215346,1402.7066370240414,1269.7620098327368,1136.8173826414322,1003.8727554501278,870.9281282588232,936.400033318259,1004.0905736927368,1074.237901565375,1146.6960231412252,1221.2546000704265,1297.2354502740932,1373.7427960884816,1450.0340216731709,1525.482252689554,1599.674433409714,1672.4992119124322,1743.9658854350669,1814.3668018975911,1884.1445223011056,1953.5276308726632,2022.8970251097912,2092.3079732111296,2161.546302822687,2230.5710330419183,2299.1631590514207,2366.858717516215,2433.1603665782964,2497.9041227426205,2561.038703601196,2622.436981761981
USA,4780.627987864888,5078.211236559003,5375.794485253116,5673.377733947231,5970.960982641345,6268.544231335459,6566.127480029572,6603.132587538334,6647.755273270493,6701.971150999359,6760.10883506397,6820.707598911458,6885.255993498925,6950.632648443153,7015.141229340336,7078.445117454886,7137.716959421303,7191.472636300064,7240.649639548569,7283.07299801816,7315.49784708758,7338.756640490205,7354.912711238445,7364.396967549585,7364.867239572046,7356.393247221515,7343.078422640445,7323.796328556217,7301.07625436236,7276.046286111076,7247.608759344645,7218.954076628408
