OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,40.0,79.34694215193196,118.6938843038639,158.0408264557958,197.3877686077278,236.7347107596597,276.0816529115916,314.5617888577711,318.26221507180963,321.849586240346,324.44611719211645,326.701495742721,328.7901694266923,330.93183033491977,333.35922406518887,336.0975606865326,339.13748947948443,342.4012402644974,345.70453941296785,348.8935249522637,351.961366514182,354.94462332559726,357.91249310759764,360.9554925371912,364.0564259943452,367.2428193250789,370.5772435639841,374.0508619037676,377.6300595675884,381.2022174448944,384.7012377497638,388.1348629105472
AFW,10.0,24.802464935267288,39.604929870534576,54.40739480580186,69.20985974106915,84.01232467633643,98.81478961160373,106.30448613610213,113.14791452729831,120.08611104946209,127.24466039537536,134.62427235961232,142.22500771738805,150.03307316251883,158.00871131573274,166.06421480216048,174.082238421831,181.98522280939073,189.69958647291773,197.22051576755132,204.66931897976602,212.12114330920758,219.5305772596129,226.97331510223336,234.5608368217606,242.19630749790554,249.7584223399473,257.25560111807977,264.6026637591432,271.75400796604316,278.70461330341936,285.2489889216
AFZ,50.0,162.14941122331587,274.29882244663173,386.44823366994757,498.59764489326346,610.7470561165793,722.8964673398951,817.6175631291284,832.6086750997242,847.4336745549272,860.2166153868493,872.4359446570514,884.4885151607926,896.8607828778778,910.0439523588725,924.0111089096088,938.6282547830492,953.6439875284683,968.5684757450906,983.047124199869,997.1809326820689,1011.1252488723172,1024.9938433423636,1039.065319716497,1053.4076595628471,1067.9904471354816,1082.8394724606537,1097.9427240711034,1113.1419134876405,1128.1370715400844,1142.7730307713807,1156.8699951421709
ANZ,880.0,718.7959194224786,557.5918388449575,396.3877582674362,235.18367768991487,73.97959711239366,38.86216231691408,44.278752928229416,44.79963710381707,45.304607279025774,45.67010352350425,45.98757803293044,46.28158661654158,46.58305385627148,46.92474178865642,47.31019906600432,47.738109450260765,48.19752575493548,48.662509017442574,49.11140112000505,49.54324059750926,49.96317364708205,50.380940767740725,50.80928338491931,51.24578098653451,51.694308201286304,52.16367273398591,52.65263068654824,53.15645033232624,53.65927903457964,54.15181265137002,54.63514103239988
ASC,10.0,44.33307857293922,78.66615714587843,112.99923571881764,147.33231429175686,181.66539286469606,215.99847143763526,239.80345559171627,248.23310683609708,256.70992107435677,264.988144777135,273.3435958235351,281.85020383478854,290.58716378953545,299.6131607860701,308.8509151166941,318.1787911158852,327.4860793903341,336.6209614462455,345.5134582099782,354.2823278347769,363.01841023485144,371.70546715911144,380.45773506789135,389.37972699408033,398.38599054165036,407.3813740858431,416.3705792556331,425.2539517744854,433.9380728967729,442.3899193495192,450.4066991910183
ASE,290.0,475.0669322588252,660.1338645176504,845.2007967764755,1030.2677290353008,1215.334661294126,1400.4015935529512,1498.1862419420613,1610.8121914447877,1727.2546773493523,1847.9233733276192,1972.5671382257979,2100.824144228608,2231.527770317449,2363.1370836321703,2494.374623037847,2624.162028014185,2751.7887526634877,2877.0632474066715,3000.001505518777,3121.1064291536713,3241.1393197110406,3360.4933918925144,3479.8238724290613,3599.225834670743,3718.330855479368,3837.0684387687697,3955.061848510214,4071.512966624061,4185.566256694586,4296.939631362093,4405.544873705336
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,1170.0,1161.348416527931,1152.6968330558618,1144.0452495837928,1135.3936661117236,1126.7420826396549,1118.0904991675857,1159.501408491707,1204.8389650631575,1247.8703883414528,1289.0548737728902,1328.9783507351617,1368.0316909772605,1406.128820152235,1442.9912957075028,1478.136543879813,1511.1866532399415,1541.644492551687,1569.2217369781224,1594.1500830191546,1616.886967204709,1637.9069429733547,1657.793552072838,1677.0108100091788,1695.9497306458038,1714.9021946108116,1733.8763791227825,1752.8028514110376,1771.4860616237631,1789.7542852585948,1807.286799124325,1823.8275931528408
CAN,1710.0,1521.401882620824,1332.803765241648,1144.2056478624722,955.6075304832962,767.0094131041202,578.4112957249442,571.8983412978473,575.1214221271758,579.007980838089,583.7300899715851,588.7937816505195,594.0718291198206,599.693882592021,605.3880761080503,611.0066618767219,616.5203209886605,621.6827958582635,626.3648222940596,630.648054179727,634.3430552918488,637.1672035369193,639.1930041946136,640.6001699998637,641.4262323127386,641.467192192123,640.7291221220277,639.5694239413657,637.8899869129104,635.9111077660846,633.7310408439629,631.2541814717074
