Year,AFE,AFN,AFW,AFZ,ANZ,ASC,ASE,ASO,BRA,CAN,CHL,CHN,ENE,ENW,EUE,EUM,EUW,IDN,IND,JPN,LAM,MDA,MEA,MEX,NIG,RUS,SKT,USA
2019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023,1.0,1.4923169664933171,1.473146391320239,1.3214704541240716,0.7584340155979704,1.1978293197422782,1.933588313366953,1.0,1.1852163000613867,0.9328333765300826,1.0,1.3298854819751103,0.800592616237817,0.7720050625182274,1.666944383584796,0.6844841113409303,2.038567450233798,2.502338713645667,1.1512305592098533,1.3167658648355538,0.8700147792846736,0.9675019498963021,1.1413794130175448,58.79058829726203,1.0,1.213091769592868,0.5583296298655901,1.293923436263381
2025,1.0,1.670818504566237,1.344205302710295,1.4610619208674305,0.6515242548878709,1.3650989747260889,2.3460594501201175,1.0,1.2259782359171665,0.881967356805652,1.0,1.4325280993241414,0.8338973973330736,0.7164341846597148,2.2235650622458087,0.5930430054013163,2.669104150104082,3.5719821710282718,1.2357668172001184,1.5073859815620623,0.8085036013207186,0.959863102367424,1.1439780057944413,87.68588244589307,1.0,1.264849868308909,0.3374944447983849,1.4710739978891212
2030,1.0,1.7321867980766676,1.7306220433046815,1.66935276829798,0.5890912547621379,1.5152092118828473,3.1678716859855705,1.0,1.3325761271896717,0.8550953577199868,1.0,1.3444857185744403,0.9179280897865136,0.7081417012110771,2.2462659667179223,0.5967084544391981,2.7060480155379367,4.890794878442307,1.6208251315569984,1.0172184376518367,0.8265879075909526,0.9703684676226403,1.1018295913623835,104.22469337004327,1.0,1.2081429426174737,0.4753853853122472,1.4894174052149145
2035,1.0,1.7509539229499262,2.1800167061863727,1.8763660704535052,0.5764931953084808,1.6975866802281394,4.033309138251765,1.0,1.4012054091651807,0.7651156499125372,1.0,1.2833981538545338,1.0208574004816244,0.549538351367507,2.3039062577273763,0.5904934016159342,2.8628382128583394,6.320229117487726,1.9975771923966497,0.762365535212292,0.8169007154799957,1.0016291192508033,1.1177131954208246,118.51432002011742,1.0,1.198559451905779,0.6324186653192092,1.534964162402444
2040,1.0,1.8049889029819768,2.6194376495188187,2.0970605804788343,0.5828883900307115,1.8954861698378251,4.79199510623788,1.0,1.4186257902751047,0.6493478174691746,1.0,1.230649904379511,1.0942013768733938,0.3481158449807422,2.268604728471273,0.5575752739767608,2.9158332793982957,7.611224467793105,2.301043983916706,0.6926958262744262,0.777478102471172,0.9933346170219994,1.176272749111225,128.45231738021135,1.0,1.2219349149282375,0.7811091620117696,1.5596745473205047
2045,1.0,1.8682982363600042,3.056798187503937,2.3213831134769056,0.5965419093721904,2.0986416946691557,5.431214174613082,1.0,1.4045628264032817,0.5319845127880026,1.0,1.1442594220818219,1.1325464137079106,0.14817523197822552,2.1112980793140244,0.496936109409935,2.802823471941195,8.7619389047597,2.5121284542117284,0.7187965579750214,0.7182291608629191,0.9309494617835066,1.2299931636910917,135.97868908524097,1.0,1.2566816258087834,0.9247270842574244,1.5455499878550532
2050,1.0,1.9384504104593216,3.469581050190321,2.538777512161108,0.6111690932788307,2.2945308952968393,5.926038860903944,1.0,1.372395678388371,0.4289573718206941,1.0,1.0231156273798587,1.1476251549084886,0.07140391938807027,1.8857280266973806,0.4357998790360705,2.536011350961313,9.741435690273244,2.6127339004673855,0.7102079001220981,0.6422211005010119,0.8338639735121548,1.2548046329520293,143.0330836849422,1.0,1.2945842001363737,1.0617289554871767,1.5047285386349785
2060,1.0,1.9384504104593216,3.469581050190321,2.538777512161108,0.6111690932788307,2.2945308952968393,5.926038860903944,1.0,1.372395678388371,0.4289573718206941,1.0,1.0231156273798587,1.1476251549084886,0.07140391938807027,1.8857280266973806,0.4357998790360705,2.536011350961313,9.741435690273244,2.6127339004673855,0.7102079001220981,0.6422211005010119,0.8338639735121548,1.2548046329520293,143.0330836849422,1.0,1.2945842001363737,1.0617289554871767,1.5047285386349785
2070,1.0,1.9384504104593216,3.469581050190321,2.538777512161108,0.6111690932788307,2.2945308952968393,5.926038860903944,1.0,1.372395678388371,0.4289573718206941,1.0,1.0231156273798587,1.1476251549084886,0.07140391938807027,1.8857280266973806,0.4357998790360705,2.536011350961313,9.741435690273244,2.6127339004673855,0.7102079001220981,0.6422211005010119,0.8338639735121548,1.2548046329520293,143.0330836849422,1.0,1.2945842001363737,1.0617289554871767,1.5047285386349785
2080,1.0,1.9384504104593216,3.469581050190321,2.538777512161108,0.6111690932788307,2.2945308952968393,5.926038860903944,1.0,1.372395678388371,0.4289573718206941,1.0,1.0231156273798587,1.1476251549084886,0.07140391938807027,1.8857280266973806,0.4357998790360705,2.536011350961313,9.741435690273244,2.6127339004673855,0.7102079001220981,0.6422211005010119,0.8338639735121548,1.2548046329520293,143.0330836849422,1.0,1.2945842001363737,1.0617289554871767,1.5047285386349785
