Year,AFE,AFN,AFW,AFZ,ANZ,ASC,ASE,ASO,BRA,CAN,CHL,CHN,ENE,ENW,EUE,EUM,EUW,IDN,IND,JPN,LAM,MDA,MEA,MEX,NIG,RUS,SKT,USA
2019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023,1.0,1.0333333333333334,0.986732142857143,0.9840881435257411,0.9834409161894847,0.8676975609756098,1.3157894736842106,1.0,1.571846153846154,1.1569180098107918,1.0,1.1869078872274854,0.4989391304347826,0.9240449193196686,0.43799827586206896,0.6347941176470588,0.3761841463414634,0.8953416666666667,1.1425824175824175,0.0,1.032183908045977,1.025,1.1228209685308985,1.0,1.0,1.1069562826505361,1.0,0.6743119266055045
2025,1.0,0.971473921231653,0.5814914993825051,0.9531471619494513,0.9279884401465249,0.8703281584609773,1.3757324540827605,1.0,1.6969353721301275,1.1805784958017687,1.0,1.1946135711929424,0.4316291279489419,0.9207617485989261,0.43960004935915753,0.739086308914762,0.4123944225833491,1.1946791844631988,1.2061242958151286,0.0,1.0441991186793473,1.0535486692440879,1.1061889855099214,1.0,1.0,1.0987358357655894,1.0,0.6342492597557774
2030,1.0,0.8631846636021303,0.6807331257149449,1.0482796543542428,0.8245464670003583,0.8783159581588934,1.6050063031103758,1.0,1.5830888976150863,0.9951751186002157,1.0,0.8156748930323503,0.5015444017596372,0.6354314935216748,0.3010172509930581,0.5060912283346021,0.2823881289182646,1.3937794485895347,1.4071319545983394,0.0,0.9741443656782761,0.7214201287410376,1.022712579708559,1.0,1.0,0.9762608157103295,1.0,0.5346438924172459
2035,1.0,0.840435892159737,0.8204639902885402,1.214189742268067,0.8028159846222911,0.9560819207724329,1.6826225420437644,1.0,1.388270078972792,0.6930771112828633,1.0,0.5116312202814981,0.5512582346317866,0.09684893963726898,0.040146086164019844,0.06749640425107774,0.037661556332233045,1.4611810023980951,1.4751792200746545,0.0,0.8542637608718162,0.09621440151137348,1.0248640261264614,1.0,1.0,0.9505319825866266,1.0,0.3723459696648915
2040,1.0,0.8544135878940202,0.9695197494148848,1.4005957174891375,0.8161680054823623,1.0586488998674923,1.5292899702156921,1.0,1.095881780753363,0.3333295942583169,1.0,0.3284469371523799,0.6799950765992365,0.09693982764925503,0.04006039775065577,0.06735233890522,0.037581170936910935,1.3280277636854558,1.3407503638876719,0.0,0.6743443553792953,0.0960090400379138,1.0708048510156987,1.0,1.0,0.966340739640253,1.0,0.17907665535568898
2045,1.0,0.8816968073557497,1.129251833360162,1.6033852191668734,0.8422299632118773,1.1748718912583358,1.0627224326502325,1.0,0.714266532296522,0.025473616265722553,1.0,0.18947947210799967,0.8148187622203582,0.09402373677858065,0.03864714871400478,0.06497628590977925,0.03625538396012197,0.9228628469012986,0.9317039384534967,0.0,0.4395196751600204,0.0926220371382447,1.1107645541567086,1.0,1.0,0.9971980280167168,1.0,0.01368534351361768
2050,1.0,0.9081920004792416,1.2864454708464361,1.8028646708604688,0.8675391685345256,1.289066124076728,0.2341733838736366,1.0,0.26050077188091275,0.025471031970752803,1.0,0.06760162979340935,0.9473660940759588,0.08956105354131962,0.03655426222888059,0.06145757896349259,0.03429202040995064,0.2033549956889467,0.20530315097607255,0.0,0.16029760524815068,0.08760621019624168,1.1245184374634063,1.0,1.0,1.0271640595530063,1.0,0.013683955137345048
2060,1.0,0.9081920004792416,1.2864454708464361,1.8028646708604688,0.8675391685345256,1.289066124076728,0.2341733838736366,1.0,0.26050077188091275,0.025471031970752803,1.0,0.06760162979340935,0.9473660940759588,0.08956105354131962,0.03655426222888059,0.06145757896349259,0.03429202040995064,0.2033549956889467,0.20530315097607255,0.0,0.16029760524815068,0.08760621019624168,1.1245184374634063,1.0,1.0,1.0271640595530063,1.0,0.013683955137345048
2070,1.0,0.9081920004792416,1.2864454708464361,1.8028646708604688,0.8675391685345256,1.289066124076728,0.2341733838736366,1.0,0.26050077188091275,0.025471031970752803,1.0,0.06760162979340935,0.9473660940759588,0.08956105354131962,0.03655426222888059,0.06145757896349259,0.03429202040995064,0.2033549956889467,0.20530315097607255,0.0,0.16029760524815068,0.08760621019624168,1.1245184374634063,1.0,1.0,1.0271640595530063,1.0,0.013683955137345048
2080,1.0,0.9081920004792416,1.2864454708464361,1.8028646708604688,0.8675391685345256,1.289066124076728,0.2341733838736366,1.0,0.26050077188091275,0.025471031970752803,1.0,0.06760162979340935,0.9473660940759588,0.08956105354131962,0.03655426222888059,0.06145757896349259,0.03429202040995064,0.2033549956889467,0.20530315097607255,0.0,0.16029760524815068,0.08760621019624168,1.1245184374634063,1.0,1.0,1.0271640595530063,1.0,0.013683955137345048
2090,1.0,0.9081920004792416,1.2864454708464361,1.8028646708604688,0.8675391685345256,1.289066124076728,0.2341733838736366,1.0,0.26050077188091275,0.025471031970752803,1.0,0.06760162979340935,0.9473660940759588,0.08956105354131962,0.03655426222888059,0.06145757896349259,0.03429202040995064,0.2033549956889467,0.20530315097607255,0.0,0.16029760524815068,0.08760621019624168,1.1245184374634063,1.0,1.0,1.0271640595530063,1.0,0.013683955137345048
2100,1.0,0.9081920004792416,1.2864454708464361,1.8028646708604688,0.8675391685345256,1.289066124076728,0.2341733838736366,1.0,0.26050077188091275,0.025471031970752803,1.0,0.06760162979340935,0.9473660940759588,0.08956105354131962,0.03655426222888059,0.06145757896349259,0.03429202040995064,0.2033549956889467,0.20530315097607255,0.0,0.16029760524815068,0.08760621019624168,1.1245184374634063,1.0,1.0,1.0271640595530063,1.0,0.013683955137345048
