OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,54.04801773473743,100.0480617320352,146.04810572933297,192.0481497266307,238.04819372392848,284.0482377212262,330.048281718524,336.9891007826302,343.94940718792645,350.02641581958784,355.91447127649803,361.8531516459257,368.1561289712199,375.1622800318706,382.985296798152,391.6678028006661,401.1371292902658,411.1730339086818,421.56553338087696,432.25322163146,443.2274790751968,454.5201656965213,466.1864713215021,478.1688968406487,490.4533109285256,503.06666707218585,515.976304354154,529.1420536290115,542.4622278118904,555.8983712808788,569.4989842675539,583.4324432541066
AFW,37.186023190731525,133.56303666441133,229.94005013809118,326.317063611771,422.69407708545083,519.0710905591307,615.4481040328104,698.0210164173835,779.9603983393127,861.8691552903716,945.0343330202874,1029.8793046178407,1116.2965021394925,1203.6073659415636,1290.7292896560473,1376.5055306214908,1460.2014404131417,1542.085700793209,1623.5385701214889,1707.0237532575654,1795.7597900216995,1892.7360562917045,1999.9711576239422,2118.7652249281764,2249.560213445642,2391.5394955651745,2543.262907516912,2703.3710729067466,2870.3871026770075,3043.189294566814,3221.1218673749886,3403.4024277423778
AFZ,206.6741209487821,395.5549806567975,584.4358403648129,773.3167000728282,962.1975597808437,1151.078419488859,1339.9592791968744,1434.5616533620428,1528.6041256308774,1620.6025401702095,1713.3685004883853,1807.8523700923065,1904.6670355211058,2003.938181620925,2104.892397760767,2206.5234409323857,2307.964735916388,2408.970207392457,2510.377564787303,2614.3969777368557,2724.0790955933485,2842.3482936121927,2971.2561016862987,3111.911615488289,3264.7042019472974,3428.9163251224436,3603.0996464460127,3785.86576747388,3975.573863832913,4171.066173834641,4371.827749343,4577.496304431809
ANZ,1189.0563901642236,968.9981269889555,748.9398638136875,528.8816006384195,308.82333746315123,88.76507428788318,41.762228427493056,42.64047590607351,43.52118918992942,44.29013554320185,45.03517295319795,45.78661612040528,46.58415512730953,47.47066930477751,48.46054451783551,49.55917407928043,50.7573629438128,52.02724303216988,53.34224438479185,54.69459706409874,56.0832104021264,57.51211576040985,58.98829651153677,60.50447708075661,62.05886937925477,63.65488393132599,65.28838803041845,66.95429892616009,68.63974977602638,70.33987464810495,72.06081045587824,73.82386249769368
ASC,28.909740210625603,150.37598989232777,271.8422395740299,393.30848925573207,514.7747389374343,636.2409886191365,757.7072383008386,843.5017246936176,928.6688683777728,1013.4300007826461,1099.3714222250767,1187.0196928180962,1276.4001587450937,1366.9759978742634,1457.7093333842936,1547.4577126517945,1635.45318693549,1721.8717511462576,1808.0090057688883,1896.3107008618013,1990.0023410719339,2092.096708931856,2204.6425234604267,2328.919778809091,2465.36588552072,2613.1729713141444,2770.8822406815575,2937.11276222791,3110.339566869754,3289.4209101224365,3473.7194517273683,3662.521752832717
ASE,192.31438259874264,430.61381475322537,668.9132469077081,907.2126790621907,1145.5121112166735,1383.8115433711562,1622.1109755256389,1772.0547321733738,1930.7596270640872,2099.1512989925586,2277.581917819151,2466.363330412821,2665.0024034134267,2872.5875876455652,3088.403753766168,3311.8540370957758,3542.6566280062616,3781.051784600247,4027.526192592104,4283.108417726655,4549.10550183624,4826.38751730939,5115.958870146172,5418.0785494305255,5732.329480963637,6058.422955627797,6395.647387658613,6742.789238063633,7098.539478211923,7462.1959878677535,7833.341489860196,8211.523883776197
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,1376.5389012717635,1346.766316225835,1316.9937311799065,1287.2211461339782,1257.4485610880497,1227.6759760421212,1197.903390996193,1250.807470406258,1301.8851899296023,1351.694131973033,1401.0025970854465,1450.4616244246452,1500.2958331312948,1550.546871605116,1601.004253099141,1651.4721455121123,1701.522052262925,1750.8345329822298,1799.5445232004988,1847.971231137532,1896.4173239539195,1945.2627511374649,1994.7363532567051,2044.97239108722,2096.0043551159724,2147.6007910604967,2199.4925234843136,2251.3396052033445,2302.8880625307597,2353.790313140388,2403.803258377485,2453.080747003864
CAN,2044.8016304370776,1793.6318642741985,1542.4620981113194,1291.2923319484405,1040.122565785561,788.9527996226817,537.7830334598027,544.6286704818218,552.1933212829389,560.6713115081778,569.6515936008349,579.0743678013864,589.1319188813353,599.658830321178,610.6097560346234,622.0456079423892,633.8135711706814,645.8451566691201,658.2398940400776,670.8211934519153,683.2990239662664,695.6865479205128,708.0794744021542,720.4292837144577,732.4503849829692,744.0365654436517,755.4015095127743,766.345269234017,776.9661564844222,787.2668305708185,797.0893090838214,806.6386934836843
