Year,AFE,AFN,AFW,AFZ,ANZ,ASC,ASE,ASO,BRA,CAN,CHL,CHN,ENE,ENW,EUE,EUM,EUW,IDN,IND,JPN,LAM,MDA,MEA,MEX,NIG,RUS,SKT,USA
2019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023,1.0,4.404383429791015,11.367014830206575,4.6556267198025,0.25972135553680414,17.806273428504625,5.95645575612899,1.0,0.9134856704204378,0.5086667333902869,1.0,1.5828248143101997,1.0663611279848568,1.2887520043423752,3.350404101763116,0.5326621067099125,1.9057838396464348,20.708257607830554,1.872136111909446,0.980318430878291,0.5692288344425765,0.7088152656419,1.298800239591382,54.46058523547429,1.0,2.1708047327145388,0.8152477282349166,1.291101011054037
2025,1.0,6.1065751446865235,16.55052224530986,6.48344007970375,0.03512215969986518,26.209410142756933,8.434683634193485,1.0,0.8702285056306568,0.2630001000854304,1.0,1.8742372214652994,1.0995416919772854,1.4331280065135623,4.525606152644674,0.29899316006486887,2.3586757594696524,30.562386411745827,2.3082041678641683,0.9704776463174364,0.3538432516638649,0.5632228984628499,1.490753477513165,81.19087785321145,1.0,2.7562070990718075,0.7228715923523749,1.4366515165810556
2030,1.0,6.69503095232589,27.69533325291246,8.747357249146484,0.038506681852221974,41.059507424484366,12.824643155050985,1.0,1.0537018772840967,0.283193420418786,1.0,2.644705976480162,1.2292516767732693,1.663003832972814,5.059479774295647,0.3342645813571126,2.636922413627251,46.469045751577546,3.5095441709106687,0.8378089996109768,0.4284452831987176,0.6296647934172755,1.7337505727939966,98.30863946507209,1.0,3.0218070525771563,1.099101118773512,1.5469585631270408
2035,1.0,7.421865705769433,39.267480497271656,11.167168513025134,0.042687094879329125,56.57100945979407,18.421173601965553,1.0,1.2360871535783802,0.30996335377295414,1.0,3.307869793970954,1.4094001509619032,1.8036130122362244,5.800953289239428,0.3832515019727947,3.023366913435224,66.74761617599853,5.041069888221361,0.785933272328729,0.5026048847309753,0.7219430094471941,2.044386854060629,115.32488358258921,1.0,3.3498644431484204,1.5787365207949084,1.6931906951283093
2040,1.0,8.409562177234019,50.89912536717456,13.7528021436055,0.048367862311783805,72.36649979175247,25.096342000480963,1.0,1.413154941963693,0.3402220232834074,1.0,3.772841989265702,1.5644834845225666,1.970597405438372,6.439261134822498,0.42542257771555486,3.356043065905156,90.9345430136415,6.867771657590298,0.8091970323629518,0.574602344710504,0.8013820023190734,2.578152200262239,131.8450148877706,1.0,3.7956619584295668,2.1508136512155183,1.858480227063076
2045,1.0,9.546627720678249,68.39297911670239,17.43372430909689,0.05490773067659247,95.84597511060083,33.256209448478494,1.0,1.5978426192330892,0.36942532628522345,1.0,4.001088786336884,1.6668692724193022,2.123386054338806,6.860671032264033,0.4532638596717909,3.5756753706993076,120.5011554474904,9.100770649554033,0.8654375609812505,0.6496981245481112,0.8538275081524197,3.1511474428990662,149.07606920183952,1.0,4.308877312158226,2.8501328706828764,2.0180047653925546
2050,1.0,10.79470566557201,91.52369992042233,22.148376794432828,0.06208609037246558,126.68815859806928,42.69843873772697,1.0,1.7820642371512347,0.3944826145855844,1.0,4.074329158626849,1.7416559338609896,2.2463054255866948,7.168485622311653,0.4736002420011783,3.7361035625189007,154.71430114941677,11.68469601588538,0.8852523446235606,0.7246044001862488,0.8921357965337365,3.6700712590347675,166.2636409505651,1.0,4.872198193406094,3.65935341975068,2.154881486072239
2060,1.0,10.79470566557201,91.52369992042233,22.148376794432828,0.06208609037246558,126.68815859806928,42.69843873772697,1.0,1.7820642371512347,0.3944826145855844,1.0,4.074329158626849,1.7416559338609896,2.2463054255866948,7.168485622311653,0.4736002420011783,3.7361035625189007,154.71430114941677,11.68469601588538,0.8852523446235606,0.7246044001862488,0.8921357965337365,3.6700712590347675,166.2636409505651,1.0,4.872198193406094,3.65935341975068,2.154881486072239
2070,1.0,10.79470566557201,91.52369992042233,22.148376794432828,0.06208609037246558,126.68815859806928,42.69843873772697,1.0,1.7820642371512347,0.3944826145855844,1.0,4.074329158626849,1.7416559338609896,2.2463054255866948,7.168485622311653,0.4736002420011783,3.7361035625189007,154.71430114941677,11.68469601588538,0.8852523446235606,0.7246044001862488,0.8921357965337365,3.6700712590347675,166.2636409505651,1.0,4.872198193406094,3.65935341975068,2.154881486072239
2080,1.0,10.79470566557201,91.52369992042233,22.148376794432828,0.06208609037246558,126.68815859806928,42.69843873772697,1.0,1.7820642371512347,0.3944826145855844,1.0,4.074329158626849,1.7416559338609896,2.2463054255866948,7.168485622311653,0.4736002420011783,3.7361035625189007,154.71430114941677,11.68469601588538,0.8852523446235606,0.7246044001862488,0.8921357965337365,3.6700712590347675,166.2636409505651,1.0,4.872198193406094,3.65935341975068,2.154881486072239
2090,1.0,10.79470566557201,91.52369992042233,22.148376794432828,0.06208609037246558,126.68815859806928,42.69843873772697,1.0,1.7820642371512347,0.3944826145855844,1.0,4.074329158626849,1.7416559338609896,2.2463054255866948,7.168485622311653,0.4736002420011783,3.7361035625189007,154.71430114941677,11.68469601588538,0.8852523446235606,0.7246044001862488,0.8921357965337365,3.6700712590347675,166.2636409505651,1.0,4.872198193406094,3.65935341975068,2.154881486072239
2100,1.0,10.79470566557201,91.52369992042233,22.148376794432828,0.06208609037246558,126.68815859806928,42.69843873772697,1.0,1.7820642371512347,0.3944826145855844,1.0,4.074329158626849,1.7416559338609896,2.2463054255866948,7.168485622311653,0.4736002420011783,3.7361035625189007,154.71430114941677,11.68469601588538,0.8852523446235606,0.7246044001862488,0.8921357965337365,3.6700712590347675,166.2636409505651,1.0,4.872198193406094,3.65935341975068,2.154881486072239
