OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,57.26436323783123,59.46088605993999,61.65740888204874,63.8539317041575,66.05045452626625,68.24697734837501,70.44350017048376,71.27507019804612,72.08628447327614,72.68589377864842,73.22815099407418,73.764686188107,74.36009351500611,75.08220157768234,75.94928030312788,76.96597634120171,78.11489646302532,79.34941367795766,80.62670602627595,81.93578415812964,83.27499379093419,84.6494940222483,86.06866228928882,87.51775135246757,88.99312957053404,90.50137706415408,92.0364466133974,93.59056700526732,95.14190731289102,96.68183324009816,98.21966157652896,99.78956496313742
AFW,55.35191465242788,86.85349732935659,118.35508000628532,149.856662683214,181.35824536014272,212.85982803707142,244.3614107140002,273.69929146461857,302.2054780673945,330.11334175572,357.94208837272663,385.8602661988409,413.8444763588946,441.67409918386744,468.99143633972767,495.42149531298793,520.7372249914816,545.0509309478806,568.8310568322426,592.8872577521867,618.2568808586261,645.8557028365914,676.2351034287007,709.7187114850866,746.3651106791348,785.8088161441641,827.5017513872929,870.9690940888514,915.6985005090453,961.3120645616962,1007.5935509824395,1054.2501120517963
AFZ,312.7166003944351,497.34613706135195,681.9756737282688,866.6052103951856,1051.2347470621025,1235.8642837290195,1420.4938203959362,1592.70794083685,1760.0392900817424,1923.9011071686848,2087.3105772259787,2251.2468195476663,2415.55818692788,2578.9334078851293,2739.266560744268,2894.353083464915,3042.8625804829394,3185.4651997915807,3324.923006911478,3465.9961328773256,3614.780635760813,3776.656704470416,3954.8623217654463,4151.302437350104,4366.3220982020985,4597.772187904721,4842.433404857263,5097.5172838549415,5360.017954912457,5627.71664445906,5899.340662330969,6173.161680678405
ANZ,1259.8159912322872,1308.13949331868,1356.4629954050724,1404.7864974914653,1453.109999577858,1501.4335016642508,1549.7570037506434,1568.0515443570157,1585.898258412076,1599.089663130266,1611.0193218696331,1622.8230961383554,1635.9220573301354,1651.8084347090123,1670.8841666688143,1693.2514795064387,1718.5277221865579,1745.6871009150693,1773.787532578072,1802.587251478853,1832.0498634005532,1862.2888684894638,1893.5105703643549,1925.3905297542879,1957.8488505517498,1991.030295411391,2024.801825494744,2058.992474115882,2093.1219608836036,2127.000331282161,2160.832554683638,2195.3704291890244
ASC,41.00605753659282,61.68686432108036,82.3676711055679,103.04847789005542,123.72928467454295,144.41009145903047,165.09089824351804,184.2451245674674,202.85663254861208,221.0604934843746,239.20788368296292,257.4129404262556,275.6660903577065,293.8297691192642,311.67292414989305,328.95206398948756,345.5179929780168,361.43968026722365,377.01806208424296,392.77878292581175,409.39639554424923,427.46697794850814,447.34997068216194,469.25457516947944,493.21857721312233,519.0048381705105,546.25635700876,574.6636270115022,603.8915084905465,633.6934542460713,663.9296377279908,694.4125755081094
ASE,240.98162846735752,275.7571250984525,310.53262172954743,345.3081183606424,380.0836149917373,414.8591116228322,449.6346082539271,483.4601177789037,518.4735573261034,554.8438580482374,592.5720714389337,631.6612992392415,671.9044314016611,712.9988346983217,754.7166669592976,796.8662339915097,839.332452044387,882.1225878890097,925.2788537072362,968.9676181561904,1013.4125935887516,1058.7064104912452,1105.0002474108976,1152.2605688925637,1200.304231448394,1249.0342723017084,1298.2655828175905,1347.695909985631,1397.0186988530288,1446.1139895853298,1494.9342224565369,1543.4050541336433
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,1432.2646761464391,1498.687382755856,1565.1100893652724,1631.5327959746892,1697.955502584106,1764.3782091935225,1830.8009158029388,1902.4762861984843,1970.6627099446969,2036.2457370810855,2100.412646159954,2164.155863752286,2227.806622159331,2291.424750061001,2354.697464586256,2417.35192258448,2478.7624061031524,2538.470830520442,2596.7065981519254,2653.9535889471545,2710.6433919215915,2767.317271759344,2824.286311198081,2881.7347806568614,2939.7153649692577,2997.8934444396405,3055.8995299703133,3113.2661308130546,3169.6622340496288,3224.60422440299,3277.767286116683,3329.4329808033194
CAN,2106.601998833456,2116.7346210714727,2126.86724330949,2136.9998655475065,2147.132487785524,2157.2651100235403,2167.3977322615574,2179.679794176263,2194.571904939892,2212.811001140722,2232.66042895134,2253.835966543934,2277.093392642069,2301.723500503443,2327.518047039103,2354.710112049955,2382.6622694995926,2411.099150893386,2440.446023935002,2470.000607864886,2498.615407937033,2526.407407067544,2553.827791166934,2580.724526459871,2605.975130703628,2629.2121981163464,2651.3791952711463,2671.697981529513,2690.6274675764603,2708.218784916583,2723.8619065182074,2738.446933396784
CHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHN,14036.369814746986,15569.119109664449,17101.86840458191,18634.61769949937,20167.36699441683,21700.11628933429,23232.865584251747,24875.53034168488,26545.921070690096,28211.945025666024,29855.87727390184,31442.01502649826,32931.37422508115,34296.80901973781,35527.85838503831,36628.91958056316,37614.1019574463,38495.95254663069,39283.97817147201,39979.35998941881,40568.84766211065,41039.99485986373,41386.03290948663,41604.48912698226,41703.85576882638,41695.85002536935,41595.690036471104,41424.72668545399,41208.178270238655,40962.20018582727,40697.8732218165,40427.325818100966
ENE,73.26905561548843,73.64948260127412,74.0299095870598,74.4103365728455,74.79076355863118,75.17119054441687,75.55161753020258,76.03385909774363,76.58672589346406,77.37535817901158,78.32095778712112,79.42022630910519,80.64254398318546,81.95102101409216,83.29552486560019,84.61309424907076,85.85500914231193,86.9852696057408,87.98584540474124,88.84054772834727,89.54160189696019,90.09887948061336,90.52288495950356,90.81310196843228,90.97037100296868,91.0194246035541,90.98642192006268,90.89469865719816,90.76226474275612,90.60758120317249,90.45022753783304,90.30797166042922
ENW,281.8043338127871,298.11202255294324,314.4197112930994,330.7274000332556,347.03508877341176,363.3427775135679,379.6504662537241,393.2876156161783,404.8231832328081,414.0980535128988,420.9308050214872,426.5359800238332,430.9506696236916,434.5980699025456,438.7131932951133,442.86943044286846,447.39514743255467,452.3699795876823,457.3253031718562,462.6387821477766,467.734107660028,472.387656404953,476.80790859872246,480.8593868974477,484.7715797644557,488.257668819062,491.362186431836,494.3564082841384,497.0955025178753,499.3897557731907,500.9890885408408,501.9978423814243
EUE,322.38384470814907,324.05772344560614,325.7316021830631,327.4054809205202,329.07935965797714,330.7532383954342,332.42711713289134,334.5489800300719,336.9815939312418,340.4515759876509,344.6122142633329,349.44899576006276,354.82719352601595,360.58449246200547,366.5003094086407,372.2976146959112,377.7620402261724,382.7351862652594,387.13771978086135,390.8984100047279,393.9830483466248,396.4350697146987,398.30069382181557,399.5776486611021,400.2696324130621,400.48546825563795,400.3402564482757,399.9366740916718,399.35396486812687,398.67335729395876,397.9810011664653,397.3550753058885
EUM,4938.334348483919,4963.975127325875,4989.61590616783,5015.2566850097855,5040.897463851741,5066.538242693697,5092.179021535652,5124.682103187919,5161.945325219476,5215.099141265378,5278.8325548519615,5352.923253233688,5435.307464466699,5523.49881634981,5614.118375941452,5702.9225523873665,5786.627616191822,5862.807171426927,5930.245980279557,5987.852916890603,6035.103967855115,6072.664476993339,6101.242446270537,6120.803072672335,6131.4030056000865,6134.709218279544,6132.484837412222,6126.302689495154,6117.376643661762,6106.9509730938225,6096.345336049945,6086.757289912927
EUW,2813.531735634756,2828.140131888926,2842.748528143097,2857.356924397267,2871.9653206514377,2886.5737169056083,2901.182113159779,2919.700189353355,2940.9302743090193,2971.213754074045,3007.5247790254507,3049.7366902696394,3096.6736889543213,3146.919206941139,3198.5481548390467,3249.1428191643167,3296.832351064778,3340.234352860446,3378.656463542063,3411.4770327685346,3438.397512843271,3459.7969720555525,3476.078782444936,3487.2231155878,3493.2622465139966,3495.1459047764774,3493.878601730407,3490.3564284364093,3485.270966121834,3479.3311182018224,3473.2887374527886,3467.8261117604825
IDN,33.23884530584242,38.03546553082103,42.832085755799646,47.62870598077826,52.42532620575688,57.221946430735485,62.01856665571411,66.68415417640053,71.51359411394532,76.53018731699828,81.7340788191633,87.12569644679198,92.67647329678088,98.34466685494095,104.0988506150756,109.91258399882896,115.76999338543273,121.67208108813932,127.62466947686022,133.65070595257802,139.781047391552,146.02847041258562,152.41382722908938,158.9324922610433,165.55920433770956,172.28058928299433,179.07111487139187,185.8890910325009,192.69223432455576,199.46399856349385,206.1978237871086,212.8834557425716
IND,1155.049874378024,1321.7324271960308,1488.4149800140376,1655.0975328320444,1821.7800856500512,1988.462638468058,2155.145191286065,2317.274357629918,2485.0973954595997,2659.4240092656896,2840.259238965924,3027.6179515260205,3220.5074470631344,3417.4771732091976,3617.435058873876,3819.4622939593055,4023.007270143786,4228.104817812839,4434.957264320891,4644.362031852085,4857.391396856431,5074.489346837348,5296.380496210854,5522.904106071253,5753.182350735406,5986.750477584052,6222.721241780865,6459.645913379405,6696.055142778311,6931.37395008141,7165.374376602023,7397.70008705436
JPN,1994.8846597767408,1977.891249131486,1960.8978384862312,1943.9044278409765,1926.9110171957216,1909.917606550467,1892.924195905212,1818.4755667501245,1752.6783507373375,1694.943590779765,1644.374141526916,1600.0322627991638,1561.4232335408278,1528.6478713626875,1501.7613608544937,1480.6273693978242,1465.294407442918,1456.423267829001,1453.6297808673587,1456.477030024683,1464.1186714949868,1475.372328502299,1489.0041456366291,1504.6597459541508,1521.0009200318889,1535.9438116204717,1548.407704640068,1557.7040559119969,1563.3672720391849,1564.733813419237,1561.3529850981931,1553.4374933258423
LAM,318.2810391436531,333.0416406124124,347.80224208117164,362.5628435499309,377.32344501869017,392.0840464874495,406.84464795620875,422.7725080441077,437.9250466543772,452.4990526846858,466.7583658133232,480.9235252782859,495.0681382576293,509.20550001355593,523.2661032413904,537.1893161298843,550.8360902451451,564.1046290045429,577.0459107004281,589.7674642104789,602.3651982047983,614.9593937242988,627.6191802662405,640.3855068126361,653.2700811042797,666.1985432088092,679.0887844378476,691.8369179584568,704.3693853443622,716.578716533998,728.392730248152,739.8739957340712
