Year,AFE,AFN,AFW,AFZ,ANZ,ASC,ASE,ASO,BRA,CAN,CHL,CHN,ENE,ENW,EUE,EUM,EUW,IDN,IND,JPN,LAM,MDA,MEA,MEX,NIG,RUS,SKT,USA
2019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023,1.0,1.1513582464885075,3.2484612333429546,3.3319768089904094,1.1513582464885077,2.994069976240928,1.5717388787885975,1.0,1.1831461098130038,1.0184667112586325,1.0,1.430298617787738,1.0200419515783874,1.229930602445538,1.020041951578387,1.0200419515783872,1.0200419515783874,1.5717388787885975,1.5717388787885975,0.9654012507023904,1.183146109813004,1.0200419515783872,1.209452166995253,1.018466711258632,1.0,1.1513582464885073,1.5717388787885975,1.018466711258632
2025,1.0,1.2270373697327615,4.372691850014432,4.497965213485614,1.2270373697327612,3.9911049643613934,1.8576083181828964,1.0,1.274719164719506,1.0277000668879483,1.0,1.6454479266816069,1.0300629273675808,1.3448959036683072,1.0300629273675805,1.030062927367581,1.0300629273675812,1.8576083181828968,1.8576083181828966,0.9481018760535854,1.274719164719506,1.0300629273675808,1.3141782504928794,1.0277000668879483,1.0,1.2270373697327612,1.8576083181828964,1.0277000668879481
2030,1.0,1.2825391989035633,6.894361570179029,7.1178482461821595,1.282539198903563,6.213613625699982,2.604821948104267,1.0,1.5039707598982348,1.0675457759453786,1.0,2.220492581075157,1.0817281735472926,1.5093377206340648,1.0817281735472923,1.0817281735472926,1.0817281735472928,2.6048219481042674,2.6048219481042674,0.8006795007696355,1.5039707598982348,1.0817281735472926,1.451307580962184,1.0675457759453784,1.0,1.282539198903563,2.604821948104267,1.0675457759453784
2035,1.0,1.3356330365903084,9.199477645291374,9.512649441533437,1.3356330365903082,8.245545803029733,3.411956093124717,1.0,1.6948351812665943,1.1171626227079403,1.0,2.6025702921314093,1.1586541522170615,1.567310391491802,1.1586541522170617,1.1586541522170617,1.1586541522170621,3.4119560931247173,3.4119560931247173,0.726285608564399,1.6948351812665943,1.1586541522170615,1.592214081021918,1.1171626227079399,1.0,1.3356330365903082,3.411956093124717,1.1171626227079403
2040,1.0,1.3961390724917742,11.07070162442296,11.455983923731383,1.396139072491774,9.897118760383687,4.166691899323694,1.0,1.8225257826332206,1.1486284287420185,1.0,2.740952600694053,1.1831617249415018,1.611476019946804,1.1831617249415014,1.1831617249415018,1.1831617249415023,4.166691899323695,4.166691899323695,0.7103286286106519,1.8225257826332206,1.1831617249415016,1.8259032070839916,1.1486284287420185,1.0,1.396139072491774,4.166691899323694,1.1486284287420185
2045,1.0,1.4590913518240332,13.616494479055111,14.100654068218551,1.4590913518240332,12.141728058894046,4.903900184797271,1.0,1.9269760004647947,1.1493048542025943,1.0,2.674715626961552,1.1419080964160473,1.612392629989571,1.141908096416047,1.1419080964160475,1.1419080964160477,4.903900184797272,4.903900184797272,0.7210206426956111,1.926976000464795,1.141908096416047,2.038201380233146,1.149304854202594,1.0,1.4590913518240332,4.903900184797271,1.149304854202594
2050,1.0,1.5276349354756804,16.783486600534363,17.391039611419465,1.5276349354756804,14.932859660625443,5.593413041981575,1.0,2.0222741379647955,1.1298774825764772,1.0,2.502164836804669,1.07689789992221,1.5857745984196903,1.0768978999222099,1.0768978999222103,1.0768978999222103,5.5934130419815755,5.5934130419815755,0.7088369795930136,2.022274137964796,1.07689789992221,2.181407268690019,1.129877482576477,1.0,1.5276349354756804,5.5934130419815755,1.1298774825764772
2060,1.0,1.5276349354756804,16.783486600534363,17.391039611419465,1.5276349354756804,14.932859660625443,5.593413041981575,1.0,2.0222741379647955,1.1298774825764772,1.0,2.502164836804669,1.07689789992221,1.5857745984196903,1.0768978999222099,1.0768978999222103,1.0768978999222103,5.5934130419815755,5.5934130419815755,0.7088369795930136,2.022274137964796,1.07689789992221,2.181407268690019,1.129877482576477,1.0,1.5276349354756804,5.5934130419815755,1.1298774825764772
2070,1.0,1.5276349354756804,16.783486600534363,17.391039611419465,1.5276349354756804,14.932859660625443,5.593413041981575,1.0,2.0222741379647955,1.1298774825764772,1.0,2.502164836804669,1.07689789992221,1.5857745984196903,1.0768978999222099,1.0768978999222103,1.0768978999222103,5.5934130419815755,5.5934130419815755,0.7088369795930136,2.022274137964796,1.07689789992221,2.181407268690019,1.129877482576477,1.0,1.5276349354756804,5.5934130419815755,1.1298774825764772
2080,1.0,1.5276349354756804,16.783486600534363,17.391039611419465,1.5276349354756804,14.932859660625443,5.593413041981575,1.0,2.0222741379647955,1.1298774825764772,1.0,2.502164836804669,1.07689789992221,1.5857745984196903,1.0768978999222099,1.0768978999222103,1.0768978999222103,5.5934130419815755,5.5934130419815755,0.7088369795930136,2.022274137964796,1.07689789992221,2.181407268690019,1.129877482576477,1.0,1.5276349354756804,5.5934130419815755,1.1298774825764772
2090,1.0,1.5276349354756804,16.783486600534363,17.391039611419465,1.5276349354756804,14.932859660625443,5.593413041981575,1.0,2.0222741379647955,1.1298774825764772,1.0,2.502164836804669,1.07689789992221,1.5857745984196903,1.0768978999222099,1.0768978999222103,1.0768978999222103,5.5934130419815755,5.5934130419815755,0.7088369795930136,2.022274137964796,1.07689789992221,2.181407268690019,1.129877482576477,1.0,1.5276349354756804,5.5934130419815755,1.1298774825764772
2100,1.0,1.5276349354756804,16.783486600534363,17.391039611419465,1.5276349354756804,14.932859660625443,5.593413041981575,1.0,2.0222741379647955,1.1298774825764772,1.0,2.502164836804669,1.07689789992221,1.5857745984196903,1.0768978999222099,1.0768978999222103,1.0768978999222103,5.5934130419815755,5.5934130419815755,0.7088369795930136,2.022274137964796,1.07689789992221,2.181407268690019,1.129877482576477,1.0,1.5276349354756804,5.5934130419815755,1.1298774825764772
