OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,40.0,43.48789602495289,46.97579204990577,50.46368807485866,53.95158409981154,57.43948012476443,60.92737614971732,69.96169937599598,71.43297350067178,72.90837843766056,74.19654709219758,75.4446625607607,76.70350920141783,78.03957737456471,79.52470019276524,81.18297741319546,83.02344412193062,85.03069642365142,87.1580486347398,89.3609897318819,91.62650321529816,93.95276195585508,96.34651944622796,98.81947450211726,101.35943879946434,103.96341686276853,106.63712213416191,109.37363134387948,112.16442967202497,114.98796208663458,117.83607699047704,120.7190551782396
AFW,10.0,16.02038638687314,22.04077277374628,28.061159160619418,34.08154554749256,40.101931934365695,46.122318321238836,50.162419215690804,53.0578893758974,55.99504062615477,59.00325433557309,62.10393623780032,65.3077034573875,68.62139954374429,72.04100322029873,75.53626994126951,79.06251062211157,82.58842545227674,86.0826228745502,89.54325388994303,93.0227465907432,96.55548148380356,100.12635748876569,103.76474116430909,107.50794917557451,111.31045657435601,115.1181354670871,118.92829641405257,122.70435129701677,126.42731912797606,130.09878670596567,133.64531644324708
AFZ,50.0,84.61315131105309,119.22630262210618,153.83945393315923,188.45260524421235,223.0657565552654,257.6789078663185,279.44044268079443,296.1326104318683,313.0688011745629,330.4635873787768,348.4105124198768,366.9608402586487,386.1402199039392,405.9092857166788,426.08503437391414,446.4028830959426,466.68228119722517,486.7489914170739,506.6018991325019,526.5519355153166,546.8015287535499,567.2604619377686,588.0987371412771,609.5383058188859,631.3123088594809,653.101426458174,674.8913714379537,696.4690086619601,717.7275232018382,738.6780251404961,758.8867258527606
ANZ,880.0,956.7337125489635,1033.4674250979272,1110.2011376468906,1186.934850195854,1263.6685627448176,1340.4022752937808,1539.157386271912,1571.5254170147796,1603.9843256285326,1632.324036028347,1659.7825763367355,1687.4772024311924,1716.8707022404242,1749.5434042408353,1786.0255030903002,1826.515770682474,1870.6753213203315,1917.4770699642759,1965.941774101402,2015.78307073656,2066.960763028812,2119.623427817015,2174.0284390465795,2229.907653588216,2287.1951709809073,2346.016686951563,2406.2198895653487,2467.617452784549,2529.735165905961,2592.3936937904946,2655.8192139212715
ASC,10.0,14.220534904212153,18.44106980842431,22.66160471263646,26.88213961684861,31.10267452106076,35.323209425272914,38.74050248412375,40.752322074829394,42.79161234387995,44.8607579519266,46.98654489066833,49.18031707728652,51.452336750212304,53.80626654224493,56.22454148368629,58.67888515511936,61.14759368078367,63.606169534857486,66.04951992531036,68.51060680344645,71.01163178642057,73.54336327762769,76.1259239353048,78.78251952146506,81.48327851401011,84.19349512446512,86.91081504122691,89.61069693280986,92.27891156641795,94.91577857012099,97.47443218394994
ASE,290.0,306.0414116764832,322.08282335296644,338.1242350294496,354.16564670593283,370.2070583824161,386.2484700588993,419.79507416871326,458.59984856010414,499.67196639100393,543.2509788464866,589.4280259131987,638.2838121677452,689.6907168994466,743.4128352537829,799.2650949513958,857.0930300795553,916.8237095654038,978.5193111326174,1042.305786869952,1108.449324997358,1177.2881821022252,1249.0475290319143,1323.9873015723592,1402.174524941528,1483.5012621999217,1567.8927967175982,1655.164973277532,1745.0037334095978,1837.0703063518056,1931.182986523664,2027.233784457396
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,1170.0,1261.4235996860166,1352.8471993720332,1444.2707990580498,1535.6943987440666,1627.1179984300832,1718.5415981160995,1790.809606130014,1869.898733285937,1946.2575377347252,2020.7195791255356,2094.433430885653,2168.37236614088,2242.872180012798,2317.9951349132684,2393.426562989053,2468.873704397614,2543.695976768618,2617.4158316734383,2690.234991426241,2762.630657402919,2835.055302868616,2908.0769345571885,2982.0376584276755,3057.1381880672,3133.428590189171,3210.562851454335,3288.138567160439,3365.6475321488715,3442.710067622912,3518.8065542432173,3593.573570877977
CAN,1710.0,1790.3354156591204,1870.6708313182403,1951.006246977361,2031.341662636481,2111.6770782956014,2192.0124939547213,2182.978893995975,2210.7668311476627,2241.473402407544,2275.8874180490097,2312.3403461830208,2350.58944651324,2391.415244961297,2434.1462797139197,2478.598481094044,2525.019103903413,2572.7878391634536,2621.626674846734,2671.939623366792,2723.009867993873,2773.660109747406,2823.9437774321564,2874.249375156613,2924.3799508651687,2973.176228767287,2976.215513413007,2976.779815641443,2977.3436782374592,2978.126357498355,2976.21352185302,2975.9135767464595
CHL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
