OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,57.26436323783123,102.06697343131854,146.86958362480584,191.67219381829312,236.4748040117805,281.27741420526775,326.0800243987551,329.92932737519106,333.68440442302995,336.4599708905156,338.97005692554376,341.4536559621845,344.209771646564,347.55237975272195,351.5660510107466,356.27229456904354,361.5905978965298,367.3051265981359,373.2176596082217,379.2773276846468,385.4764732223204,391.838977468678,398.4082481895047,405.1160210277897,411.9454852676442,418.92710001320256,426.0328729356102,433.2268314140091,440.4079209983775,447.5361738918414,454.654717125083,461.9217344278869
AFW,55.35191465242788,147.14515916488799,238.93840367734813,330.73164818980814,422.5248927022683,514.3181372147284,606.1113817271885,681.2219044835695,754.2021449181216,825.7103226088766,897.0328644986456,968.5869021025356,1040.292495583564,1111.562073390189,1181.4711385417922,1249.0549495988778,1313.7355767938918,1375.8158355854393,1436.5122531786203,1497.908119080958,1562.6687729392222,1633.1451613863924,1710.7508399763126,1796.3217034187026,1890.0093617148527,1990.8729039500552,2097.506237868331,2208.691982474167,2323.1206847242815,2439.8241958347153,2558.2441706842155,2677.6178242531687
AFZ,312.7166003944351,478.2053570798379,643.6941137652407,809.1828704506433,974.6716271360463,1140.1603838214492,1305.6491405068518,1383.8873324539136,1459.940700421182,1532.394347124076,1604.0695846766735,1675.8983022059235,1748.490003907557,1822.0191059260037,1895.824201729696,1969.0625436480695,2041.015810884303,2111.4706425380027,2181.098667276534,2251.709631334689,2325.7501553393386,2405.448287498608,2492.2100823863343,2586.6523033777517,2688.8766919295667,2798.082988047457,2912.907270872024,3032.1418443484354,3154.345138835479,3278.5307435425684,3404.281037002253,3531.2523678246107
ANZ,1259.8159912322872,1025.4326313736592,791.0492715150308,556.6659116564026,322.2825517977743,87.89919193914616,38.34518023008286,38.79783664981844,39.23941262934287,39.56580366366812,39.86097568956465,40.15303299315092,40.47713672458113,40.87020867219735,41.34219387907115,41.89562170030095,42.52102431423515,43.193020807725055,43.88830149628023,44.60088444260894,45.32986915534288,46.07806393510929,46.85057329146981,47.639369719281525,48.4424763727326,49.26347507146938,50.09907407476977,50.94504320437399,51.78949902428722,52.62774154597946,53.46484226614038,54.319402703336586
ASC,41.00605753659282,158.87386014415452,276.7416627517162,394.60946535927786,512.4772679668397,630.3450705744012,748.212873181963,825.3686753300896,900.3425507186183,973.4193921601468,1046.19657095642,1119.1952221922056,1192.4622671998754,1265.540622125023,1337.536790255768,1407.489965603034,1474.7848140768554,1539.6339036298007,1603.1759578007334,1667.4838853025685,1735.234191624421,1808.8007145519202,1889.6231402145684,1978.5128255606658,2075.615044395141,2179.9967604692083,2290.232354108709,2405.0825408577416,2523.187758809281,2643.5576038107633,2765.6490690812548,2888.762584139519
ASE,240.98162846735752,465.16944375268747,689.3572590380172,913.5450743233471,1137.732889608677,1361.920704894007,1586.1085201793367,1705.4296931320062,1828.9413485231644,1957.2393994247159,2090.327555032909,2228.2167568940913,2370.176413979627,2515.1389724749224,2662.300707754823,2810.98540898651,2960.7871124964486,3111.7314521822814,3263.9673336221654,3418.081630556934,3574.8634994760096,3734.6396990427397,3897.9435191272155,4064.656661737786,4234.1330790810625,4406.030730123262,4579.696634916641,4754.064580882679,4928.05318012637,5101.239268344934,5273.455076231391,5444.438353968365
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,1422.3183936731998,1382.213044194194,1342.1076947151882,1302.0023452361825,1261.896995757177,1221.791646278171,1181.6862967991651,1227.9490019809978,1271.959774464855,1314.2901905143192,1355.7065763768976,1396.849491530898,1437.9327291135555,1478.9949054105614,1519.8341354275444,1560.2743131720526,1599.911570411462,1638.4502374660583,1676.0383815398905,1712.9883218484144,1749.5786265423344,1786.1586536838122,1822.9291909199935,1860.009175174728,1897.4326117542969,1934.9835211354475,1972.423417418488,2009.4505597607688,2045.8512966253247,2081.3134796289664,2115.627457178736,2148.974962578596
CAN,2110.3772712328,1845.0154227696264,1579.6535743064526,1314.2917258432792,1048.9298773801056,783.5680289169323,518.2061804537583,521.1427159581463,524.7032917227348,529.0641029557052,533.8099306442854,538.8728197908304,544.43347059622,550.3223178202544,556.4895723291135,562.990961501105,569.674082246232,576.4730963227662,583.489681585725,590.5559287378915,597.397481642149,604.0423099088873,610.5982882137521,617.0290665869883,623.0662691661629,628.6220523847448,633.9219909962576,638.780038258039,643.3059157729637,647.511848644575,651.2519846495587,654.7391392949945
