OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AFN,340.0,347.34694215193196,378.6938843038639,418.0408264557958,507.3877686077278,541.7347107596597,567.5238292810875,594.9034470253696,596.9299188120767,598.0062283232867,599.1252457706254,600.8195734371566,603.4175207422525,607.4305146041926,612.9168257944727,619.9003011855848,628.3368531893566,637.860825545043,648.0620116320256,658.8490163609117,670.1873987312999,682.0544369312897,694.4888697784602,707.2638200897331,720.3114883503176,733.7894496029533,747.7163424553061,762.0239660031181,776.4105354637031,790.680250713048,804.8932791754631,819.4746948835179
AFW,122.0,124.06846493526729,126.14392987053456,172.79939480580185,179.72385974106916,147.69632467633645,163.94183754244432,172.92845600977705,182.15736719180282,191.44242148081707,201.15143784187282,211.280270721774,221.85258678323976,232.8818106449867,244.29532065152637,255.96592734995875,267.72183149722815,279.4305917005424,290.98300992443126,302.4033941805566,313.8873591672468,325.5572184224908,337.35666560027477,349.3589600569444,361.70186865379,374.240187807239,386.7772267326557,399.30312356126115,411.6664228464724,423.8000757315295,435.72262384637907,447.20245321928877
AFZ,1332.0,1448.1514112233158,1550.9318224466317,1680.6682336699478,1760.1986448932635,1826.6830561165793,1944.8311289590915,2051.1919722352386,2100.6713293286607,2148.59243875599,2198.3791916274286,2251.2167527121383,2307.911449563138,2369.59275831738,2436.11582458103,2506.9524846386175,2581.2137675407294,2657.548451348537,2734.591705697353,2812.228657227964,2891.3052019413544,2972.355661800968,3055.1957194192064,3139.75031472867,3226.5276653851165,3315.138652086852,3404.692950130343,3495.0040112523725,3584.761785328396,3673.244882163659,3760.647201570236,3846.7009289052703
ANZ,2801.0,2637.1479194224785,2449.2358388449575,2239.7227582674363,2124.373677689915,1939.5745971123936,1821.5279558383886,1744.36123837269,1716.9160468183454,1683.5471350442276,1655.5096123401806,1632.0756896974106,1613.8783531388835,1602.245362736528,1595.5879801459969,1593.39947413537,1595.1655135201436,1599.0666077761027,1603.857842169115,1610.1854905630062,1618.191360340956,1627.7859455769155,1639.0233228660659,1650.1989600753573,1661.2281942908107,1673.1559798073731,1685.941609617922,1699.3553936178546,1711.7819755110545,1722.6073908073254,1732.4204023759253,1743.5426697753642
ASC,420.0,424.42507857293924,426.92715714587837,457.6692357188177,503.08831429175683,544.6203928646961,572.833016406636,591.612101501178,603.5438832228003,614.7959286594004,626.9892024886309,640.2887319974994,654.9005559567693,671.1344821780363,688.8135595399455,707.7388691327722,727.6213899164289,748.0142479272133,768.5208243589783,789.1783148677725,810.2535634930418,831.9017614013519,854.0637674394834,876.6422857345225,899.7959749297106,923.4525690180367,947.343648660755,971.4133767383797,995.2272101995728,1018.57384547779,1041.540448855767,1064.1234355273814
ASE,1050.0,1275.066932258825,1561.1338645176502,1773.2007967764755,2030.2677290353006,2215.334661294126,2445.958258655849,2613.14315401817,2789.883569758524,2972.886079848727,3161.719377054621,3356.8642501663853,3557.387666535594,3761.6255957094518,3968.5645028422223,4177.128848725717,4386.312094975965,4595.615459712622,4804.325664545173,5012.656045444616,5221.471513772504,5430.694750801328,5641.378582899732,5853.445624905417,6065.865890005503,6278.91672938331,6492.298869376824,6704.537471211881,6914.001309204481,7120.765280501332,7325.42823929878,7528.011040056417
ASO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRA,1820.0,1846.448416527931,1924.3968330558619,1963.0452495837928,2157.093666111724,2234.542082639655,2221.0984910521684,2263.3243574198023,2298.946905077946,2331.323417362475,2361.717924151977,2391.6551134762135,2419.4883282919573,2445.1909239656743,2468.1687483567866,2490.06567555416,2508.6353215687104,2522.2242801584825,2533.3669191561858,2543.4230629028953,2551.1963053969357,2556.8222387030437,2559.523991030411,2559.7870756002503,2559.0707972789564,2556.688633321284,2553.0791411346354,2547.9104242617996,2541.8050151137245,2532.783539107995,2519.9210444485457,2507.3198057667605
CAN,4564.0,4675.894882620823,4490.5657652416485,4170.441647862472,4257.451530483297,4105.52141310412,3947.782322743192,3976.2576333037973,3846.762520927839,3736.935983128015,3602.4892848313557,3450.3922667926845,3305.1075205431584,3148.7565746957284,2983.513823347152,2819.640067587594,2644.3245788474524,2459.494523678018,2282.592040382263,2100.022020963681,1894.689323402807,1683.2146299669223,1481.8952031232614,1288.3910549519073,1079.7308156819645,857.1661961368636,858.0424213782544,858.2051096137986,858.3676711033917,858.5933173998898,858.0418472118524,857.9553730891438
