Market type,Region,Calibration year,Observed regional total 2024 (Mtpa),Original WCA total 2024 (Mtpa),Rescaling factor,Consumption 2020 (Mtpa),Consumption 2024 (Mtpa),Consumption 2035 (Mtpa),Consumption 2050 (Mtpa)
Decline then stable,China,2024,1831.6,1825.0,1.003616438356,2419.719232877,1831.6,1187.278246575,931.356054795
Already stable,North America,2024,101.0,120.0,0.841666666667,96.791666667,101.0,110.258333333,116.15
Already stable,W Europe,2024,132.039003687,126.0,1.04792860069,137.27864669,132.039003687,135.182789489,130.991075086
Already stable,E Europe & Turkey,2024,144.016021,127.0,1.133984417323,136.078130079,144.016021,146.283989835,141.748052165
Already stable,Oceania,2024,11.343,12.0,0.94525,11.343,11.343,12.28825,13.2335
Already stable,NE Asia,2024,96.090253,97.0,0.990621164948,96.090253,96.090253,88.16528368,84.202799021
Slow growth,SE Asia,2024,303.15115799,240.0,1.263129824958,298.09863869,303.15115799,347.360701864,375.149558013
Slow growth,North Africa,2024,100.889,97.0,1.040092783505,96.728628866,100.889,115.450298969,136.252154639
Slow growth,Latin America,2024,187.430116302,176.0,1.064943842625,174.650790191,187.430116302,215.11865621,228.962926164
Slow growth,CIS,2024,115.242994,116.0,0.993474086207,96.366986362,115.242994,126.171208948,135.112475724
Slow growth,Middle East,2024,203.259,208.0,0.977206730769,191.532519231,203.259,229.643581731,248.210509615
Fast growth,South Asia,2024,521.0065,537.0,0.970216945996,380.325042831,521.0065,788.786377095,880.956986965
Fast growth,Sub Saharan Africa,2024,123.473563,153.0,0.807016751634,104.912177712,123.473563,167.052467588,248.561159503
