Country,ISO2,ISO3,Metric,Unit,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,AF,AFG,Cement production,kt cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.762783,36.440302,44.11534,58.820453,102.935792,124.993462,169.108802,176.461358,132.346019,95.297913,102.935792,95.793309,88.230679,95.583236,139.386748,147.332839,146.798032,169.108802,139.698575,125.206036,139.698575,51.575345,73.525566,88.230679,14.705113,110.431395,73.602476,88.230679,102.815117,102.935792,102.935792,112.0,112.0,112.0,115.0,115.0,115.0,116.0,116.0,116.0,116.0,25.0,16.0,27.0,24.0,24.0,15.2,29.8,28.4,37.3,31.5,35.6,35.7,70.8,87.0,70.1,100.8,186.3,109.6,139.2,93.8,148.484,40.0,26.0,26.0,26.0,28.04272122162124,29.29450693360045,30.54629264557966,31.79807835755887,33.04986406953809,34.30164978151729,35.5534354934965,36.80522120547571,38.05700691745492,39.30879262943413,40.56057834141335,40.87654840639361,41.19251847137387,41.50848853635413,41.82445860133439,42.14042866631465,42.4563987312949,42.77236879627517,43.08833886125542,43.40430892623569,43.72027899121595,44.0362490561962,44.35221912117647,44.66818918615672,44.98415925113698,45.30012931611724,45.63511283024602,45.97257346654711,46.31252954274066,46.65499951200187,47.00000196396277,47.34755562572122,47.69767936285741,48.05039218045796,48.40571322414754,48.76366178112805,49.1242572812256,49.48751929794519,49.85346754953313,50.22212190004744,50.59350236043602,50.96762908962289,51.34452239560246,51.72420273654187,52.10669072189141,52.49200711350336,52.88017282675879,53.27120893170301,53.66513665418925,54.06197737703074,54.46175264116148,54.86448414680551,55.27019375465469,55.67890348705551,56.09063552920431,56.5054122303517,56.9232561050155,57.34418983420304,57.76823626664211,58.19541842002143,58.62575948223994,59.05928281266544,59.49601194340266,59.93597058057055,60.37918260558911,60.8256720764756,61.27546322915059,61.72858047875337,62.1850484209673,62.64489183335492,63.10813567670281,63.57480509637653,64.04492542368558,64.5185221772584,64.99562106442743,65.47624798262473
Afghanistan,AF,AFG,Population,,7825.766,7932.912,8042.655,8150.741,8265.158,8388.801,8519.802,8656.868,8789.935,8948.604,9121.483,9306.683,9502.129,9706.845,9921.791,10150.226,10382.564,10629.354,10884.489,11150.329,11429.926,11705.409,12001.983,12314.016,12624.237,12923.671,13196.031,13485.482,13737.4,13573.734,12764.889,11110.273,10872.483,10963.481,11416.962,11436.742,11403.405,11372.232,11674.364,12073.812,12017.508,12460.25,14097.697,15788.647,16712.942,17418.729,18107.803,18796.38,19523.611,20251.958,20008.696,20559.918,22196.316,23269.782,23851.525,24957.609,25890.58,25929.124,27036.12,27896.081,28672.096,30023.32,31096.748,32148.66,33436.386,34227.141,35174.083,36203.786,37282.292,38429.95,39708.008,40292.816,40864.868,42044.654,43250.33,44437.893,45656.244,46861.567,48079.582,49371.851,50706.953,52045.049,53370.646,54717.862,56001.066,57293.399,58613.923,59944.165,61251.511,62637.433,64058.308,65419.378,66701.061,68049.266,69358.651,70683.748,72085.638,73426.983,74792.486,76238.717,77531.552,78778.551,80136.021,81507.771,82885.848,84271.925,85689.38,87097.919,88449.166,89714.316,91011.156,92256.291,93606.968,94945.273,96332.889,97715.613,98961.907,100192.599,101508.628,102757.149,104076.135,105238.077,106434.247,107692.243,108838.793,109866.945,110932.815,112018.828,113009.801,114157.053,115190.537,116078.114,116954.35,117802.72,118783.225,119665.322,120421.155,121295.358,122092.723,122874.315,123734.676,124485.327,125222.996,125955.826,126657.951,127322.342,127973.182,128637.811,129291.713,129940.523
Albania,AL,ALB,Cement production,kt cement,14.705113,14.562345,14.705113,14.705113,44.11534,66.173009,73.525566,80.878123,73.525566,73.525566,117.452076,117.640906,132.346019,124.993462,146.803571,139.89958,220.576698,301.45482,330.865047,360.628484,360.275273,397.038056,514.678962,559.266256,647.02498,699.010662,749.480337,801.881453,845.135533,999.947697,786.330783,830.838895,838.191452,860.249122,852.896565,845.544008,860.673099,742.980078,757.313329,750.0,600.0,200.0,200.0,100.0,200.0,203.0,100.0,84.0,106.0,180.0,0.0,0.0,578.451,573.221,489.0,525.0,889.0,918.0,1108.0,1300.0,1800.0,2230.0,2000.0,1740.0,1980.0,1680.0,1930.0,1770.0,1770.0,2522.0,2503.0,1730.0,1730.0,1730.0,1461.045616512536,1463.134316464662,1465.223016416789,1467.311716368915,1469.400416321042,1471.489116273169,1473.577816225295,1475.666516177422,1477.755216129548,1479.843916081675,1481.932616033801,1478.869189437349,1475.805762840897,1472.742336244444,1469.678909647992,1466.61548305154,1463.552056455087,1460.488629858635,1457.425203262183,1454.361776665731,1451.298350069278,1448.234923472826,1445.171496876374,1442.108070279921,1439.044643683469,1435.981217087017,1432.96894799194,1429.96299775744,1426.963353128393,1423.970000877481,1420.982927805132,1418.002120739465,1415.027566536227,1412.059252078741,1409.097164277842,1406.141290071824,1403.19161642638,1400.248130334545,1397.31081881664,1394.379668920211,1391.454667719978,1388.535802317773,1385.623059842482,1382.716427449995,1379.815892323141,1376.921441671641,1374.03306273204,1371.150742767663,1368.274469068548,1365.404228951398,1362.54000975952,1359.681798862772,1356.829583657506,1353.983351566512,1351.143090038966,1348.308786550368,1345.480428602494,1342.658003723336,1339.84149946705,1337.030903413898,1334.226203170196,1331.427386368257,1328.634440666341,1325.847353748594,1323.066113324999,1320.290707131319,1317.521122929043,1314.757348505336,1311.999371672978,1309.247180270316,1306.50076216121,1303.760105234976,1301.025197406334,1298.29602661536,1295.572580827421,1292.854848033136
Albania,AL,ALB,Population,,1261.228,1291.503,1325.217,1361.934,1400.24,1437.459,1476.181,1519.731,1568.226,1621.796,1676.978,1720.603,1766.863,1815.707,1867.176,1921.448,1978.641,2038.4,2099.282,2154.468,2207.971,2262.013,2316.518,2371.692,2427.11,2482.608,2538.552,2594.647,2654.595,2708.174,2762.658,2818.168,2875.647,2934.613,2995.303,3057.18,3118.124,3179.553,3246.285,3274.462,3281.47,3283.735,3281.267,3274.382,3264.437,3252.697,3238.659,3220.66,3199.605,3177.586,3154.709,3141.178,3127.006,3109.169,3088.146,3064.172,3037.445,3008.329,2977.532,2945.427,2912.016,2910.992,2909.016,2906.129,2901.37,2895.894,2899.839,2896.646,2891.816,2878.203,2865.704,2833.567,2821.649,2801.661,2781.868,2761.147,2740.903,2721.547,2701.774,2682.047,2661.723,2642.024,2622.295,2601.802,2580.832,2560.328,2539.049,2517.424,2495.766,2472.981,2450.751,2428.288,2406.239,2384.092,2362.43,2340.131,2317.774,2295.955,2273.728,2251.369,2228.962,2207.061,2184.618,2162.04,2139.509,2117.092,2095.054,2072.882,2051.004,2028.96,2007.037,1985.374,1963.712,1941.918,1920.288,1898.689,1877.62,1856.093,1834.721,1813.476,1792.159,1770.661,1749.085,1727.575,1705.37,1683.391,1661.63,1639.461,1617.471,1595.502,1573.105,1550.681,1528.066,1505.497,1483.074,1460.861,1438.891,1417.331,1395.83,1374.724,1354.114,1333.996,1314.388,1295.363,1276.926,1259.091,1241.768,1224.956,1208.614,1192.748
Algeria,DZ,DZA,Cement production,kt cement,448.505952,485.268735,515.150711,661.730094,676.435207,653.898139,713.19799,845.544008,955.832357,1058.76815,1072.824639,874.388654,882.306791,786.723556,743.021235,661.730094,727.587036,867.952934,948.171452,926.422131,963.184914,926.422131,1007.300254,941.127244,948.371229,1396.854986,1779.318696,2698.38827,3771.861533,4154.194476,4463.354297,4396.828844,4808.907105,5536.475116,6095.269417,6455.54469,7543.723067,7197.838494,6815.819964,6340.0,6319.0,6400.0,6400.0,6060.0,6822.0,6500.0,7096.0,7500.0,7500.0,8300.0,8300.0,9000.0,9000.0,11000.0,12800.0,14701.572,15886.0,17397.0,18732.0,19100.0,19000.0,19000.0,18500.0,19260.0,20250.0,22870.0,25330.0,25000.0,26000.0,23000.0,26000.0,28000.0,28000.0,28000.0,27273.898677124,27627.12215675373,27980.34563638346,28333.56911601319,28686.79259564291,29040.01607527265,29393.23955490237,29746.4630345321,30099.68651416183,30452.90999379155,30806.13347342128,31176.17711874766,31546.22076407405,31916.26440940043,32286.30805472681,32656.35170005319,33026.39534537958,33396.43899070595,33766.48263603234,34136.52628135872,34506.5699266851,34876.61357201148,35246.65721733787,35616.70086266425,35986.74450799062,36356.78815331701,36760.55537778238,37168.80671593965,37581.59196696617,37998.96148309345,38420.96617574932,38847.65752176813,39279.08756967005,39715.30894600993,40156.37486179689,40602.33911898496,41053.25611703608,41509.1808595557,41970.1689610023,42436.27665347128,42907.5607935543,43384.07886927469,43865.88900709995,44353.04997903214,44845.62120977695,45343.66278399242,45847.23545361823,46356.40064528627,46871.22046781352,47391.7577197783,47918.07589718045,48450.23920118673,48988.31254596214,49532.36156658829,50082.4526270697,50638.65282842895,51201.03001689174,51769.65279216299,52344.59051579468,52925.91331964665,53513.6921144415,54107.99859841431,54708.90526605854,55316.4854169691,55930.81316478338,56551.96344622196,57180.01203022937,57815.03552721656,58457.11139840599,59106.31796528045,59762.73441913685,60426.4408307461,61097.51816012028,61776.04826638829,62462.11391778116,63155.79880172824
Algeria,DZ,DZA,Population,,9144.061,9395.668,9646.746,9898.544,10130.218,10364.629,10599.735,10835.266,11072.013,11307.232,11542.612,11715.155,11886.386,12077.85,12281.776,12450.175,12729.963,13022.272,13322.956,13628.963,13938.476,14259.396,14594.747,14947.548,15319.456,16037.736,16780.604,17251.383,17762.564,18310.745,18903.603,19537.806,20206.89,20909.341,21634.597,22382.492,23108.505,23778.743,24440.328,25068.643,25682.977,26292.878,26964.257,27589.839,28184.718,28755.663,29310.426,29848.175,30260.091,30688.616,31119.169,31543.274,31958.395,32393.24,32863.332,33355.166,33891.846,34486.986,35146.936,35833.954,36542.517,37264.234,38028.098,38800.245,39609.816,40429.242,41272.2,42106.398,42903.672,43685.42,44398.762,45123.436,45831.343,46497.095,47131.52,47739.103,48317.564,48869.252,49401.793,49908.964,50399.367,50875.35,51351.639,51816.842,52279.165,52754.414,53218.12,53687.432,54156.261,54636.243,55110.709,55593.267,56075.843,56563.342,57049.015,57531.298,58004.035,58464.304,58917.467,59354.849,59776.26,60174.952,60539.302,60890.496,61217.963,61519.475,61804.713,62054.984,62287.895,62497.52,62682.396,62845.343,63006.047,63143.779,63279.334,63401.589,63514.04,63620.913,63721.997,63819.328,63898.576,64001.257,64101.935,64197.581,64294.335,64389.983,64472.321,64557.519,64636.967,64714.868,64786.583,64844.564,64896.851,64946.779,64992.889,65036.544,65074.721,65099.537,65116.436,65114.459,65116.49,65094.998,65067.196,65038.446,64982.075,64920.949,64844.303,64759.831,64658.48,64547.402
Andorra,AD,AND,Cement production,kt cement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.79575518496417,23.84714990458612,23.89854462420807,23.94993934383003,24.00133406345198,24.05272878307394,24.10412350269589,24.15551822231784,24.20691294193979,24.25830766156174,24.3097023811837,24.25944976644223,24.20919715170077,24.1589445369593,24.10869192221784,24.05843930747637,24.00818669273491,23.95793407799345,23.90768146325198,23.85742884851051,23.80717623376905,23.75692361902758,23.70667100428612,23.65641838954465,23.60616577480319,23.55591316006172,23.50649973572579,23.45718996631878,23.40798363440295,23.35888052299666,23.30988041557343,23.26098309606099,23.21218834884035,23.16349595874478,23.11490571105895,23.06641739151792,23.01803078630623,22.96974568205691,22.9215618658506,22.87347912521459,22.82549724812184,22.77761602299012,22.72983523868101,22.682154684499,22.63457415019058,22.58709342594326,22.5397123023847,22.49243057058175,22.44524802203953,22.39816444870055,22.35117964294374,22.30429339758357,22.25750550586912,22.21081576148316,22.16422395854129,22.11772989159095,22.07133335561059,22.02503414600874,21.97883205862308,21.93272688971957,21.88671843599155,21.84080649455884,21.79499086296682,21.74927133918561,21.70364772160908,21.65811980905403,21.61268740075928,21.56735029638481,21.52210829601083,21.47696120013692,21.43190880968117,21.38695092597928,21.34208735078368,21.29731788626269,21.2526423349996,21.20806049999183
Andorra,AD,AND,Population,,6.044,5.593,5.318,5.328,5.876,6.455,7.074,7.725,8.41,9.131,9.889,10.676,11.496,12.334,13.193,14.075,15.177,16.497,17.855,19.255,20.698,22.185,23.729,25.317,26.942,28.605,30.266,31.928,33.542,35.07,36.493,37.844,39.685,41.444,43.102,44.547,46.922,48.384,50.448,50.791,54.403,58.932,61.467,65.077,64.148,63.676,64.292,65.107,65.656,65.763,65.607,66.097,66.915,72.056,76.594,78.247,80.924,82.831,84.158,83.618,77.794,77.772,75.896,74.491,72.983,71.364,72.999,74.526,75.798,77.149,77.611,79.116,80.294,81.418,82.457,83.352,84.154,84.773,85.143,85.545,85.818,85.948,86.021,86.088,86.125,86.222,86.021,85.994,85.888,85.8,85.536,85.419,85.149,84.877,84.479,84.109,83.725,83.305,82.868,82.414,81.976,81.36,80.79,80.123,79.408,78.705,77.956,77.196,76.426,75.631,74.814,73.999,73.173,72.35,71.514,70.684,69.999,69.188,68.371,67.587,66.836,66.158,65.42,64.704,64.029,63.311,62.628,61.885,61.139,60.435,59.736,59.04,58.317,57.611,56.98,56.349,55.684,55.031,54.392,53.728,53.104,52.457,51.811,51.157,50.529,49.893,49.278,48.668,48.077,47.504
Angola,AO,AGO,Cement production,kt cement,0.0,0.0,29.410226,43.655805,73.525566,88.230679,132.346019,169.108802,154.403688,160.685012,155.659003,168.585245,191.166471,213.224141,242.634368,264.692037,279.397151,308.13165,382.836675,448.047357,528.815456,624.459207,772.018442,756.743921,654.377537,301.45482,301.45482,397.038056,397.038056,242.800898,249.986924,249.789929,220.576698,353.181268,352.922717,352.922717,352.922717,999.947697,1000.680259,260.0,260.0,300.0,250.0,240.0,200.0,270.0,301.0,350.0,207.0,201.0,550.0,597.0,700.0,754.0,1315.0,1373.0,1400.0,1780.0,1800.0,1500.0,2000.0,3000.0,4000.0,5100.0,5240.0,3870.0,2570.0,2600.0,2900.0,2800.0,2800.0,2900.0,2900.0,2900.0,3420.911064843963,3527.260631626677,3633.61019840939,3739.959765192104,3846.309331974819,3952.658898757532,4059.008465540247,4165.358032322961,4271.707599105674,4378.057165888388,4484.406732671102,4630.276323653317,4776.145914635534,4922.01550561775,5067.885096599966,5213.754687582183,5359.624278564399,5505.493869546614,5651.363460528832,5797.233051511047,5943.102642493263,6088.972233475481,6234.841824457696,6380.711415439911,6526.581006422128,6672.450597404345,6851.579874804739,7035.518074737207,7224.394298017954,7418.341111316641,7617.494640201026,7821.9946646795,8031.984717308566,8247.612183934127,8469.028407137268,8696.388792457179,8929.852917465723,9169.584643770255,9415.752232023258,9668.528460019552,9928.090743963954,10194.62126299449,10468.3070870486,10749.34030816198,11037.91817529239,11334.24323276288,11638.52346242167,11950.97242961854,12271.80943310005,12601.25965892888,12939.55433853532,13286.9309110118,13643.63318976444,14009.91153363847,14386.02302263779,14772.23163836183,15168.8084492865,15576.03180101917,15994.1875116613,16423.56907241574,16864.47785357955,17317.22331606703,17782.12322861117,18259.50389079622,18749.70036207776,19253.05669695111,19769.92618643302,20300.67160602632,20845.6654703413,21405.29029455284,21979.93886287654,22570.01450425237,23175.9313754295,23798.11475165064,24437.00132514033,25093.03951160629
Angola,AO,AGO,Population,,4579.359,4625.764,4677.611,4735.107,4798.327,4867.201,4941.34,5019.944,5102.324,5187.881,5275.427,5327.74,5380.879,5435.761,5492.613,5551.349,5611.424,5672.19,5733.209,5794.161,5911.415,6070.789,6277.736,6499.32,6727.414,6958.479,7190.85,7444.809,7708.658,7985.756,8281.987,8589.227,8914.07,9251.895,9599.94,9958.299,10320.6,10675.115,11047.467,11429.657,11823.062,12223.995,12623.43,13030.839,13468.69,13930.866,14411.08,14909.745,15408.995,15925.474,16464.263,17030.152,17625.247,18262.177,18938.669,19643.652,20386.906,21170.217,21987.093,22842.454,23747.196,24689.507,25665.281,26665.959,27655.58,28660.016,29706.124,30763.554,31830.756,32920.509,33981.756,35083.102,36186.956,37312.856,38458.843,39621.234,40809.125,42021.124,43262.228,44521.473,45799.443,47100.486,48418.533,49764.415,51130.496,52512.94,53918.938,55332.804,56774.756,58229.076,59701.567,61180.79,62675.037,64186.718,65703.879,67224.778,68776.418,70331.922,71905.646,73497.124,75093.665,76691.987,78311.944,79934.971,81570.461,83213.98,84850.428,86508.392,88163.686,89819.497,91476.331,93145.645,94794.337,96455.896,98109.662,99756.798,101400.14,103038.686,104677.686,106319.64,107954.512,109581.08,111201.731,112827.068,114434.549,116007.134,117569.726,119142.582,120707.621,122234.603,123790.195,125295.579,126782.425,128249.047,129723.06,131184.961,132632.185,134037.204,135459.002,136867.726,138245.696,139594.002,140904.755,142195.354,143474.941,144730.108,145951.557,147147.615,148339.123,149486.497
