Country,ISO2,ISO3,Metric,Unit,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,AF,AFG,Cement production,kt cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.762783,36.440302,44.11534,58.820453,102.935792,124.993462,169.108802,176.461358,132.346019,95.297913,102.935792,95.793309,88.230679,95.583236,139.386748,147.332839,146.798032,169.108802,139.698575,125.206036,139.698575,51.575345,73.525566,88.230679,14.705113,110.431395,73.602476,88.230679,102.815117,102.935792,102.935792,112.0,112.0,112.0,115.0,115.0,115.0,116.0,116.0,116.0,116.0,25.0,16.0,27.0,24.0,24.0,15.2,29.8,28.4,37.3,31.5,35.6,35.7,70.8,87.0,70.1,100.8,186.3,109.6,139.2,93.8,148.484,40.0,26.0,26.0,26.0,27.70840066128136,28.51371369836697,29.33135148278978,30.13905736790938,30.95767827155655,31.99064051417198,33.00339439800083,34.0628663193644,35.15597645848528,36.30272430787757,37.44666572465475,37.68378461892705,37.98065158986213,38.32130834439747,38.67663425496887,39.10726622882429,39.5072495397135,39.89988365321596,40.2725690762679,40.7120303908186,41.15203693790524,41.56290099034016,42.0470494766821,42.52103315242519,43.03078419200255,43.60665566116874,44.3461252232248,45.05937772985896,45.83581690918521,46.62042389441567,47.4086497667579,48.20145144072712,49.01220055262785,49.81784993361529,50.59072971125095,51.31436413980158,52.05612446254717,52.76831080740223,53.54086455917196,54.30634183372552,55.10002377753273,55.89090761864503,56.60375688276081,57.30768218975351,58.06041814467669,58.77454119757037,59.52896848316994,60.19357049493055,60.87775007395233,61.59729259189802,62.25309076132829,62.84116821062931,63.45081942065124,64.07199192719477,64.63880391040948,65.29500360643254,65.88613082751795,66.39380286260445,66.89498812690945,67.38023473019719,67.94105927698298,68.44559688795496,68.87791462184794,69.37793706056448,69.83401006860406,70.2810613117608,70.77316646971222,71.20252022810129,71.62444860440016,72.0436091926899,72.44520728236,72.82522245970588,73.19748680107087,73.57763810851516,73.95165383795286,74.32275706965498
Afghanistan,AF,AFG,Population,,7825.766,7932.912,8042.655,8150.741,8265.158,8388.801,8519.802,8656.868,8789.935,8948.604,9121.483,9306.683,9502.129,9706.845,9921.791,10150.226,10382.564,10629.354,10884.489,11150.329,11429.926,11705.409,12001.983,12314.016,12624.237,12923.671,13196.031,13485.482,13737.4,13573.734,12764.889,11110.273,10872.483,10963.481,11416.962,11436.742,11403.405,11372.232,11674.364,12073.812,12017.508,12460.25,14097.697,15788.647,16712.942,17418.729,18107.803,18796.38,19523.611,20251.958,20008.696,20559.918,22196.316,23269.782,23851.525,24957.609,25890.58,25929.124,27036.12,27896.081,28672.096,30023.32,31096.748,32148.66,33436.386,34227.141,35174.083,36203.786,37282.292,38429.95,39708.008,40292.816,40864.868,42044.654,43250.33,44437.893,45656.244,46861.567,48079.582,49371.851,50706.953,52045.049,53370.646,54717.862,56001.066,57293.399,58613.923,59944.165,61251.511,62637.433,64058.308,65419.378,66701.061,68049.266,69358.651,70683.748,72085.638,73426.983,74792.486,76238.717,77531.552,78778.551,80136.021,81507.771,82885.848,84271.925,85689.38,87097.919,88449.166,89714.316,91011.156,92256.291,93606.968,94945.273,96332.889,97715.613,98961.907,100192.599,101508.628,102757.149,104076.135,105238.077,106434.247,107692.243,108838.793,109866.945,110932.815,112018.828,113009.801,114157.053,115190.537,116078.114,116954.35,117802.72,118783.225,119665.322,120421.155,121295.358,122092.723,122874.315,123734.676,124485.327,125222.996,125955.826,126657.951,127322.342,127973.182,128637.811,129291.713,129940.523
Albania,AL,ALB,Cement production,kt cement,14.705113,14.562345,14.705113,14.705113,44.11534,66.173009,73.525566,80.878123,73.525566,73.525566,117.452076,117.640906,132.346019,124.993462,146.803571,139.89958,220.576698,301.45482,330.865047,360.628484,360.275273,397.038056,514.678962,559.266256,647.02498,699.010662,749.480337,801.881453,845.135533,999.947697,786.330783,830.838895,838.191452,860.249122,852.896565,845.544008,860.673099,742.980078,757.313329,750.0,600.0,200.0,200.0,100.0,200.0,203.0,100.0,84.0,106.0,180.0,0.0,0.0,578.451,573.221,489.0,525.0,889.0,918.0,1108.0,1300.0,1800.0,2230.0,2000.0,1740.0,1980.0,1680.0,1930.0,1770.0,1770.0,2522.0,2503.0,1730.0,1730.0,1730.0,1450.371229367569,1441.323199123366,1430.962553131418,1421.598039887811,1412.489072001112,1403.3118340625,1393.993181923049,1385.157596155125,1376.512435225756,1367.682219215471,1358.895882870146,1345.859344919054,1332.657565141458,1319.610145136253,1306.958802226261,1294.015481837186,1281.905169043108,1269.950096003833,1258.42940426612,1247.194216996296,1236.395465304625,1225.49760003135,1214.628204422482,1204.407919423829,1194.263654808661,1184.422773641885,1171.95030457899,1159.767163663435,1147.307172905347,1134.79010842841,1122.313960883932,1109.942145306538,1097.78812462489,1085.575444649244,1073.534170871808,1061.416743358642,1049.380373599297,1037.509586191305,1025.664327201843,1013.772613620589,1001.991996200881,990.2430952461796,978.7991388109537,967.1323345735884,955.5688381226828,944.0928302750555,932.6176531304432,921.0632906320623,909.4840994557734,897.955971067302,886.0756515007785,874.349015102895,862.751008592373,850.9505506884396,839.2574728108815,827.587959565242,815.7181595953507,803.8451909548296,791.8825738040254,779.9548781559987,768.114369992307,756.4006834523778,744.8237526919141,733.4707548635954,722.1571813591071,711.0588265353194,700.2291865569061,689.6643893041078,679.3733160049056,669.3936009648517,659.7272978280322,650.3780154696833,641.3016694228277,632.4972773431773,623.9430149565271,615.64161552849
Albania,AL,ALB,Population,,1261.228,1291.503,1325.217,1361.934,1400.24,1437.459,1476.181,1519.731,1568.226,1621.796,1676.978,1720.603,1766.863,1815.707,1867.176,1921.448,1978.641,2038.4,2099.282,2154.468,2207.971,2262.013,2316.518,2371.692,2427.11,2482.608,2538.552,2594.647,2654.595,2708.174,2762.658,2818.168,2875.647,2934.613,2995.303,3057.18,3118.124,3179.553,3246.285,3274.462,3281.47,3283.735,3281.267,3274.382,3264.437,3252.697,3238.659,3220.66,3199.605,3177.586,3154.709,3141.178,3127.006,3109.169,3088.146,3064.172,3037.445,3008.329,2977.532,2945.427,2912.016,2910.992,2909.016,2906.129,2901.37,2895.894,2899.839,2896.646,2891.816,2878.203,2865.704,2833.567,2821.649,2801.661,2781.868,2761.147,2740.903,2721.547,2701.774,2682.047,2661.723,2642.024,2622.295,2601.802,2580.832,2560.328,2539.049,2517.424,2495.766,2472.981,2450.751,2428.288,2406.239,2384.092,2362.43,2340.131,2317.774,2295.955,2273.728,2251.369,2228.962,2207.061,2184.618,2162.04,2139.509,2117.092,2095.054,2072.882,2051.004,2028.96,2007.037,1985.374,1963.712,1941.918,1920.288,1898.689,1877.62,1856.093,1834.721,1813.476,1792.159,1770.661,1749.085,1727.575,1705.37,1683.391,1661.63,1639.461,1617.471,1595.502,1573.105,1550.681,1528.066,1505.497,1483.074,1460.861,1438.891,1417.331,1395.83,1374.724,1354.114,1333.996,1314.388,1295.363,1276.926,1259.091,1241.768,1224.956,1208.614,1192.748
Algeria,DZ,DZA,Cement production,kt cement,448.505952,485.268735,515.150711,661.730094,676.435207,653.898139,713.19799,845.544008,955.832357,1058.76815,1072.824639,874.388654,882.306791,786.723556,743.021235,661.730094,727.587036,867.952934,948.171452,926.422131,963.184914,926.422131,1007.300254,941.127244,948.371229,1396.854986,1779.318696,2698.38827,3771.861533,4154.194476,4463.354297,4396.828844,4808.907105,5536.475116,6095.269417,6455.54469,7543.723067,7197.838494,6815.819964,6340.0,6319.0,6400.0,6400.0,6060.0,6822.0,6500.0,7096.0,7500.0,7500.0,8300.0,8300.0,9000.0,9000.0,11000.0,12800.0,14701.572,15886.0,17397.0,18732.0,19100.0,19000.0,19000.0,18500.0,19260.0,20250.0,22870.0,25330.0,25000.0,26000.0,23000.0,26000.0,28000.0,28000.0,28000.0,27089.25444254943,27253.69531624485,27409.15196241008,27536.90213198221,27653.45718488278,27782.59241077896,27855.52292107331,27939.29802380205,28038.4026509779,28145.13488741127,28261.47868208797,28367.70216649277,28481.89246337618,28610.05864152469,28748.88068268663,28901.95562885491,29028.60903838884,29172.66983378398,29330.32774693887,29503.55855447005,29687.92880973375,29855.30328988049,30033.87053491622,30219.46813813565,30413.963037202,30614.00275432454,30817.10001217571,31008.96068171605,31183.45252980722,31351.6802276581,31508.06701210193,31648.18979173749,31780.67387659203,31895.69152878488,32002.41021608024,32097.69317754207,32178.13856231922,32248.10009634075,32317.75644536726,32376.25433692949,32434.34864666616,32484.69759870203,32530.75786644528,32574.65383575039,32616.21455594504,32656.43921300691,32686.73774504754,32729.79540260278,32772.39521091591,32812.92373525931,32854.5057436014,32895.06741410165,32929.27705907374,32965.42613060831,32999.04021695696,33032.2493883088,33061.84198357307,33084.79737354418,33105.21809776095,33124.78688360855,33142.72609494011,33159.01427306583,33172.85205896763,33180.16909519392,33183.73502439624,33177.9128449011,33173.86142436349,33158.07164444336,33139.34019931367,33120.39000065834,33087.55323619289,33052.15772651113,33009.08353679947,32962.24888476358,32907.01067913244,32847.01188112094
Algeria,DZ,DZA,Population,,9144.061,9395.668,9646.746,9898.544,10130.218,10364.629,10599.735,10835.266,11072.013,11307.232,11542.612,11715.155,11886.386,12077.85,12281.776,12450.175,12729.963,13022.272,13322.956,13628.963,13938.476,14259.396,14594.747,14947.548,15319.456,16037.736,16780.604,17251.383,17762.564,18310.745,18903.603,19537.806,20206.89,20909.341,21634.597,22382.492,23108.505,23778.743,24440.328,25068.643,25682.977,26292.878,26964.257,27589.839,28184.718,28755.663,29310.426,29848.175,30260.091,30688.616,31119.169,31543.274,31958.395,32393.24,32863.332,33355.166,33891.846,34486.986,35146.936,35833.954,36542.517,37264.234,38028.098,38800.245,39609.816,40429.242,41272.2,42106.398,42903.672,43685.42,44398.762,45123.436,45831.343,46497.095,47131.52,47739.103,48317.564,48869.252,49401.793,49908.964,50399.367,50875.35,51351.639,51816.842,52279.165,52754.414,53218.12,53687.432,54156.261,54636.243,55110.709,55593.267,56075.843,56563.342,57049.015,57531.298,58004.035,58464.304,58917.467,59354.849,59776.26,60174.952,60539.302,60890.496,61217.963,61519.475,61804.713,62054.984,62287.895,62497.52,62682.396,62845.343,63006.047,63143.779,63279.334,63401.589,63514.04,63620.913,63721.997,63819.328,63898.576,64001.257,64101.935,64197.581,64294.335,64389.983,64472.321,64557.519,64636.967,64714.868,64786.583,64844.564,64896.851,64946.779,64992.889,65036.544,65074.721,65099.537,65116.436,65114.459,65116.49,65094.998,65067.196,65038.446,64982.075,64920.949,64844.303,64759.831,64658.48,64547.402
Andorra,AD,AND,Cement production,kt cement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.96455648068537,24.1231087065577,24.26201535603407,24.35963373412677,24.3967805637049,24.42291983057329,24.40906278278944,24.36012735530328,24.29890199342209,24.24029853932527,24.17750789276351,24.02306628697724,23.79117703869349,23.61297570570931,23.4179391354124,23.23395226677293,22.99992208213435,22.81018696253527,22.58565422108756,22.36746387143172,22.1219886850934,21.88817680994721,21.65672924277578,21.42244525640584,21.18946059538067,20.95927013121549,20.84787934424396,20.69122015526115,20.54625954207901,20.37663019296938,20.19479363432863,20.01600887807066,19.82552554601202,19.63224472843584,19.43642074220733,19.23423883434803,19.02646195545363,18.8191937102897,18.60912797960821,18.39982519952242,18.18721630018861,17.9761333020462,17.8019262493624,17.5956752716594,17.387898392765,17.18851397042325,16.99752200463415,16.82509517000697,16.63740932346589,16.4553184479599,16.28365456392842,16.10105505469197,15.92735663573863,15.73839920487139,15.54867882340845,15.36963975028525,15.1918722614882,15.01486772328685,14.83099662972424,14.65144892287057,14.4909749809093,14.33050103894801,14.16138032356885,13.99531141057247,13.83280293368933,13.66393653517541,13.50524281127075,13.34069979946576,13.176411104526,13.01008787466439,12.85037688329881,12.68863135701136,12.53222648489379,12.37709319710238,12.22679192975037,12.08106836597254
Andorra,AD,AND,Population,,6.044,5.593,5.318,5.328,5.876,6.455,7.074,7.725,8.41,9.131,9.889,10.676,11.496,12.334,13.193,14.075,15.177,16.497,17.855,19.255,20.698,22.185,23.729,25.317,26.942,28.605,30.266,31.928,33.542,35.07,36.493,37.844,39.685,41.444,43.102,44.547,46.922,48.384,50.448,50.791,54.403,58.932,61.467,65.077,64.148,63.676,64.292,65.107,65.656,65.763,65.607,66.097,66.915,72.056,76.594,78.247,80.924,82.831,84.158,83.618,77.794,77.772,75.896,74.491,72.983,71.364,72.999,74.526,75.798,77.149,77.611,79.116,80.294,81.418,82.457,83.352,84.154,84.773,85.143,85.545,85.818,85.948,86.021,86.088,86.125,86.222,86.021,85.994,85.888,85.8,85.536,85.419,85.149,84.877,84.479,84.109,83.725,83.305,82.868,82.414,81.976,81.36,80.79,80.123,79.408,78.705,77.956,77.196,76.426,75.631,74.814,73.999,73.173,72.35,71.514,70.684,69.999,69.188,68.371,67.587,66.836,66.158,65.42,64.704,64.029,63.311,62.628,61.885,61.139,60.435,59.736,59.04,58.317,57.611,56.98,56.349,55.684,55.031,54.392,53.728,53.104,52.457,51.811,51.157,50.529,49.893,49.278,48.668,48.077,47.504
Angola,AO,AGO,Cement production,kt cement,0.0,0.0,29.410226,43.655805,73.525566,88.230679,132.346019,169.108802,154.403688,160.685012,155.659003,168.585245,191.166471,213.224141,242.634368,264.692037,279.397151,308.13165,382.836675,448.047357,528.815456,624.459207,772.018442,756.743921,654.377537,301.45482,301.45482,397.038056,397.038056,242.800898,249.986924,249.789929,220.576698,353.181268,352.922717,352.922717,352.922717,999.947697,1000.680259,260.0,260.0,300.0,250.0,240.0,200.0,270.0,301.0,350.0,207.0,201.0,550.0,597.0,700.0,754.0,1315.0,1373.0,1400.0,1780.0,1800.0,1500.0,2000.0,3000.0,4000.0,5100.0,5240.0,3870.0,2570.0,2600.0,2900.0,2800.0,2800.0,2900.0,2900.0,2900.0,3355.076761779714,3398.961891238386,3450.441222235512,3501.424025980676,3553.678205637759,3615.960454314163,3660.07142588031,3707.950771342437,3759.348459027524,3813.731401750576,3870.723198837352,3963.757425204403,4059.300722134114,4157.096351378458,4256.757726592562,4358.118197576005,4471.434942375799,4587.38617390847,4705.538929999856,4825.906136435814,4949.37615768216,5093.610444547014,5241.887689811909,5393.920404647451,5549.205755990505,5707.318761016016,6023.443457311007,6340.156962221134,6657.238019872605,6974.793873540702,7292.698611688912,7694.938635689389,8098.108937204493,8501.860775161167,8906.370827335513,9311.555909217563,9813.329624858196,10316.12536313877,10820.24794461486,11325.23104491843,11831.25992779182,12440.39293940225,13051.06176386615,13663.19264126166,14276.39406585267,14880.23200819891,15581.70212284932,16268.76488082046,16941.97266604202,17602.00253681873,18249.35544375931,18975.5055626976,19683.67019455153,20375.33031941938,21051.11950363233,21710.78221461181,22433.80614100221,23135.6017531148,23818.39886252815,24483.08294872845,25132.36205867007,25829.06542641386,26505.53289077256,27163.23834198916,27811.93604648055,28449.79783213822,29125.97520516926,29787.74688432087,30434.76828980933,31069.13624182056,31692.27272405782,32342.91209611262,32978.36562350617,33599.96858267482,34210.62699793099,34806.06938137703
Angola,AO,AGO,Population,,4579.359,4625.764,4677.611,4735.107,4798.327,4867.201,4941.34,5019.944,5102.324,5187.881,5275.427,5327.74,5380.879,5435.761,5492.613,5551.349,5611.424,5672.19,5733.209,5794.161,5911.415,6070.789,6277.736,6499.32,6727.414,6958.479,7190.85,7444.809,7708.658,7985.756,8281.987,8589.227,8914.07,9251.895,9599.94,9958.299,10320.6,10675.115,11047.467,11429.657,11823.062,12223.995,12623.43,13030.839,13468.69,13930.866,14411.08,14909.745,15408.995,15925.474,16464.263,17030.152,17625.247,18262.177,18938.669,19643.652,20386.906,21170.217,21987.093,22842.454,23747.196,24689.507,25665.281,26665.959,27655.58,28660.016,29706.124,30763.554,31830.756,32920.509,33981.756,35083.102,36186.956,37312.856,38458.843,39621.234,40809.125,42021.124,43262.228,44521.473,45799.443,47100.486,48418.533,49764.415,51130.496,52512.94,53918.938,55332.804,56774.756,58229.076,59701.567,61180.79,62675.037,64186.718,65703.879,67224.778,68776.418,70331.922,71905.646,73497.124,75093.665,76691.987,78311.944,79934.971,81570.461,83213.98,84850.428,86508.392,88163.686,89819.497,91476.331,93145.645,94794.337,96455.896,98109.662,99756.798,101400.14,103038.686,104677.686,106319.64,107954.512,109581.08,111201.731,112827.068,114434.549,116007.134,117569.726,119142.582,120707.621,122234.603,123790.195,125295.579,126782.425,128249.047,129723.06,131184.961,132632.185,134037.204,135459.002,136867.726,138245.696,139594.002,140904.755,142195.354,143474.941,144730.108,145951.557,147147.615,148339.123,149486.497
