OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,29592.682901,28908.915,31685.745000000003,31599.433,31424.051,30660.563000000002,38066.84447262967,40381.134767474425,42299.92135461291,44199.47627854666,46082.08731185352,47848.10256428225,49475.027234918074,51094.99919897853,52701.88474814784,54299.140540408625,55886.874616182286,57979.16883531747,60072.05619868151,62164.73229882831,64259.118047465156,66354.15864526472,68513.49788689429,70668.29168685168,72819.02692905924,74968.99899932016,77120.00615787298,79348.96681133632,81573.92418637942,83800.16662323846,86028.96941474207,88258.13179355813
AFN,100087.0,90375.0,101499.0,96689.0,102889.0,100889.0,102212.75445172726,103536.50890345454,104860.26335518181,106184.01780690908,107507.77225863635,108831.52671036363,110155.28116209093,111479.0356138182,112802.79006554546,114126.54451727275,115450.298969,116837.089347,118223.879725,119610.670103,120997.46048099997,122384.25085900004,123771.041237,125157.83161499997,126544.621993,127931.41237100001,129318.20274899997,130704.993127,132091.783505,133478.57388300003,134865.36426099998,136252.154639
AFW,35189.0,37758.0,41082.0,42930.0,42930.0,42930.0,42266.90046593892,43466.98542709535,44895.9190384868,46222.681716210194,47536.027600054585,48878.21841107782,50180.380909904175,51452.01828015222,52703.160837369345,53935.13685616341,55152.189977565635,56821.39653968299,58464.77738124947,60086.64495855333,61687.10161905225,63270.59632540753,64774.95039417595,66271.18608041064,67761.87215908214,69252.41672832363,70755.45156807752,72199.3270911462,73669.84504086954,75163.56971391311,76679.56008090124,78217.24136796895
AFZ,23026.0,21278.0,23102.0,21883.0,21883.0,21883.0,20818.584944216414,20984.839005184243,21173.84796753879,21517.68653529234,21881.846943594574,22253.53052290471,22638.79989115787,23044.850975114576,23467.95460272585,23904.350866789126,24351.832656238796,25034.753806026198,25725.417299590703,26422.430605932954,27124.725615992087,27830.689250217,28528.670197010968,29214.495805821993,29888.10051519296,30552.610162614146,31214.730937161672,31829.003646241108,32443.800578398415,33056.32893002699,33665.20702338345,34272.93260677008
ANZ,10900.0,10550.0,10800.0,11000.0,11000.0,11000.0,10560.988766025534,10630.425562429802,10700.156162450614,10770.368775176972,10840.700428383327,10909.980825858696,10967.674791773843,11026.134220625523,11085.200163589529,11144.843014546412,11204.972641661338,11234.51472777791,11265.370476817872,11297.091301830475,11329.819773873987,11363.27570192128,11387.333689895968,11413.228260835791,11440.672785967226,11469.439078777343,11499.408332485922,11519.838640514019,11542.448641032232,11566.532802778092,11592.356594786788,11619.096714542271
ASC,37758.8,39247.484,43421.0,43911.0,43911.0,43911.0,44906.61172047247,45910.55594452464,46843.590926973025,47777.404631632,48712.88158249199,49602.70591112178,50490.367379676725,51373.45071294981,52251.08152223495,53121.36614277848,53986.70298865737,54688.25830386653,55383.838656460095,56072.48632575007,56755.41606873661,57434.64064892326,58120.054720682165,58800.236014097216,59474.11013463386,60145.343469862775,60810.46167061376,61485.427762191,62151.37112277125,62817.99484445527,63480.71615535856,64137.39483392604
ASE,80310.0,84852.94,94179.295599,93788.69765799999,97187.26875,99794.15799,103059.32809201453,103821.68996493048,104590.5830246272,105369.89827184977,106157.8754827747,107266.16005012041,108478.35362193931,109701.76473407148,110928.263578221,112156.44414675178,113377.70526672112,113913.93942898008,114448.29450869994,114977.54128792888,115503.68818393248,116019.67651484549,116569.63704263668,117112.7727859536,117661.88851270109,118209.64945566749,118754.38803367059,119335.8635524932,119915.56856024341,120488.64765791973,121055.8135288598,121613.9440574618
ASO,88433.0,87633.0,97850.0,88845.0,86326.0,82253.0,85958.21235262335,91114.48171577172,96379.9736017835,101717.85671110146,107118.14427890288,113025.23667753325,119719.81107964122,126406.84750332822,133093.43357826574,139789.2170353007,146455.4163171264,150391.46892009248,154188.18276293416,157865.8576039069,161422.47893292253,164866.81126530637,168909.1209713894,172779.43063054016,176500.17763407988,180092.54777791642,183571.76025712016,187500.71706501278,191260.7693744943,194893.97451117955,198446.49179254458,201929.48861147047
BRA,56611.225,61052.189,65883.5143,63545.862,66525.96,65498.224,65981.152524721,66526.19735755534,67083.71587663691,67695.38885286186,68332.50175262248,68755.73058590526,69306.49072426325,69858.07937542396,70410.02116893313,70961.83114393217,71518.25197892857,71621.97276183957,71727.4953473059,71834.14704202919,71942.3402184831,72051.01186600172,72213.9388097262,72367.3930157314,72512.1658753342,72648.86968921845,72777.05759466001,72930.50942004654,73074.47347063494,73216.08972034133,73355.32299530538,73491.78405531886
CAN,14000.0,14000.0,14000.0,15000.0,15000.0,15000.0,15069.916659621482,15139.117463325943,15182.087895328188,15224.320206179724,15256.847811458609,15338.36878808144,15449.731010362362,15560.51832810836,15668.950618564722,15773.883315361045,15880.01648401827,15935.852132760849,15992.680211619476,16048.606183552583,16103.53785312952,16156.526749768193,16215.135085713137,16273.7606602443,16331.56960227687,16388.87486210552,16446.401468858658,16506.000469362396,16562.747855206617,16618.824038904015,16675.60029444569,16728.624324959354
CHL,5030.0,4280.0,4750.0,4500.0,4500.0,4500.0,4573.5186290926695,4653.442901979202,4727.586169057219,4798.881829999277,4872.128768331836,4916.824970147248,4970.092149728368,5023.637297069174,5077.256808784815,5130.845209855413,5184.806840764142,5198.334867888579,5212.604970979379,5227.215334850559,5242.276618017449,5257.578009536893,5271.654729353801,5285.822444932353,5300.404990253868,5315.524324973582,5331.239817570137,5346.014349443352,5361.983765522126,5378.76028419309,5395.693244929537,5413.057477061255
CHN,2357176.963,2407994.2759999996,2390715.178,2142095.273,2031247.972,1841476.231,1782887.447061079,1724302.7555582162,1665718.6629360437,1607133.7747806115,1548539.9089504492,1489940.5748505844,1431311.7918150404,1372682.4091466686,1314053.294654333,1255424.5761918616,1196795.0445532792,1179704.7684344836,1162615.0502049497,1145525.4085371608,1128436.5395588144,1111347.3308419217,1094242.1101708205,1077137.0085472695,1060030.572319903,1042923.8715358967,1025817.5833561735,1008700.7384443305,991584.5692733726,974468.3059006081,957352.7979254645,940237.2428151838
ENE,20750.6,22445.239147,24153.5,17820.0,17820.0,17820.0,18351.60386598225,18694.496044018942,19011.892355634955,19334.346860593927,19666.06574719541,19999.326674077492,20341.909486956818,20688.279200947567,21028.526922927802,21350.36499540432,21654.3661407931,21856.242332994698,22038.849642109468,22203.648605477072,22351.894505096243,22481.624794855954,22584.933371053932,22673.63595946314,22748.84284301752,22812.507598934615,22868.70162462485,22912.936518791634,22948.085187429147,22979.84720072872,23006.786684676106,23029.072749979958
