Market type,Region,Fit function,Fit equation (t = year - 2020),LOOCV RMSE (Mtpa),Observed consumption 2020 (Mtpa),Observed consumption 2024 (Mtpa),Observed consumption 2035 (Mtpa),Observed consumption 2050 (Mtpa),Fitted consumption 2020 (Mtpa),Fitted consumption 2021 (Mtpa),Fitted consumption 2022 (Mtpa),Fitted consumption 2023 (Mtpa),Fitted consumption 2024 (Mtpa),Fitted consumption 2025 (Mtpa),Fitted consumption 2026 (Mtpa),Fitted consumption 2027 (Mtpa),Fitted consumption 2028 (Mtpa),Fitted consumption 2029 (Mtpa),Fitted consumption 2030 (Mtpa),Fitted consumption 2031 (Mtpa),Fitted consumption 2032 (Mtpa),Fitted consumption 2033 (Mtpa),Fitted consumption 2034 (Mtpa),Fitted consumption 2035 (Mtpa),Fitted consumption 2036 (Mtpa),Fitted consumption 2037 (Mtpa),Fitted consumption 2038 (Mtpa),Fitted consumption 2039 (Mtpa),Fitted consumption 2040 (Mtpa),Fitted consumption 2041 (Mtpa),Fitted consumption 2042 (Mtpa),Fitted consumption 2043 (Mtpa),Fitted consumption 2044 (Mtpa),Fitted consumption 2045 (Mtpa),Fitted consumption 2046 (Mtpa),Fitted consumption 2047 (Mtpa),Fitted consumption 2048 (Mtpa),Fitted consumption 2049 (Mtpa),Fitted consumption 2050 (Mtpa),Fitted consumption 2051 (Mtpa),Fitted consumption 2052 (Mtpa),Fitted consumption 2053 (Mtpa),Fitted consumption 2054 (Mtpa),Fitted consumption 2055 (Mtpa),Fitted consumption 2056 (Mtpa),Fitted consumption 2057 (Mtpa),Fitted consumption 2058 (Mtpa),Fitted consumption 2059 (Mtpa),Fitted consumption 2060 (Mtpa),Fitted consumption 2061 (Mtpa),Fitted consumption 2062 (Mtpa),Fitted consumption 2063 (Mtpa),Fitted consumption 2064 (Mtpa),Fitted consumption 2065 (Mtpa),Fitted consumption 2066 (Mtpa),Fitted consumption 2067 (Mtpa),Fitted consumption 2068 (Mtpa),Fitted consumption 2069 (Mtpa),Fitted consumption 2070 (Mtpa),Fitted consumption 2071 (Mtpa),Fitted consumption 2072 (Mtpa),Fitted consumption 2073 (Mtpa),Fitted consumption 2074 (Mtpa),Fitted consumption 2075 (Mtpa),Fitted consumption 2076 (Mtpa),Fitted consumption 2077 (Mtpa),Fitted consumption 2078 (Mtpa),Fitted consumption 2079 (Mtpa),Fitted consumption 2080 (Mtpa),Fitted consumption 2081 (Mtpa),Fitted consumption 2082 (Mtpa),Fitted consumption 2083 (Mtpa),Fitted consumption 2084 (Mtpa),Fitted consumption 2085 (Mtpa),Fitted consumption 2086 (Mtpa),Fitted consumption 2087 (Mtpa),Fitted consumption 2088 (Mtpa),Fitted consumption 2089 (Mtpa),Fitted consumption 2090 (Mtpa),Fitted consumption 2091 (Mtpa),Fitted consumption 2092 (Mtpa),Fitted consumption 2093 (Mtpa),Fitted consumption 2094 (Mtpa),Fitted consumption 2095 (Mtpa),Fitted consumption 2096 (Mtpa),Fitted consumption 2097 (Mtpa),Fitted consumption 2098 (Mtpa),Fitted consumption 2099 (Mtpa),Fitted consumption 2100 (Mtpa)
Decline then stable,China,logarithmic,y = 2448.61 + (-441.076)*ln(1+t),120.694512,2411.0,1825.0,1183.0,928.0,2448.61469,2142.88387,1964.042805,1837.15305,1738.72971,1658.311985,1590.319768,1531.42223,1479.47092,1432.99889,1390.959825,1352.581165,1317.276221,1284.588948,1254.157825,1225.69141,1198.951324,1173.7401,1149.892328,1127.26807,1105.747883,1085.229005,1065.622384,1046.850346,1028.84473,1011.545401,994.899036,978.858128,963.380177,948.427005,933.96419,919.960591,906.38794,893.220504,880.434788,868.009281,855.924241,844.161509,832.704336,821.53725,810.645923,800.017063,789.638318,779.498185,769.58594,759.891565,750.405686,741.119526,732.024846,723.11391,714.37944,705.814581,697.412873,689.168216,681.074845,673.127308,665.320444,657.649358,650.109408,642.696185,635.405501,628.23337,621.175998,614.229771,607.391241,600.65712,594.024268,587.489685,581.0505,574.703968,568.447461,562.278461,556.194553,550.193422,544.272845,538.430689,532.664903,526.973516,521.354634,515.80643,510.327151
Already stable,North America,linear,y = 116.689 + (0.760055)*t,5.195396,115.0,120.0,131.0,138.0,116.68932,117.449376,118.209431,118.969487,119.729542,120.489598,121.249653,122.009709,122.769764,123.52982,124.289875,125.049931,125.809986,126.570042,127.330097,128.090153,128.850208,129.610264,130.370319,131.130374,131.89043,132.650485,133.410541,134.170596,134.930652,135.690707,136.450763,137.210818,137.970874,138.730929,139.490985,140.25104,141.011096,141.771151,142.531207,143.291262,144.051318,144.811373,145.571429,146.331484,147.09154,147.851595,148.61165,149.371706,150.131761,150.891817,151.651872,152.411928,153.171983,153.932039,154.692094,155.45215,156.212205,156.972261,157.732316,158.492372,159.252427,160.012483,160.772538,161.532594,162.292649,163.052705,163.81276,164.572816,165.332871,166.092926,166.852982,167.613037,168.373093,169.133148,169.893204,170.653259,171.413315,172.17337,172.933426,173.693481,174.453537,175.213592,175.973648,176.733703,177.493759
Already stable,W Europe,logarithmic,y = 130.278 + (-1.29379)*ln(1+t),3.164797,131.0,126.0,129.0,125.0,130.278065,129.38128,128.856694,128.484495,128.195795,127.959909,127.760471,127.58771,127.435324,127.29901,127.175698,127.063124,126.959566,126.863686,126.774424,126.690925,126.612489,126.538539,126.468587,126.402225,126.3391,126.278913,126.221402,126.166339,126.113524,126.062781,126.013953,125.966901,125.9215,125.877639,125.835216,125.79414,125.754328,125.715705,125.678201,125.641754,125.606305,125.571802,125.538195,125.50544,125.473493,125.442316,125.411872,125.382129,125.353053,125.324617,125.296793,125.269554,125.242877,125.216739,125.191119,125.165996,125.141352,125.117168,125.093428,125.070116,125.047217,125.024715,125.002599,124.980854,124.959469,124.938431,124.91773,124.897355,124.877296,124.857543,124.838087,124.81892,124.800032,124.781416,124.763064,124.744969,124.727123,124.70952,124.692154,124.675017,124.658105,124.64141,124.624929,124.608655,124.592583
Already stable,E Europe & Turkey,constant,y = 125.25,4.459696,120.0,127.0,129.0,125.0,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25,125.25
Already stable,Oceania,linear,y = 11.8835 + (0.0707351)*t,0.186206,12.0,12.0,13.0,14.0,11.883495,11.95423,12.024965,12.0957,12.166436,12.237171,12.307906,12.378641,12.449376,12.520111,12.590846,12.661581,12.732316,12.803051,12.873786,12.944521,13.015257,13.085992,13.156727,13.227462,13.298197,13.368932,13.439667,13.510402,13.581137,13.651872,13.722607,13.793343,13.864078,13.934813,14.005548,14.076283,14.147018,14.217753,14.288488,14.359223,14.429958,14.500693,14.571429,14.642164,14.712899,14.783634,14.854369,14.925104,14.995839,15.066574,15.137309,15.208044,15.278779,15.349515,15.42025,15.490985,15.56172,15.632455,15.70319,15.773925,15.84466,15.915395,15.98613,16.056865,16.127601,16.198336,16.269071,16.339806,16.410541,16.481276,16.552011,16.622746,16.693481,16.764216,16.834951,16.905687,16.976422,17.047157,17.117892,17.188627,17.259362,17.330097,17.400832,17.471567,17.542302
Already stable,NE Asia,exponential,y = 97.382*exp((-0.00477257)*t),2.445677,97.0,97.0,89.0,85.0,97.381995,96.91834,96.456893,95.997643,95.540579,95.085692,94.63297,94.182404,93.733983,93.287697,92.843536,92.40149,91.961548,91.523701,91.087939,90.654252,90.222629,89.793061,89.365539,88.940052,88.516591,88.095146,87.675708,87.258267,86.842813,86.429338,86.017831,85.608283,85.200685,84.795028,84.391302,83.989499,83.589608,83.191622,82.79553,82.401325,82.008996,81.618535,81.229933,80.843181,80.458271,80.075194,79.69394,79.314502,78.93687,78.561036,78.186991,77.814728,77.444237,77.075509,76.708538,76.343313,75.979828,75.618073,75.258041,74.899722,74.54311,74.188196,73.834971,73.483429,73.13356,72.785356,72.438811,72.093916,71.750663,71.409044,71.069051,70.730677,70.393915,70.058756,69.725192,69.393217,69.062822,68.734001,68.406745,68.081047,67.7569,67.434296,67.113228,66.793689,66.475671
Slow growth,SE Asia,linear,y = 235.79 + (2.13962)*t,10.710884,236.0,240.0,275.0,297.0,235.789644,237.929265,240.068886,242.208507,244.348128,246.487748,248.627369,250.76699,252.906611,255.046232,257.185853,259.325474,261.465095,263.604716,265.744337,267.883957,270.023578,272.163199,274.30282,276.442441,278.582062,280.721683,282.861304,285.000925,287.140546,289.280166,291.419787,293.559408,295.699029,297.83865,299.978271,302.117892,304.257513,306.397134,308.536755,310.676375,312.815996,314.955617,317.095238,319.234859,321.37448,323.514101,325.653722,327.793343,329.932963,332.072584,334.212205,336.351826,338.491447,340.631068,342.770689,344.91031,347.049931,349.189552,351.329172,353.468793,355.608414,357.748035,359.887656,362.027277,364.166898,366.306519,368.44614,370.585761,372.725381,374.865002,377.004623,379.144244,381.283865,383.423486,385.563107,387.702728,389.842349,391.981969,394.12159,396.261211,398.400832,400.540453,402.680074,404.819695,406.959316
Slow growth,North Africa,exponential,y = 92.9533*exp((0.011503)*t),0.906464,93.0,97.0,111.0,131.0,92.953341,94.028758,95.116616,96.21706,97.330236,98.45629,99.595373,100.747633,101.913225,103.092302,104.285021,105.491538,106.712014,107.94661,109.19549,110.458819,111.736763,113.029493,114.337179,115.659994,116.998113,118.351713,119.720974,121.106077,122.507204,123.924541,125.358276,126.808599,128.275701,129.759777,131.261022,132.779636,134.31582,135.869776,137.441711,139.031832,140.64035,142.267477,143.91343,145.578425,147.262683,148.966427,150.689882,152.433277,154.196842,155.98081,157.785418,159.610904,161.457509,163.325479,165.215061,167.126503,169.06006,171.015987,172.994543,174.99599,177.020592,179.068618,181.140338,183.236027,185.355962,187.500423,189.669695,191.864063,194.083819,196.329257,198.600673,200.898368,203.222645,205.573814,207.952184,210.35807,212.791791,215.253669,217.74403,220.263202,222.81152,225.38932,227.996944,230.634737,233.303047
Slow growth,Latin America,logarithmic,y = 159.799 + (15.0723)*ln(1+t),13.077069,164.0,176.0,202.0,215.0,159.798717,170.246024,176.357306,180.693331,184.056612,186.804613,189.128015,191.140638,192.915896,194.503919,195.940461,197.25192,198.458346,199.575322,200.615202,201.587945,202.501696,203.363203,204.17812,204.951226,205.686605,206.387768,207.057757,207.699227,208.314508,208.905653,209.474486,210.022629,210.551536,211.062509,211.556726,212.035252,212.499051,212.949003,213.385911,213.81051,214.223475,214.625427,215.016936,215.398533,215.770707,216.133912,216.48857,216.835075,217.173792,217.505064,217.829212,218.146535,218.457314,218.761815,219.060286,219.35296,219.64006,219.921793,220.198356,220.469936,220.736709,220.998843,221.256495,221.509816,221.75895,222.004033,222.245195,222.482559,222.716242,222.946358,223.173013,223.39631,223.616347,223.833218,224.047013,224.257817,224.465714,224.670782,224.873098,225.072734,225.26976,225.464243,225.656249,225.84584,226.033076
Slow growth,CIS,logarithmic,y = 97.23 + (11.1412)*ln(1+t),1.3405,97.0,116.0,127.0,136.0,97.229992,104.952506,109.469887,112.675021,115.161115,117.192402,118.909831,120.397535,121.709783,122.883629,123.945502,124.914916,125.806691,126.632345,127.401011,128.120049,128.795482,129.432298,130.034673,130.606144,131.149726,131.668017,132.163264,132.637431,133.092238,133.529205,133.949679,134.354859,134.74582,135.123525,135.488844,135.842564,136.185398,136.517997,136.840954,137.154812,137.46007,137.757188,138.046587,138.328658,138.603764,138.872241,139.1344,139.390531,139.640906,139.885779,140.125384,140.359945,140.589669,140.814753,141.035378,141.25172,141.46394,141.672193,141.876625,142.077374,142.274569,142.468334,142.658787,142.84604,143.030196,143.211359,143.389622,143.565078,143.737814,143.907912,144.075453,144.240511,144.40316,144.563468,144.721503,144.877327,145.031001,145.182585,145.332134,145.479702,145.625341,145.769101,145.911029,146.051173,146.189575
