Country,ISO2,ISO3,Metric,Unit,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,AF,AFG,Cement production,kt cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.762783,36.440302,44.11534,58.820453,102.935792,124.993462,169.108802,176.461358,132.346019,95.297913,102.935792,95.793309,88.230679,95.583236,139.386748,147.332839,146.798032,169.108802,139.698575,125.206036,139.698575,51.575345,73.525566,88.230679,14.705113,110.431395,73.602476,88.230679,102.815117,102.935792,102.935792,112.0,112.0,112.0,115.0,115.0,115.0,116.0,116.0,116.0,116.0,25.0,16.0,27.0,24.0,24.0,15.2,29.8,28.4,37.3,31.5,35.6,35.7,70.8,87.0,70.1,100.8,186.3,109.6,139.2,93.8,148.484,40.0,26.0,26.0,26.0,26.883159868029708,27.664488223442014,28.45777425757599,29.24142419470007,30.03566406776545,31.037861540125377,32.020452520339774,33.04837013225407,34.10892411306961,35.22151830933491,36.33138965711923,36.56144642655919,36.849471792468094,37.17998274848746,37.52472596827647,37.94253240679994,38.33060299314146,38.71154326363889,39.073128976610796,39.49950179109883,39.92640359943273,40.32503086560695,40.794759931435514,41.25462692576824,41.749196022606625,42.307916280708675,43.02536218086422,43.71737184957531,44.4706862988934,45.231925291911374,45.996675390530825,46.76586500943031,47.552467536748175,48.334122218713944,49.08398327619422,49.78606566148066,50.505734096476424,51.19670935696224,51.94625409862255,52.688933122169786,53.458976793783144,54.226305698745264,54.91792413473166,55.60088439629191,56.33120157561937,57.02405586306373,57.7560140000747,58.40082213422836,59.06462475590018,59.762737100176196,60.399003597311065,60.96956630418144,61.561060239292104,62.16373233152786,62.71366292283678,63.35031898787623,63.923840635013235,64.41639264646277,64.90265108297534,65.37344556047243,65.91756703949493,66.40707797955262,66.82651997103049,67.31165021445187,67.75413997546356,68.18787666730312,68.66532543075996,69.08189172297644,69.49125378365844,69.8979304895111,70.28756776158892,70.65626492638584,71.01744209876844,71.3862713392937,71.74914773806348,72.10919838217501
Albania,AL,ALB,Cement production,kt cement,14.705113,14.562345,14.705113,14.705113,44.11534,66.173009,73.525566,80.878123,73.525566,73.525566,117.452076,117.640906,132.346019,124.993462,146.803571,139.89958,220.576698,301.45482,330.865047,360.628484,360.275273,397.038056,514.678962,559.266256,647.02498,699.010662,749.480337,801.881453,845.135533,999.947697,786.330783,830.838895,838.191452,860.249122,852.896565,845.544008,860.673099,742.980078,757.313329,750.0,600.0,200.0,200.0,100.0,200.0,203.0,100.0,84.0,106.0,180.0,0.0,0.0,578.451,573.221,489.0,525.0,889.0,918.0,1108.0,1300.0,1800.0,2230.0,2000.0,1740.0,1980.0,1680.0,1930.0,1770.0,1770.0,2522.0,2503.0,1730.0,1730.0,1730.0,1715.1803578101997,1704.3542284786138,1691.9189996498253,1680.6658407194677,1669.7168907544387,1658.6356656732485,1647.388528326994,1636.7086388706223,1626.248497662197,1615.5677170694344,1604.9463655751556,1589.2886343435557,1573.4469783756726,1557.8015103504179,1542.6384578036896,1527.1409048088367,1512.639562296783,1498.335794600598,1484.559416129802,1471.1356402705264,1458.2352464576318,1445.2156029257549,1432.232191339061,1420.0255607995377,1407.912138226096,1396.1655196726163,1381.4633105980186,1367.1021537154065,1352.4146537289007,1337.6598767868093,1322.9533316176476,1308.3697701484652,1294.0429394097016,1279.6469626822661,1265.453034943692,1251.169339241865,1236.9811922271329,1222.9882292081581,1209.025358398246,1195.0077281724116,1181.1210550959756,1167.2717685303642,1153.781942313692,1140.0294291372568,1126.3986923843916,1112.8710848299677,1099.3444564857825,1085.7244865890239,1072.0752493185153,1058.4862034807245,1044.482004211176,1030.658962502749,1016.9875462253165,1003.0774857228821,989.2940018902506,975.5382954081573,961.5464963544995,947.5509621576354,933.4497527223908,919.3897078097799,905.4324371447475,891.6246603785039,877.9780876250118,864.5954809531739,851.2593466075975,838.1769062198466,825.4112196214394,812.9577224623677,800.8268836938842,789.0630656171351,777.668689012206,766.6480079235823,755.9490567743468,745.5706776036309,735.4871445474819,725.7016795054532
Algeria,DZ,DZA,Cement production,kt cement,448.505952,485.268735,515.150711,661.730094,676.435207,653.898139,713.19799,845.544008,955.832357,1058.76815,1072.824639,874.388654,882.306791,786.723556,743.021235,661.730094,727.587036,867.952934,948.171452,926.422131,963.184914,926.422131,1007.300254,941.127244,948.371229,1396.854986,1779.318696,2698.38827,3771.861533,4154.194476,4463.354297,4396.828844,4808.907105,5536.475116,6095.269417,6455.54469,7543.723067,7197.838494,6815.819964,6340.0,6319.0,6400.0,6400.0,6060.0,6822.0,6500.0,7096.0,7500.0,7500.0,8300.0,8300.0,9000.0,9000.0,11000.0,12800.0,14701.572,15886.0,17397.0,18732.0,19100.0,19000.0,19000.0,18500.0,19260.0,20250.0,22870.0,25330.0,25000.0,26000.0,23000.0,26000.0,28000.0,28000.0,28000.0,28175.33805622881,28346.371822270907,28508.06115809352,28640.93318755532,28762.16125695658,28896.473873505816,28972.328370958698,29059.46225074266,29162.540258278652,29273.551687158804,29394.56002840609,29505.042307972715,29623.810811705887,29757.115528686034,29901.503331888485,30060.71547873201,30192.446775993078,30342.283369668075,30506.262227401472,30686.438340193923,30878.200512185213,31052.285501127288,31238.012004057888,31431.05073180081,31633.343472746827,31841.403338938926,32052.64333117934,32252.19622900645,32433.68394098632,32608.656355506482,32771.313121441875,32917.053813345316,33054.849553931635,33174.47858395297,33285.47592047387,33384.579041081204,33468.2497052541,33541.01619191276,33613.46525786045,33674.30849272451,33734.73196504425,33787.09954671375,33835.00649879976,33880.6623796989,33923.889384850576,33965.72676037955,33997.24004490576,34042.02400380354,34086.33175700867,34128.48518270431,34171.7343295045,34213.92223027868,34249.50343514038,34287.10182357385,34322.06359220916,34356.60421167835,34387.38325645786,34411.25899190933,34432.49843980111,34452.85179274314,34471.51023699084,34488.45145351582,34502.844034771966,34510.45443134756,34514.16332857737,34508.10772170021,34503.89386843612,34487.471032288086,34467.988591384084,34448.27862651671,34414.12534476258,34377.31073057414,34332.50957669976,34283.79719309932,34226.344334048685,34163.94001721801
Andorra,AD,AND,Cement production,kt cement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.11314413897127,25.279295551164772,25.4248598019759,25.527156892331007,25.566084117469664,25.593476202820884,25.578955006125838,25.527674172074885,25.46351436427077,25.402102128622293,25.336302014233222,25.17445823839032,24.931454862918347,24.74471258940024,24.54032818920276,24.347523087401232,24.102276163490934,23.903447305104965,23.66815302354791,23.43950511574636,23.182264647220165,22.937246496070998,22.694705970869453,22.449193080866305,22.20504179105357,21.963818620046442,21.847089028525826,21.68292138383016,21.531013011303326,21.353253564855255,21.16270183440493,20.97534817495517,20.77573524333658,20.573190746634126,20.367981190764553,20.156108986977124,19.93837365302199,19.721171330900294,19.50103744369474,19.281703074239328,19.058904127866644,18.837704216994233,18.655147664045323,18.439011365590478,18.221276031635345,18.012335392931774,17.81218944947975,17.631498437947833,17.43481707141309,17.243998835046046,17.06410734126427,16.872756093063803,16.690732551948315,16.492718655830007,16.293905241961557,16.106285076595082,15.919997440812171,15.734509322779404,15.54182554499537,15.353672367795467,15.185507134349095,15.017341900902723,14.840115466288083,14.666087102674009,14.495789821893927,14.318829893196002,14.152530201166625,13.980100873052837,13.807938050855757,13.633643181324969,13.466277465628739,13.2967797025988,13.132878563819844,12.97030995462446,12.81280495784664,12.660097067569662
Angola,AO,AGO,Cement production,kt cement,0.0,0.0,29.410226,43.655805,73.525566,88.230679,132.346019,169.108802,154.403688,160.685012,155.659003,168.585245,191.166471,213.224141,242.634368,264.692037,279.397151,308.13165,382.836675,448.047357,528.815456,624.459207,772.018442,756.743921,654.377537,301.45482,301.45482,397.038056,397.038056,242.800898,249.986924,249.789929,220.576698,353.181268,352.922717,352.922717,352.922717,999.947697,1000.680259,260.0,260.0,300.0,250.0,240.0,200.0,270.0,301.0,350.0,207.0,201.0,550.0,597.0,700.0,754.0,1315.0,1373.0,1400.0,1780.0,1800.0,1500.0,2000.0,3000.0,4000.0,5100.0,5240.0,3870.0,2570.0,2600.0,2900.0,2800.0,2800.0,2900.0,2900.0,2900.0,2707.603149773686,2743.0191843940215,2784.5638668711867,2825.707843538387,2867.877841864139,2918.1406598750286,2953.7389528593767,2992.37838670421,3033.8571816609565,3077.745127441244,3123.738462395635,3198.8186415491496,3275.923682677758,3354.8463937145175,3435.2747930031646,3517.0743910402957,3608.5229023343322,3702.0974885537553,3797.4487419711913,3894.5870939123583,3994.229469382722,4110.628955042581,4230.291175857429,4352.984123526038,4478.302003343185,4605.90184704989,4861.01977256488,5116.612876495788,5372.502601646072,5628.775495135382,5885.329944244526,6209.944381790219,6535.309568873882,6861.1440656075765,7187.590453916263,7514.581602506912,7919.521396558094,8325.285980000257,8732.121348127994,9139.651169364599,9548.02495465362,10039.605498995965,10532.425470038437,11026.425342288489,11521.289164058731,12008.59649880382,12574.6946320967,13129.165787202659,13672.455747206288,14205.110909501334,14727.53554962078,15313.550859804358,15885.051580624577,16443.232887829585,16988.606080061916,17520.964938250065,18104.457358678672,18670.81817387615,19221.846879139393,19758.25807124699,20282.237189455314,20844.48847814377,21390.40905381601,21921.188370588225,22444.698284858725,22959.46343111107,23505.149898222397,24039.21072905412,24561.367841948522,25073.313405920766,25576.19498563997,26101.271858160253,26614.0934996512,27115.73750056502,27608.54907120248,28089.081049275785
Anguilla,AI,AIA,Cement production,kt cement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.16474369193861,4.169298995255077,4.1624522214702315,4.150320892222464,4.13881387403607,4.13187338469308,4.110209266939557,4.0887644148245075,4.071950255556848,4.0522696572617125,4.039798119377894,3.988002923863183,3.9361343722135103,3.8837186827932166,3.8359295753754905,3.7884054899112773,3.7418281229698978,3.699961064516896,3.662719233844807,3.6225110270587426,3.5837709198458874,3.539572247268895,3.499198821464802,3.452157663397843,3.415864317901123,3.3805321936506925,3.3619985741679588,3.342306603467553,3.3223829625236143,3.301995981092607,3.283230691366339,3.2628437099353307,3.239213345094845,3.2155829802543594,3.195891009553954,3.1706389530087287,3.14793526914238,3.123609893571292,3.100442869217874,3.071484088776102,3.046232032230876,3.022138326903322,2.993642886948619,2.9704758625952006,2.9459188167805785,2.9188133982870803,2.895414703690128,2.8713209983625743,2.8472272930350195,2.823828598438068,2.798576541892843,2.77401949607822,2.7501574609942003,2.7244420639619067,2.701506709852023,2.6755596425761956,2.651002596761573,2.6269088914340184,2.6000351431840545,2.5757097676129654,2.5506893813112748,2.5247423140354472,2.499953597977291,2.474701541432065,2.448986144399772,2.424660768828683,2.3984820313093214,2.37068160208522,2.347282907488269,2.321799180699509,2.2972421348848866,2.2722217485831955,2.2458113408202993,2.2194009330574036,2.193453865781576,2.170518511671692
Antigua and Barbuda,AG,ATG,Cement production,kt cement,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.214492028979798,27.574594437928017,27.918707985673592,28.261621107092115,28.617567246858645,29.000945828526763,29.31106515901515,29.615643413267758,29.918740593362337,30.21412908066274,30.51183515382768,30.52803088170752,30.544036685282418,30.56013677243323,30.581697009901212,30.602648511586313,30.603750290709577,30.605472980257147,30.610305319972795,30.613602932018672,30.619147162529917,30.620982459947832,30.625362113386313,30.630172472104125,30.635092337668354,30.63762940589332,30.828476038923252,31.00346351043981,31.163042979045663,31.30693483927235,31.435730966334976,31.579602175352697,31.719722994639557,31.838572855722465,31.94394811220655,32.045132206053914,32.152562816110766,32.24544740306791,32.32962053124888,32.39447674425136,32.45273249920081,32.50521697439016,32.551224563895495,32.57560203484142,32.59254470655211,32.5964729692232,32.60249293106452,32.58978258594321,32.566174235522396,32.538346384506085,32.49789861926391,32.461286157404984,32.40789655905242,32.33934752871474,32.264049873826394,32.17487147232669,32.08673731855356,31.995125333730048,31.894396286405176,31.783209080810305,31.667756547463636,31.55509524915768,31.422920720707697,31.286558152688443,31.15305174684628,31.013620663574542,30.86957690970701,30.718223279377778,30.56410523221655,30.41482970853893,30.26005955619447,30.10190631289287,29.941283205323906,29.7783763843594,29.624755698393827,29.464363651706886
Argentina,AR,ARG,Cement production,kt cement,1558.741998,1551.389442,1654.325234,1705.623112,1867.549375,2066.068403,2367.523224,2470.459016,2367.523224,2639.567818,2904.259855,2926.317525,2536.632025,2911.420833,3301.297911,3485.111826,3551.682249,4176.252146,4345.360948,4742.399004,5529.122559,5448.244437,5183.5524,5389.423984,5462.94955,5713.146424,5999.467908,6315.846115,6668.768832,7131.979897,6646.711162,5624.905232,5624.705795,5220.494896,4631.941809,5551.180229,6301.141002,6051.336754,4470.35441,3611.6,4339.1,5050.6,5647.2,6306.0,5477.1,5117.3,6768.7,7091.8,7186.6,6121.3,5545.1,3910.8,5217.4,6254.064,7594.507,8929.376,9602.25,9703.265,9384.901,10423.089,11592.31,10716.255,11891.837,11408.393,12192.563,10898.581,11960.151,11841.499,11081.73,9870.954,12116.862,13029.449,12569.698,9593.28,10029.769012654884,10437.641181890738,10758.921131163053,11021.458325950298,11199.629121356738,11392.498591168758,11528.373076318843,11664.467866122053,11800.709078189535,11937.13517950176,12074.4872130159,12117.040623033252,12161.452355818525,12207.535450506108,12255.103025322876,12303.909430273266,12358.361600955082,12413.149780854239,12468.158880404797,12525.467333925377,12584.77895314652,12656.536171915084,12729.694037820205,12803.515111241777,12877.64931929352,12952.213617572701,13116.087967426305,13272.764627115992,13422.314321027721,13564.738452851092,13700.228307770656,13841.372299980858,13974.69544397253,14100.43781878494,14218.793476278192,14330.14004743438,14444.970634448968,14552.376279502563,14652.641148673594,14746.03823841675,14832.786897195007,14919.896028365982,15000.31855633183,15074.171498294367,15141.427265512297,15203.433425341136,15264.147263180777,15319.714442599767,15370.409905723105,15416.065177697039,15456.60400736834,15494.763152188114,15527.824585627755,15556.045391369335,15579.061956871054,15597.17297100366,15612.370846793163,15622.597203407591,15627.838794724094,15628.282098455602,15624.170354898608,15617.188507901355,15605.892925834713,15590.465858394617,15570.99496129254,15547.529873381138,15521.276733189921,15491.457144026945,15458.217934176688,15421.839567465517,15382.660266236373,15341.105355835218,15296.947515962054,15250.408974130189,15201.616111921237,15150.663181487795
Armenia,AM,ARM,Cement production,kt cement,48.770996,55.55599,62.967955,75.017204,88.930327,98.453863,114.592068,132.261629,154.216566,181.234768,202.754211,228.820316,243.874322,259.879293,290.098789,320.986548,340.550143,352.087738,361.758508,384.206755,406.607501,424.680563,447.92759,473.215452,503.939429,509.065226,516.625425,512.231433,492.507309,496.716073,504.969525,490.976237,508.563455,516.280096,518.422075,534.62551,542.417978,549.41571,551.810189,537.065607,505.768314,400.0,200.0,100.0,228.0,282.0,297.0,300.0,287.0,219.0,300.0,355.0,384.0,501.0,605.0,625.0,722.0,770.0,467.0,488.0,422.0,438.0,431.0,422.0,417.0,267.0,356.0,546.0,591.0,715.0,744.0,1004.0,1004.0,1004.0,1025.6041177037735,1044.940939753947,1061.8368057257464,1078.3222890100783,1093.9440572273484,1107.43301116161,1118.6665551310814,1128.8669807807491,1138.0586623717086,1146.4694734241762,1154.3080277810025,1156.1250085422848,1157.620428738464,1158.766417560659,1159.5499271165957,1159.7016339456068,1157.9891905588852,1156.1965282854696,1154.0769601616037,1151.9283627768768,1149.7369007362433,1146.2706428080708,1142.7145906204655,1139.152716239842,1135.646173374752,1132.232315475059,1130.227341155899,1127.9399379788083,1125.414422804077,1123.122063962593,1120.310660042563,1117.657157311871,1114.7451560510583,1111.523744955039,1108.312708669145,1104.768906802864,1101.3306092454532,1097.6814876064946,1093.9799532494806,1089.9222383348197,1085.6499109172453,1081.0102308745663,1076.1856092101243,1071.1528166038247,1065.8648576427784,1060.4635730404898,1054.5790239364123,1048.5704025445534,1042.392595506303,1036.0749853287912,1029.7540477921243,1023.319416694713,1017.0399374934404,1010.688410800994,1004.3008537729221,998.0143041187617,991.7485818058694,985.5157336970184,979.3575847719586,973.4203194837409,967.5516907644919,961.8702444038472,956.2092257477015,950.7535584240358,945.4344514821034,940.2155148897784,935.1524572139272,930.1357270001977,925.2093019910502,920.2625300884227,915.3242133230957,910.5477487452386,905.7593712175508,900.9044244564896,896.0016852413779,891.0729895339539
Aruba,AW,ABW,Cement production,kt cement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.076449482814148,31.170294701147746,31.247806440432917,31.33387877515516,31.427644899481916,31.522763430547638,31.561013586003043,31.604682362687683,31.661484292810204,31.722081625535477,31.790961706631755,31.582601060065862,31.38951328144783,31.21242456976359,31.05088765305264,30.90449680384657,30.740051229943855,30.59398874457506,30.462337253980373,30.34268801469604,30.229050545525475,30.12353406972404,30.025158579454498,29.939059874303652,29.85999242574202,29.785051289995508,29.910467542085403,30.016928437364875,30.11426320069146,30.198979583299753,30.275398773081747,30.38524095686362,30.483017872363988,30.566826861343245,30.643758577435474,30.7078087556563,30.784490268808,30.857495379697777,30.923925168317947,30.981344568379626,31.042445737126197,31.105176251846043,31.16161840566567,31.218085704619643,31.265035282626627,31.305785761688107,31.35401307623006,31.397460911226386,31.43664500663573,31.47051969160243,31.49796956694628,31.5230827148837,31.54815874959626,31.56403069976186,31.57542746649411,31.580037132263705,31.583476103233064,31.57980966893687,31.570572492612662,31.551272559160147,31.524247334971463,31.49784133259849,31.465507525998202,31.42585619348645,31.37956037518212,31.325476453812193,31.26861853114468,31.204947601098663,31.138290295893654,31.063110525980772,30.988339945630887,30.900406141314807,30.814418748987748,30.722466508285144,30.631493937860853,30.537398562152063
