OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,54.15879960815306,55.574853703699425,57.02793242342545,58.51900382554301,60.049061279437886,61.61912412746418,63.23023836404228,64.88347733251261,66.57994244020976,68.32076389223299,70.10710144440223,71.94014517590112,73.82111628212186,75.75126788823992,77.73188588406093,79.7642897806956,81.84983358963368,83.9899067248023,86.18593492821005,88.43938121979312,90.75174687209649,93.12457241043936,95.55943863923137,98.05796769512324,100.62182412769322,103.25271600838984,105.95239606846923,108.72266286668533,111.5653619875111,114.48238727068863,117.47568207292754,120.54724056259222
AFN,4697.624355415915,4841.600460589201,4989.989247001457,5142.92595762021,5300.549980434865,5463.004975496254,5630.439005849795,5803.004672481568,5980.859253400334,6164.164846982209,6353.0885197087,6547.8024584326895,6748.4841273112015,6955.316429547933,7168.487874092996,7388.192747451791,7614.631290759593,7848.0098822832515,8088.541225516328,8336.444543039106,8591.945776320155,8855.277791641573,9126.680592335537,9406.401537525664,9694.695567572486,9991.825436428557,10298.061951114922,10613.684218537255,10938.979899866563,11274.245472716355,11619.78650135519,11975.917915200887
AFW,59.57467956896836,60.738934719671875,61.92594265840122,63.136148037999575,64.37000420106502,65.6279733497725,66.91052671901473,68.21814475292649,69.55131728485905,70.91054372087149,72.29633322680809,73.70920491903172,75.14968805888472,76.61832225094999,78.11565764518676,79.6422551430166,81.19868660743691,82.78553507724071,84.40339498542272,86.05287238185387,87.73458516030736,89.4491632899215,91.19724905118603,92.97949727654016,94.79657559567262,96.64916468561555,98.53795852572598,100.46366465765026,102.42700445036894,104.42871337042145,106.46954125741162,108.55025260489741
AFZ,7816.676268631588,8066.671143411442,8324.661416141571,8590.902797617808,8865.659176841933,9149.202882579084,9441.814953280362,9743.785415638156,10055.4135720503,10377.008297277987,10708.888344591454,11051.38266170691,11404.830716827828,11769.582835113766,12146.000545910234,12534.456941083732,12935.337044817166,13349.038195232133,13775.970438216369,14216.556933846661,14671.23437581009,15140.453424239304,15624.679152390832,16124.391507609189,16640.08578703363,17172.273128519086,17721.48101725785,18288.25380860418,18873.153267619968,19476.75912587635,20099.669656063015,20742.50226497488
NIG,108.31759921630609,112.45667298703691,116.75391063698498,121.21535598514816,125.84728379926091,130.6562086208962,135.6488939277957,140.83236164631458,146.21390202735898,151.8010838997074,157.60176531513522,163.6241046003153,169.87657183103772,176.36796074488717,183.10740110913179,190.10437156121876,197.36871293993582,204.91064212598826,212.74076641145714,220.8700984183493,229.31007158722008,238.07255625765382,247.1698763632175,256.61482676436856,266.4206912436944,276.60126118879293,287.1708549890702,298.1443381737369,309.5371443193244,321.3652967561277,333.6454311041033,346.394818669917
RUS,74532.1204599878,74199.76944108852,73868.90043020246,73539.50681881144,73211.58202786572,72885.1195076527,72560.11273766594,72236.5552264751,71914.44051159616,71593.76215936236,71274.51376479575,70956.68895147923,70640.28137142918,70325.28470496873,70011.69266060142,69699.49897488568,69388.6974123096,69079.2817651665,68771.24585343085,68464.5835246349,68159.28865374575,67855.35514304302,67552.77692199712,67251.5479471479,66951.66220198401,66653.11369682272,66355.89646869032,66060.00458120291,65765.43212444798,65472.173214866234,65180.22199513416,64889.57263404704
ASC,3885.3292128577696,4018.1286488974974,4155.4671315009255,4297.4998039753,4444.387112381526,4596.2949867807665,4753.3950286759955,4915.864704860247,5083.887547890547,5257.653363413982,5437.358444580114,5623.2057937819545,5815.405351975971,6014.1742358402,6219.736983038341,6432.325805866922,6652.180853572034,6879.550483631997,7114.691542312372,7357.869654810271,7609.359525315716,7869.44524732901,8138.420624584658,8416.589502944385,8704.266113634163,9001.775428212968,9309.453525674286,9627.647972095023,9956.718213260721,10297.035980710589,10648.985711661022,11012.964983282003
ASE,5319.543184216123,5303.2873002837505,5287.081092376794,5270.924408691297,5254.817097887197,5238.75900908691,5222.749991873914,5206.789896291343,5190.87857284058,5175.015872479858,5159.201646622865,5143.43574713735,5127.718026343735,5112.048337013735,5096.426532368979,5080.852466079626,5065.325992263008,5049.846965482253,5034.41524074493,5019.030673501685,5003.693119644889,4988.402435507291,4973.1584778606675,4957.961103914484,4942.810171314558,4927.705538141722,4912.647062910498,4897.63460456777,4882.6680224914635,4867.747176489228,4852.871926797124,4838.042134078313
CHN,932634.46322808,1004115.2529456991,1053448.1443951132,987422.4421441877,978447.4857951826,905221.9428385379,910785.1403239863,904800.9573646062,895769.0204574725,873449.3564809525,843130.7892897108,808500.3573202037,776397.2968972164,747791.5216853843,725146.668736498,704166.155577056,686631.4365604606,670953.0596977426,660402.5299927406,655800.0067385122,658454.2659733584,664840.1749450563,677328.9358749164,692349.5456429318,709906.9509798151,726159.6307697805,743656.535657476,759426.7441939148,773538.0908492098,785270.3083125614,793206.3318287806,796077.3631194924
IDN,18683.71597754469,18746.64172122834,18809.77939540927,18873.129713857914,18936.693392748653,19000.47115066791,19064.463708622254,19128.671790046566,19193.096120812235,19257.737429235323,19322.596446084837,19387.673904590964,19452.970540453378,19518.487091849544,19584.224299443067,19650.18290639208,19716.363658357623,19782.767303512075,19849.39459254763,19916.24627868477,19983.323117680775,20050.625867838295,20118.15529001388,20185.912147626615,20253.897206666734,20322.11123570429,20390.555005897837,20459.229291003143,20528.134867381952,20597.272514010747,20666.643012489567,20736.247147050824
