OMNIARegion,RebaseApplied,ExclusionReason,CountryBasketMethod,CoverageBasis,BasketCountryCount,SharedMappingCountryCount,BasketCountryShare,LowCountryCountCoverageFlag,HistoricalReportedRegional2019_kt,BasketShareOfReportedHistorical2019Production,RecentMappedRegional2025_kt,BasketShareOfMappedRecent2025Production,MinimumProductionCoverage,LowProductionCoverageFlag,SourceEstimateFlag,AnyZeroObservationFlag,ConfidenceFlag,BasketISO3,BasketCountries,ExcludedSharedISO3,AbsentFrom2019_2020SourceISO3,AbsentFrom2021_2025SourceISO3,Unavailable2019ISO3,Unavailable2020ISO3,EstimatedCountrySeries,EstimatedValues2019,EstimatedValues2020,WSA2019_kt,WSAIndex2019,ZeroValueCountries2019,WSA2020_kt,WSAIndex2020,ZeroValueCountries2020,WSA2021_kt,WSAIndex2021,ZeroValueCountries2021,WSA2022_kt,WSAIndex2022,ZeroValueCountries2022,WSA2023_kt,WSAIndex2023,ZeroValueCountries2023,WSA2024_kt,WSAIndex2024,ZeroValueCountries2024,WSA2025_kt,WSAIndex2025,ZeroValueCountries2025,Original2019_kt,Rebased2019_kt,Rebased2020_kt,Original2020_kt,Rebased2021_kt,Original2021_kt,Rebased2022_kt,Original2022_kt,Rebased2023_kt,Original2023_kt,Rebased2024_kt,Original2024_kt,Rebased2025_kt,Original2025_kt,DerivedOMNIA2025_kt,FutureAnchorYear,Post2025ScaleFactor,Original2026_kt,Rebased2026_kt,Original2050_kt,Rebased2050_kt,Rebased2025To2026Change_pct,Original2025To2026Change_pct,HandoffGrowthDifference_pp,Large2025To2026ChangeFlag,LargeAnnualChangeThreshold_pct,HistoricalFormula,FutureFormula,HistoricalSourceCSV_SHA256,HistoricalSourcePDF_SHA256,HistoricalMapCSV_SHA256,RecentSourceXLSX_SHA256,RecentMapCSV_SHA256,SharedMapCSV_SHA256,OriginalProjectionCSV_SHA256,HistoricalSourceDocument,HistoricalSourceTable,HistoricalSourcePages,HistoricalSourceUnit,HistoricalContentsFinalised,HistoricalPublishedWorld2019_kt,HistoricalExtractedCountrySum2019_kt,HistoricalCountrySumDelta2019_kt,HistoricalPublishedWorld2020_kt,HistoricalExtractedCountrySum2020_kt,HistoricalCountrySumDelta2020_kt,RecentSourceSheet,RecentSourceUnit,RecentSourceLastUpdated
AFE,yes,,"fixed ISO3 intersection of the 2019-2020 and 2021-2025 World Steel sources, restricted to countries reported in both 2019 and 2020",fixed_partial_common_country_basket,1,16,0.0625,yes,50,0.40000000000000002,2550,0.70588235294117652,0.40000000000000002,yes,yes,no,low_production_coverage,KEN,Kenya,BDI; COM; DJI; ERI; ETH; MDG; MUS; REU; RWA; SDN; SOM; SSD; SYC; TZA; UGA,BDI; COM; DJI; ERI; ETH; MDG; MUS; REU; RWA; SDN; SOM; SSD; SYC; TZA,BDI; COM; DJI; ERI; MDG; MUS; REU; RWA; SOM; SSD; SYC; UGA,,,Kenya,,Kenya,20,1,,20,1,,485,24.25,,450,22.5,,1365,68.25,,1750,87.5,,1800,90,,54.15879960815306,54.15879960815306,54.15879960815306,55.574853703699432,1313.3508904977118,57.027932423425447,1218.5729911834439,58.51900382554301,3696.3380732564465,60.049061279437886,4738.8949657133926,61.619124127464183,4874.2919647337758,63.230238364042279,4874.2919647337758,2025,77.087989715782641,64.883477332512612,5001.7368333329478,120.54724056259222,9292.7444407550847,2.6146334589978393,2.6146334589978393,0,no,10,OMNIA2019 * fixed-basket WSAy / fixed-basket WSA2019,Rebased2025 * original_y / original_2025,efcb4a17eedf48546f1a2bebc751aea74741b30f31d6d84aa39398b2d7e92b0e,e51e1919fbf694c8a40189c3d653e836ac9895161b6ab31ee8cd64b158998c36,09ba536c034ad7f289046b268868191031e47658c6eec72f06620fbc06538849,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16,fda7fbc6581e65eecddb33351ca5cfdb09a6d7aa8f728415b9a648bda7599c39,53728d27a37fcaac1c5ea9b5a3723a3eadcd1167bbe579f2bb4b084c8b362585,9ce6151484f3dcd9c3b1e203e324dd9a419c017a31b86eeb6f5967d64e4a9369,Steel Statistical Yearbook 2021,Table 1: Total Production of Crude Steel,printed pages 1-2; PDF pages 5-6,thousand metric tonnes (kt) crude steel,November 2021,1875330,1875329,-1,1880445,1880446,1,P1_crude_steel_total_pub,kt crude steel,28 July 2026
AFN,yes,,"fixed ISO3 intersection of the 2019-2020 and 2021-2025 World Steel sources, restricted to countries reported in both 2019 and 2020",complete_shared_mapping,5,5,1,no,10813,1,18806.199000000001,1,1,no,yes,no,qualified_estimated_source,DZA; EGY; LBY; MAR; TUN,Algeria; Egypt; Libya; Morocco; Tunisia,,,,,,,,Algeria; Tunisia,10813,1,,13094,1.2109497826690094,,15571.674000000001,1.4400882271340054,,16436.306,1.5200504947748081,,17157.858,1.5867805419402572,,17610.832999999999,1.62867224637011,,18806.199000000001,1.7392212152039213,,4697.6243554159146,4697.6243554159146,5688.5871922515471,4841.6004605892012,6764.9935297324291,4989.9892470014574,7140.6262257161497,5142.9259576202103,7454.0989205186161,5300.5499804348647,7650.8904115381774,5463.0049754962538,8170.2079399980039,5630.4390058497947,8170.2079399980039,2025,1.4510783140549952,5803.0046724815684,8420.6142365978139,11975.917915200887,17377.994777650718,3.0648705447743119,3.0648705447743119,0,no,10,OMNIA2019 * fixed-basket WSAy / fixed-basket WSA2019,Rebased2025 * original_y / original_2025,efcb4a17eedf48546f1a2bebc751aea74741b30f31d6d84aa39398b2d7e92b0e,e51e1919fbf694c8a40189c3d653e836ac9895161b6ab31ee8cd64b158998c36,09ba536c034ad7f289046b268868191031e47658c6eec72f06620fbc06538849,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16,fda7fbc6581e65eecddb33351ca5cfdb09a6d7aa8f728415b9a648bda7599c39,53728d27a37fcaac1c5ea9b5a3723a3eadcd1167bbe579f2bb4b084c8b362585,9ce6151484f3dcd9c3b1e203e324dd9a419c017a31b86eeb6f5967d64e4a9369,Steel Statistical Yearbook 2021,Table 1: Total Production of Crude Steel,printed pages 1-2; PDF pages 5-6,thousand metric tonnes (kt) crude steel,November 2021,1875330,1875329,-1,1880445,1880446,1,P1_crude_steel_total_pub,kt crude steel,28 July 2026
AFW,yes,,"fixed ISO3 intersection of the 2019-2020 and 2021-2025 World Steel sources, restricted to countries reported in both 2019 and 2020",fixed_partial_common_country_basket,1,24,0.041666666666666664,yes,285,0.8771929824561403,250,1,0.8771929824561403,no,yes,no,qualified_partial_production_coverage,GHA,Ghana,BEN; BFA; CAF; CIV; CMR; COD; COG; CPV; GAB; GIN; GMB; GNB; GNQ; LBR; MLI; MRT; MWI; NER; SEN; SLE; STP; TCD; TGO,BEN; BFA; CAF; CIV; CMR; COG; CPV; GAB; GIN; GMB; GNB; GNQ; LBR; MLI; MWI; NER; SEN; SLE; STP; TCD; TGO,BEN; BFA; CAF; COD; COG; CPV; GAB; GIN; GMB; GNB; GNQ; LBR; MLI; MRT; MWI; NER; SLE; STP; TCD; TGO,,,Ghana,,Ghana,250,1,,250,1,,400,1.6000000000000001,,400,1.6000000000000001,,220,0.88,,245,0.97999999999999998,,250,1,,59.574679568968357,59.574679568968357,59.574679568968357,60.738934719671882,95.319487310349373,61.925942658401219,95.319487310349373,63.136148037999575,52.425718020692152,64.370004201065015,58.383185977588987,65.627973349772503,59.574679568968357,66.910526719014726,59.574679568968357,2025,0.89036333280034308,68.218144752926491,60.738934719671867,108.55025260489739,96.649164685615574,1.9542784940298041,1.9542784940298041,0,no,10,OMNIA2019 * fixed-basket WSAy / fixed-basket WSA2019,Rebased2025 * original_y / original_2025,efcb4a17eedf48546f1a2bebc751aea74741b30f31d6d84aa39398b2d7e92b0e,e51e1919fbf694c8a40189c3d653e836ac9895161b6ab31ee8cd64b158998c36,09ba536c034ad7f289046b268868191031e47658c6eec72f06620fbc06538849,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16,fda7fbc6581e65eecddb33351ca5cfdb09a6d7aa8f728415b9a648bda7599c39,53728d27a37fcaac1c5ea9b5a3723a3eadcd1167bbe579f2bb4b084c8b362585,9ce6151484f3dcd9c3b1e203e324dd9a419c017a31b86eeb6f5967d64e4a9369,Steel Statistical Yearbook 2021,Table 1: Total Production of Crude Steel,printed pages 1-2; PDF pages 5-6,thousand metric tonnes (kt) crude steel,November 2021,1875330,1875329,-1,1880445,1880446,1,P1_crude_steel_total_pub,kt crude steel,28 July 2026
AFZ,yes,,"fixed ISO3 intersection of the 2019-2020 and 2021-2025 World Steel sources, restricted to countries reported in both 2019 and 2020",fixed_partial_common_country_basket,1,9,0.1111111111111111,yes,6152,1,4746.1000000000004,0.94732517224668678,0.94732517224668678,no,no,no,qualified_partial_production_coverage,ZAF,South Africa,AGO; BWA; LSO; MOZ; NAM; SWZ; ZMB; ZWE,AGO; BWA; LSO; MOZ; NAM; SWZ; ZMB; ZWE,BWA; LSO; MOZ; NAM; SWZ; ZMB; ZWE,,,,,,6152,1,,3877,0.63020156046814046,,5019.5,0.81591352405721718,,4495.6099999999997,0.7307558517555266,,4953.0600000000004,0.8051137841352406,,4716.9099999999999,0.76672789336801039,,4496.1000000000004,0.73083550065019509,,7816.6762686315878,7816.6762686315878,4926.081582165908,8066.6711434114422,6377.7318807536176,8324.661416141571,5712.0819245810872,8590.9027976178077,6293.3138099981097,8865.659176841933,5993.2637285876172,9149.202882579084,5712.7045142058651,9441.8149532803618,5712.7045142058651,2025,0.60504304971801048,9743.7854156381563,5895.4096436755826,20742.502264974879,12550.106829183142,3.1982247465343727,3.1982247465343727,0,no,10,OMNIA2019 * fixed-basket WSAy / fixed-basket WSA2019,Rebased2025 * original_y / original_2025,efcb4a17eedf48546f1a2bebc751aea74741b30f31d6d84aa39398b2d7e92b0e,e51e1919fbf694c8a40189c3d653e836ac9895161b6ab31ee8cd64b158998c36,09ba536c034ad7f289046b268868191031e47658c6eec72f06620fbc06538849,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16,fda7fbc6581e65eecddb33351ca5cfdb09a6d7aa8f728415b9a648bda7599c39,53728d27a37fcaac1c5ea9b5a3723a3eadcd1167bbe579f2bb4b084c8b362585,9ce6151484f3dcd9c3b1e203e324dd9a419c017a31b86eeb6f5967d64e4a9369,Steel Statistical Yearbook 2021,Table 1: Total Production of Crude Steel,printed pages 1-2; PDF pages 5-6,thousand metric tonnes (kt) crude steel,November 2021,1875330,1875329,-1,1880445,1880446,1,P1_crude_steel_total_pub,kt crude steel,28 July 2026
NIG,yes,,"fixed ISO3 intersection of the 2019-2020 and 2021-2025 World Steel sources, restricted to countries reported in both 2019 and 2020",complete_shared_mapping,1,1,1,no,100,1,1200,1,1,no,yes,no,qualified_estimated_source,NGA,Nigeria,,,,,,Nigeria,,Nigeria,100,1,,100,1,,650,6.5,,650,6.5,,1190,11.9,,1200,12,,1200,12,,108.31759921630608,108.31759921630608,108.31759921630608,112.45667298703692,704.0643949059895,116.75391063698498,704.0643949059895,121.21535598514816,1288.9794306740423,125.84728379926092,1299.811190595673,130.65620862089619,1299.811190595673,135.64889392779571,1299.811190595673,2025,9.5821731601257802,140.83236164631458,1349.4800758444428,346.39481866991702,3319.2151342655152,3.8212384697201784,3.8212384697202006,-2.2204460492503131e-14,no,10,OMNIA2019 * fixed-basket WSAy / fixed-basket WSA2019,Rebased2025 * original_y / original_2025,efcb4a17eedf48546f1a2bebc751aea74741b30f31d6d84aa39398b2d7e92b0e,e51e1919fbf694c8a40189c3d653e836ac9895161b6ab31ee8cd64b158998c36,09ba536c034ad7f289046b268868191031e47658c6eec72f06620fbc06538849,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16,fda7fbc6581e65eecddb33351ca5cfdb09a6d7aa8f728415b9a648bda7599c39,53728d27a37fcaac1c5ea9b5a3723a3eadcd1167bbe579f2bb4b084c8b362585,9ce6151484f3dcd9c3b1e203e324dd9a419c017a31b86eeb6f5967d64e4a9369,Steel Statistical Yearbook 2021,Table 1: Total Production of Crude Steel,printed pages 1-2; PDF pages 5-6,thousand metric tonnes (kt) crude steel,November 2021,1875330,1875329,-1,1880445,1880446,1,P1_crude_steel_total_pub,kt crude steel,28 July 2026
RUS,yes,,"fixed ISO3 intersection of the 2019-2020 and 2021-2025 World Steel sources, restricted to countries reported in both 2019 and 2020",complete_shared_mapping,1,1,1,no,71729,1,67900.997000000003,1,1,no,no,no,high_production_coverage,RUS,Russia,,,,,,,,,71729,1,,71621,0.99849433283609135,,77019.856,1.0737617421126742,,71469.183000000005,0.99637779698587747,,76028.645000000004,1.0599429101200353,,71006.917000000001,0.98993317904892031,,67900.997000000003,0.94663242203292952,,74532.120459987796,74532.120459987796,74419.899893554713,74199.769441088516,80029.739508468178,73868.900430202455,74262.149988608682,73539.506818811438,78999.792657776488,73211.582027865719,73781.818948212793,72885.119507652693,70554.521710288303,72560.112737665942,70554.521710288303,2025,0.97235959328469268,72236.555226475102,70239.90746030258,64889.572634047043,63095.998454859502,-0.44591649459065907,-0.44591649459067018,1.1102230246251565e-14,no,10,OMNIA2019 * fixed-basket WSAy / fixed-basket WSA2019,Rebased2025 * original_y / original_2025,efcb4a17eedf48546f1a2bebc751aea74741b30f31d6d84aa39398b2d7e92b0e,e51e1919fbf694c8a40189c3d653e836ac9895161b6ab31ee8cd64b158998c36,09ba536c034ad7f289046b268868191031e47658c6eec72f06620fbc06538849,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16,fda7fbc6581e65eecddb33351ca5cfdb09a6d7aa8f728415b9a648bda7599c39,53728d27a37fcaac1c5ea9b5a3723a3eadcd1167bbe579f2bb4b084c8b362585,9ce6151484f3dcd9c3b1e203e324dd9a419c017a31b86eeb6f5967d64e4a9369,Steel Statistical Yearbook 2021,Table 1: Total Production of Crude Steel,printed pages 1-2; PDF pages 5-6,thousand metric tonnes (kt) crude steel,November 2021,1875330,1875329,-1,1880445,1880446,1,P1_crude_steel_total_pub,kt crude steel,28 July 2026
ASC,yes,,"fixed ISO3 intersection of the 2019-2020 and 2021-2025 World Steel sources, restricted to countries reported in both 2019 and 2020",fixed_partial_common_country_basket,3,10,0.29999999999999999,no,5050,0.99009900990099009,5673.0389999999998,0.98149140169845472,0.98149140169845472,no,yes,no,qualified_estimated_source,AZE; KAZ; UZB,Azerbaijan; Kazakhstan; Uzbekistan,AFG; ARM; GEO; KGZ; MNG; TJK; TKM,AFG; ARM; GEO; KGZ; TJK; TKM,AFG; MNG,,,Azerbaijan,,Azerbaijan,5000,1,,5031,1.0062,,5834.7089999999998,1.1669418,,5458.5870000000004,1.0917174000000001,,5272.3859999999995,1.0544772,,5532.7220000000007,1.1065444000000002,,5568.0389999999998,1.1136078,,3885.3292128577696,3885.3292128577696,3909.4182539774879,4018.1286488974974,4533.9530652448293,4155.4671315009255,4241.6815064051307,4297.4998039753,4096.9910694524651,4444.3871123815261,4299.2892826441739,4596.2949867807674,4326.7329170062731,4753.3950286759964,4326.7329170062731,2025,0.9102405524691759,4915.864704860247,4474.6194048157131,11012.964983282003,10024.447330706298,3.4179712648351845,3.4179712648352067,-2.2204460492503131e-14,no,10,OMNIA2019 * fixed-basket WSAy / fixed-basket WSA2019,Rebased2025 * original_y / original_2025,efcb4a17eedf48546f1a2bebc751aea74741b30f31d6d84aa39398b2d7e92b0e,e51e1919fbf694c8a40189c3d653e836ac9895161b6ab31ee8cd64b158998c36,09ba536c034ad7f289046b268868191031e47658c6eec72f06620fbc06538849,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16,fda7fbc6581e65eecddb33351ca5cfdb09a6d7aa8f728415b9a648bda7599c39,53728d27a37fcaac1c5ea9b5a3723a3eadcd1167bbe579f2bb4b084c8b362585,9ce6151484f3dcd9c3b1e203e324dd9a419c017a31b86eeb6f5967d64e4a9369,Steel Statistical Yearbook 2021,Table 1: Total Production of Crude Steel,printed pages 1-2; PDF pages 5-6,thousand metric tonnes (kt) crude steel,November 2021,1875330,1875329,-1,1880445,1880446,1,P1_crude_steel_total_pub,kt crude steel,28 July 2026
ASE,yes,,"fixed ISO3 intersection of the 2019-2020 and 2021-2025 World Steel sources, restricted to countries reported in both 2019 and 2020",fixed_partial_common_country_basket,5,27,0.18518518518518517,yes,13560,1,13908.184999999999,1,1,no,yes,no,qualified_estimated_source,MMR; MYS; PRK; SGP; THA,D.P.R. Korea; Malaysia; Myanmar; Singapore; Thailand,ASM; BRN; COK; FJI; FSM; KHM; KIR; LAO; MNP; NCL; NIU; NRU; PLW; PNG; PYF; SLB; TLS; TON; TUV; VUT; WLF; WSM,ASM; BRN; COK; FJI; FSM; KHM; KIR; LAO; MNP; NCL; NIU; NRU; PLW; PNG; PYF; SLB; TLS; TON; TUV; VUT; WLF; WSM,ASM; BRN; COK; FJI; FSM; KHM; KIR; LAO; MNP; NCL; NIU; NRU; PLW; PNG; PYF; SLB; TLS; TON; TUV; VUT; WLF; WSM,,,D.P.R. Korea; Myanmar,,D.P.R. Korea; Myanmar,13560,1,,13092,0.96548672566371685,,13777.975999999999,1.0160749262536872,,13759.559999999998,1.0147168141592919,,13818.236000000001,1.01904395280236,,15201.085000000001,1.1210239675516225,,13908.184999999999,1.0256773598820059,,5319.5431842161233,5319.5431842161233,5135.9483309555671,5303.2873002837514,5405.0544486057024,5287.081092376794,5397.8299126705597,5270.9244086912968,5420.8483135464512,5254.8170978871967,5963.33540593215,5238.7590090869098,5456.1350089651123,5222.749991873914,5456.1350089651123,2025,1.0446862318614374,5206.7898962913432,5439.4617168508075,4838.0421340783132,5054.2360066371402,-0.30558796816626543,-0.30558796816625433,-1.1102230246251565e-14,no,10,OMNIA2019 * fixed-basket WSAy / fixed-basket WSA2019,Rebased2025 * original_y / original_2025,efcb4a17eedf48546f1a2bebc751aea74741b30f31d6d84aa39398b2d7e92b0e,e51e1919fbf694c8a40189c3d653e836ac9895161b6ab31ee8cd64b158998c36,09ba536c034ad7f289046b268868191031e47658c6eec72f06620fbc06538849,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16,fda7fbc6581e65eecddb33351ca5cfdb09a6d7aa8f728415b9a648bda7599c39,53728d27a37fcaac1c5ea9b5a3723a3eadcd1167bbe579f2bb4b084c8b362585,9ce6151484f3dcd9c3b1e203e324dd9a419c017a31b86eeb6f5967d64e4a9369,Steel Statistical Yearbook 2021,Table 1: Total Production of Crude Steel,printed pages 1-2; PDF pages 5-6,thousand metric tonnes (kt) crude steel,November 2021,1875330,1875329,-1,1880445,1880446,1,P1_crude_steel_total_pub,kt crude steel,28 July 2026
CHN,yes,,"fixed ISO3 intersection of the 2019-2020 and 2021-2025 World Steel sources, restricted to countries reported in both 2019 and 2020",fixed_partial_common_country_basket,2,4,0.5,no,1017373,1,978018.66599999997,1,1,no,no,no,high_production_coverage,CHN; TWN,"China; Taiwan, China",HKG; MAC,HKG; MAC,MAC,,,,,,1017373,1,,1085726,1.0671857814194008,,1058475.9010000001,1.0404010141806399,,1038760.198,1.0210219830878153,,1048008.8779999999,1.0301127295495358,,1024286.603,1.0067955440138474,,978018.66599999997,0.96131769370722431,,932634.46322807996,932634.46322807996,995294.23841872194,1004115.2529456991,970313.84140231111,1053448.1443951132,952240.28914117441,987422.44214418763,960718.63258784357,978447.48579518264,938972.22177177737,905221.94283853797,896558.01126229297,910785.14032398642,896558.01126229297,2025,0.98437926967425871,904800.95736460621,890667.30561114114,796077.36311949242,783642.05331177567,-0.65703563820238564,-0.65703563820238564,0,no,10,OMNIA2019 * fixed-basket WSAy / fixed-basket WSA2019,Rebased2025 * original_y / original_2025,efcb4a17eedf48546f1a2bebc751aea74741b30f31d6d84aa39398b2d7e92b0e,e51e1919fbf694c8a40189c3d653e836ac9895161b6ab31ee8cd64b158998c36,09ba536c034ad7f289046b268868191031e47658c6eec72f06620fbc06538849,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16,fda7fbc6581e65eecddb33351ca5cfdb09a6d7aa8f728415b9a648bda7599c39,53728d27a37fcaac1c5ea9b5a3723a3eadcd1167bbe579f2bb4b084c8b362585,9ce6151484f3dcd9c3b1e203e324dd9a419c017a31b86eeb6f5967d64e4a9369,Steel Statistical Yearbook 2021,Table 1: Total Production of Crude Steel,printed pages 1-2; PDF pages 5-6,thousand metric tonnes (kt) crude steel,November 2021,1875330,1875329,-1,1880445,1880446,1,P1_crude_steel_total_pub,kt crude steel,28 July 2026
IDN,yes,,"fixed ISO3 intersection of the 2019-2020 and 2021-2025 World Steel sources, restricted to countries reported in both 2019 and 2020",complete_shared_mapping,3,3,1,no,27949,1,46081.714999999997,1,1,no,no,no,high_production_coverage,IDN; PHL; VNM,Indonesia; Philippines; Vietnam,,,,,,,,,27949,1,,33663,1.2044438083652367,,39408.635999999999,1.4100195355826683,,37171.415999999997,1.3299730222906005,,37911.551999999996,1.3564546853196893,,42282.512999999999,1.5128452896346918,,46081.714999999997,1.6487786682886685,,18683.715977544689,18683.715977544689,22503.486026408347,18746.641721228341,26344.404525616043,18809.77939540927,24848.838206274293,18873.129713857918,25343.614076922833,18936.693392748653,28265.571709500913,19000.471150667909,30805.312348139851,19064.463708622254,30805.312348139851,2025,1.6158499299514826,19128.671790046566,30909.062972011645,20736.247147050824,33506.663500018709,0.33679458497053449,0.33679458497053449,0,no,10,OMNIA2019 * fixed-basket WSAy / fixed-basket WSA2019,Rebased2025 * original_y / original_2025,efcb4a17eedf48546f1a2bebc751aea74741b30f31d6d84aa39398b2d7e92b0e,e51e1919fbf694c8a40189c3d653e836ac9895161b6ab31ee8cd64b158998c36,09ba536c034ad7f289046b268868191031e47658c6eec72f06620fbc06538849,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16,fda7fbc6581e65eecddb33351ca5cfdb09a6d7aa8f728415b9a648bda7599c39,53728d27a37fcaac1c5ea9b5a3723a3eadcd1167bbe579f2bb4b084c8b362585,9ce6151484f3dcd9c3b1e203e324dd9a419c017a31b86eeb6f5967d64e4a9369,Steel Statistical Yearbook 2021,Table 1: Total Production of Crude Steel,printed pages 1-2; PDF pages 5-6,thousand metric tonnes (kt) crude steel,November 2021,1875330,1875329,-1,1880445,1880446,1,P1_crude_steel_total_pub,kt crude steel,28 July 2026
