OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,2.6146334589978393,5.297629999244791,8.050777064736803,10.875908834578585,13.774907444935414,16.749704242934516,19.802281073351292,22.934671598937783,26.14896265527271,29.447295641036163,32.83186794463453,36.30493440812681,39.86880882942674,43.525865503782654,47.278540805560795,51.1293348113868,55.08081296572618,59.13560779001392,63.29642063647116,67.56602348777821,71.94726080380185,76.44305141660833,81.05639047502376,85.79035144003748,90.64808813237836,95.63283683362724,100.7479184422659,105.99674068609906,111.38280039252284,116.90968581815238,122.58107903936084
AFN,0.0,3.064870544774312,6.223675404110884,9.47929354314816,12.83469216357911,16.292929407987433,19.857157147068037,23.53062385227238,27.31667755649665,31.218768905510984,35.24045430291147,39.385399151460355,43.65738119376958,48.06029395537159,52.598150293316046,57.275086053526316,62.0953638402493,67.06337690103385,72.18365313077895,77.46085919850057,82.89980480057879,88.50544704436145,94.28289496611923,100.23741418747068,106.37443171452018,112.69954088408389,119.21850646151037,125.93726989474341,132.86195472941463,139.99887218990216,147.354526931441,154.93562296852858
AFW,0.0,1.9542784940298041,3.94674903238188,5.978157993964839,8.049266344009819,10.160849919127756,12.313699717937743,14.50862219737461,16.74643957478772,19.027990135943295,21.35412854904597,23.725726184897255,26.14367144331091,28.608870085907157,31.122245575410766,33.68473942157999,36.2973115338957,38.96094058114343,41.67662435802224,44.44538015891848,47.268245158983824,50.14627680266091,53.08055319980176,56.07217352952733,59.12225845197978,62.23195052812132,65.40241464773749,68.63483846580422,71.93043284738334,75.29043232121211,78.71609554215742,82.20870576270755
AFZ,0.0,3.1982247465343727,6.498735908362141,9.904804834929637,13.41980750079066,17.047227851752545,20.790661258039744,24.65381807789686,28.640527335164066,32.75474051446958,37.0005354778008,41.382120506336385,45.903838471545065,50.57017113968551,55.38574361397406,60.35532891882261,65.48385273069097,70.77639826024237,76.2382112906415,81.87470537698829,87.69146721204154,93.69426216355048,99.88903998868228,106.28194073121024,112.87930080730715,119.68765928597578,126.71376437034189,133.96458008623372,141.44729318467685,149.16932026514655,157.13831512663793,165.36217635383954
NIG,0.0,3.8212384697201784,7.788495573865051,11.907351032666202,16.18359778077125,20.623250114675052,25.232552151483787,30.017986610908686,34.98628393284034,40.14443174332776,45.49968468227452,51.05957460667516,56.83192118374107,62.824842888815425,69.0467684235443,75.50644857036355,82.21296849997393,89.17576054911407,96.40461748660252,103.90970628630734,111.70158242641315,119.79120473509761,128.18995080349663,136.90963298763538,145.96251502183176,155.36132926693736,165.1192946176743,175.25013509425565,185.7680991444341,196.68797968312936,208.02513489781668,219.79550984893956
RUS,0.0,-0.4459164945906813,-0.8898445739798699,-1.3317931048389187,-1.7717709143013072,-2.209786790138746,-2.6458494809369015,-3.079967696270036,-3.512150106874967,-3.9424053448242846,-4.370742003698769,-4.797168638758942,-5.2216937671160535,-5.6443258679021335,-6.06507338243939,-6.483944714408718,-6.900948230017711,-7.316092258167584,-7.729385090619612,-8.140834982160772,-8.550450150768574,-8.958238777775229,-9.364209008030977,-9.768368950066876,-10.170726676256736,-10.57129022297827,-10.970067590773624,-11.367066744509302,-11.762295613535068,-12.15576209184247,-12.547474038222429,-12.93743927642218
ASC,0.0,3.417971264835251,6.952767805342863,10.608382675875427,14.388945412235831,18.298726696574107,22.342143181728957,26.52376248046402,30.84830832523464,35.320665904314176,39.94588738030731,44.72919759728489,49.67599998298666,54.79188265275994,60.08262472212873,65.55420283512512,71.2127979157567,77.06480215023768,83.11682620787018,89.37570670873343,95.84851394661655,102.54255987591874,109.46540637153936,116.62487377108891,124.02904970907032,131.68629825300977,139.60526935185808,147.79490860733563,156.26446737925903,165.0235132362652,174.08194076373755,183.44998274114474
ASE,0.0,-0.30558796816626543,-0.610242096269642,-0.9139652380130259,-1.2167602383787113,-1.518629933655058,-1.8195771514631032,-2.119604710782985,-2.418715421980411,-2.7169120868329233,-3.0141974985561815,-3.310574441830094,-3.606045692824944,-3.9006140192273664,-4.194282180266251,-4.487052926738688,-4.77892900103557,-5.069913137167481,-5.3600080607900775,-5.649216489229825,-5.93754113150935,-6.224984688372803,-6.511549852311205,-6.797239307587677,-7.082055730262482,-7.3660017882182345,-7.649080141184806,-7.93129344076422,-8.212644330455543,-8.493135445679645,-8.77276941380385,-9.051548854166569
CHN,0.0,7.680777667847982,12.9863262017893,5.922311503245337,4.975014739850625,-2.8618649970189702,-2.2511920049705703,-2.879080179435878,-3.834163944772384,-6.21439669566427,-9.452685547481543,-13.153686248155728,-16.584066135313602,-19.639819936580494,-22.056780815036635,-24.295634081682305,-26.165358974222,-27.836374055074742,-28.957890935244247,-29.44196236260208,-29.148250199534274,-28.454723346131683,-27.10712725800306,-25.48834946505393,-23.59785303772597,-21.84753155142891,-19.964072227535567,-18.266020453598042,-16.746096771331466,-15.481524591355377,-14.624240252982245,-14.310282611028812
IDN,0.0,0.3367945849705789,0.6747234758657905,1.0137904929665709,1.3539994694203639,1.6953542512844644,2.037858697569428,2.381516680282747,2.72633208447266,3.0723088082720285,3.419450762942433,3.767761872918296,4.117246075851444,4.4679073226553845,4.819749577550136,5.172776818107039,5.526993035293604,5.8824022335187465,6.2390084306779725,6.596815658198918,6.955827961086758,7.316049397970126,7.6774840411468315,8.040135976629937,8.404009304194048,8.769108137421554,9.13543660374916,9.502998844514554,9.871799015003258,10.241841284495523,10.61312983631355,10.985668867868693
IND,0.0,6.48772569865097,13.39635724471131,20.753201855010506,28.58733836370191,36.92973215993505,45.813357582369086,55.273328254306286,65.34703587461159,76.07429801300643,87.49751549391551,99.66183999094636,112.61535249443835,126.40925335749738,141.0980646716955,156.73984577235126,173.39642272520095,191.13363270153621,210.02158420772994,230.13493419773968,251.55318316391094,274.3609893724615,298.6485034857027,324.51172489363216,352.0528811633429,381.3808321060692,412.61150005899447,445.86832808256213,481.2827678843708,518.9947993982349,559.1534840721072,601.9175540518064
ASO,0.0,2.5362733341449006,5.136873492544725,7.8034319792897655,10.53762167787351,13.341157900687373,16.21579946513354,19.163349797031024,22.185658062006873,25.284620325583006,28.462180742685426,31.720332777323136,35.06112045320127,38.4866396360531,41.99903934849565,45.60052311823342,49.293350360456635,53.07983779530039,56.96236090125484,60.94335540543761,65.02531881166374,69.21081196727155,73.50246066968748,77.90295731373797,82.41506258074148,87.04160717044051,91.78549357686039,96.64969790920847,101.63727175895616,106.75134411427582,111.9951233230323,117.3718991055619
JPN,0.0,-0.7421446419385358,-1.4787814971815139,-2.209951441472746,-2.9356950471989607,-3.6560525856410675,-4.371064029208838,-5.080769053658896,-5.785207040296447,-6.484417078160387,-7.178437966192419,-7.86730821538999,-8.551066050943213,-9.22974941435607,-9.90339596555161,-10.57204308496187,-11.235727875601931,-11.894487165128897,-12.548357507885378,-13.19737518692785,-13.841576216040075,-14.480996341731444,-15.115671045220513,-15.745635544403902,-16.37092479581049,-16.991573496541136,-17.607616086194056,-18.219086748775815,-18.826019414598182,-19.42844776216098,-20.026405220020816,-20.619924968646075
