OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,54.15879960815306,55.57485370369943,57.02793242342545,58.51900382554301,60.049061279437886,61.61912412746418,63.23023836404228,64.88347733251261,66.57994244020976,68.32076389223299,70.10710144440223,71.94014517590112,73.82111628212186,75.75126788823992,77.73188588406093,79.7642897806956,81.84983358963368,83.9899067248023,86.18593492821005,88.43938121979312,90.75174687209648,93.12457241043936,95.55943863923136,98.05796769512324,100.62182412769322,103.25271600838984,105.95239606846924,108.72266286668533,111.5653619875111,114.48238727068863,117.47568207292754,120.54724056259222
AFN,4697.624355415915,10134.649177707957,15571.674,16436.306,17157.858,17610.833,18806.199,19382.58465374264,19976.635781611145,20588.89380751859,21219.91674932009,21870.27972739563,22540.57548882033,23231.414947599802,23943.42774146309,24677.26280572051,25433.588964709586,26213.09554136794,27016.492985488876,27844.513521232144,28697.911814480085,29577.46566064739,30483.976693571312,31418.271116128453,32381.200453244008,33373.64232797981,34396.50126140839,35450.70949700223,36537.22785028937,37657.04658454996,38811.18631335176,40000.69893074717
AFW,59.57467956896836,60.73893471967188,61.92594265840122,63.136148037999575,64.37000420106502,65.6279733497725,66.91052671901473,68.21814475292649,69.55131728485905,70.91054372087149,72.29633322680809,73.70920491903172,75.14968805888472,76.61832225094999,78.11565764518676,79.6422551430166,81.19868660743691,82.78553507724071,84.40339498542272,86.05287238185387,87.73458516030736,89.4491632899215,91.19724905118603,92.97949727654016,94.79657559567262,96.64916468561556,98.53795852572598,100.46366465765026,102.42700445036894,104.42871337042143,106.46954125741162,108.5502526048974
AFZ,7816.676268631588,8066.671143411442,8324.661416141571,8590.902797617808,8865.659176841933,9149.202882579084,9441.814953280362,9743.785415638156,10055.4135720503,10377.008297277987,10708.888344591454,11051.38266170691,11404.830716827828,11769.582835113766,12146.000545910234,12534.456941083732,12935.337044817166,13349.038195232131,13775.970438216367,14216.55693384666,14671.23437581009,15140.453424239304,15624.679152390832,16124.391507609187,16640.08578703363,17172.273128519086,17721.48101725785,18288.25380860418,18873.153267619968,19476.75912587635,20099.66965606301,20742.50226497488
NIG,108.31759921630608,379.15879960815306,650.0,650.0,1190.0,1200.0,1200.0,1245.8548616366425,1293.4619468863807,1342.8882123919948,1394.2031733692552,1447.4790013761008,1502.790625817806,1560.2158393309046,1619.8354071940844,1681.7331809199338,1745.996216187295,1812.7148952801022,1881.9830542048937,1953.8981146657857,2028.561221082532,2106.0773828443635,2186.555621999688,2270.109126589369,2356.855409839231,2446.9164754356893,2540.4189891169585,2637.494456821172,2738.2794096419602,2842.9155958516253,2951.5501802619824,3064.3359512032484
RUS,74532.1204599878,75775.9882299939,77019.856,71469.183,76028.645,71006.917,67900.997,67598.21525438548,67296.78366251728,66996.69620383711,66697.9468846334,66400.5297379215,66104.43882332453,65809.66822695473,65516.21206129534,65224.06446508302,64933.219603190766,64643.67166651135,64355.414871841334,64068.443461765535,63782.75170454203,63498.333893987656,63215.18434936411,62933.29741526441,62652.667461499936,62373.28888298805,62095.15609964012,61818.26355624999,61542.60572238314,61268.17709226614,60994.972184676684,60722.98554283422
ASC,3885.3292128577696,4018.1286488974974,4155.4671315009255,4297.4998039753,4444.387112381526,4596.294986780767,4753.395028675996,4915.864704860247,5083.887547890547,5257.653363413982,5437.358444580114,5623.2057937819545,5815.405351975971,6014.1742358402,6219.736983038341,6432.325805866922,6652.180853572034,6879.550483631997,7114.691542312372,7357.869654810271,7609.359525315716,7869.44524732901,8138.420624584658,8416.589502944385,8704.266113634163,9001.775428212968,9309.453525674286,9627.647972095025,9956.71821326072,10297.035980710589,10648.985711661022,11012.964983282003
ASE,5319.543184216123,5303.287300283751,5287.081092376794,5270.924408691297,5254.817097887197,5238.75900908691,5222.749991873914,5206.789896291343,5190.87857284058,5175.015872479858,5159.201646622865,5143.43574713735,5127.718026343735,5112.048337013735,5096.426532368979,5080.852466079626,5065.325992263008,5049.846965482253,5034.41524074493,5019.030673501685,5003.693119644889,4988.402435507291,4973.158477860668,4957.961103914484,4942.810171314558,4927.705538141722,4912.647062910498,4897.63460456777,4882.668022491464,4867.747176489228,4852.871926797124,4838.042134078313
CHN,932634.46322808,983938.53161404,1035242.6,1017959.0,1028859.7,1005091.3,960810.0,954638.2496811758,945250.3701622805,921854.1623077488,890023.7965413164,853645.2610261253,819926.7598291823,789890.6001049171,766133.3775948733,744126.8421572729,725748.6091041147,709323.5699372353,698299.7563916987,693541.6352681825,696428.6431937577,703245.5809108051,716491.6124890184,732403.191598224,750985.5959221042,768190.1677398455,786703.4017128058,803394.1947606339,818334.0994317252,830764.0576190884,839190.6295850012,842276.6379788899
IDN,18683.71597754469,29046.175988772346,39408.636,37171.416,37911.551999999996,42282.513,46081.715,46236.91572078156,46392.63914918655,46548.887045665935,46705.66117659982,46862.96331431729,47020.79523711665,47179.15872928536,47338.05558112025,47497.48758894782,47657.45655514446,47817.96428815689,47979.012602522555,48140.60331889019,48302.73826404035,48465.419270906146,48628.648178593845,48792.426832403726,48956.75708385098,49121.640790686586,49287.07981691832,49453.07603283181,49619.63131501176,49786.74754636307,49954.42661613219,50122.67041992841
