Year,AFE,AFN,AFW,AFZ,NIG,RUS,ASC,ASE,CHN,IDN,IND,ASO,JPN,SKT,ANZ,USA,CAN,LAM,BRA,MEX,CHL,ENE,ENW,EUE,EUW,EUM,MEA,MDA
2019,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023,1.1087590883457858,3.6524542410928666,1.0804926634400982,1.1341980750079066,10.986210999965165,1.0200789207495526,1.1438894541223583,0.9878323976162129,1.1031757248588696,2.029122688739466,1.3662935164324688,1.105376216778735,0.8634503897248704,1.2590646536255532,1.0312742734184916,0.9543800134439998,0.8767527995397111,1.203060176322802,1.0303314813970486,0.9441025652499119,0.656903625887697,0.9779455321087782,0.9213813157749853,0.6777798471017277,0.9259894263857997,0.9243729919843849,2.9023766672434426,1.0887443724438994
2025,1.1674970424293452,4.003342450810959,1.1231369971793774,1.2079066125803974,11.078532100805209,0.9110299905723509,1.22342143181729,0.981804228485369,1.030210696562078,2.466410592806271,1.607434626797421,1.1621579946513356,0.8006276220570658,1.1653239089621068,1.0265995888924198,0.9607676750917782,0.8261024455856397,1.3195657252357418,1.0746826506293448,0.7766162082009213,0.2890303126515572,0.9671013740580064,0.8844211133974949,0.5883311942672804,0.8910642942287349,0.8887321106578097,3.0741786576436376,1.1360276053890583
2030,1.3283186794463453,4.655604210281581,1.2372572618489726,1.4138212050633638,13.363285484988833,0.8908981701864809,1.4472919759728489,0.9668942555816991,0.9153052934280882,2.5082249896455426,2.20105592911976,1.3172033277732313,0.7713562551794917,1.0793241639076763,0.9826207995888407,0.8754609020917123,0.7923924745383176,1.6626093377645794,1.2629594387739222,0.9022902670106715,0.3070174245207969,0.9405141501500031,0.7983776178661911,0.5547346965302664,0.8094062917457155,0.8055266845418755,3.2591462400040427,1.2634157565597492
2035,1.511293348113868,5.41413851777805,1.362973115338957,1.6548385273069097,16.11922927409615,0.8712112201081122,1.712127979157567,0.9522107099896443,0.7781704812752879,2.5507482886392787,3.013899988434058,1.4929335036045663,0.7431550648674979,0.9996711144737062,0.9405260300428532,0.7977285362124833,0.7600580739835944,2.0948329872148914,1.4842209865899056,1.0483012295457566,0.3261239213792041,0.9146578532100471,0.7207051155315616,0.5230567179389166,0.7352315083891996,0.7301111681772722,3.45524297598055,1.405088543932682
2040,1.7194726080380185,6.296260284530282,1.501462768026609,1.9369426216355048,19.443538243850917,0.8519593096519563,2.0254255987591874,0.937750153116272,0.7540420267943961,2.59399250819029,4.126925181731068,1.6921081196727155,0.7159849249030873,0.9258963808379849,0.9002345702007425,0.7268980441813557,0.7290431123342475,2.639420544951275,1.7442459903324319,1.2179400665685638,0.34641946548067937,0.8895123888411273,0.6505892098297978,0.49318770196322903,0.6678541746474126,0.6617562498259727,3.663138485939223,1.5626477713613167
2045,1.9563283683362727,7.322105528031949,1.6540241464773748,2.267137643703419,23.453427767022784,0.8331328253699101,2.396052693518581,0.923509198588152,0.843528126753787,2.6379698704558963,5.6509875977852655,1.9178549357686039,0.6898081395433678,0.8575661491431715,0.8616691675695463,0.6623566071026705,0.6992937485109574,3.3255829250488342,2.049825532908591,1.4150303023071016,0.3679780543432778,0.8650582150746001,0.5872947351494479,0.46502434826996364,0.606651365596628,0.599800897823559,3.88354268005164,1.7378748605450733
2050,2.2258107903936084,8.51509101289254,1.8220870576270753,2.6536217635383954,28.290286835880543,0.8147223662505759,2.8344998274114475,0.9094845114583343,0.9031154982881083,2.682692804802273,7.737882182038511,2.173718991055619,0.6645883912216299,0.7942786205629779,0.824755879097635,0.6035458184051806,0.6707583384757453,4.190124916823562,2.4089404468478546,1.6440141936447308,0.39087829054402906,0.8412763271830144,0.5301580486164136,0.43846925546417476,0.5510572417617207,0.5436459680200327,4.117208182457152,1.9327509924283661
2060,2.2258107903936084,8.51509101289254,1.8220870576270753,2.6536217635383954,28.290286835880543,0.8147223662505759,2.8344998274114475,0.9094845114583343,0.9031154982881083,2.682692804802273,7.737882182038511,2.173718991055619,0.6645883912216299,0.7942786205629779,0.824755879097635,0.6035458184051806,0.6707583384757453,4.190124916823562,2.4089404468478546,1.6440141936447308,0.39087829054402906,0.8412763271830144,0.5301580486164136,0.43846925546417476,0.5510572417617207,0.5436459680200327,4.117208182457152,1.9327509924283661
2070,2.2258107903936084,8.51509101289254,1.8220870576270753,2.6536217635383954,28.290286835880543,0.8147223662505759,2.8344998274114475,0.9094845114583343,0.9031154982881083,2.682692804802273,7.737882182038511,2.173718991055619,0.6645883912216299,0.7942786205629779,0.824755879097635,0.6035458184051806,0.6707583384757453,4.190124916823562,2.4089404468478546,1.6440141936447308,0.39087829054402906,0.8412763271830144,0.5301580486164136,0.43846925546417476,0.5510572417617207,0.5436459680200327,4.117208182457152,1.9327509924283661
2080,2.2258107903936084,8.51509101289254,1.8220870576270753,2.6536217635383954,28.290286835880543,0.8147223662505759,2.8344998274114475,0.9094845114583343,0.9031154982881083,2.682692804802273,7.737882182038511,2.173718991055619,0.6645883912216299,0.7942786205629779,0.824755879097635,0.6035458184051806,0.6707583384757453,4.190124916823562,2.4089404468478546,1.6440141936447308,0.39087829054402906,0.8412763271830144,0.5301580486164136,0.43846925546417476,0.5510572417617207,0.5436459680200327,4.117208182457152,1.9327509924283661
2090,2.2258107903936084,8.51509101289254,1.8220870576270753,2.6536217635383954,28.290286835880543,0.8147223662505759,2.8344998274114475,0.9094845114583343,0.9031154982881083,2.682692804802273,7.737882182038511,2.173718991055619,0.6645883912216299,0.7942786205629779,0.824755879097635,0.6035458184051806,0.6707583384757453,4.190124916823562,2.4089404468478546,1.6440141936447308,0.39087829054402906,0.8412763271830144,0.5301580486164136,0.43846925546417476,0.5510572417617207,0.5436459680200327,4.117208182457152,1.9327509924283661
2100,2.2258107903936084,8.51509101289254,1.8220870576270753,2.6536217635383954,28.290286835880543,0.8147223662505759,2.8344998274114475,0.9094845114583343,0.9031154982881083,2.682692804802273,7.737882182038511,2.173718991055619,0.6645883912216299,0.7942786205629779,0.824755879097635,0.6035458184051806,0.6707583384757453,4.190124916823562,2.4089404468478546,1.6440141936447308,0.39087829054402906,0.8412763271830144,0.5301580486164136,0.43846925546417476,0.5510572417617207,0.5436459680200327,4.117208182457152,1.9327509924283661
