OMNIARegion,CoverageBasis,Countries,CountriesWithAnyZero,Original2019_kt,Rebased2019_kt,Original2020_kt,Interpolated2020_kt,InterpolationMethod2020,Original2021_kt,Observed2021_kt,Delta2021_kt,Original2022_kt,Observed2022_kt,Delta2022_kt,Original2023_kt,Observed2023_kt,Delta2023_kt,Original2024_kt,Observed2024_kt,Delta2024_kt,Original2025_kt,Observed2025_kt,Delta2025_kt,Post2025ScaleFactor,Original2050_kt,Rebased2050_kt,SourceSheet,SourceUnit,SourceLastUpdated,SourceWorkbookSHA256
AFN,complete_shared_mapping,Algeria; Egypt; Libya; Morocco; Tunisia,,4697.624355415915,4697.624355415915,4841.600460589201,10134.649177707957,midpoint of old 2019 and observed 2021,4989.989247001457,15571.674,10581.684752998543,5142.92595762021,16436.306,11293.380042379791,5300.549980434865,17157.858,11857.308019565135,5463.004975496254,17610.833,12147.828024503746,5630.439005849795,18806.199,13175.759994150205,3.3400946143739647,11975.917915200887,40000.69893074717,P1_crude_steel_total_pub,kt crude steel,28 July 2026,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16
ANZ,complete_shared_mapping,Australia; New Zealand,,5634.604828003854,5634.604828003854,5585.479168508073,6029.937414001927,midpoint of old 2019 and observed 2021,5536.781814189772,6425.27,888.4881858102281,5488.509030843103,6191.218,702.7089691568972,5440.657116819127,5810.822999999999,370.1658831808727,5393.222402741965,5223.855,-169.36740274196563,5346.201251227425,5784.483,438.28174877257516,1.0819800318351185,4295.063976740999,4647.173458288097,P1_crude_steel_total_pub,kt crude steel,28 July 2026,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16
BRA,complete_shared_mapping,Brazil,,31087.25257678199,31087.25257678199,32107.328744859387,33579.159788391,midpoint of old 2019 and observed 2021,33160.8770052714,36071.067,2910.1899947286,34248.99568871167,34089.495,-159.50068871166877,35372.819165757486,32030.175,-3342.644165757487,36533.519029458206,33880.195,-2653.3240294582065,37732.305316728445,33408.931,-4323.374316728448,0.8854198204843927,84578.34168724186,74887.34011358532,P1_crude_steel_total_pub,kt crude steel,28 July 2026,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16
CAN,complete_shared_mapping,Canada,,13878.589274409116,13878.589274409116,13763.427840224263,13427.43963720456,midpoint of old 2019 and observed 2021,13649.221989900372,12976.29,-672.9319899003713,13535.96379421598,12097.573,-1438.3907942159803,13423.645389744534,12168.092,-1255.553389744533,13312.258978308442,12286.745,-1025.5139783084414,13201.796826437649,11465.136540868,-1736.6602855696492,0.8684527334876228,10719.27017225818,9309.179482089958,P1_crude_steel_total_pub,kt crude steel,28 July 2026,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16
CHL,complete_shared_mapping,Chile,,1768.5653636483582,1768.5653636483582,1790.0495042144669,1543.053181824179,midpoint of old 2019 and observed 2021,1811.7946293646637,1317.541,-494.25362936466377,1833.8039094819069,1150.958,-682.8459094819068,1856.0805534622657,1161.777,-694.3035534622657,1878.6278091827687,824.154,-1054.4738091827687,1901.448963974935,511.169,-1390.279963974935,0.2688313016466206,2571.478104759381,691.2938060582494,P1_crude_steel_total_pub,kt crude steel,28 July 2026,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16
CHN,effective_single_country,China; Hong Kong,Hong Kong,932634.46322808,932634.46322808,1004268.0428023564,983938.53161404,midpoint of old 2019 and observed 2021,1053749.416893185,1035242.6,-18506.81689318514,987867.981327067,1017959.0,30091.018672932987,979033.1652426036,1028859.7,49826.53475739632,905943.7239748198,1005091.3,99147.57602518029,911639.0707562892,960810.0,49170.92924371082,1.053936838405707,799171.8358122901,842276.6379788899,P1_crude_steel_total_pub,kt crude steel,28 July 2026,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16
EUE,complete_shared_mapping,Bulgaria; Croatia; Czechia; Estonia; Hungary; Latvia; Lithuania; Poland; Romania; Slovakia; Slovenia,Croatia; Estonia; Hungary; Latvia; Lithuania,25842.520587294915,25842.520587294915,25540.39218403162,24923.27327532246,midpoint of old 2019 and observed 2021,25241.796004792297,24004.025963350003,-1237.7700414422943,24946.690753868163,20303.026,-4643.664753868161,24655.035618344154,17515.539652379997,-7139.495965964157,24366.79026245452,16328.656,-8038.13426245452,24081.9148220044,15203.961,-8877.953822004401,0.6313435253125164,17947.678731036114,11331.15076122881,P1_crude_steel_total_pub,kt crude steel,28 July 2026,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16
IDN,complete_shared_mapping,Indonesia; Philippines; Viet Nam,,18683.71597754469,18683.71597754469,18746.64172122834,29046.175988772346,midpoint of old 2019 and observed 2021,18809.77939540927,39408.636,20598.85660459073,18873.129713857918,37171.416,18298.28628614208,18936.693392748653,37911.551999999996,18974.858607251343,19000.47115066791,42282.513,23282.04184933209,19064.463708622254,46081.715,27017.251291377743,2.41715244154278,20736.247147050824,50122.67041992841,P1_crude_steel_total_pub,kt crude steel,28 July 2026,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16
IND,complete_shared_mapping,India,,103023.7853777866,103023.7853777866,109707.6859774643,110612.5726888933,midpoint of old 2019 and observed 2021,116825.21971401956,118201.36,1376.1402859804366,124404.51951591148,125377.231,972.7114840885188,132475.5434988285,140760.73,8285.186501171498,141070.19337882954,149420.9,8350.706621170451,150222.44056780447,165604.0,15381.559432195529,1.1023918888153923,723142.0344153424,797185.9132009347,P1_crude_steel_total_pub,kt crude steel,28 July 2026,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16
JPN,complete_shared_mapping,Japan,,100759.4576773796,100759.4576773796,100011.6767609806,98547.73333868981,midpoint of old 2019 and observed 2021,99269.44546058608,96336.009,-2933.4364605860756,98532.72259001824,89226.801,-9305.921590018232,97801.46726876024,87000.793,-10800.674268760238,97075.63891968786,84008.866,-13066.772919687864,96355.19726681778,80670.805,-15684.392266817784,0.8372231834740991,79982.93310548924,66963.56587817361,P1_crude_steel_total_pub,kt crude steel,28 July 2026,743a06460abf0720b8562b098fab8a18376a9d3e9cdc42bef77f07934fc3fa16
