OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,1964.0231974549718,2390.621134271346,2008.8192350222846,2036.2239340924998,2117.47531928168,2572.345170604151,2745.472769386141,3005.076728953647,3233.681607958211,3391.8289373129064,3540.7638819311637,3728.629420465523,3929.1829322686817,4126.683546654703,4320.273328748455,4504.979961309707,4698.056977747818,4912.337517495876,5153.834423504443,5417.299035119435,5709.920507945618,6015.792488924827,6337.448160509063,6673.442613804783,7022.260877800324,7393.365779342326,7792.347551303977,8213.407282726674,8665.744272914313,9144.785193567288,9660.38837763317,10200.782175769105
AFN,8440.948191105419,8998.783084024682,8409.860049740255,8884.252936040999,8653.955712415627,8750.238611424,11529.243700520843,11860.03780850035,12136.24007728653,12453.891618737765,12834.212460903222,13347.941745408369,13958.336060262494,14563.382569777204,15097.670711271434,15590.235047514665,16114.164225311208,16738.623007516093,17492.058200645002,18359.181755141683,19305.136794223963,20260.04649348905,21217.453950084306,22154.039915479072,23119.62879216807,24120.374551097062,25168.569902198426,26264.621139649797,27386.733971723297,28527.174629096942,29708.155546141166,30914.01968798948
AFW,3121.9566661113918,3255.436863785451,3243.074166743311,3428.57507486877,3503.4636470012565,3793.865800025358,4126.024622621006,4295.950966993922,4444.402967408828,4612.238083214189,4797.563360838394,4952.710355688345,5161.99133660526,5351.037958667086,5588.212797038034,5809.268056706779,6028.676379803586,6240.038581334762,6503.052826809738,6790.174051437891,7031.834991388988,7318.967670686499,7636.257407130181,7898.718529287487,8234.250022601806,8536.688223147414,8831.291811665014,9213.288031081162,9573.272357455338,9999.7853581535,10406.150950322133,10835.358827911423
AFZ,4033.423416955009,4178.94930121661,4120.165728341873,4450.092684748343,4463.439931904065,4590.698419858757,5866.985742440881,5978.6019863039155,6099.631453059012,6214.808131442927,6346.865140788631,6510.898886631563,6684.150550422324,6827.851085774193,6952.249185109881,7077.732036975711,7238.938518661684,7468.3272244373165,7758.254486210895,8084.233362527457,8424.604564920508,8758.069801169022,9067.343720834933,9378.208470432088,9691.334486748041,10016.209418921511,10362.594784335752,10722.437583112662,11099.166160656016,11504.600975562182,11906.711340436577,12312.401633765632
NIG,1305.788436388934,1501.79307561459,1313.973109007327,1339.900693035325,1367.23129253817,1461.586571338116,2090.294359281312,2131.855464036934,2159.485684063949,2183.808431138043,2223.910388675289,2292.184679373119,2377.734243745669,2459.115923508375,2536.525135010433,2620.138448426852,2720.703543227234,2851.283837303917,3010.694681731729,3191.000285195488,3379.394728538598,3569.150956744385,3755.903882808265,3942.592205930436,4134.341160320682,4338.107067245192,4556.10013794266,4785.549241285424,5026.251484257262,5276.285004926131,5536.195142859521,5804.296458742592
RUS,29729.54039084553,30198.34836967456,28810.37348682683,29353.66562727988,29493.79509647943,30060.29768730699,28354.35085367647,28420.10145909643,28762.41239839109,30259.36651069016,30625.38362933985,31040.76667465698,31587.4593936378,32377.76808181049,33321.8906183748,34424.15952800009,35424.91534037708,36268.43711276399,36961.81033389183,37545.83880350042,38083.81854488766,38639.07858877037,39151.53143805292,39673.88655620655,40088.01854110534,40454.90732320304,40699.76904160978,40933.71910917132,41105.91530048592,41218.64058110712,41203.57880008929,41142.37673009728
ASC,4530.098126419299,4862.66061315996,4912.472259030706,5045.875912524601,5203.954924125994,5753.776648600703,6595.775107380233,6947.226261847321,7251.621517272478,7535.8758412684565,7834.085088404036,8165.722913097787,8521.325089074078,8901.888465007813,9302.975184615965,9750.057527377196,10217.89835019876,10725.795894566558,11283.383987526722,11883.038657959984,12498.370481412709,13140.172547629474,13801.898726004261,14481.32326940223,15150.910916449673,15845.79475173876,16577.0483312998,17320.286336751862,18088.642121985165,18873.988057425835,19671.936970605533,20479.6919743202
ASE,15189.726029906302,15394.965523521436,14800.927119692557,15577.633124048096,15778.923720105153,16189.008735138508,16110.782776932203,16730.42732276048,17345.182460163946,17951.348041887457,18547.94788847345,19119.959812183148,19697.082426806173,20297.600800250646,20839.28143930837,21243.846079722367,21511.629581299407,21670.250724115547,21777.05653211549,21904.090445280093,22098.449510287744,22350.695233218663,22628.478443830936,22946.408243303027,23272.18763756159,23626.951328683142,23973.55171548066,24307.082903238617,24665.17955172321,25010.19032828787,25340.604524274506,25683.70150819473
CHN,201703.57291120602,217885.20874464768,253300.36234860992,253287.79297779102,258743.88103628068,267903.14365518256,276268.3992042156,290666.2739217012,302499.3276964559,311636.87255535735,317834.583162051,323262.9748100388,329481.8999822097,336847.04095802794,344669.9047444278,352247.3410881293,358769.2138882266,364434.5217717882,369672.2803335869,375283.25102390914,381748.0213723712,389077.5142302789,396852.6383572979,404830.4179762043,412792.71580593666,420810.2433143447,429030.6731005097,437351.2964350311,445667.51064851537,453939.47695501195,462089.83053470385,469864.8837351784
IDN,14558.62249419975,15199.422226135623,14484.359663253927,15285.316375898277,16602.644704003855,17458.158428226052,16051.101810840271,17169.40238065391,18226.876195494187,19337.763571799234,20466.240401799812,21503.592962249095,22466.959902459646,23422.04122751201,24322.63855392349,25117.109882828503,25755.049640704106,26245.544035394887,26623.198460083742,26961.108359489474,27335.096762752553,27770.659163457443,28281.84263303632,28845.925631824535,29448.912942042196,30057.960511606496,30671.635226923354,31290.472570126843,31925.80469252279,32569.639313583204,33237.81775211598,33928.638355218856
