OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,0.0,21.72061599726367,2.2808303703011568,3.6761651660269345,7.813152208464502,30.973258052015762,39.78820479023823,53.00617288266744,64.64579502668262,72.69800793127696,80.28116401676775,89.84650615619867,100.05786781745809,110.11378847266968,119.97058559933348,129.37508921215226,139.2057784162464,150.11606399870433,162.41209524321837,175.82663189209273,190.7257162412679,206.29946207968595,222.6768486605087,239.78430715341804,257.544701452607,276.439839861506,296.75435409324524,318.192987403092,341.2241303536329,365.6149278388015,391.8673257093568,419.3819598967835
AFN,0.0,6.6086757114215855,-0.3683015303650672,5.251835870793631,2.523502294856672,3.6641667892772123,36.58706865029322,40.505989848365246,43.778160966264366,47.54138204355942,52.04704697070846,58.13320308580563,65.36455080924412,72.53254302784669,78.86226013305571,84.69767488850066,90.90466924428439,98.30263885702179,107.22859333596095,117.50141500083511,128.70815407404814,140.0209790985083,151.3633950797379,162.4591386406531,173.89847998984513,185.7543252843764,198.17230638519501,211.15723666360054,224.4509189214293,237.9617311140142,251.9528241797041,266.23870906546824
AFW,0.0,4.275530122598337,3.879538173820296,9.821353771040409,12.220124162231173,21.522051898012883,32.1614956225593,37.60443934491953,42.359534187405366,47.735493361573255,53.67168330411465,58.64122681296793,65.3447465379098,71.40013558651235,78.99712887426243,86.07779280750285,93.10570339570762,99.87588710214715,108.30054745473872,117.49738313618275,125.23807161447932,134.43527420266116,144.5984433423176,153.00538649454975,163.75286088958183,173.44031759993763,182.87682233158557,195.11261738802207,206.64334522552795,220.30506594471439,233.32144111031812,247.0694819543282
AFZ,0.0,3.6079991912047804,2.150587786599134,10.33041227563196,10.66132836789282,13.816427022295041,45.4592076244279,48.22649070692901,51.22715426846669,54.08271061545857,57.35677821745109,61.423639761255174,65.71903962089985,69.2817832383392,72.36596475056936,75.47704035295581,79.47380600389941,85.16100226530277,92.34912093776428,100.43106132979625,108.86982828300668,117.1373767592403,124.80515392257603,132.51237226941245,140.27565382819174,148.33022431558015,156.91809941835672,165.83962244180785,175.17979178677984,185.23167012917926,195.20112593151512,205.25933830821936
NIG,0.0,15.010443787333028,0.6267992877182271,2.6123877111920324,4.705421983912794,11.931345890918642,60.079098652602106,63.261934676985646,65.37791451392039,67.24060117864204,70.31169266786867,75.54028014767798,82.09184409084871,88.32422274383795,94.25238149795649,100.65566330734713,108.35714786624608,118.35725894379503,130.56527365624348,144.37345256479483,158.8010916901727,173.33301913858423,187.63494744944688,201.93192833238723,216.61646290527057,232.2212807491175,248.91564444713828,266.48733500194896,284.92081444349486,304.06890257945037,323.97336265049785,344.5051202010921
RUS,0.0,1.576909607971566,-3.0917629130308932,-1.2643140749037385,-0.7929664948291393,1.11255435540909,-4.625666993467936,-4.404504457634706,-3.253087601556881,1.782153753065674,3.0133100838994897,4.410516498314965,6.249403718882829,8.907731690935972,12.083436811675163,15.791092211436109,19.157292291290528,21.994610868360255,24.326881101980625,26.291353010831344,28.100932756480223,29.968637526156662,31.692353542433715,33.4493774024947,34.84237567779367,36.07646398617088,36.90009501170177,37.68702297791269,38.266232037490425,38.64540130529355,38.594738628306914,38.38887580907928
ASC,0.0,7.341176227534096,8.440747240803038,11.385576464609294,14.875103781456666,27.012185785667086,45.59894561475417,53.35708119282132,60.07647770323992,66.35127167156969,72.93411466555338,80.25487936951545,88.10464699159937,96.50542254465655,105.35924222836353,115.22839583794804,125.55578411444345,136.7674075758816,149.07592887939023,162.31305208729842,175.89624181698974,190.0637509593151,204.67107645002875,219.66908586257543,234.44994994899432,249.78921669106685,265.9313301542699,282.33799474984534,299.29912370977434,316.63530304903793,334.2496877910836,352.080537833909
ASE,0.0,1.3511731101077729,-2.55961766162377,2.553746482181851,3.878922431114362,6.578674975867038,6.063682420686711,10.14304859627333,14.190225854066574,18.180854654941992,22.108508421780027,25.87429012569946,29.67371753793031,33.627168523564556,37.19326733266249,39.856677058535524,41.61960221630212,42.663868205720505,43.36701326435855,44.203327974146546,45.482870900891804,47.1435046900351,48.97226190438748,51.065320059920616,53.21005521588822,55.54560551102241,57.827413531227066,60.02318182290847,62.38067430025502,64.65201728488414,66.82726518162762,69.08600890909655
CHN,0.0,8.11266837419864,25.83487998397014,25.47446573029941,28.428589326662255,33.068771924774175,37.17466069681632,44.62711411653797,50.754768178507014,55.51300240528032,58.80174882175431,61.72788056572194,65.09157008873765,69.05646635995406,73.24228757124838,77.24009752600172,80.66523697412111,83.63237462304247,86.36921867284306,89.29819110769456,92.66881166812293,96.47976391702056,100.51483547171252,104.6452856652845,108.76105809103306,112.9005488453109,117.14097772374772,121.42930543604393,125.71399695649292,129.96726140006652,134.1591491814631,138.15546268447267
IDN,0.0,4.4015134824133995,-0.5100951753877148,4.991501647824492,14.039942382038252,19.916279408862316,10.2515146418223,17.932877148880767,25.19643395352751,32.82687685255612,40.578137869525065,47.70348616990561,54.32064339473484,60.88088853765874,67.0668949868972,72.52394512485864,76.90581406973831,80.2749129998479,82.86893880716117,85.18996814589399,87.75881285226698,90.75059590645651,94.26180357588083,98.13636656432942,102.2781547758027,106.4615695858711,110.67676725008243,114.9274258783286,119.29138354430329,123.71374301764581,128.30331485934292,133.04841078705246
IND,0.0,5.622410399698974,3.1303543382013466,16.469325517162183,26.182404214682276,39.35013673923078,40.255634483488144,49.83870910297852,60.016575978087275,71.5425455647941,84.28001383958753,97.65532586617391,111.57513947370221,126.21977080901674,141.85846327764344,158.63589124141663,176.57861062140432,195.6648999032662,215.81480311964665,237.04433917336192,259.3973188830441,283.126523904456,308.42557168534216,335.3738139546479,363.9111852372352,393.9824487022073,425.50513781496375,458.52709552912535,492.8100548197368,528.3296280027704,564.9321161891498,602.507484450821
ASO,0.0,-3.7356436091587675,-3.499346062323516,10.658767002015335,15.956653451211999,15.059967769177351,18.05751776978415,25.96287628629481,33.61645581039723,40.979480171420214,48.054080517406895,55.02340130765153,62.25286844748419,70.07387754939023,77.73364452168046,84.87473678615052,91.5051825271252,97.59616906639452,103.80026871931078,110.49692939591912,117.73917867982813,125.73217369252933,134.0555060609048,142.7152965386131,151.94455692626227,161.42422241040327,171.40901558208418,181.9587779363533,193.1664606192863,204.8096762822151,216.87409617121997,229.58907312145305
JPN,0.0,0.1744875351149755,2.3213643703419606,4.9817474897051905,4.703743629887414,4.671273438285484,2.910714227779909,3.1969224501832594,3.7246714256433,4.226770097915944,4.503179053421902,4.387000216695758,4.065819842243945,3.747268393047154,3.6551240213613667,3.7507019749631443,3.9401272272213683,4.01460707950636,3.9365414746054483,3.721827122269006,3.416701609813888,3.143750144504276,2.9066021249485763,2.7246584796252415,2.526655330393357,2.3889919075929633,2.172213733305939,1.9434338973836063,1.6979905329863598,1.5224038026107722,1.3731983083308918,1.2482287516502266
SKT,0.0,3.124619691613839,16.761589415714884,29.155656388316498,30.923691911590456,40.029452864953676,22.855095615672894,31.57376898558195,41.07049641189886,50.43834476781244,56.77425901879624,58.151951678884984,56.59293538347132,56.35643520379192,59.291537475554065,64.85569014037198,70.30406290561196,73.56601081274489,73.82898214396252,71.79073794950266,69.07121663202389,67.17917596731122,66.63810952671155,67.08150054109134,67.62761545050763,67.68904011077584,67.05573891178133,66.08106593703329,65.26384938121492,64.95428927612046,64.9842873216915,65.23762301172728
ANZ,0.0,2.3625560152338743,-13.409776692581865,-7.647833841366025,-5.345334967170112,-1.6007725217516922,20.84977165409798,21.836435672382247,21.490419008596717,20.786755594061802,21.271575735978885,23.474980517328127,26.478505998538736,29.04380753348752,29.947898290622653,29.490695271986667,28.998526555512093,29.367158962251683,31.386485495953153,34.58605285556475,38.07496361950471,41.681223045296264,44.04740566367587,46.03939087978124,47.69742141283502,49.36064968396465,51.14330185109483,53.33814562705052,55.80801834346616,58.27053410916405,59.97918992578748,62.46349457045761
USA,0.0,0.4355988639523023,-13.935278591198285,-5.782674295408297,-6.080473011125265,-6.558682049147513,-11.426958292265398,-8.520931199844984,-4.825821816938092,-0.5319776964345824,3.9424379122426467,8.387725300001003,12.443202874622328,16.611842895884866,20.42764066570355,23.59648845422033,25.87585271546122,27.38214453320984,28.195520064590095,28.89405928126112,29.80339325749646,31.070601356442594,32.48874456815118,34.198039490579426,35.88414384347001,37.594803603174775,38.819843882698905,39.87646769242379,40.791142678326686,41.45404617791855,42.1498331687554,42.58244233487778
CAN,0.0,-3.040777631261149,-10.75215281687929,-5.145877655307174,-2.4363167052781964,4.189152240598415,20.127723666581442,22.68255812833171,20.715377776196586,16.903742847172754,15.167468674645779,17.117588596967238,22.069997172755752,28.074509361571167,32.57545795313861,34.425512768307144,34.38721561375593,34.66061615656892,35.20907471488912,37.666771672981135,40.49937582237675,42.978796299994634,44.32834102472325,44.85772489860285,45.21643441946137,45.8127306590874,46.954521333422285,48.74458695704713,50.85200323218948,52.35897204007407,53.937821752878556,55.40827575356384
LAM,0.0,-0.0866435600314519,-8.053354077163434,1.6506969075907652,0.6052834302913812,1.9600856699101277,33.55058527178687,36.514421420586544,39.600860402179094,43.033174044521694,47.09091220378099,52.034867818284326,57.69584181648631,63.21381357716065,68.55132290062618,74.25091067242549,81.09270291570228,89.51294455020447,99.33568429342657,110.24715403322017,121.71660901732699,133.3679134514616,144.90941766390705,156.52666591008622,168.45509631502983,180.98325588759408,194.06359723926928,207.7968531206997,222.03867478180075,236.73178513167903,251.852291217671,267.2319569411738
BRA,0.0,2.2669699647338115,3.8577736535468032,13.356350758359126,10.063377489127468,12.612776124293212,33.768433736875615,37.74138877618975,41.36169000772385,44.71835049152584,48.0203890940101,51.75573124146708,56.13312060908384,60.79518993968123,65.65029209364444,70.83034995728137,76.47943281417693,82.72625034694214,89.50104541142557,96.71265172635404,104.10186115687985,111.52418873884295,118.81973725729095,126.14321796357144,133.34183344024842,140.67847555203312,148.24281911856895,156.0082969012055,163.89938242361532,171.95301086702833,179.96970006242816,187.96732911841767
MEX,0.0,-9.699424414811975,3.2699233912082626,11.077190470308418,11.375189287331056,19.769026180335114,19.101264775458482,21.992419296488166,26.26997167814773,31.45589200125447,36.64604658724322,41.299317165738934,45.40845727737675,49.4847371335583,54.07081554210531,59.4396684162878,65.44660480286926,71.63966239073358,77.82745475781938,83.63344975746456,89.29448131424311,94.79403815415533,100.35233290629742,106.154611809621,112.10516713198304,118.04149964655034,123.88518464987376,129.76285844636243,135.51774076037412,141.35708701343813,147.23640671361707,153.3021345867906
CHL,0.0,3.5575109230738367,-14.374060165107716,-1.8377708957760142,-9.457498723115098,-6.561057627511479,28.690372801019826,31.663081163031713,33.970946469088425,36.25130600407904,39.40048585751301,44.136505241818604,50.16024162690083,55.6459243520965,59.775522514981105,63.00214319648194,66.47301268695038,71.31703837477501,77.69273407667924,85.21262003457184,92.84749470975258,100.39913911651017,107.12506164466235,113.41884024130584,119.14039860410814,125.2777190212798,131.36321425023843,137.33034633035322,143.3087365896825,149.4810871718894,155.47841921483686,160.97881832164376
ENE,0.0,-2.3997673269483544,-8.321131665881454,-11.354828464150469,-18.248103780122836,-24.051700992710977,-16.208054405188665,-5.440444962442892,-2.635219509623188,-24.819721308085075,-27.75937917533119,-30.23793975681327,-31.99087213125499,-33.22595689906544,-34.08820828756502,-34.60720594561456,-34.655952744777274,-34.16571571497011,-33.21451207629187,-32.024799133914414,-30.877824173772016,-29.85353111874307,-29.15209648616891,-28.59756376211362,-28.33768104861146,-28.165864597500367,-28.11446827175027,-28.133665883505167,-28.27367979516765,-28.48792356976334,-28.740737286692518,-29.044843117722372
ENW,0.0,-0.2591177486073848,-16.564278271730014,-10.91250137791766,-13.60836362011868,-12.51359785785706,0.5437544497415958,1.356636530852029,1.7732605378327104,2.0007527177046125,3.1667386615702897,4.6944532362774405,6.578250284891096,8.463927797419512,9.26544918749579,9.452813721395348,9.477054416616838,9.39602229486589,9.997010743081347,11.010430929372617,12.504943029850235,14.23698951319816,15.712906517252279,17.07683461379721,18.08094293716134,19.011786871683768,19.758536890124013,20.211287585934066,20.57903432962189,20.760648226314913,20.912827047836615,20.97822325949479
EUE,0.0,-0.3932377266062881,5.374679608428257,14.238019037470018,13.479464303383493,6.87911451723171,-0.6551721904882291,-2.7935895327070637,-0.23934596911332484,9.385114729268507,12.477009718234445,14.694398313458779,17.93869554978467,23.097496852447662,29.474280108590946,35.67810610725133,40.27534377376203,42.65369918049693,43.12761546342734,42.69746191297719,42.42896056551657,42.89250081611169,44.01928842406957,45.543919355836614,46.96762928454603,48.15733647026703,49.083245675062436,49.882385797068565,50.60825568966734,51.21345940824826,51.52180302078382,51.53496315997137
EUW,0.0,-0.5443945428721841,-0.9464194005376569,4.281006867410353,2.180081575045789,-0.7181418144958318,-5.730045081899549,-8.792913310995132,-8.990512399388152,-2.416362661107485,0.470348932272624,3.408169233237879,6.579907473987845,10.191213332375293,13.532847888234588,16.63235368564946,18.650753314180648,19.855009453763593,20.147718471513198,20.167869400887017,20.50710425912805,21.043889937420502,21.927342480021593,23.047282788678025,24.275643216054267,25.241665843354212,25.89679004189216,26.481980200188747,27.030050423956673,27.464806760403015,27.69413909844536,27.780551869670035
EUM,0.0,1.1916690730670254,-3.5595087729745067,3.5712066551254473,1.6091849639467748,1.8432673849330783,-6.600441940216517,-5.845384360170902,-4.140193468176934,-1.752744189768618,1.1961587375815874,4.172176397594485,7.389421675072061,10.850352765601713,14.464506216357353,17.782506146862296,20.1409775710625,21.480267985498624,22.02322346018044,22.259083790207534,22.541028193425518,23.16907441852145,24.090049648841116,25.394667589960164,26.792433878203713,27.957644026632543,28.890081009369073,29.731589160086248,30.295955702516487,30.757455772756348,31.04965742204151,31.403289733386465
MEA,0.0,4.112583259452474,-1.5972947034003093,2.46023910099864,8.123566961740035,14.927923641118612,39.18148778103463,44.605640344856035,47.085444346387504,48.66417486158036,51.04735069667914,55.78078490766567,62.77056185139871,70.0557373958449,76.74987843804031,81.770107271411,85.57984019800178,89.46194098606448,94.30885080998084,100.67911429354952,107.94260403848357,115.73741063589833,123.43647753985407,130.77287960806547,138.0005336145826,145.53815190090614,153.54426754398781,162.154289566656,171.00379010924104,180.04248320771632,189.215739382814,198.3610167343172
MDA,0.0,-4.271883993652992,9.59552123509848,20.4741448804284,21.830298476411294,34.84020379230499,27.477081889151943,33.90446020067455,40.6437590322835,48.82753120624426,55.119147708818915,60.16935321618637,64.49377606179615,68.91619704483236,73.84674720401883,78.74893500652446,83.56376408542852,87.53756830222225,90.79284319983023,93.40108097202508,96.04395479487562,98.52193741674928,101.37685384065685,104.46901665388886,107.39805028673271,110.21578058669475,112.57079097193756,114.89406129695463,116.97889205861722,118.82353018839157,120.37634211684983,121.98802690282324
