OMNIARegion,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AFE,54.15879960815306,54.15879960815306,1313.3508904977118,1218.5729911834439,3696.3380732564465,4738.8949657133926,4874.2919647337758,5001.7368333329478,5132.5139181082905,5266.710344298871,5404.4155151494097,5545.7211714717751,5690.7214527638043,5839.5129599261345,5992.1948196188787,6148.8687503009687,6309.6391299962015,6474.6130658311022,6643.9004653909678,6817.6141099415918,6995.869729565482,7178.7860802626046,7366.485023067029,7559.0916052322063,7756.7341435389035,7959.5443097813804,8167.6572184886845,8381.211516939542,8600.3494775308209,8825.2170925610899,9055.9641714923873,9292.7444407550847
AFN,4697.624355415915,5688.5871922515471,6764.9935297324291,7140.6262257161497,7454.0989205186161,7650.8904115381774,8170.2079399980039,8420.6142365978139,8678.6951620243744,8944.6859337160113,9218.828978221045,9501.3741521476604,9792.5789698856352,10092.708838307424,10402.037298662543,10720.846275885688,11049.426335545842,11388.076948670523,11737.106764686559,12096.83389272615,12467.58619155459,12849.701568383894,13243.528286844696,13649.425284397057,14067.762499469518,14498.921208624566,14943.294374057736,15401.28700174715,15873.316510579854,16359.813112791415,16861.220206065478,17377.994777650718
AFW,59.57467956896836,59.574679568968357,95.319487310349373,95.319487310349373,52.425718020692152,58.383185977588987,59.574679568968357,60.738934719671867,61.925942658401212,63.136148037999575,64.370004201065029,65.627973349772532,66.91052671901474,68.21814475292652,69.551317284859081,70.910543720871516,72.296333226808116,73.709204919031748,75.149688058884735,76.618322250950015,78.115657645186786,79.642255143016598,81.198686607436926,82.785535077240723,84.403394985422736,86.052872381853888,87.734585160307375,89.449163289921529,91.197249051186063,92.979497276540172,94.796575595672635,96.649164685615574
AFZ,7816.676268631588,4926.081582165908,6377.7318807536176,5712.0819245810872,6293.3138099981097,5993.2637285876172,5712.7045142058651,5895.4096436755826,6083.9580938091876,6278.5367471341724,6479.3384631012705,6686.5622692398938,6900.4135584271526,7121.1042924659814,7348.8532121741482,7583.8860541923868,7826.4357747265358,8076.7427804454555,8335.05516676359,8601.6289637443115,8876.7283898678488,9160.626113915243,9453.6035252279689,9755.9510126110508,10067.968252156148,10389.96450426983,10722.258920201522,11065.180858374893,11419.07021083622,11784.277740143318,12161.16542702892,12550.106829183142
NIG,108.31759921630609,108.31759921630608,704.0643949059895,704.0643949059895,1288.9794306740423,1299.811190595673,1299.811190595673,1349.4800758444428,1401.0469276438196,1454.584271821778,1510.1674055911308,1567.8745034507542,1627.7867271335488,1689.9883397557749,1754.5668243283078,1821.6130067964896,1891.221183781623,1963.4892552037836,2038.5188619724531,2116.4155289386463,2197.2888133095817,2281.2524587346256,2368.4245552792304,2458.9277055118591,2552.8891969374863,2650.4411810201923,2751.7208590466412,2856.8706750918459,2966.0385163586107,3079.3779211724232,3197.0482949243337,3319.2151342655152
RUS,74532.1204599878,74419.899893554713,80029.739508468178,74262.149988608682,78999.792657776488,73781.818948212793,70554.521710288303,70239.90746030258,69926.696127151852,69614.881454998613,69304.457215901028,68995.417209688792,68687.755263839135,68381.465233353607,68076.541000635305,67772.976475366697,67470.76559438798,67169.902321575981,66870.380647723636,66572.194590419866,66275.338193930191,65979.805529077683,65685.590693124701,65392.687809654752,65101.09102845531,64810.794525400925,64521.792502336903,64234.079186963405,63947.648832720304,63662.49571867229,63378.614149394642,63095.998454859502
ASC,3885.3292128577696,3909.4182539774879,4533.9530652448293,4241.6815064051307,4096.9910694524651,4299.2892826441739,4326.7329170062731,4474.6194048157131,4627.5606102830552,4785.7293022053636,4949.3041545675414,5118.4699483799568,5293.4177804148103,5474.3452790770671,5661.4568276537857,5854.963795194044,6055.084775280282,6262.0458329607745,6476.0807601221868,6697.4313395906856,6926.3476182599634,7163.0881895546881,7407.9204855484741,7661.1210790663645,7922.9759961130876,8193.7810389800234,8473.8421203958787,8763.4756090985175,9063.0086872183419,9372.7797198769895,9693.1386374186877,10024.447330706298
ASE,5319.543184216123,5135.9483309555671,5405.0544486057024,5397.8299126705597,5420.8483135464512,5963.33540593215,5456.1350089651123,5439.4617168508075,5422.8393763111017,5406.2678316441124,5389.7469276237643,5373.2765094983351,5356.8564229890035,5340.4865142884064,5324.1666300592005,5307.896617432616,5291.6763240070377,5275.5055978465689,5259.3842874796119,5243.3122418974481,5227.2893105528192,5211.3153433585285,5195.3901906860237,5179.5137033639949,5163.6857326769914,5147.9061303640128,5132.1747486171262,5116.4914400800853,5100.8560578469442,5085.2684554606831,5069.7284869118412,5054.2360066371402
CHN,932634.46322808,995294.23841872194,970313.84140231111,952240.28914117441,960718.63258784357,938972.22177177737,896558.01126229297,890798.98274275986,882038.89636623312,860207.25682757481,830505.4745508458,796559.67105781974,765096.01812344522,737068.45843074436,714899.94627254398,694365.04796100652,677215.81754432211,661889.16560443537,651602.54457747622,647162.61200824322,649856.55782921962,656217.6283036056,668577.86157436715,683425.3899329314,700765.13812985888,716819.1932432875,734094.39669957,749669.03083259438,763609.86327643029,775208.59621274017,783071.66029774898,785951.29888223857
IDN,18683.71597754469,22503.486026408347,26344.404525616043,24848.838206274293,25343.614076922833,28265.571709500913,30805.312348139851,30909.062972011645,31013.163022366523,31117.613676053941,31222.41611388696,31327.571520655496,31433.081085139842,31538.946000124004,31645.167462409205,31751.746672827463,31858.684836255121,31965.983161626467,32073.642861947425,32181.665154309256,32290.051259902317,32398.802404029891,32507.919816121979,32617.40472974924,32727.258382636963,32837.482016679016,32948.076877951877,33059.044216728747,33170.385287493715,33282.101348955868,33394.193664063561,33506.663500018709
