Year,AFE,AFN,AFW,AFZ,NIG,RUS,ASC,ASE,CHN,IDN,IND,ASO,JPN,SKT,ANZ,USA,CAN,LAM,BRA,MEX,CHL,ENE,ENW,EUE,EUW,EUM,MEA,MDA
2019,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2023,68.25,1.5867805419402572,0.88,0.8051137841352406,11.9,1.0599429101200353,1.0544772,1.01904395280236,1.0335945968481615,1.3564546853196893,1.2641173406615118,1.2291913682712829,0.87628210990693367,0.91931171946961421,0.94331542207792196,0.92743073802714182,0.94348236023881527,1.0400353817504655,0.98345589364119257,0.8931596684440094,1.0253989408649604,0.42260673363095236,0.81912047140986466,0.73597796766166634,0.87818555049386338,0.83716005932870674,1.161903641507273,0.9975487237630094
2025,90,1.7392212152039213,1,0.73083550065019509,12,0.94663242203292941,1.1136078000000003,1.0256773598820059,0.96523172653927647,1.6487786682886685,1.4872250810500129,0.96514109556556793,0.81252573425728203,0.85086649315596685,0.93903944805194806,0.933638028281355,0.88897701332619983,0.94447823556797017,1.0257892781479321,0.73471071953010281,0.45116416593115621,0.43651030505952387,0.47156634657354857,0.63884873314004775,0.9016365472757415,0.84014542857666052,1.2284130111098386,1.1256016919588347
2030,102.39741670044184,2.0225913000458369,1.1016084991912782,0.85542269366753043,14.474790013761007,0.92571386381967546,1.317383847793731,1.0101011164721148,0.85757380663431704,1.6767313075357717,2.0364533200971597,1.0939020930893937,0.78281936614096959,0.78807339252187547,0.89881167231498216,0.85074010258332577,0.8527013800302391,1.1900114588761284,1.2055002937577375,0.85360352295005415,0.47924129130097576,0.42450991137786592,0.42568863490490122,0.60236744466449044,0.81900969319452088,0.76148881479420794,1.3023243253531085,1.2518207361202933
2035,116.50256607693257,2.3521306727744,1.2135412854904601,1.0012485493526337,17.459962161872948,0.90525756114250544,1.5584483176463175,0.99476141855718536,0.72908856381495091,1.7051578430406975,2.7885100767711455,1.2398412986073737,0.75419907846427359,0.72991436023923384,0.86030722560759076,0.7752027019248412,0.81790601174821775,1.4993752306053838,1.4166954063643638,0.99173586967501648,0.50906572957496976,0.4128394284608467,0.38427427063846975,0.56796941054915595,0.74395484474682017,0.69019623904765048,1.3806827451901498,1.3921933189827354
2040,132.55068672500471,2.7353616628731521,1.3368473942157999,1.1719336709231443,21.060773828443633,0.88525329913964568,1.8436245159997739,0.97965467388652416,0.70648197483753583,1.7340663090237987,3.8182993793755298,1.4052504839725155,0.72662516355519957,0.6760474066743235,0.82345228175147389,0.70637228367016491,0.78453050472388353,1.8891633903056069,1.6648904067519283,1.1522211527442461,0.54074622060256639,0.40148978651329809,0.34688902396399812,0.5355356671030469,0.67577809593861826,0.62557826082351631,1.4637558446502508,1.5483065438164412
2045,150.80942113900039,3.1810322076582254,1.4726824515898385,1.3717158740768209,25.404189891169583,0.86569108867599054,2.1809843274936096,0.96477734476243238,0.79032387538594873,1.7634648759139258,5.2283871132433752,1.5927271699394621,0.70005936547512104,0.62615578068813493,0.78817617722880318,0.6436533333778035,0.75251692003919657,2.3802836290886229,1.9565674131802051,1.3386765825726636,0.57439827139826516,0.39045216508379421,0.31314091038872904,0.50495404402537647,0.61384913099912453,0.5670099868335523,1.551827297191789,1.7219254832916926
2050,171.58327931914053,3.6993155396973241,1.6223195052812136,1.6055554046093561,30.643359512032482,0.8465611613550198,2.5800766888767797,0.95012594721174759,0.84615286425001912,1.7933618526576409,7.1592164704487127,1.8052154166082346,0.67446482694264542,0.57994610706056993,0.75441127569611977,0.58650321246438841,0.7218096830340357,2.9990789489048733,2.2993441651136148,1.5553047159916189,0.61014457728000837,0.37971798620977587,0.28267608077809608,0.47611877647081008,0.55759539691059568,0.51392502793456962,1.6451978443747761,1.915013136029766
2060,171.58327931914053,3.6993155396973241,1.6223195052812136,1.6055554046093561,30.643359512032482,0.8465611613550198,2.5800766888767797,0.95012594721174759,0.84615286425001912,1.7933618526576409,7.1592164704487127,1.8052154166082346,0.67446482694264542,0.57994610706056993,0.75441127569611977,0.58650321246438841,0.7218096830340357,2.9990789489048733,2.2993441651136148,1.5553047159916189,0.61014457728000837,0.37971798620977587,0.28267608077809608,0.47611877647081008,0.55759539691059568,0.51392502793456962,1.6451978443747761,1.915013136029766
2070,171.58327931914053,3.6993155396973241,1.6223195052812136,1.6055554046093561,30.643359512032482,0.8465611613550198,2.5800766888767797,0.95012594721174759,0.84615286425001912,1.7933618526576409,7.1592164704487127,1.8052154166082346,0.67446482694264542,0.57994610706056993,0.75441127569611977,0.58650321246438841,0.7218096830340357,2.9990789489048733,2.2993441651136148,1.5553047159916189,0.61014457728000837,0.37971798620977587,0.28267608077809608,0.47611877647081008,0.55759539691059568,0.51392502793456962,1.6451978443747761,1.915013136029766
